panel,ladder,stat,frac,T,n_windows,floor_capped_mean,n_capped
U56,CADENCE,S_FULL,1.0,4445,1,0.058865156398083096,1
U56,CADENCE,S_OOS,1.0,4445,1,0.09704441230057848,1
U56,CADENCE,CAGR,1.0,4445,1,0.906597672704823,1
U56,CADENCE,DD,1.0,4445,1,4.003291955027809,1
B136,N,S_FULL,0.25,1110,4,0.18522589506882756,2
B136,N,S_OOS,0.25,1110,4,0.2393417180030663,1
B136,N,CAGR,0.25,1110,4,6.718845144038195,1
B136,N,DD,0.25,1110,4,6.847006224944618,1
B136,N,S_FULL,0.5,2221,2,0.1593167254875214,0
B136,N,S_OOS,0.5,2221,2,0.19666032521111088,0
B136,N,CAGR,0.5,2221,2,3.292974999796071,1
B136,N,DD,0.5,2221,2,5.55821782694334,0
B136,N,S_FULL,1.0,4443,1,0.12053112976248326,1
B136,N,S_OOS,1.0,4443,1,0.22338792431073118,0
B136,N,CAGR,1.0,4443,1,3.5944231255558456,1
B136,N,DD,1.0,4443,1,6.509181522842699,0
B136,H,S_FULL,0.25,1110,4,0.14032977369046062,4
B136,H,S_OOS,0.25,1110,4,0.3080218172348752,2
B136,H,CAGR,0.25,1110,4,2.1672896305444276,3
B136,H,DD,0.25,1110,4,4.145413102412873,3
B136,H,S_FULL,0.5,2221,2,0.07852630627499396,2
B136,H,S_OOS,0.5,2221,2,0.1382791242328315,2
B136,H,CAGR,0.5,2221,2,1.6509055896396063,2
B136,H,DD,0.5,2221,2,5.760343718080801,2
B136,H,S_FULL,1.0,4443,1,0.021394727541090397,1
B136,H,S_OOS,1.0,4443,1,0.05154960186986668,1
B136,H,CAGR,1.0,4443,1,0.9107027373571412,1
B136,H,DD,1.0,4443,1,7.954516095049858,1
B136,GROSS,S_FULL,0.25,1110,4,0.0012921664333419847,2
B136,GROSS,S_OOS,0.25,1110,4,0.001716142162264761,2
B136,GROSS,CAGR,0.25,1110,4,1.0591079191824335,0
B136,GROSS,DD,0.25,1110,4,1.0550125106818942,0
B136,GROSS,S_FULL,0.5,2221,2,0.0004227769799379222,0
B136,GROSS,S_OOS,0.5,2221,2,0.0004732414160340537,1
B136,GROSS,CAGR,0.5,2221,2,1.0517598072065875,0
B136,GROSS,DD,0.5,2221,2,1.1179479008170192,0
B136,GROSS,S_FULL,1.0,4443,1,0.00039966707365901577,0
B136,GROSS,S_OOS,1.0,4443,1,0.00046199462908180777,0
B136,GROSS,CAGR,1.0,4443,1,1.0702988360427712,0
B136,GROSS,DD,1.0,4443,1,1.2864280606593717,0
B136,CADENCE,S_FULL,0.25,1110,4,0.18671072404522543,2
B136,CADENCE,S_OOS,0.25,1110,4,0.2649222580522102,1
B136,CADENCE,CAGR,0.25,1110,4,3.4802929082709326,2
B136,CADENCE,DD,0.25,1110,4,4.071012723048728,2
B136,CADENCE,S_FULL,0.5,2221,2,0.1022327980736939,2
B136,CADENCE,S_OOS,0.5,2221,2,0.20312067821355168,1
B136,CADENCE,CAGR,0.5,2221,2,2.313889757516818,2
B136,CADENCE,DD,0.5,2221,2,5.14359500921322,1
B136,CADENCE,S_FULL,1.0,4443,1,0.07115495315410092,1
B136,CADENCE,S_OOS,1.0,4443,1,0.11325529524020728,1
B136,CADENCE,CAGR,1.0,4443,1,1.8463253895186096,0
B136,CADENCE,DD,1.0,4443,1,7.623470897118423,1
