difference,panel,key,n,gross,conv,dSharpe_0,dSharpe_10,dSharpe_25,dCAGR_10,dCAGR_0,dTO,TO_ratio,cost_share,maj_cost,flip
SCALER (VS vs plain),U56,M12_1_VS,10,0.75,LIT,0.004588471641194358,-0.000240688426995872,-0.007554382965446305,-0.007906876828017051,-0.007416113731460783,0.4542719141919278,1.0854938595462031,20.063947936612067,True,True
CADENCE M vs W,U56,M12_1_VS,10,0.75,NORM,0.04173710481186932,0.09828479100390752,0.18307839812176174,0.02024886840562301,0.011343555684216966,-7.772911538593363,0.4316991286429148,0.5753452351523037,True,False
CADENCE D vs W,U56,M12_1_VS,10,0.75,NORM,0.03719448291960736,-0.0976396114219632,-0.2997909575947595,-0.01760702164043959,0.003625560514306736,18.555805301466528,2.3566705692194447,1.3809364086760467,True,True
CADENCE M vs W,U56,M12_1,10,0.75,NORM,0.06360920796725189,0.11315516810045168,0.18744308729829873,0.024008612954954378,0.01586189414873207,-7.107569260519525,0.43400033234544233,0.43785857035903264,False,False
CADENCE D vs W,U56,M12_1,10,0.75,NORM,0.012276365827815772,-0.10710612771746508,-0.2859402168846541,-0.019791001360018656,-0.00014142893843382964,17.190572119306736,2.368943129455782,1.1146187065991178,True,True
SCALER (VS vs plain),U56,M12_1_VS,10,0.75,NORM,0.052146069818755914,0.024860357092054475,-0.016283867456370782,-0.001992819120605116,0.0008405633884021046,2.485141366454304,1.0835394360933068,1.0975591631956938,True,False
SCALER (VS vs plain),U56,M12_1_VS,10,0.75,NORM,0.027227952726964322,0.015393840796552594,-0.0024331267462653905,-0.004176798840184182,-0.002926426064338461,1.1199081842945109,1.0891820588559387,0.7687562894025735,True,False
SCALER (VS vs plain),U56,M12_1_VS,10,0.75,NORM,0.00535584957158175,0.0005234637000084419,-0.006797815922802375,-0.007936543389515549,-0.007444764528853565,0.4545659062206724,1.083406879438401,9.23155869546518,True,False
CADENCE M vs W,U56,M12_1_VS,10,1.0,LIT,0.028881115095668708,0.08436156085629642,0.16756503226631103,0.025352161348040525,0.013323392102474463,-10.082238792687722,0.4323332631676188,0.6576507736163688,True,False
CADENCE D vs W,U56,M12_1_VS,10,1.0,LIT,0.03072301648025144,-0.10316831916180647,-0.3039371164184347,-0.02572414670326495,0.003122279751308854,24.31338038994828,2.3689318008750555,1.2977950666431453,True,True
CADENCE M vs W,U56,M12_1,10,1.0,LIT,0.052088853791365075,0.10050155859550247,0.17309637832076297,0.030639537521790494,0.019673197237987994,-9.189773912798138,0.43497739373044975,0.48171098518967553,False,False
CADENCE D vs W,U56,M12_1,10,1.0,LIT,0.005525466323124784,-0.11272370767269091,-0.28988572206122565,-0.028833093102828,-0.0022033813805937275,22.48658785493342,2.382561812343335,1.0490177837227352,True,True
SCALER (VS vs plain),U56,M12_1_VS,10,1.0,LIT,0.052445838337355166,0.024935997656212572,-0.01654862178848371,-0.0022649189213264087,0.0016830142992712016,3.323197966145422,1.0857576820315074,1.103217968673845,True,False
SCALER (VS vs plain),U56,M12_1_VS,10,1.0,LIT,0.027248288180228508,0.015380609145328128,-0.0024972274312746734,-0.005373865320889459,-0.00364264683263138,1.4964054311305617,1.0920047549326333,0.7716000662109795,True,False
SCALER (VS vs plain),U56,M12_1_VS,10,1.0,LIT,0.004040549484532141,-0.0007593885938779188,-0.008028573485726609,-0.010661241494639428,-0.009992451968144911,0.6039405512409761,1.085366701578846,6.320792960424304,True,True
CADENCE M vs W,U56,M12_1_VS,10,1.0,NORM,0.044279440526096,0.10086191099841968,0.1857087410203735,0.028910132896909913,0.01653619175732235,-10.36900493158294,0.43105811579948256,0.5609894747404719,True,False
CADENCE D vs W,U56,M12_1_VS,10,1.0,NORM,0.03654170204508156,-0.09839323732213245,-0.300698622586825,-0.024596040859259816,0.004891532346217531,24.74620587022272,2.3578113895707338,1.3713842845260455,True,True
CADENCE M vs W,U56,M12_1,10,1.0,NORM,0.06652580630491234,0.11606671642671218,0.1903479065183027,0.0342399085681897,0.02292751340782173,-9.477733393464533,0.4334726941610513,0.4268313229407276,False,False
CADENCE D vs W,U56,M12_1,10,1.0,NORM,0.011437406200558886,-0.10800822178777625,-0.2869394086680046,-0.027708305369795738,-0.00044973265959313835,22.918747414687964,2.3699579516553886,1.105893847813105,True,True
SCALER (VS vs plain),U56,M12_1_VS,10,1.0,NORM,0.05214606981875569,0.024812894629861915,-0.016402403507356556,-0.0022713670085470206,0.0016896061375679672,3.3230009878021463,1.0838119970104507,1.101571404571184,True,False
SCALER (VS vs plain),U56,M12_1_VS,10,1.0,NORM,0.02704177397423302,0.01519791016421812,-0.0026431895885361545,-0.005383631519082943,-0.003651658868242702,1.4955425322673896,1.0893953909019265,0.779308712976869,True,False
SCALER (VS vs plain),U56,M12_1_VS,10,1.0,NORM,0.004795408195416684,-6.895264074380236e-06,-0.007282355086465353,-0.010713407190362734,-0.010042980518742084,0.6042709941489832,1.0833271181514237,696.464037879899,True,True
CADENCE M vs W,B136,M12_1_VS,5,0.75,LIT,0.15358555237802496,0.21259479236019485,0.30115237916679116,0.06063739231779253,0.04827644300585443,-10.74219717562481,0.4396843198495641,0.2775667236579896,False,False
CADENCE D vs W,B136,M12_1_VS,5,0.75,LIT,0.12314785274982376,-0.016965189724627794,-0.22683025972610427,-0.004924186381150886,0.026758914392901012,26.136251678762687,2.3632733971034283,8.258855028956981,True,True
CADENCE M vs W,B136,M12_1,5,0.75,LIT,0.039967010778265255,0.08576249989481921,0.15461543496270547,0.029790038412739417,0.018661480319620782,-9.291813061761225,0.4364691845855656,0.5339803430720703,True,False
CADENCE D vs W,B136,M12_1,5,0.75,LIT,0.20153880991584128,0.09590506170745017,-0.06237970072315857,0.02318109588038242,0.050869386707985687,21.563324181234826,2.3077746590603243,1.1014408033083534,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,0.75,LIT,-0.0954240619866793,-0.15187899347984324,-0.23644419219065915,-0.054361710791343,-0.04755780559960421,7.256052610420831,1.1906883796382817,0.3717099396017291,False,False
SCALER (VS vs plain),B136,M12_1_VS,5,0.75,LIT,-0.017033104820661782,-0.03900874204776528,-0.07199363318771346,-0.026256428529809694,-0.023447333284519534,2.68312511289297,1.1627264423721546,0.5633515995003081,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,0.75,LIT,0.09658543677909792,0.08782355041761036,0.07454331101637224,0.004590925375243415,0.006167629401714114,1.2327409990293852,1.1712913603990798,0.09976693403789591,False,False
CADENCE M vs W,B136,M12_1_VS,5,0.75,NORM,0.1544783822756497,0.21365342486720662,0.3024616235504328,0.060869619528089114,0.04847451669499603,-10.774330165130525,0.43894861355758924,0.27696744214765745,False,False
CADENCE D vs W,B136,M12_1_VS,5,0.75,NORM,0.12599691578067995,-0.01411737177213046,-0.2239863412422951,-0.004274612853889748,0.027439957022966643,26.14188516484132,2.3612856382868075,9.924955566404673,True,True
CADENCE M vs W,B136,M12_1,5,0.75,NORM,0.040781521759666095,0.08672967248266183,0.15581350058693166,0.03002742194193231,0.018863406949700234,-9.32394605126694,0.4356202457651548,0.5297858207890875,True,False
CADENCE D vs W,B136,M12_1,5,0.75,NORM,0.20414206876289764,0.09850015506786347,-0.059797864503791875,0.023855091788484106,0.051572923635267554,21.56895766731346,2.305572014300326,1.0725050495834272,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,0.75,NORM,-0.09525657671910359,-0.15171772880692858,-0.23629328868563237,-0.05438097685328769,-0.047576446955883034,7.256052610420831,1.1904993091837108,0.37214604075490576,False,False
SCALER (VS vs plain),B136,M12_1_VS,5,0.75,NORM,-0.0171114237368859,-0.039100201966934645,-0.07210481194712914,-0.026251272210913834,-0.023443480343582124,2.68312511289297,1.162409937109204,0.562369939895546,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,0.75,NORM,0.0965854367790977,0.08782355041761014,0.07454331101637202,0.004590925375242971,0.00616762940171367,1.2327409990293852,1.1712913603990798,0.09976693403789616,False,False
CADENCE M vs W,B136,M12_1_VS,5,1.0,LIT,0.15602291156556292,0.2150576592451391,0.30365432546692306,0.08549971581452431,0.06834079495862744,-14.337267673743762,0.4387540819982621,0.27450660388841985,False,False
CADENCE D vs W,B136,M12_1_VS,5,1.0,LIT,0.12039333719669032,-0.019787688470599196,-0.2297586401299816,-0.0077753724347504605,0.03689963632294635,34.85225360039134,2.364324466244223,7.084254731196739,True,True
CADENCE M vs W,B136,M12_1,5,1.0,LIT,0.04480609373584188,0.09059356493525961,0.15943360525576855,0.04316277570772886,0.0275377616846042,-12.396188798875492,0.4357474770365192,0.5054163751270698,True,False
CADENCE D vs W,B136,M12_1,5,1.0,LIT,0.19813295319316127,0.09248277649113446,-0.06582865518896774,0.03139180476161285,0.07108591213799076,28.737685543124613,2.3080884645214637,1.1423767831208507,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,1.0,LIT,-0.09542406198667908,-0.15193022154570734,-0.23657483814626912,-0.0744661965748612,-0.06569297271195729,9.690775173619137,1.1911135127601793,0.3719217874109972,False,False
SCALER (VS vs plain),B136,M12_1_VS,5,1.0,LIT,-0.01768444599020813,-0.03965975658397369,-0.07264485320525527,-0.03529901937849789,-0.03150669689691288,3.576207116352407,1.1627826036519264,0.5540959523348581,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,1.0,LIT,0.0935323718395129,0.08480433772590579,0.07157586700589924,0.007037920728297564,0.009296336377110359,1.6351282414841375,1.1708056631756312,0.10291966599417124,False,False
CADENCE M vs W,B136,M12_1_VS,5,1.0,NORM,0.1569155465381098,0.2161145946802464,0.3049596149553754,0.08582484867664975,0.06862037937197907,-14.379757547913043,0.43802551138156437,0.27392434198960464,False,False
CADENCE D vs W,B136,M12_1_VS,5,1.0,NORM,0.12324220530246865,-0.01694121800450521,-0.22691777178393324,-0.006869559839139505,0.037861436617106836,34.86002243568761,2.3623625583566206,8.274695672394666,True,True
CADENCE M vs W,B136,M12_1,5,1.0,NORM,0.04562018935855705,0.0915589005708548,0.16062769299203394,0.04349715251804276,0.02782426230042634,-12.43867867304477,0.4349063404731008,0.5017394368638919,True,False
CADENCE D vs W,B136,M12_1,5,1.0,NORM,0.20073579668153263,0.09507634178249713,-0.06325000469067432,0.032341908899013116,0.07208882572668385,28.74545437842088,2.3059163626974835,1.1113117408403133,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,1.0,NORM,-0.09525657671910381,-0.15176891617048816,-0.23642382205070112,-0.07450124416846204,-0.06572716980401938,9.690775173619144,1.190924276061806,0.37235779814031056,False,False
SCALER (VS vs plain),B136,M12_1_VS,5,1.0,NORM,-0.01776298534003984,-0.039751356383485814,-0.0727560549574422,-0.03528977543030942,-0.03149978069444237,3.5762071163524105,1.1624683794577872,0.5531476921522296,True,False
SCALER (VS vs plain),B136,M12_1_VS,5,1.0,NORM,0.0935323718395129,0.08480433772590579,0.07157586700589924,0.007037920728297564,0.009296336377110359,1.6351282414841375,1.1708056631756312,0.10291966599417124,False,False
CADENCE M vs W,B136,M12_1_VS,10,0.75,LIT,-0.06677858523353897,-0.005824167148006376,0.08566856135737633,0.0069375727937097675,-0.00421632605129818,-9.466539453586035,0.4381964776650956,10.465774167624534,True,False
CADENCE D vs W,B136,M12_1_VS,10,0.75,LIT,0.08591635136152309,-0.04969088201479499,-0.2527991401900015,-0.011266938725773112,0.013956847691968921,21.353438046459907,2.2672462590241405,2.7290164287271517,True,True
CADENCE M vs W,B136,M12_1,10,0.75,LIT,-0.06625052722805846,-0.017534794405223098,0.05563241531863883,0.0029251524677709195,-0.006936697474869025,-8.227361939916022,0.4362731544969663,2.7782323360645957,True,False
CADENCE D vs W,B136,M12_1,10,0.75,LIT,0.014257570003342268,-0.09874522952546416,-0.2681197474829693,-0.023284889033491574,-0.0010501221906238367,18.9104792747015,2.295718470431943,1.1443874308851099,True,True
SCALER (VS vs plain),B136,M12_1_VS,10,0.75,LIT,0.05732359319699332,0.014359177552103142,-0.049986867054012785,-0.007609788438184495,-0.002226270333127056,4.698636380637133,1.1402365833767962,2.992122319609964,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,0.75,LIT,-0.014335188161187506,-0.03469516995856603,-0.06530747434698059,-0.019627738745902956,-0.017233240215719814,2.2556776088787274,1.154555741221956,0.5868246739155046,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,0.75,LIT,-0.01486324616666801,-0.02298454270134931,-0.03527132830824309,-0.015615318419964108,-0.01451286879214897,1.0165000952087144,1.1596456345218298,0.353337311958116,False,False
CADENCE M vs W,B136,M12_1_VS,10,0.75,NORM,-0.06026320970962806,0.0010957990364044434,0.09317607903775604,0.008184179063693175,-0.0030438737486688794,-9.539460477709643,0.4384806838445761,55.994764283937364,True,True
CADENCE D vs W,B136,M12_1_VS,10,0.75,NORM,0.09271803754118446,-0.04320929644520022,-0.24680580812601327,-0.00998211189385767,0.015410728926537054,21.46042909111311,2.263220859900981,3.1457891048694404,True,True
CADENCE M vs W,B136,M12_1,10,0.75,NORM,-0.06018978013704124,-0.011079515466296597,0.0626662661712285,0.004189638666724171,-0.005749164420519204,-8.29998282598821,0.4366278351635493,4.432528193144901,True,False
CADENCE D vs W,B136,M12_1,10,0.75,NORM,0.0207684749587842,-0.09260798654299662,-0.2625478435575832,-0.02198706602380307,0.0004105297409162656,19.017770457406122,2.2908559857984945,1.2242622449106124,True,True
SCALER (VS vs plain),B136,M12_1_VS,10,0.75,NORM,0.05732725161293306,0.01439269900866147,-0.049906098380750774,-0.00761507204587053,-0.0022283625775298965,4.698636380637133,1.139216990283386,2.983078613568848,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,0.75,NORM,-0.0146223109694672,-0.035005991089134936,-0.06564813381232071,-0.01962002617581593,-0.017228561763150685,2.2559777469301476,1.153127433364246,0.5822911874646042,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,0.75,NORM,-0.014695740542054025,-0.022830676586433896,-0.03513832094579317,-0.015625485778846926,-0.01452327109130036,1.0165000952087153,1.1580207783869345,0.35631603003888596,False,False
CADENCE M vs W,B136,M12_1_VS,10,1.0,LIT,-0.06338252435729119,-0.0023056532233822757,0.08937347343740731,0.01077314967500631,-0.004855166933579014,-12.632047781944431,0.43748966629253705,26.490050851754827,True,False
CADENCE D vs W,B136,M12_1_VS,10,1.0,LIT,0.08417593871471052,-0.05158376195193215,-0.2549213092396455,-0.016253965649535296,0.01910023697201968,28.481424422501657,2.268289657617111,2.6318301637858266,True,True
CADENCE M vs W,B136,M12_1,10,1.0,LIT,-0.0627541430865417,-0.013995176263949638,0.05923786068086889,0.005254798550133444,-0.008625711639357547,-10.973128471054753,0.43562155826739596,3.4839837600467343,True,False
CADENCE D vs W,B136,M12_1,10,1.0,LIT,0.01197570522813951,-0.10111666792285823,-0.27062755295864294,-0.033254079134584336,-0.002179020044620561,25.21196204919021,2.296721157678727,1.1184345318545876,True,True
SCALER (VS vs plain),B136,M12_1_VS,10,1.0,LIT,0.057323593196993095,0.01427716063841078,-0.050190934617041605,-0.009656807789439892,-0.0021226018385063217,6.283168191025467,1.1407052707987888,3.015055559630791,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,1.0,LIT,-0.014876640289577914,-0.0352557453325153,-0.06589717833603903,-0.02665692127448893,-0.023401858855146562,3.013705817714019,1.1550032516003552,0.5780364264244432,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,1.0,LIT,-0.015505021560327403,-0.023566222291947936,-0.03576156557950061,-0.021138570149616065,-0.01963131414936803,1.3547865068243414,1.1599563371454336,0.3420658870036573,False,False
CADENCE M vs W,B136,M12_1_VS,10,1.0,NORM,-0.0568585898624816,0.004616771572414358,0.09687426479785277,0.012528964146918398,-0.003195774899091175,-12.727958573321333,0.4377729038362711,13.315660190384337,True,True
CADENCE D vs W,B136,M12_1_VS,10,1.0,NORM,0.09097382645200858,-0.045107666943403846,-0.24893546650484233,-0.014471927174797283,0.021138134426600397,28.62410224522358,2.264401183655505,3.0168151584109317,True,True
CADENCE M vs W,B136,M12_1,10,1.0,NORM,-0.056685140529398215,-0.007536644139409132,0.06626743089633613,0.007043504785033239,-0.006938847094349887,-11.068782476497367,0.4359713118964917,6.521270671782347,True,False
CADENCE D vs W,B136,M12_1,10,1.0,NORM,0.0184824456085384,-0.09498452966468851,-0.2650617823178618,-0.03144869049048804,-0.00012972274477851542,25.354896657846414,2.292002000155897,1.1945837461509212,True,True
SCALER (VS vs plain),B136,M12_1_VS,10,1.0,NORM,0.05732725161293262,0.014311507127585,-0.05010796301099951,-0.00966556206792224,-0.00212521546755684,6.283168191025474,1.139689908928542,3.0056753703064625,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,1.0,NORM,-0.01516412923053756,-0.035565355593699666,-0.066234278824019,-0.026642325383612997,-0.023393072638935752,3.0139626036483094,1.153581604565666,0.5736263850761595,True,False
SCALER (VS vs plain),B136,M12_1_VS,10,1.0,NORM,-0.015337578563620946,-0.023411939881876176,-0.03562744492250236,-0.021156866021727838,-0.01965000044367704,1.3547865068243432,1.1583486230917763,0.3448821993817699,False,False
CADENCE M vs W,SMALL439,M12_1_VS,5,0.75,LIT,-0.04878977513192673,0.013586001348403265,0.10698411307876565,0.0034532386433305806,-0.01366900577309238,-15.64652857023716,0.42509818068995525,4.591179912378037,True,True
CADENCE D vs W,SMALL439,M12_1_VS,5,0.75,LIT,-0.05216307201749293,-0.18726597237622675,-0.38976472220593766,-0.049402915054623575,-0.01480099656903655,33.58722197745291,2.2340983454399126,0.7214492768996243,True,False
CADENCE M vs W,SMALL439,M12_1,5,0.75,LIT,-0.05307538056286942,0.006690199801995367,0.09619734569100166,0.0019514098539383795,-0.014993174429691614,-15.547213777464387,0.4165003226692736,8.933302761307603,True,True
CADENCE D vs W,SMALL439,M12_1,5,0.75,LIT,-0.0012215532860376799,-0.1331528369472081,-0.33084178512047724,-0.03662702967223175,-0.00175384538973411,33.250446169093735,2.2479165005688313,0.9908259312077444,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,0.75,LIT,-0.02186424485729266,-0.03155594259147851,-0.04617078590619786,-0.008170929601054144,-0.007693763035298451,0.9080085260833073,1.0151599511290637,0.3071274992369594,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,0.75,LIT,0.02907727387416259,0.022557192837540152,0.012752151179262566,0.004604955781337683,0.00535338814400399,0.5712327177241292,1.021438832143411,0.2890466505996962,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,0.75,LIT,0.033362879305105286,0.02945299438394805,0.023538918567026557,0.006106784570729884,0.006677556800603224,0.47191792495135587,1.0425244966137202,0.1327499971713617,False,False
CADENCE M vs W,SMALL439,M12_1_VS,5,0.75,NORM,-0.051164282896278,0.011317561065648352,0.1048765032919603,0.00284142128877396,-0.014333745062544478,-15.675326174227516,0.426268266953807,5.52078699637632,True,True
CADENCE D vs W,SMALL439,M12_1_VS,5,0.75,NORM,-0.07262188598602043,-0.2078065420399833,-0.41040583912527384,-0.05473988110792982,-0.020216271503917804,33.794860468377564,2.2369237902337966,0.6505312812911948,True,False
CADENCE M vs W,SMALL439,M12_1,5,0.75,NORM,-0.05536445847932514,0.00450609112520628,0.09417217617603457,0.0013418373519133997,-0.01565515218864144,-15.576011381454745,0.41772936766416324,13.28658208211239,True,True
CADENCE D vs W,SMALL439,M12_1,5,0.75,NORM,-0.02024245403924313,-0.15235953757189472,-0.35030843644652165,-0.041773275524925824,-0.0069397110500812875,33.47582247775531,2.2514107652291866,0.8671402239607664,True,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,0.75,NORM,-0.02315522952465504,-0.03275946265961038,-0.047239909787560416,-0.008357855893841082,-0.00791819510078895,0.8902707083463852,1.0147820945785682,0.293174318356465,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,0.75,NORM,0.02922420242212226,0.022687541808478207,0.012857492891191757,0.0046087496891629165,0.005358365353047567,0.5712327177241292,1.0213541212582937,0.28811674128579845,False,False
SCALER (VS vs plain),SMALL439,M12_1_VS,5,0.75,NORM,0.0334243780051694,0.02949901174892028,0.023561820007117484,0.006108333626023477,0.00667977247914453,0.47191792495135765,1.042231848934598,0.13306772069721268,False,False
