panel,kind,estimator,S,bias,bias_net,sd,mc_se,prefix_bias
B136,RAND,trimmed10,5,-0.0004620963629166641,-0.00011620532435918651,0.03560519887510988,0.0007961564503714473,-0.01186574519430226
B136,RAND,trimmed10,10,0.00012454886767328718,-7.273627560142974e-05,0.02572877445265075,0.0005753128865388701,-0.005227265827892773
B136,RAND,trimmed10,20,-0.0002938955861496728,-0.00010988152727325895,0.017668235980431515,0.0003950737669475251,-0.008440857705105276
B136,RAND,trimmed10,50,-3.415564433713788e-05,-4.185529268350511e-05,0.010187359209335495,0.00022779627703282677,-0.005597185268620001
B136,RAND,trimmed10,100,-0.00015308741152595765,-1.5429294520086234e-05,0.005875000817748468,0.00013136901196352427,-0.002218553434731966
B136,RAND,trimmed10,200,0.0,0.0,0.0,0.0,0.0
SMALL,BLOCK,mean,5,-0.00013125882382042375,0.0,0.07749389558140503,0.0017328161836129225,-0.04441094810354743
SMALL,BLOCK,mean,10,-0.0006277984887471296,0.0,0.054508556149515684,0.0012188483690568125,-0.03964064225022119
SMALL,BLOCK,mean,20,-0.00019126692420656788,0.0,0.03782286155418519,0.0008457448953872143,-0.009770836071120559
SMALL,BLOCK,mean,50,0.00016431228698264114,0.0,0.02183941427036933,0.000488344148973248,0.005871227812357309
SMALL,BLOCK,mean,100,-1.3924521248579827e-05,0.0,0.01275854029297875,0.0002852896338877056,9.435248895931873e-05
SMALL,BLOCK,mean,200,0.0,0.0,0.0,0.0,0.0
SMALL,BLOCK,median,5,8.410413458849926e-05,0.00021536295840892303,0.09070487946098042,0.0020282227636567673,-0.04903053709989021
SMALL,BLOCK,median,10,9.479655388472397e-05,0.0007225950426318536,0.06141689470480014,0.0013733235152688,-0.05031842571793408
SMALL,BLOCK,median,20,-0.00039809687732050847,-0.0002068299531139406,0.04281018577133521,0.0009572648551409978,-0.012734757899132254
SMALL,BLOCK,median,50,-0.0006669712959637697,-0.0008312835829464108,0.024785002127878448,0.0005542094958041315,-0.007002392000065712
SMALL,BLOCK,median,100,-0.0006028546426347278,-0.0005889301213861479,0.01415323472217749,0.00031647594940299213,-0.0023100646527858073
SMALL,BLOCK,median,200,0.0,0.0,0.0,0.0,0.0
SMALL,BLOCK,trimmed10,5,0.002094122945981769,0.0022253817698021927,0.07749389558140503,0.0017328161836129225,-0.04218556633374524
SMALL,BLOCK,trimmed10,10,0.0001684857358173845,0.0007962842245645141,0.055789875432644805,0.0012474995392363927,-0.04297206792102635
SMALL,BLOCK,trimmed10,20,0.0001226436548634561,0.000313910579070024,0.03860491856901203,0.0008632322218615479,-0.009154933795362585
SMALL,BLOCK,trimmed10,50,0.0001773524958022151,1.3040208819573943e-05,0.02229971999243244,0.0004986368978229003,0.004793889500547007
SMALL,BLOCK,trimmed10,100,-3.0933370117706506e-05,-1.700884886912668e-05,0.013088645977794848,0.0002926710213977848,0.0004026407217730954
SMALL,BLOCK,trimmed10,200,0.0,0.0,0.0,0.0,0.0
SMALL,RAND,mean,5,-5.103394064614094e-05,0.0,0.04764827846373094,0.0010654478965574164,-0.006273749887658747
SMALL,RAND,mean,10,0.00027678731945619356,0.0,0.032845536423510895,0.0007344485220041569,-0.004600187260349368
SMALL,RAND,mean,20,-0.0002672758151949968,0.0,0.022839523429008798,0.0005107072696096276,-0.004466619319269015
SMALL,RAND,mean,50,0.00017597736739951206,0.0,0.013205005198930121,0.0002952728926804588,0.0010486614812494632
SMALL,RAND,mean,100,0.00011391222373583847,0.0,0.007433936471784399,0.00016622787291324865,0.0015668232868349026
SMALL,RAND,mean,200,0.0,0.0,0.0,0.0,0.0
SMALL,RAND,median,5,-0.0039779301141955785,-0.003926896173549438,0.058064085066049494,0.0012983524125901704,-0.007674313824729162
SMALL,RAND,median,10,-0.0033219466834748523,-0.0035987340029310457,0.03974177567595987,0.0008886531195799393,-0.012784610135811447
SMALL,RAND,median,20,-0.003306858628143496,-0.003039582812948499,0.029061583435544377,0.000649836760956591,-0.011701734451295834
SMALL,RAND,median,50,-0.002018396098012243,-0.002194373465411755,0.01756792287709518,0.00039283069776658506,-0.0029267689426157504
SMALL,RAND,median,100,-0.001985014705849062,-0.002098926929584901,0.01027035269157237,0.00022965206771253748,-0.00041988376540474937
SMALL,RAND,median,200,0.0,0.0,0.0,0.0,0.0
SMALL,RAND,trimmed10,5,-0.001344532119649457,-0.0012934981790033162,0.04764827846373094,0.0010654478965574164,-0.007567248066662063
SMALL,RAND,trimmed10,10,-2.0034490555514983e-05,-0.00029682181001170854,0.03389760247626765,0.0007579734341119967,-0.006421667723749386
SMALL,RAND,trimmed10,20,-0.0004266443665097708,-0.00015936855131477393,0.02361299546199371,0.0005280026300541198,-0.006393769755592489
SMALL,RAND,trimmed10,50,0.00012578976775437511,-5.0187599645136936e-05,0.013614253529602426,0.00030442396355107466,0.0015513130738455394
SMALL,RAND,trimmed10,100,6.485868319917414e-05,-4.905354053666433e-05,0.007719628145651566,0.00017261613294697548,0.0014321226153746296
SMALL,RAND,trimmed10,200,0.0,0.0,0.0,0.0,0.0
U56,BLOCK,mean,5,-0.00014154536017629837,0.0,0.04373904445986431,0.0009780347668314215,0.029406337649061864
U56,BLOCK,mean,10,3.514224226330853e-05,0.0,0.03024547810431062,0.0006763094505322001,0.021504206358287425
U56,BLOCK,mean,20,-0.00011294991233693856,0.0,0.0206749005978317,0.00046230483164802716,0.005601640241293763
U56,BLOCK,mean,50,2.4270805514592375e-05,0.0,0.012097704843991988,0.00027051290402894577,0.00984158822472673
U56,BLOCK,mean,100,-0.00010824752527434829,0.0,0.006844521203431733,0.00015304814684312024,0.001952008403953968
U56,BLOCK,mean,200,0.0,0.0,0.0,0.0,0.0
U56,BLOCK,median,5,0.001480768316742857,0.0016223136769191553,0.05187252105755678,0.0011599048324898622,0.03970935164377961
U56,BLOCK,median,10,0.0013630504715199665,0.001327908229256658,0.0356030310281144,0.0007961079758389803,0.03786647215830478
U56,BLOCK,median,20,0.0007479892270840782,0.0008609391394210167,0.025330981259552746,0.0005664179603313318,0.012364417588052956
U56,BLOCK,median,50,0.00022054905263402258,0.0001962782471194302,0.015187236409617054,0.0003395969300226357,0.011357134711236117
U56,BLOCK,median,100,-0.00016879177896345077,-6.054425368910247e-05,0.00851872026218912,0.00019048437587559702,0.0028942871484832025
U56,BLOCK,median,200,0.0,0.0,0.0,0.0,0.0
U56,BLOCK,trimmed10,5,-0.0004399546415182476,-0.0002984092813419492,0.04373904445986431,0.0009780347668314215,0.029107928367719988
U56,BLOCK,trimmed10,10,-0.00024273341508862512,-0.00027787565735193365,0.030851939033196746,0.0006898703291590706,0.02289363809947531
U56,BLOCK,trimmed10,20,-0.0004046900186545077,-0.00029174010631756914,0.02105497445520374,0.0004708035414635716,0.0030223151257507963
U56,BLOCK,trimmed10,50,-0.00011142461423052641,-0.00013569541974511878,0.012349345587308628,0.0002761397621085916,0.00987223748681513
U56,BLOCK,trimmed10,100,-0.00017134548347671105,-6.309795820236275e-05,0.006990976387998706,0.00015632298432661053,0.0018805224472995263
U56,BLOCK,trimmed10,200,0.0,0.0,0.0,0.0,0.0
U56,RAND,mean,5,-0.00032169705108198166,0.0,0.03317344822156123,0.0007417808527148042,0.0014351879325319266
U56,RAND,mean,10,-0.00027349858536409216,0.0,0.023240434790280932,0.0005196719201771923,-0.012815047170821473
U56,RAND,mean,20,1.864179617472317e-05,0.0,0.01580823785025975,0.00035348294437665935,-0.007557849191161796
U56,RAND,mean,50,0.00011046401521902505,0.0,0.00926416899135074,0.00020715311619705918,-0.0047697451368424
U56,RAND,mean,100,-3.130806270405332e-05,0.0,0.005358630751610787,0.00011982262626922508,0.0014813664041592456
U56,RAND,mean,200,0.0,0.0,0.0,0.0,0.0
U56,RAND,median,5,0.0034949589232460645,0.003816655974328046,0.03977317582605031,0.0008893552482809984,0.0023031792284445665
U56,RAND,median,10,0.0030396369511296504,0.0033131355364937423,0.02748599942678002,0.0006146056314780037,-0.007302654148498548
U56,RAND,median,20,0.002692674343422611,0.002674032547247888,0.01983552574283138,0.0004435358393041797,-0.002676217582395002
U56,RAND,median,50,0.0017970661811442061,0.001686602165925181,0.0123097299141448,0.0002752539287269042,0.003482900143106963
U56,RAND,median,100,0.0012593224151002576,0.001290630477804311,0.007340926719350881,0.0001641481116231309,0.008546653352634456
U56,RAND,median,200,0.0,0.0,0.0,0.0,0.0
U56,RAND,trimmed10,5,-0.00025130931642525223,7.038773465672943e-05,0.03317344822156123,0.0007417808527148042,0.00150557566718873
U56,RAND,trimmed10,10,-0.0003508746863026639,-7.737610093857168e-05,0.023548523687594622,0.0005265609973522559,-0.011483844318533776
U56,RAND,trimmed10,20,5.7032753456383776e-05,3.839095728166061e-05,0.01599045773846158,0.0003575575049453764,-0.004132827748888697
U56,RAND,trimmed10,50,0.00010002787958599917,-1.0436135633025886e-05,0.009391152063153043,0.00020999254400247606,-0.003182897296483319
U56,RAND,trimmed10,100,2.211957567577194e-05,5.342763837982526e-05,0.005431213682368236,0.0001214456299410233,0.0023202513623222045
U56,RAND,trimmed10,200,0.0,0.0,0.0,0.0,0.0
