panel,eps,conv,n_tied,pick_N,pick_cad,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,full_Sharpe,full_CAGR,full_MaxDD,H1,H2,keep4a,keep4b,oos4b,strict4b
B136,1e-06,O_HOLD,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
B136,0.001,O_1199,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,0.001,O_BUILD,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,0.001,O_IDXMAX,11,5,M,1.3900936007900597,0.9502370615793503,0.2340512094879741,-0.3135347183736189,1.1050786375736859,0.2537582307151558,-0.313534718373619,1.420986052268131,0.9037551547336362,False,False,False,False
B136,0.001,O_LAST,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
B136,0.001,O_HOLD,11,40,W,1.067697766716819,1.0418341317866782,0.13473089257094228,-0.19866567328286044,1.0523328994805778,0.13199425652872843,-0.19866567328286078,1.1770369238128027,0.9462149839527594,False,True,True,True
SMALL,0.0,O_1199,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,0.0,O_BUILD,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,0.0,O_IDXMAX,3,15,W,0.7634155918866395,0.780260146300828,0.17618992900361974,-0.31953622768054923,0.7644330954487942,0.15571342324463755,-0.31953622768054923,0.952934941350825,0.6696240009911033,False,False,False,False
SMALL,0.0,O_LAST,3,30,W,0.6739599269946707,0.6297017409074044,0.1141315899884483,-0.29658140452419324,0.635944363090257,0.10588790645226331,-0.29658140452419324,0.8350103539830636,0.5267003679249539,False,False,False,False
