panel,tau,mode,bps,kind,on_share,d_real,null_max_abs,null_mean,clears_two,clears_signed,clears_signed_IS,gap,overlap,pass4a,pass4b
SMALL439,0.05,half,10,RS2,0.9367816091954023,0.04523263639926117,0.06716429181768774,0.04485499534791996,False,False,False,0.031180492261332234,0.9407361963190184,False,False
SMALL439,0.05,half,10,RS4,0.9367816091954023,0.04523263639926117,0.05852962481513363,0.04636482146107298,False,False,False,0.023550810619696133,0.9485276073619632,False,False
SMALL439,0.05,half,10,RS8,0.9367816091954023,0.04523263639926117,0.050684945451128505,0.043584634355457764,False,False,False,0.013149319527195849,0.9666257668711656,False,False
SMALL439,0.05,half,25,ROT,0.9367816091954023,0.10617099173608979,0.12224608838769357,0.10125392766179234,False,False,False,0.035091361920885016,0.9336809815950919,False,False
SMALL439,0.05,half,25,RS1,0.9367816091954023,0.10617099173608979,0.1288295839192301,0.10327962793982262,False,False,False,0.04130129529886599,0.9366871165644172,False,False
SMALL439,0.05,half,25,RS16,0.9367816091954023,0.10617099173608979,0.10617099173608979,0.10617099173608979,False,False,False,0.0,1.0,False,False
SMALL439,0.05,half,25,RS2,0.9367816091954023,0.10617099173608979,0.12419515190755703,0.10229267918082874,False,False,False,0.031180492261332234,0.9407361963190184,False,False
SMALL439,0.05,half,25,RS4,0.9367816091954023,0.10617099173608979,0.11673869474349269,0.10469261493764655,False,False,False,0.023550810619696133,0.9485276073619632,False,False
SMALL439,0.05,half,25,RS8,0.9367816091954023,0.10617099173608979,0.11014362913318715,0.103021358488173,False,False,False,0.013149319527195849,0.9666257668711656,False,False
SMALL439,0.05,skip,10,ROT,0.9367816091954023,-0.46383905998962277,0.3938166620971837,-0.1717114967045124,True,True,False,298.7860501098346,0.9336809815950919,False,False
SMALL439,0.05,skip,10,RS1,0.9367816091954023,-0.46383905998962277,0.22378509989875645,0.03289755359467823,True,True,False,700.3421289026428,0.9367484662576688,False,False
