tag,k,n_elig,breadth,disp,corr,evol,days,panel,source,kind,seed,k_frac,n_elig_grid
IS,241,74.0,0.29044313224811147,0.15013281324505856,0.15388101101242685,0.31596057154185886,312,SMALL439~0.55~s0,SMALL439,SUB,0,0.55,78.0
FULL,241,80.0,0.3232045180982951,0.16731569915260477,0.18187840133287891,0.34054865829442493,817,SMALL439~0.55~s1,SMALL439,SUB,1,0.55,80.0
IS,241,76.0,0.3050058516863496,0.1495831090834156,0.1752013602959054,0.3144144752958024,312,SMALL439~0.55~s1,SMALL439,SUB,1,0.55,80.0
FULL,307,104.0,0.32574087290037834,0.16617739552813998,0.17495299392945096,0.3376536809033556,817,SMALL439~0.70~s0,SMALL439,SUB,0,0.7,104.0
IS,307,99.5,0.3092061304602022,0.1526182842837167,0.16841775918092503,0.3187464359905613,312,SMALL439~0.70~s0,SMALL439,SUB,0,0.7,104.0
FULL,307,102.0,0.31742411858750735,0.16444531921031538,0.17701730926083187,0.3393538770589625,817,SMALL439~0.70~s1,SMALL439,SUB,1,0.7,102.0
IS,307,95.0,0.2963960577967093,0.1471246630973615,0.1734790593212999,0.3170156333712717,312,SMALL439~0.70~s1,SMALL439,SUB,1,0.7,102.0
FULL,373,124.0,0.32094138957344104,0.16701055985768576,0.1739214324614153,0.33949587788114916,817,SMALL439~0.85~s0,SMALL439,SUB,0,0.85,124.0
IS,373,115.0,0.2996408194129374,0.14865442933620526,0.16610253328354163,0.31932766908385257,312,SMALL439~0.85~s0,SMALL439,SUB,0,0.85,124.0
FULL,373,124.0,0.31892328239390166,0.16776659043391398,0.17636467404832712,0.3402536679447279,817,SMALL439~0.85~s1,SMALL439,SUB,1,0.85,124.0
IS,373,115.0,0.2977589881075136,0.15078851231775245,0.17201742956413002,0.3200352431902271,312,SMALL439~0.85~s1,SMALL439,SUB,1,0.85,124.0
FULL,14,10.0,0.6583682332868,0.055046246024424844,0.43634490481430854,0.1733853562687159,921,ETF36~0.40~s0,ETF36,SUB,0,0.4,10.0
IS,14,10.0,0.6229395604395604,0.04830331402576338,0.43005448537346963,0.17157738866857505,416,ETF36~0.40~s0,ETF36,SUB,0,0.4,10.0
FULL,14,11.0,0.6927252985884907,0.04121870748059312,0.6235839663773783,0.167852825645665,921,ETF36~0.40~s1,ETF36,SUB,1,0.4,11.0
IS,14,11.0,0.6727335164835164,0.03586190382009642,0.6691082700259473,0.16646689956484634,416,ETF36~0.40~s1,ETF36,SUB,1,0.4,11.0
FULL,20,15.0,0.6662323561346363,0.05615595351104176,0.22515779167492359,0.13533680991770503,921,ETF36~0.55~s0,ETF36,SUB,0,0.55,15.0
IS,20,14.5,0.6580528846153846,0.051904691605679294,0.18244000607990335,0.13005266982228966,416,ETF36~0.55~s0,ETF36,SUB,0,0.55,15.0
FULL,20,15.0,0.6924538545059717,0.053294885596084994,0.331775177694614,0.1421112504040971,921,ETF36~0.55~s1,ETF36,SUB,1,0.55,15.0
IS,20,15.0,0.6693509615384616,0.0523794759751734,0.29782265319517454,0.14153097927182542,416,ETF36~0.55~s1,ETF36,SUB,1,0.55,15.0
FULL,25,19.0,0.6845168295331162,0.061914540081820194,0.35839478405035335,0.1568447867629263,921,ETF36~0.70~s0,ETF36,SUB,0,0.7,19.0
IS,25,18.0,0.6541346153846154,0.0586346476996235,0.3254162711742797,0.15083785928625243,416,ETF36~0.70~s0,ETF36,SUB,0,0.7,19.0
FULL,25,18.0,0.6657980456026059,0.05815440008294477,0.30750572647534435,0.1488789677594419,921,ETF36~0.70~s1,ETF36,SUB,1,0.7,18.0
IS,25,18.0,0.6407692307692308,0.051585609147712444,0.277761407409423,0.14153588570896009,416,ETF36~0.70~s1,ETF36,SUB,1,0.7,18.0
FULL,31,24.0,0.6861405905222234,0.05993508531581473,0.4077383252389186,0.16459857521824434,921,ETF36~0.85~s0,ETF36,SUB,0,0.85,24.0
IS,31,22.0,0.6598945409429281,0.05583515889123759,0.3906771465636578,0.15820302559205918,416,ETF36~0.85~s0,ETF36,SUB,0,0.85,24.0
FULL,31,23.0,0.6745473013204442,0.06201016940795355,0.30619119184808097,0.15804274062394805,921,ETF36~0.85~s1,ETF36,SUB,1,0.85,23.0
IS,31,22.0,0.6657102977667494,0.055950512866875975,0.2896426607455258,0.15008008081244398,416,ETF36~0.85~s1,ETF36,SUB,1,0.85,23.0
