panel,c,G,gross_ratio,dSharpe_F,dSharpe_OOS,dCAGR_F,dCAGR_OOS,dMaxDD_F,turn_ratio,gross_move,restates
B136,0.1,0.75,0.712577625139644,-0.027473372465506962,-0.042503109370701564,-0.04361481554546409,-0.04849761142289277,0.05713191319292843,0.4722268843640215,0.28742237486035604,True
B136,0.1,1.0,0.7126462362506126,-0.027784394673381785,-0.042805573933984986,-0.058484490971025815,-0.06496817853951775,0.07205638854924745,0.4740519324211097,0.28735376374938737,True
SMALL,0.0,0.5,0.5393204515280025,0.024421738349684197,-0.026295657955516694,-0.02512015426521441,-0.03266817569217806,0.13821990124799977,0.369079921209895,0.46067954847199755,True
SMALL,0.0,0.75,0.5393648971790169,0.025310748884034506,-0.02457846127008745,-0.03602960353719431,-0.04687608642689245,0.1952435413612742,0.3725351597923712,0.4606351028209831,True
SMALL,0.0,1.0,0.5393971682173078,0.02620292073454633,-0.022835184374944806,-0.04565892899103208,-0.05939282923009981,0.24476524506245567,0.37633813779984226,0.46060283178269223,True
SMALL,0.03,0.5,0.5399256362614608,-0.008357882240398906,-0.06934473465677404,-0.03058524510475813,-0.037606355919751255,0.12663853605542497,0.37208804230787335,0.46007436373853916,True
SMALL,0.03,0.75,0.5399800987201366,-0.0074241926841420725,-0.06774791503111521,-0.04447966513307389,-0.05450406289440979,0.17959327495647015,0.376019903209041,0.46001990127986336,True
SMALL,0.03,1.0,0.5400225394369927,-0.006463732186071436,-0.06611229810392216,-0.05724477656059901,-0.06984610397735969,0.22602343515929824,0.38028407305272743,0.45997746056300726,True
SMALL,0.05,0.5,0.542159082847448,-0.03277720925892158,-0.09272918064428404,-0.03465147190706208,-0.041955151887453024,0.13074043144573422,0.38152033277876635,0.45784091715255204,True
SMALL,0.05,0.75,0.5422204414868264,-0.031572782919964015,-0.09084652783532776,-0.0507467224188165,-0.06118348951870023,0.18451031693836262,0.3856230920082936,0.45777955851317365,True
SMALL,0.05,1.0,0.5422694560474934,-0.030307288485337702,-0.08889523116556386,-0.06580007978175129,-0.07892526933225374,0.2311603075396128,0.3898919282580928,0.45773054395250656,True
SMALL,0.08,0.5,0.5491244957666344,-0.009424646127024872,-0.0605058306775218,-0.031828082830891,-0.036598520514262045,0.1482694949638499,0.39806862311854935,0.45087550423336564,True
SMALL,0.08,0.75,0.549181945399902,-0.008562603414139391,-0.05924427870524718,-0.046541569935790505,-0.053118641754960505,0.2072086659267972,0.4024038419831857,0.45081805460009805,True
SMALL,0.08,1.0,0.5492274511106124,-0.0075881762268934505,-0.05785481130607617,-0.060229225948987386,-0.06814059349314672,0.2570026661450888,0.40664096167744407,0.45077254888938756,True
SMALL,0.1,0.5,0.5546637583840356,-0.033632654211419255,-0.09463074457225673,-0.033703762818118266,-0.03989646942500569,0.1412062798797863,0.4100859973771386,0.4453362416159644,True
SMALL,0.1,0.75,0.5547313067014892,-0.03286257520059643,-0.09347434254302911,-0.04946821811930002,-0.05823691187754387,0.19735039815950772,0.4146553716438316,0.4452686932985108,True
SMALL,0.1,1.0,0.554786856305682,-0.03197682223229348,-0.09218655295982925,-0.06428018367681165,-0.07518492822591316,0.24458602648283156,0.4190066270519075,0.44521314369431797,True
U56,0.0,0.5,0.7094678009704528,0.08009198777363391,0.15062755484797163,-0.022232668641900766,-0.022026767145205017,0.04612179888316603,0.4097722445656077,0.2905321990295472,True
U56,0.0,0.75,0.7095261849493255,0.07995634046182709,0.15023721260672573,-0.03331015943240834,-0.03292095343657686,0.06635682320877934,0.4118275824041469,0.2904738150506745,True
U56,0.0,1.0,0.7095773795780793,0.07975614556819033,0.14977566128677222,-0.04428004887581438,-0.043635764215677275,0.08477860068300758,0.41478660846093407,0.2904226204219207,True
U56,0.03,0.5,0.710147342931972,0.04447148450223293,0.08193263890746061,-0.023712079386451368,-0.025485040259382474,0.0393252031879352,0.4099414319693947,0.289852657068028,True
U56,0.03,0.75,0.7102019489275324,0.044288538129188204,0.08158853772217167,-0.035729457563556055,-0.0384355962228391,0.05659791709365225,0.411431550219784,0.2897980510724676,True
U56,0.03,1.0,0.7102501067593335,0.044097698919924655,0.08123413083280884,-0.04777164888987406,-0.051425899068776815,0.07232944587614598,0.4140232200582959,0.28974989324066647,True
U56,0.05,0.5,0.6856515400184146,-0.005677274875634186,0.016087152523291515,-0.029009599610278602,-0.03192778882903502,0.04115300135092537,0.40495469673659124,0.31434845998158545,True
U56,0.05,0.75,0.6857205586559226,-0.005800095558771368,0.015718022014120425,-0.04378002937739822,-0.048283577124923704,0.05906138751404577,0.4055888542149776,0.31427944134407737,True
U56,0.05,1.0,0.6857823254251225,-0.005907044203002254,0.015367067205564355,-0.058625340018523486,-0.06478049208897074,0.07525708360641281,0.407231776950719,0.3142176745748775,True
