sel,panel,cost,gross_mode,ctl_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v1_OOS_Sharpe,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,pick,pick_book,n_admitted,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_ctl,beat_spy,beat_v2,oos_rank
S6,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP5/band3-rw,TOP5,8,0.20068936169969498,0.9308799585547796,-0.2847131759570155,False,True,False,90.0
S7,u56,25.0,native,1.1250416500196643,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S0,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/band3-rw,TOP5,136,0.16398305822204295,1.0316285245224999,-0.20996233024748068,False,True,False,91.0
S1,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/stop15,TOP5,1,0.1533799461526153,0.9959961805911813,-0.23719941689023216,False,True,False,107.0
S3,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP20/ebud-0.20,TOP20,54,0.11748906555300587,1.1670198154930764,-0.16147212459260873,True,True,False,53.0
S5,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,SLV25/abs12-rw,SLV25,2,0.07086863114634179,1.110867351596275,-0.11111562049600032,False,True,False,78.0
S6,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/band3-rw,TOP5,7,0.16398305822204295,1.0316285245224999,-0.20996233024748068,False,True,False,91.0
S7,u56,10.0,m53,1.1358638696883425,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,(none),(none),0,,,,,,,
S0,u56,25.0,m53,1.1247849824766045,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP5/abs12-dg,TOP5,136,0.15254686899246606,0.9506551633700242,-0.21490341452756412,False,True,False,84.0
S1,u56,25.0,m53,1.1247849824766045,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S3,u56,25.0,m53,1.1247849824766045,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP40/ebud-0.10,TOP40,26,0.0949065953890098,1.0929118330877228,-0.15712988775273007,False,True,False,46.0
S5,u56,25.0,m53,1.1247849824766045,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S6,u56,25.0,m53,1.1247849824766045,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP5/band3-rw,TOP5,6,0.14481160961466766,0.9275989605178455,-0.21010723886309524,False,True,False,93.0
S7,u56,25.0,m53,1.1247849824766045,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S0,u56,10.0,m75,1.135738247800798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/ddctl-8/.5/high,TOP5,136,0.21404763769176105,0.9834637731548878,-0.30031554737348776,False,True,False,108.0
S1,u56,10.0,m75,1.135738247800798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP20/control,TOP20,31,0.1670523213293693,1.1676824456017945,-0.22290244363575262,True,True,False,54.0
S3,u56,10.0,m75,1.135738247800798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,SLV50/ebud-0.10,SLV50,24,0.08947034339777238,1.315852394956949,-0.1305504740432034,True,True,True,10.0
S5,u56,10.0,m75,1.135738247800798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,SLV50/ebud-0.10,SLV50,2,0.08947034339777238,1.315852394956949,-0.1305504740432034,True,True,True,10.0
S6,u56,10.0,m75,1.135738247800798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,TOP5/ddctl-8/.5/high,TOP5,11,0.21404763769176105,0.9834637731548878,-0.30031554737348776,False,True,False,108.0
S7,u56,10.0,m75,1.135738247800798,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,1.285072363206482,0.09534722887472857,-0.12054942313126815,(none),(none),0,,,,,,,
S0,u56,25.0,m75,1.125041621951396,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP5/abs12-dg,TOP5,136,0.21400358210763604,0.9539126081133705,-0.29399460720368187,False,True,False,84.0
S1,u56,25.0,m75,1.125041621951396,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP40/ebud-0.10,TOP40,15,0.13486640610962608,1.0939556767808032,-0.21770198836413712,False,True,False,48.0
S3,u56,25.0,m75,1.125041621951396,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,SLV25/ebud-0.10,SLV25,12,0.10978497819495914,1.181291906852308,-0.17421638341303636,True,True,False,24.0
S5,u56,25.0,m75,1.125041621951396,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S6,u56,25.0,m75,1.125041621951396,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,TOP5/ddctl-8/.5/high,TOP5,9,0.1866734677438957,0.8749753977598214,-0.3040578333677547,False,False,False,106.0
S7,u56,25.0,m75,1.125041621951396,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,1.2482435320727505,0.0924133776660172,-0.12092631068492765,(none),(none),0,,,,,,,
S0,broad,10.0,native,1.1022031339130582,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,136,0.08942380103926051,1.310959595040559,-0.13552457308742205,True,True,True,3.0
S1,broad,10.0,native,1.1022031339130582,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV25/ebud-0.10,SLV25,35,0.11458047899729773,1.1941712101157063,-0.19501730913564497,True,True,True,24.0
S3,broad,10.0,native,1.1022031339130582,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,28,0.08942380103926051,1.310959595040559,-0.13552457308742205,True,True,True,3.0
S5,broad,10.0,native,1.1022031339130582,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,2,0.08942380103926051,1.310959595040559,-0.13552457308742205,True,True,True,3.0
S6,broad,10.0,native,1.1022031339130582,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,14,0.08942380103926051,1.310959595040559,-0.13552457308742205,True,True,True,3.0
S7,broad,10.0,native,1.1022031339130582,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,1,0.08942380103926051,1.310959595040559,-0.13552457308742205,True,True,True,3.0
S0,broad,25.0,native,1.0913501695849346,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV25/ebud-0.10,SLV25,136,0.11057833908994774,1.1559895495576566,-0.19544728889153273,True,True,True,11.0
S1,broad,25.0,native,1.0913501695849346,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV25/ebud-0.10,SLV25,6,0.11057833908994774,1.1559895495576566,-0.19544728889153273,True,True,True,11.0
S3,broad,25.0,native,1.0913501695849346,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,13,0.08319985689927045,1.2249409268349118,-0.13609945791361955,True,True,True,3.0
S5,broad,25.0,native,1.0913501695849346,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,1,0.08319985689927045,1.2249409268349118,-0.13609945791361955,True,True,True,3.0
S6,broad,25.0,native,1.0913501695849346,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,14,0.08319985689927045,1.2249409268349118,-0.13609945791361955,True,True,True,3.0
S7,broad,25.0,native,1.0913501695849346,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,(none),(none),0,,,,,,,
S0,broad,10.0,m53,1.103318026792612,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,136,0.0631085378960956,1.3081496596839457,-0.09760134443771873,True,True,True,3.0
S1,broad,10.0,m53,1.103318026792612,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,TOP10/ebud-0.10,TOP10,16,0.12318480619566397,0.8146870803589675,-0.22023156172343428,False,False,False,108.0
S3,broad,10.0,m53,1.103318026792612,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,67,0.0631085378960956,1.3081496596839457,-0.09760134443771873,True,True,True,3.0
S5,broad,10.0,m53,1.103318026792612,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,10,0.0631085378960956,1.3081496596839457,-0.09760134443771873,True,True,True,3.0
S6,broad,10.0,m53,1.103318026792612,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,15,0.0631085378960956,1.3081496596839457,-0.09760134443771873,True,True,True,3.0
S7,broad,10.0,m53,1.103318026792612,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV25/ddctl-8/.5/recover,SLV25,2,0.07805307046203747,1.223543329422878,-0.11673932415836752,True,True,True,19.0
S0,broad,25.0,m53,1.092030090004796,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV25/ebud-0.10,SLV25,136,0.07794312904913969,1.1565822309870208,-0.14125247462770663,True,True,True,11.0
S1,broad,25.0,m53,1.092030090004796,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,TOP10/band3-dg,TOP10,3,0.09728240115343323,0.7300454170107026,-0.17773669652687485,False,False,False,92.0
S3,broad,25.0,m53,1.092030090004796,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV25/ebud-0.10,SLV25,25,0.07794312904913969,1.1565822309870208,-0.14125247462770663,True,True,True,11.0
S5,broad,25.0,m53,1.092030090004796,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,2,0.058717347803201037,1.2206740268855238,-0.09803358945454244,True,True,True,2.0
S6,broad,25.0,m53,1.092030090004796,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,13,0.058717347803201037,1.2206740268855238,-0.09803358945454244,True,True,True,2.0
S7,broad,25.0,m53,1.092030090004796,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,(none),(none),0,,,,,,,
S0,broad,10.0,m75,1.1022043897049516,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,136,0.09035647198728447,1.3110720112629073,-0.13684192962198316,True,True,True,3.0
S1,broad,10.0,m75,1.1022043897049516,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV25/ebud-0.10,SLV25,33,0.11477686584125535,1.1941648438425814,-0.19532312102116356,True,True,True,25.0
S3,broad,10.0,m75,1.1022043897049516,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,24,0.09035647198728447,1.3110720112629073,-0.13684192962198316,True,True,True,3.0
S5,broad,10.0,m75,1.1022043897049516,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,3,0.09035647198728447,1.3110720112629073,-0.13684192962198316,True,True,True,3.0
S6,broad,10.0,m75,1.1022043897049516,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,15,0.09035647198728447,1.3110720112629073,-0.13684192962198316,True,True,True,3.0
S7,broad,10.0,m75,1.1022043897049516,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,1.1185082795688426,0.07983337481604336,-0.12240793860208021,SLV50/ebud-0.10,SLV50,1,0.09035647198728447,1.3110720112629073,-0.13684192962198316,True,True,True,3.0
S0,broad,25.0,m75,1.0913511222812937,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV25/ebud-0.10,SLV25,136,0.1107674370432199,1.1559852050306916,-0.19575358487622374,True,True,True,13.0
S1,broad,25.0,m75,1.0913511222812937,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV25/ebud-0.10,SLV25,8,0.1107674370432199,1.1559852050306916,-0.19575358487622374,True,True,True,13.0
S3,broad,25.0,m75,1.0913511222812937,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,11,0.08407034262177304,1.2251402751452958,-0.1374215285592313,True,True,True,2.0
S5,broad,25.0,m75,1.0913511222812937,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,1,0.08407034262177304,1.2251402751452958,-0.1374215285592313,True,True,True,2.0
S6,broad,25.0,m75,1.0913511222812937,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,SLV50/ebud-0.10,SLV50,14,0.08407034262177304,1.2251402751452958,-0.1374215285592313,True,True,True,2.0
S7,broad,25.0,m75,1.0913511222812937,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.15539928865606328,1.0740236940215924,0.07643420182382155,-0.12284879701089035,(none),(none),0,,,,,,,
