panel,k,phase,turnover_yr,cut,CAGR,dCAGR,Sharpe,MaxDD,OOS_Sharpe,pass4a,pass4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
U56,13,12,1.3725211859737967,0.6085649489389916,0.12808004198445033,0.011850507991421733,1.2523585168924098,-0.1885411379902019,1.3123029924991447,False,True,True,True,True,True,True
B136,2,0,3.9418452345056387,0.15684716987155778,0.11459262265157166,-0.003617222278276211,1.0637232483301327,-0.21666203928505012,1.0182058155850102,False,False,True,True,True,False,True
B136,2,1,3.93489861630948,0.1583330376424794,0.12070932294506642,0.002499478015218548,1.1351025858292394,-0.1683776890348916,1.126436807429479,False,True,True,True,True,True,True
B136,3,0,3.4649916382773087,0.2588452025942367,0.11977918937765408,0.001569344447806209,1.0926641852994232,-0.22264538843412196,1.0678405531688577,False,False,True,True,True,False,True
B136,3,1,3.4682755074144884,0.25814278953840497,0.12104239396601457,0.0028325490361666983,1.1343894004473896,-0.17992058955758272,1.1370398490503764,False,True,True,True,True,True,True
B136,3,2,3.456861670736878,0.26058418642865044,0.11541714904931255,-0.002792695880535323,1.0667845872802402,-0.21183160475820273,1.0019882036064667,False,False,True,True,True,False,True
B136,4,0,3.167335363446609,0.32251328583913075,0.11838063614722505,0.00017079121737717529,1.0763272733683287,-0.2226636064165165,1.052192075011191,False,False,True,True,True,False,True
B136,4,1,3.080746400035251,0.34103449233376637,0.12246533259005021,0.0042554876602023395,1.1467742293945187,-0.17889702436549615,1.1318204055706087,False,True,True,True,True,True,True
B136,4,2,3.056109405143983,0.3463042963805094,0.1167004921065915,-0.0015093528232563713,1.0744051432574657,-0.21925226032783895,1.020598319100637,False,False,True,True,True,False,True
B136,4,3,3.1278592733425334,0.33095714274205934,0.11994814395994213,0.0017382990300942591,1.087657657079179,-0.22025734185985313,1.061320472212375,False,False,True,True,True,False,True
B136,6,0,2.409114455931457,0.48469522500756,0.1292338093265546,0.01102396439670672,1.1478058350143265,-0.22418113931350858,1.140117502221712,False,False,True,True,True,False,True
B136,6,1,2.5384487030028153,0.45703088763171085,0.12704487965076616,0.008835034720918289,1.1739473581964066,-0.18300291751645603,1.1687722239656413,False,True,True,True,True,True,True
B136,6,2,2.6232611011433784,0.4388896849035514,0.11658579845043415,-0.001624046479413721,1.0710512510105306,-0.2191690515294551,0.9896497840383262,False,False,True,True,True,False,True
B136,6,3,2.700407261136308,0.42238827521800915,0.11778903548215958,-0.0004208094476882973,1.073385181777717,-0.22895537889625406,1.0410496235307156,False,False,True,True,True,False,True
B136,6,4,2.6254874479558605,0.4384134737627994,0.11757126790321792,-0.0006385770266299495,1.0676258704347397,-0.23010881134674066,1.046320693054811,False,False,True,True,True,False,True
B136,6,5,2.524822389667323,0.4599455288643157,0.12449015723892431,0.006280312309076441,1.1124410367363806,-0.21993088254294568,1.0995593423613859,False,False,True,True,True,False,True
B136,13,0,1.6435697799819085,0.6484437036303068,0.13200873147750247,0.013798886547654599,1.2046985590041221,-0.18801826246748798,1.202075722537107,False,True,True,True,True,True,True
B136,13,1,1.779864532642085,0.619290527997957,0.12223319704933577,0.0040233521194879,1.1236821440615372,-0.22648920452596055,1.0476925555275753,False,False,True,True,True,False,True
B136,13,2,1.7791611258084308,0.6194409853161023,0.12909423401436082,0.010884389084512947,1.1680574543944844,-0.23647625552749063,1.1120321514695366,False,False,True,True,True,False,True
B136,13,3,1.7879270219150678,0.6175659776303046,0.1214984116415081,0.0032885667116602235,1.0972677083116797,-0.23698123382147618,0.9980533092718435,False,False,True,True,True,False,True
