panel,fold,SET,DELTA,HFORM,call,named,V,widest,sp_DEG,sp_N,sp_GROSS
U56,2015,NG,0.03,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,
U56,2015,NG,0.03,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,,0.1282144986274072,
U56,2015,NG,0.03,H_ANY,TIE,,,CADENCE,,0.1282144986274072,
U56,2015,NG,0.1,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,
U56,2015,NG,0.1,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,,0.1282144986274072,
U56,2015,NG,0.1,H_ANY,TIE,,,CADENCE,,0.1282144986274072,
U56,2015,NG,0.3,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,
U56,2015,NG,0.3,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,,0.1282144986274072,
U56,2015,NG,0.3,H_ANY,TIE,,,CADENCE,,0.1282144986274072,
U56,2015,NG,1.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,
U56,2015,NG,1.0,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,,0.1282144986274072,
U56,2015,NG,1.0,H_ANY,TIE,,,CADENCE,,0.1282144986274072,
U56,2015,NG_D,0.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.0,0.1282144986274072,
U56,2015,NG_D,0.0,H_NARROWEST,W,CADENCE,inf,CADENCE,0.0,0.1282144986274072,
U56,2015,NG_D,0.0,H_ANY,W,CADENCE,,CADENCE,0.0,0.1282144986274072,
U56,2015,NG_D,0.01,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.0042459598698119105,0.1282144986274072,
U56,2015,NG_D,0.01,H_NARROWEST,W,CADENCE,27.127214090670154,CADENCE,0.0042459598698119105,0.1282144986274072,
U56,2015,NG_D,0.01,H_ANY,W,CADENCE,,CADENCE,0.0042459598698119105,0.1282144986274072,
U56,2015,NG_D,0.03,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.012444224696763317,0.1282144986274072,
U56,2015,NG_D,0.03,H_NARROWEST,W,CADENCE,9.255784527801051,CADENCE,0.012444224696763317,0.1282144986274072,
U56,2015,NG_D,0.03,H_ANY,W,CADENCE,,CADENCE,0.012444224696763317,0.1282144986274072,
U56,2015,NG_D,0.1,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.03886012587968435,0.1282144986274072,
U56,2015,NG_D,0.1,H_NARROWEST,TIE,,2.9639909753611238,CADENCE,0.03886012587968435,0.1282144986274072,
U56,2015,NG_D,0.1,H_ANY,W,CADENCE,,CADENCE,0.03886012587968435,0.1282144986274072,
U56,2015,NG_D,0.3,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.09516915103570822,0.1282144986274072,
U56,2015,NG_D,0.3,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,0.09516915103570822,0.1282144986274072,
U56,2015,NG_D,0.3,H_ANY,TIE,,,CADENCE,0.09516915103570822,0.1282144986274072,
U56,2015,NG_D,1.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.1282144986274072,0.1282144986274072,
U56,2015,NG_D,1.0,H_NARROWEST,TIE,,0.7047594798636336,CADENCE,0.1282144986274072,0.1282144986274072,
U56,2015,NG_D,1.0,H_ANY,W,CADENCE,,CADENCE,0.1282144986274072,0.1282144986274072,
U56,2015,ALL4,0.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.0,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.0,H_ANY,W,CADENCE,,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.01,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.01,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.01,H_ANY,W,CADENCE,,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.03,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.03,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.03,H_ANY,W,CADENCE,,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.1,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.1,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.1,H_ANY,W,CADENCE,,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.3,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.3,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,0.3,H_ANY,W,CADENCE,,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,1.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,1.0,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4,1.0,H_ANY,W,CADENCE,,CADENCE,,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.0,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.0,H_NARROWEST,W,CADENCE,inf,CADENCE,0.0,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.0,H_ANY,W,CADENCE,,CADENCE,0.0,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.01,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.0042459598698119105,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.01,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,0.0042459598698119105,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.01,H_ANY,W,CADENCE,,CADENCE,0.0042459598698119105,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.03,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.012444224696763317,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.03,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,0.012444224696763317,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.03,H_ANY,W,CADENCE,,CADENCE,0.012444224696763317,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.1,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.03886012587968435,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.1,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,0.03886012587968435,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.1,H_ANY,W,CADENCE,,CADENCE,0.03886012587968435,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.3,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.09516915103570822,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.3,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,0.09516915103570822,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,0.3,H_ANY,W,CADENCE,,CADENCE,0.09516915103570822,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,1.0,H_RUNNERUP,TIE,,1.1131560687673585,CADENCE,0.1282144986274072,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,1.0,H_NARROWEST,W,CADENCE,95.12853149308033,CADENCE,0.1282144986274072,0.1282144986274072,0.0014702516217581785
U56,2015,ALL4_D,1.0,H_ANY,W,CADENCE,,CADENCE,0.1282144986274072,0.1282144986274072,0.0014702516217581785
U56,2016,NG,0.0,H_RUNNERUP,TIE,,1.5402207245431756,H,,0.051148514884976626,
U56,2016,NG,0.0,H_NARROWEST,TIE,,2.3086486065238034,H,,0.051148514884976626,
U56,2016,NG,0.0,H_ANY,TIE,,,H,,0.051148514884976626,
U56,2016,NG,0.01,H_RUNNERUP,TIE,,1.5402207245431756,H,,0.051148514884976626,
U56,2016,NG,0.01,H_NARROWEST,TIE,,2.3086486065238034,H,,0.051148514884976626,
U56,2016,NG,0.01,H_ANY,TIE,,,H,,0.051148514884976626,
U56,2016,NG,0.03,H_RUNNERUP,TIE,,1.5402207245431756,H,,0.051148514884976626,
U56,2016,NG,0.03,H_NARROWEST,TIE,,2.3086486065238034,H,,0.051148514884976626,
U56,2016,NG,0.03,H_ANY,TIE,,,H,,0.051148514884976626,
U56,2016,NG,0.1,H_RUNNERUP,TIE,,1.5402207245431756,H,,0.051148514884976626,
U56,2016,NG,0.1,H_NARROWEST,TIE,,2.3086486065238034,H,,0.051148514884976626,
U56,2016,NG,0.1,H_ANY,TIE,,,H,,0.051148514884976626,
U56,2016,NG,0.3,H_RUNNERUP,TIE,,1.5402207245431756,H,,0.051148514884976626,
U56,2016,NG,0.3,H_NARROWEST,TIE,,2.3086486065238034,H,,0.051148514884976626,
U56,2016,NG,0.3,H_ANY,TIE,,,H,,0.051148514884976626,
U56,2016,NG,1.0,H_RUNNERUP,TIE,,1.5402207245431756,H,,0.051148514884976626,
U56,2016,NG,1.0,H_NARROWEST,TIE,,2.3086486065238034,H,,0.051148514884976626,
U56,2016,NG,1.0,H_ANY,TIE,,,H,,0.051148514884976626,
U56,2016,NG_D,0.0,H_RUNNERUP,TIE,,1.5402207245431756,H,0.0,0.051148514884976626,
U56,2016,NG_D,0.0,H_NARROWEST,W,H,inf,H,0.0,0.051148514884976626,
U56,2016,NG_D,0.0,H_ANY,W,H,,H,0.0,0.051148514884976626,
U56,2016,NG_D,0.01,H_RUNNERUP,TIE,,1.5402207245431756,H,0.003005540873771917,0.051148514884976626,
U56,2016,NG_D,0.01,H_NARROWEST,W,H,26.211589182807607,H,0.003005540873771917,0.051148514884976626,
U56,2016,NG_D,0.01,H_ANY,W,H,,H,0.003005540873771917,0.051148514884976626,
U56,2016,NG_D,0.03,H_RUNNERUP,TIE,,1.5402207245431756,H,0.008730544317889777,0.051148514884976626,
U56,2016,NG_D,0.03,H_NARROWEST,W,H,9.023492669754603,H,0.008730544317889777,0.051148514884976626,
U56,2016,NG_D,0.03,H_ANY,W,H,,H,0.008730544317889777,0.051148514884976626,
U56,2016,NG_D,0.1,H_RUNNERUP,TIE,,1.5402207245431756,H,0.026686733555803865,0.051148514884976626,
U56,2016,NG_D,0.1,H_NARROWEST,TIE,,2.9520286733747874,H,0.026686733555803865,0.051148514884976626,
U56,2016,NG_D,0.1,H_ANY,TIE,,,H,0.026686733555803865,0.051148514884976626,
U56,2016,NG_D,0.3,H_RUNNERUP,TIE,,1.2896918722313608,H,0.06108436003333484,0.051148514884976626,
U56,2016,NG_D,0.3,H_NARROWEST,TIE,,2.3086486065238034,H,0.06108436003333484,0.051148514884976626,
