pool,lam,subset,n,MAE,RMSE,bias,maxAE,R2_vs_zero
PANEL,0.75,ALL,162,0.25007660277106797,0.3849852714670423,0.13548162978437747,1.4222330756112938,0.22123751159088245
PANEL,0.75,MA-THRESH,81,0.40611604455846056,0.5345211204601796,0.3650004205524304,1.4222330756112938,0.24440750632984043
PANEL,0.75,QUANTILE,81,0.09403716098367546,0.1035108220192393,-0.09403716098367546,0.15855829610987957,-3.271984753541629
PANEL,0.75,panel:SMALL439,54,0.3043930718960887,0.47864353051263026,0.2424186651168224,1.4222330756112938,0.10383750850943718
PANEL,0.75,panel:U56,54,0.1822274989741839,0.26689622965728055,0.02966740457677169,1.2257737970561613,0.33202025004687463
PANEL,0.75,panel:B136,54,0.26360923744293124,0.3798786003880578,0.13435881965953836,0.967966390497134,0.3084497943539011
PANEL,1.0,ALL,162,0.2527395454381634,0.3887643292193892,0.13548162978437747,1.4460354102986748,0.205873636725044
PANEL,1.0,MA-THRESH,81,0.410394372824806,0.5388798918735299,0.3650004205524303,1.4460354102986748,0.23203425059661342
PANEL,1.0,QUANTILE,81,0.0950847180515209,0.10901316196302141,-0.09403716098367546,0.17180919079883092,-3.738229064862809
PANEL,1.0,panel:SMALL439,54,0.3050828395464725,0.4911277235519521,0.26622099980420344,1.4460354102986748,0.05647963880653162
PANEL,1.0,panel:U56,54,0.1873191665917784,0.26574977762520685,0.016416509887820334,1.21252290236721,0.33774653536987065
PANEL,1.0,panel:B136,54,0.26581663017623935,0.3762761298182962,0.12380737966110876,0.9574149504987043,0.32150384132860854
PANELxFAM,0.0,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
PANELxFAM,0.0,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
PANELxFAM,0.0,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
PANELxFAM,0.0,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
PANELxFAM,0.0,panel:U56,54,0.168663945183564,0.27417620469004755,0.06942008864362571,1.2655264811230151,0.295083071551129
PANELxFAM,0.0,panel:B136,54,0.2580165050301101,0.3921936016185611,0.1660131396548273,0.999620710492423,0.2628853129025013
PANELxFAM,0.25,ALL,162,0.23257276173716215,0.3696647168584075,0.13548162978437747,1.3760719557129004,0.2819861923813409
PANELxFAM,0.25,MA-THRESH,81,0.39047150934608355,0.5160510618531753,0.3433796807459038,1.3760719557129004,0.2957234199276525
PANELxFAM,0.25,QUANTILE,81,0.07467401412824086,0.08363795394570203,-0.07241642117714883,0.15395405412724134,-1.7891057377899382
PANELxFAM,0.25,panel:SMALL439,54,0.30941893381827473,0.45733201183113004,0.19481399574206046,1.3760719557129004,0.181863855699525
PANELxFAM,0.25,panel:U56,54,0.15262663794184533,0.2535929711243464,0.05616919395467433,1.2167535760574517,0.39695066430813897
PANELxFAM,0.25,panel:B136,54,0.2356727134513666,0.3694510043575972,0.15546169965639767,0.958285511974657,0.3458945624787686
PANELxFAM,0.5,ALL,162,0.22212825849193887,0.3639944188240035,0.13548162978437747,1.40131783987665,0.30384452400554696
PANELxFAM,0.5,MA-THRESH,81,0.3873500934371594,0.5105650298658634,0.32175894093937707,1.40131783987665,0.3106178639809396
PANELxFAM,0.5,QUANTILE,81,0.05690642354671832,0.06562944573983717,-0.05079568137062217,0.1315952689162289,-0.717337495150046
PANELxFAM,0.5,panel:SMALL439,54,0.3085959913578357,0.46889721657638966,0.2186163304294413,1.40131783987665,0.1399619105883807
PANELxFAM,0.5,panel:U56,54,0.14070532370005026,0.2373204535045726,0.042918299265722985,1.1679806709918883,0.47186036787673513
PANELxFAM,0.5,panel:B136,54,0.2170834604179307,0.3482674452778648,0.144910259657968,0.9169503134568908,0.41875421488282627
PANELxFAM,0.75,ALL,162,0.21555298931593955,0.3610750739551673,0.13548162978437747,1.4265637240403994,0.31496649682259026
PANELxFAM,0.75,MA-THRESH,81,0.38740591753994574,0.5081283637549028,0.3001382011328505,1.4265637240403994,0.3171822998146048
PANELxFAM,0.75,QUANTILE,81,0.04370006109193348,0.05055674051226283,-0.02917494156409553,0.10923648370521648,-0.01909885079864626
PANELxFAM,0.75,panel:SMALL439,54,0.3085633259389314,0.4813667004727105,0.24241866511682242,1.4265637240403994,0.09361133904771546
PANELxFAM,0.75,panel:U56,54,0.13493695515836304,0.2262905193817586,0.029667404576771653,1.1192077659263249,0.5198121822569178
PANELxFAM,0.75,panel:B136,54,0.20315868685052443,0.3289442621617505,0.13435881965953836,0.8756151149391249,0.48146427011467385
PANELxFAM,1.0,ALL,162,0.21229705368734206,0.3609734327898979,0.13548162978437747,1.451809608204149,0.31535211083247094
PANELxFAM,1.0,MA-THRESH,81,0.3899846970776177,0.508784877360466,0.2785174613263238,1.451809608204149,0.315416727428648
PANELxFAM,1.0,QUANTILE,81,0.03460941029706644,0.04173232475601512,-0.007554201757568902,0.09844189457295269,0.3056101952642607
PANELxFAM,1.0,panel:SMALL439,54,0.30978774154352556,0.4946720841913402,0.26622099980420344,1.451809608204149,0.04281214107752984
PANELxFAM,1.0,panel:U56,54,0.13327331190282754,0.22128849842462153,0.016416509887820334,1.0704348608607615,0.5408061074486871
PANELxFAM,1.0,panel:B136,54,0.19383010761567304,0.31182749578435315,0.12380737966110866,0.8342799164213588,0.534024728174312
CELL,0.0,ALL,162,0.24582031093199894,0.3779621765424115,0.13548162978437747,1.3508260715491507,0.24939150194997195
CELL,0.0,MA-THRESH,81,0.3972718651465189,0.524490781812049,0.3650004205524303,1.3508260715491507,0.27249896765474313
CELL,0.0,QUANTILE,81,0.09436875671747891,0.1030545175503709,-0.09403716098367543,0.17631283933825373,-3.2344035787183225
CELL,0.0,panel:SMALL439,54,0.3107804825823227,0.446741321483981,0.17101166105467933,1.3508260715491507,0.21931717438114895
