scope,centre,n,mean_d,win
drop:BAND+,0.375,74,-0.003837988148786081,0.47297297297297297
drop:BAND+,0.4,78,-0.0011217874980378616,0.5384615384615384
drop:BAND+,0.425,82,0.0010980360798927176,0.5487804878048781
drop:BAND+,0.45,74,0.007183924539798405,0.6621621621621622
drop:BAND+,0.475,68,0.010230657409253191,0.7205882352941176
drop:BAND+,0.5,55,0.011594755808357041,0.7454545454545455
drop:BAND+,0.525,52,0.015479432396757222,0.75
drop:BAND+,0.55,47,0.015597964865926298,0.7021276595744681
drop:BAND+,0.575,49,0.022308655397219396,0.7959183673469388
drop:BAND+,0.6,40,0.023337082391193125,0.8
drop:BAND+,0.625,51,0.026289808959200574,0.7058823529411765
drop:BAND+,0.65,53,0.026517342134613108,0.7169811320754716
drop:BAND+,0.675,67,0.021186091998341507,0.7164179104477612
drop:BAND+,0.7,67,0.020453628436012877,0.7014925373134329
drop:BAND+,0.725,53,0.017045395102936574,0.660377358490566
drop:BAND+,0.75,80,0.012547270987111161,0.6375
drop:BAND+,0.775,75,0.008862802614325357,0.6266666666666667
drop:BAND+,0.8,101,0.00891807782415591,0.6534653465346535
drop:BAND+,0.825,108,0.008790007410073106,0.6759259259259259
drop:BAND+,0.85,92,0.008184510754601276,0.6956521739130435
drop:BAND+,0.875,132,0.0057596727881288915,0.5757575757575758
drop:BAND+,0.9,123,0.00569494993304414,0.5528455284552846
drop:BAND+,0.925,209,0.0026214395873814917,0.291866028708134
drop:BAND+,0.95,200,0.0017721489711378397,0.26
drop:BAND+,0.975,169,0.0009190668565492878,0.16568047337278108
drop:BAND+,1.0,163,0.0009592021781280088,0.147239263803681
drop:CADENCE,0.2,27,0.0026544688887608966,0.5185185185185185
drop:CADENCE,0.225,34,0.0018561306757477081,0.5
drop:CADENCE,0.25,45,0.003489875863565739,0.5333333333333333
drop:CADENCE,0.275,72,0.001321537553287318,0.5555555555555556
drop:CADENCE,0.3,92,-0.0028219227837167717,0.4891304347826087
drop:CADENCE,0.325,105,-0.0035871616377810838,0.5047619047619047
drop:CADENCE,0.35,115,-0.0022209218844750182,0.5304347826086957
drop:CADENCE,0.375,122,-0.0019021355190728274,0.5409836065573771
drop:CADENCE,0.4,126,-0.0008397455055187361,0.5634920634920635
drop:CADENCE,0.425,115,0.00021835528739587396,0.5478260869565217
drop:CADENCE,0.45,106,0.005360279109609623,0.6226415094339622
drop:CADENCE,0.475,91,0.0075555140699810576,0.6703296703296703
drop:CADENCE,0.5,80,0.007889255197926187,0.7
drop:CADENCE,0.525,73,0.009115122713758443,0.6986301369863014
drop:CADENCE,0.55,65,0.00889342422975038,0.676923076923077
drop:CADENCE,0.575,62,0.009610008436338033,0.7258064516129032
drop:CADENCE,0.6,44,0.009628790776634104,0.7727272727272727
drop:CADENCE,0.625,50,0.011369151078507526,0.66
drop:CADENCE,0.65,45,0.01303809443174232,0.6444444444444445
drop:CADENCE,0.675,54,0.009640361021370104,0.6481481481481481
drop:CADENCE,0.7,54,0.008731563638480872,0.6296296296296297
drop:CADENCE,0.725,41,0.006314152886896602,0.5609756097560976
drop:CADENCE,0.75,64,0.0032637645250034866,0.546875
drop:CADENCE,0.775,57,-0.0008466138189647313,0.5087719298245614
drop:CADENCE,0.8,70,-0.0009313036992960966,0.5
drop:CADENCE,0.825,75,-0.0007904954858534843,0.5333333333333333
drop:CADENCE,0.85,64,-0.0004606145290097448,0.5625
drop:CADENCE,0.875,95,-0.00027799842529620256,0.43157894736842106
drop:CADENCE,0.9,86,0.00036009644613019584,0.38372093023255816
drop:CADENCE,0.925,160,0.0002595610207505425,0.19375
drop:CADENCE,0.95,159,0.00024412262314558113,0.18867924528301888
drop:CADENCE,0.975,137,7.831118457287152e-05,0.10948905109489052
drop:CADENCE,1.0,131,8.974266079785628e-05,0.08396946564885496
drop:SLEEVE,0.2,27,0.0026544688887608966,0.5185185185185185
drop:SLEEVE,0.225,34,0.0018561306757477081,0.5
drop:SLEEVE,0.25,45,0.003489875863565739,0.5333333333333333
drop:SLEEVE,0.275,72,0.001321537553287318,0.5555555555555556
drop:SLEEVE,0.3,92,-0.0028219227837167717,0.4891304347826087
drop:SLEEVE,0.325,105,-0.0035871616377810838,0.5047619047619047
drop:SLEEVE,0.35,115,-0.0022209218844750182,0.5304347826086957
drop:SLEEVE,0.375,122,-0.0019021355190728274,0.5409836065573771
drop:SLEEVE,0.4,126,-0.0008397455055187361,0.5634920634920635
drop:SLEEVE,0.425,113,0.00031024335158139944,0.5575221238938053
drop:SLEEVE,0.45,104,0.005559002175930699,0.6346153846153846
drop:SLEEVE,0.475,87,0.007967647378257193,0.6896551724137931
drop:SLEEVE,0.5,76,0.008378604702292031,0.7236842105263158
drop:SLEEVE,0.525,70,0.012065844481808837,0.7285714285714285
drop:SLEEVE,0.55,63,0.012548971101086796,0.7142857142857143
drop:SLEEVE,0.575,68,0.016981686566215057,0.7794117647058824
drop:SLEEVE,0.6,51,0.019156781203155036,0.8235294117647058
drop:SLEEVE,0.625,62,0.022116011335811633,0.7258064516129032
drop:SLEEVE,0.65,56,0.02523012318067187,0.7142857142857143
drop:SLEEVE,0.675,68,0.020874758964867953,0.7205882352941176
drop:SLEEVE,0.7,68,0.020153066925514742,0.7058823529411765
drop:SLEEVE,0.725,48,0.018285240851208792,0.625
drop:SLEEVE,0.75,73,0.013325663597904101,0.6027397260273972
drop:SLEEVE,0.775,68,0.009319146466948654,0.5882352941176471
drop:SLEEVE,0.8,88,0.009499385922599923,0.6022727272727273
drop:SLEEVE,0.825,91,0.009589191425514539,0.6153846153846154
drop:SLEEVE,0.85,74,0.009225123520320306,0.6216216216216216
drop:SLEEVE,0.875,112,0.0061652731958519455,0.5
drop:SLEEVE,0.9,100,0.0062275250522428995,0.45
drop:SLEEVE,0.925,141,0.0033344293420042017,0.2695035460992908
drop:SLEEVE,0.95,132,0.0020962383158138545,0.2196969696969697
drop:SLEEVE,0.975,113,0.001190729355543835,0.1504424778761062
drop:SLEEVE,1.0,110,0.0012769178172359417,0.14545454545454545
drop:SLEEVE+,0.2,25,0.0035899281528277804,0.56
drop:SLEEVE+,0.225,29,0.0033096695105140263,0.5517241379310345
drop:SLEEVE+,0.25,38,0.005391587012118945,0.6052631578947368
drop:SLEEVE+,0.275,61,0.0030690775397567366,0.639344262295082
drop:SLEEVE+,0.3,75,-0.0007117685487385895,0.5733333333333334
drop:SLEEVE+,0.325,82,-0.0019327274134863027,0.573170731707317
drop:SLEEVE+,0.35,88,-0.0006213601428652969,0.5795454545454546
drop:SLEEVE+,0.375,94,-0.0003178244904352412,0.5851063829787234
drop:SLEEVE+,0.4,99,0.0008767091019119567,0.6060606060606061
drop:SLEEVE+,0.425,86,0.002385160283523348,0.5930232558139535
drop:SLEEVE+,0.45,78,0.007326530929010986,0.6538461538461539
drop:SLEEVE+,0.475,68,0.009222970073312896,0.7205882352941176
drop:SLEEVE+,0.5,61,0.009330949562426265,0.7540983606557377
drop:SLEEVE+,0.525,56,0.012427664998283539,0.7678571428571429
drop:SLEEVE+,0.55,47,0.012544063687078102,0.7446808510638298
drop:SLEEVE+,0.575,51,0.016469094077297502,0.7843137254901961
drop:SLEEVE+,0.6,38,0.01921926157082332,0.868421052631579
drop:SLEEVE+,0.625,44,0.026037700841237067,0.75
drop:SLEEVE+,0.65,42,0.028560487530117085,0.7619047619047619
drop:SLEEVE+,0.675,53,0.02402519277419122,0.7547169811320755
drop:SLEEVE+,0.7,55,0.023098267891160672,0.7272727272727273
drop:SLEEVE+,0.725,43,0.02019119557820862,0.6511627906976745
drop:SLEEVE+,0.75,67,0.014416381268825364,0.6268656716417911
drop:SLEEVE+,0.775,66,0.00989573485193413,0.6212121212121212
drop:SLEEVE+,0.8,91,0.009737350193272048,0.6483516483516484
drop:SLEEVE+,0.825,98,0.00953769191465209,0.673469387755102
drop:SLEEVE+,0.85,88,0.008491364650603982,0.6931818181818182
