diag,panel,H,a,b,delta_pp,se_pp,sigmas,decisive
D2_drier_share,B136,76.0,5,,9.944880912220821,0.6,,
D2_drier_share,B136,76.0,8,,6.20573386397335,0.625,,
D2_drier_share,B136,76.0,10,,4.389105986801079,0.65,,
D2_drier_share,B136,90.0,1,,20.09694240462483,0.675,,
D2_drier_share,B136,90.0,2,,24.999700245783075,0.45,,
D2_drier_share,B136,90.0,3,,16.472257699557137,0.65,,
D2_drier_share,B136,90.0,4,,10.422485453629903,0.675,,
D2_drier_share,B136,90.0,5,,7.217411440037047,0.675,,
D2_drier_share,B136,90.0,8,,5.375359256280188,0.55,,
D2_drier_share,B136,90.0,10,,3.277073644799333,0.7,,
D2_drier_share,B136,126.0,1,,24.21612905536763,0.3,,
D2_drier_share,B136,126.0,2,,14.821659983786283,0.65,,
D2_drier_share,B136,126.0,3,,11.329366582661782,0.4,,
D2_drier_share,B136,126.0,4,,7.156416234125973,0.625,,
D2_drier_share,B136,126.0,5,,5.717068769790689,0.6,,
D2_drier_share,B136,126.0,8,,5.244526724236387,0.325,,
D2_drier_share,B136,126.0,10,,8.323841215910088,0.025,,
D2_drier_share,U56,21.0,1,,10.547172315642106,0.65,,
D2_drier_share,U56,21.0,2,,10.634423553317152,0.5,,
D2_drier_share,U56,21.0,3,,11.610519124955198,0.35,,
D2_drier_share,U56,21.0,4,,8.194659807511496,0.325,,
D2_drier_share,U56,21.0,5,,5.930208347490429,0.525,,
D2_drier_share,U56,21.0,8,,6.162706039597621,0.35,,
D2_drier_share,U56,21.0,10,,7.319233673427739,0.05,,
D2_drier_share,U56,42.0,1,,23.02448435530756,0.9,,
D2_drier_share,U56,42.0,2,,12.549312863726769,0.875,,
D2_drier_share,U56,42.0,3,,15.783535084470435,0.2,,
D2_drier_share,U56,42.0,4,,12.22925683858489,0.35,,
D2_drier_share,U56,42.0,5,,8.982001361991266,0.35,,
D2_drier_share,U56,42.0,8,,7.544937154699016,0.175,,
D2_drier_share,U56,42.0,10,,5.573177280522746,0.075,,
D2_drier_share,U56,52.0,1,,-0.06046716827053933,0.9,,
D2_drier_share,U56,52.0,2,,4.978684484471896,0.9,,
D2_drier_share,U56,52.0,3,,9.510545969493588,0.275,,
D2_drier_share,U56,52.0,4,,8.126958112699977,0.4,,
D2_drier_share,U56,52.0,5,,6.780023139114744,0.35,,
D2_drier_share,U56,52.0,8,,6.463297475326013,0.225,,
D2_drier_share,U56,52.0,10,,5.534497389045656,0.15,,
D2_drier_share,U56,63.0,1,,2.498528574558856,0.95,,
D2_drier_share,U56,63.0,2,,8.761019773360324,0.875,,
D2_drier_share,U56,63.0,3,,11.063995106093582,0.625,,
D2_drier_share,U56,63.0,4,,12.10233191819896,0.4,,
D2_drier_share,U56,63.0,5,,6.598640601960836,0.525,,
D2_drier_share,U56,63.0,8,,8.029465181122319,0.725,,
D2_drier_share,U56,63.0,10,,6.776615328454616,0.95,,
D2_drier_share,U56,76.0,1,,26.624255490732875,0.875,,
D2_drier_share,U56,76.0,2,,14.226389662915262,0.875,,
D2_drier_share,U56,76.0,3,,11.981767188583692,0.675,,
D2_drier_share,U56,76.0,4,,10.086312089132932,0.75,,
D2_drier_share,U56,76.0,5,,7.548188389622446,0.675,,
D2_drier_share,U56,76.0,8,,4.973303263371931,0.875,,
D2_drier_share,U56,76.0,10,,4.326849098702046,0.95,,
D2_drier_share,U56,90.0,1,,13.290777945621102,0.975,,
D2_drier_share,U56,90.0,2,,13.556547667632701,0.925,,
D2_drier_share,U56,90.0,3,,10.171428069107602,0.925,,
D2_drier_share,U56,90.0,4,,8.140569951035094,0.8,,
D2_drier_share,U56,90.0,5,,7.044061913177469,0.65,,
D2_drier_share,U56,90.0,8,,5.152532287871159,0.75,,
D2_drier_share,U56,90.0,10,,6.656103079649411,0.925,,
D2_drier_share,U56,126.0,1,,13.670003814263564,0.975,,
D2_drier_share,U56,126.0,2,,9.135658713958161,0.975,,
D2_drier_share,U56,126.0,3,,8.38020055455605,0.875,,
D2_drier_share,U56,126.0,4,,6.210494667810962,0.75,,
D2_drier_share,U56,126.0,5,,5.954659045533395,0.575,,
D2_drier_share,U56,126.0,8,,5.295494211719243,0.15,,
D2_drier_share,U56,126.0,10,,6.163593595427441,0.15,,
D3_lammax_share,B136,21.0,1,,,0.0,,
D3_lammax_share,B136,21.0,2,,,0.0,,
D3_lammax_share,B136,21.0,3,,,0.0,,
D3_lammax_share,B136,21.0,4,,,0.0,,
D3_lammax_share,B136,21.0,5,,,0.0,,
D3_lammax_share,B136,21.0,8,,,0.0,,
D3_lammax_share,B136,21.0,10,,,0.0,,
D3_lammax_share,B136,42.0,1,,,0.0,,
D3_lammax_share,B136,42.0,2,,,0.0,,
D3_lammax_share,B136,42.0,3,,,0.0,,
D3_lammax_share,B136,42.0,4,,,0.0,,
D3_lammax_share,B136,42.0,5,,,0.0,,
D3_lammax_share,B136,42.0,8,,,0.0,,
D3_lammax_share,B136,42.0,10,,,0.0,,
D3_lammax_share,B136,52.0,1,,,0.0,,
D3_lammax_share,B136,52.0,2,,,0.0,,
D3_lammax_share,B136,52.0,3,,,0.0,,
D3_lammax_share,B136,52.0,4,,,0.0,,
D3_lammax_share,B136,52.0,5,,,0.0,,
D3_lammax_share,B136,52.0,8,,,0.0,,
D3_lammax_share,B136,52.0,10,,,0.0,,
D3_lammax_share,B136,63.0,1,,,0.0,,
D3_lammax_share,B136,63.0,2,,,0.0,,
D3_lammax_share,B136,63.0,3,,,0.0,,
D3_lammax_share,B136,63.0,4,,,0.0,,
D3_lammax_share,B136,63.0,5,,,0.0,,
D3_lammax_share,B136,63.0,8,,,0.0,,
D3_lammax_share,B136,63.0,10,,,0.0,,
D3_lammax_share,B136,76.0,1,,,0.0,,
D3_lammax_share,B136,76.0,2,,,0.0,,
D3_lammax_share,B136,76.0,3,,,0.0,,
D3_lammax_share,B136,76.0,4,,,0.0,,
D3_lammax_share,B136,76.0,5,,,0.0,,
D3_lammax_share,B136,76.0,8,,,0.0,,
D3_lammax_share,B136,76.0,10,,,0.0,,
D3_lammax_share,B136,90.0,1,,,0.0,,
D3_lammax_share,B136,90.0,2,,,0.0,,
D3_lammax_share,B136,90.0,3,,,0.0,,
D3_lammax_share,B136,90.0,4,,,0.0,,
D3_lammax_share,B136,90.0,5,,,0.0,,
D3_lammax_share,B136,90.0,8,,,0.0,,
D3_lammax_share,B136,90.0,10,,,0.0,,
D3_lammax_share,B136,126.0,1,,,0.0,,
D3_lammax_share,B136,126.0,2,,,0.0,,
D3_lammax_share,B136,126.0,3,,,0.0,,
D3_lammax_share,B136,126.0,4,,,0.0,,
D3_lammax_share,B136,126.0,5,,,0.0,,
D3_lammax_share,B136,126.0,8,,,0.0,,
D3_lammax_share,B136,126.0,10,,,0.0,,
D3_lammax_share,U56,21.0,1,,,0.0,,
D3_lammax_share,U56,21.0,2,,,0.0,,
D3_lammax_share,U56,21.0,3,,,0.0,,
D3_lammax_share,U56,21.0,4,,,0.0,,
D3_lammax_share,U56,21.0,5,,,0.0,,
D3_lammax_share,U56,21.0,8,,,0.0,,
D3_lammax_share,U56,21.0,10,,,0.0,,
D3_lammax_share,U56,42.0,1,,,0.0,,
D3_lammax_share,U56,42.0,2,,,0.0,,
D3_lammax_share,U56,42.0,3,,,0.0,,
D3_lammax_share,U56,42.0,4,,,0.0,,
D3_lammax_share,U56,42.0,5,,,0.0,,
D3_lammax_share,U56,42.0,8,,,0.0,,
D3_lammax_share,U56,42.0,10,,,0.0,,
D3_lammax_share,U56,52.0,1,,,0.0,,
D3_lammax_share,U56,52.0,2,,,0.0,,
D3_lammax_share,U56,52.0,3,,,0.0,,
D3_lammax_share,U56,52.0,4,,,0.0,,
D3_lammax_share,U56,52.0,5,,,0.0,,
D3_lammax_share,U56,52.0,8,,,0.0,,
D3_lammax_share,U56,52.0,10,,,0.0,,
D3_lammax_share,U56,63.0,1,,,0.0,,
D3_lammax_share,U56,63.0,2,,,0.0,,
D3_lammax_share,U56,63.0,3,,,0.0,,
D3_lammax_share,U56,63.0,4,,,0.0,,
D3_lammax_share,U56,63.0,5,,,0.0,,
D3_lammax_share,U56,63.0,8,,,0.0,,
D3_lammax_share,U56,63.0,10,,,0.0,,
D3_lammax_share,U56,76.0,1,,,0.0,,
D3_lammax_share,U56,76.0,2,,,0.0,,
D3_lammax_share,U56,76.0,3,,,0.0,,
D3_lammax_share,U56,76.0,4,,,0.0,,
D3_lammax_share,U56,76.0,5,,,0.0,,
D3_lammax_share,U56,76.0,8,,,0.0,,
D3_lammax_share,U56,76.0,10,,,0.0,,
D3_lammax_share,U56,90.0,1,,,0.05,,
D3_lammax_share,U56,90.0,2,,,0.0,,
D3_lammax_share,U56,90.0,3,,,0.0,,
D3_lammax_share,U56,90.0,4,,,0.0,,
D3_lammax_share,U56,90.0,5,,,0.0,,
D3_lammax_share,U56,90.0,8,,,0.0,,
D3_lammax_share,U56,90.0,10,,,0.0,,
D3_lammax_share,U56,126.0,1,,,0.075,,
D3_lammax_share,U56,126.0,2,,,0.0,,
D3_lammax_share,U56,126.0,3,,,0.0,,
D3_lammax_share,U56,126.0,4,,,0.0,,
D3_lammax_share,U56,126.0,5,,,0.0,,
D3_lammax_share,U56,126.0,8,,,0.0,,
D3_lammax_share,U56,126.0,10,,,0.0,,
D4_4b_pass,U56,21.0,10,,0.11243109328914758,5.962843836179532,,True
D5_nsel,B136,,1,,,0.05327868852459016,0.9467213114754099,
D5_nsel,U56,,1,,,0.05322415557830092,0.9467758444216992,
