panel,book,g,levered,CAGR,Vol,Sharpe,MaxDD,H1,H2,lam,s,v,rho,IS_CAGR,IS_Vol,IS_Sharpe,IS_MaxDD,IS_lam,OOS_CAGR,OOS_Vol,OOS_Sharpe,OOS_MaxDD,OOS_lam,f4b,f4a,pass4b,pass4a
u56,TOP10,1.1,True,0.1861068045463874,0.206990896362763,0.9286178585646854,-0.2512456649176039,0.9193058762470023,0.9421732004427233,1.2138005551571796,1.044529733679747,1.1683411637232182,0.6377888789251399,0.15994031165122746,0.19149556224696548,0.870910167444485,-0.20479589510286333,1.0694550448053979,0.2081445967895268,0.2189844213799278,0.9736296616870004,-0.25124566491760403,1.1473220941215014,"H1,DD",DD,False,False
u56,TOP10,1.2,True,0.20225611913527342,0.22587464685973163,0.9290744848722481,-0.2722314224504234,0.919703343939831,0.9426891263160012,1.2052323102002651,1.045043356965182,1.2749287645248553,0.6332867131268068,0.1736590082074574,0.20895766654616427,0.8712125558594599,-0.22269340653418102,1.0657345586551243,0.2263798318856729,0.2389680859296631,0.9741999196973222,-0.2722314224504234,1.1391957272928526,"H1,DD",DD,False,False
u56,TOP10,1.3,True,0.2182072815502858,0.24477396230490223,0.9294895784282184,-0.29291045785462566,0.9200598066267672,0.9431637466683477,1.1966569282796604,1.0455102633007332,1.3816042202515888,0.6287807972263242,0.18718502405685844,0.226430864507907,0.8714742259075077,-0.24044552108243866,1.0618937555398604,0.24441790068039992,0.25897059628083546,0.9747280203072922,-0.29291045785462555,1.1310568151798388,"H1,DD",DD,False,False
u56,TOP10,1.4,True,0.2339464829081752,0.26368996896879526,0.929873265333182,-0.31328173620135613,0.9203816013018147,0.9436104828855523,1.1880684632278504,1.0459418427464242,1.4883738880342572,0.6242680068228198,0.20050702962929212,0.24391566058243364,0.871702472647744,-0.2580465861988326,1.0579336545372136,0.26224265486035536,0.27899353050631476,0.9752261729772329,-0.31328173620135635,1.1228996444212012,"H1,DD",DD,False,False
u56,TOP10,1.5,True,0.24945824707238362,0.282623951150344,0.9302281258318041,-0.33334521174067533,0.9206701314741558,0.9440329315330992,1.179465542052909,1.046340997618044,1.5952450169806067,0.6197476204806528,0.2136118614411997,0.26141279234316334,0.8718964104958927,-0.27548760283992013,1.0538413226475942,0.27983641715560337,0.29903857083015883,0.975699465081116,-0.33334521174067544,1.114723130247975,"H1,DD",DD,False,False
u56,TOP10,1.6,True,0.26472694244802364,0.30157723818066495,0.930556036136022,-0.35310112462083476,0.9209341656241018,0.9444272116457297,1.1708480611832632,1.0467098383199285,1.7022251103784196,0.6152195837783639,0.22648945473249804,0.2789228282178624,0.8720651510570618,-0.2927619706824277,1.0496163851233997,0.29717850967871806,0.3191076007552429,0.9761445617676353,-0.35310112462083476,1.106526838549562,"H1,DD",DD,False,False
u56,TOP10,1.7,True,0.27973843612223637,0.32055110569617384,0.9308625677780354,-0.3725497338541566,0.9211782003460801,0.9447998847418613,1.1622163431476924,1.0470546318336906,1.8093213684406546,0.6106840661880035,0.23912883688068298,0.2964463271539417,0.8722130794588449,-0.30986405459155497,1.0452619115454433,0.31425182186588985,0.33920241625422987,0.9765679144355028,-0.3725497338541568,1.0983109671451554,"H1,DD",DD,False,False
u56,TOP10,1.8,True,0.2944785474531113,0.3395469201223007,0.9311519111017752,-0.3916917199982848,0.9214022055204322,0.9451588127272198,1.153571706252562,1.0473800915500857,1.9165415038305504,0.6061417604108026,0.25151789842119965,0.3139837961727009,0.8723407561560971,-0.32678923563378015,1.040783758961994,0.3310401400313234,0.3593250063408264,0.9769763563043992,-0.39169171999828467,1.0900764296564371,"H1,DD",DD,False,False
u56,TOP10,1.9,True,0.3089326259205176,0.358566172438649,0.9314262796822034,-0.4105284495305037,0.9216102168974344,0.9455047567694996,1.1449168412582074,1.047688707346779,2.0238939322459744,0.6015940803009653,0.26364648485302156,0.3315358205545509,0.8724531956151947,-0.3435301835945036,1.036178181349726,0.34752464697898433,0.37947751932601376,0.977370093843314,-0.4105284495305037,1.0818254800959994,"H1,DD",DD,False,False
u56,TOP10,2.0,True,0.3230853952581729,0.37761045378128266,0.9316861735751436,-0.4290602853258425,0.9218040461352692,0.945837189912994,1.1362510784046258,1.0479810416975286,2.131387634708764,0.5970406739345452,0.2755028434758391,0.34910298356845804,0.8725506597549645,-0.3600815068698989,1.0314478071462487,0.36368673653241546,0.3996622765565644,0.977749809410931,-0.4290602853258425,1.0735571268386082,"H1,DD",DD,False,False
u56,TOP20,0.1,False,0.01699285069995038,0.01534335333043382,1.105910387162729,-0.025390945990314218,1.108647551514027,1.1096216453933907,1.6548498521474322,1.243952258211159,0.08660415313183041,0.8695372790086349,0.014562597082680595,0.014339954630094479,1.015399377585936,-0.015860417376528435,1.106029815690145,0.01900279318663256,0.016126308811405574,1.1754228506613111,-0.025390945990313885,1.5745045123007788,CAGR,-,False,True
u56,TOP20,0.2,False,0.03404723321088565,0.030693002311337547,1.1062433681878276,-0.0504372249536692,1.1089196124274914,1.1100206025321728,1.6432809160229473,1.244326802571101,0.1732438414863477,0.8634584065202002,0.029135629433458377,0.028683778761442506,1.0156341276843208,-0.03161823929871865,1.1023038338735456,0.03811816742632623,0.03226070763599157,1.1758274926770402,-0.0504372249536692,1.5634258715825269,CAGR,-,False,True
