panel,gross,cap,cost_bps,t4b,e4b,t4a,e4a,t_L_H1,t_L_H2,t_L_OOS,t_L_DD,t_L_CAGR,e_L_H1,e_L_H2,e_L_OOS,e_L_DD,e_L_CAGR,dSharpe,dOOS_Sharpe,dCAGR
B136,1.0,0.015,25.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.11240378964626063,-0.13594573371796803,-0.015076486706878667
B136,1.0,0.015,50.0,False,False,False,False,True,False,True,False,True,True,False,False,False,True,-0.11068106961797253,-0.13476582672898962,-0.014869384458605417
B136,1.0,0.020,0.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.11052015858452391,-0.13320451854363635,-0.01538216336535081
B136,1.0,0.020,10.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10985744802841013,-0.1327480450454367,-0.015292792640662745
B136,1.0,0.020,25.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10884894982144266,-0.13204788212051943,-0.015159666895047552
B136,1.0,0.020,50.0,False,False,False,False,True,False,True,False,True,True,False,False,False,True,-0.10713325974170862,-0.13084226668280818,-0.014940249601623101
B136,1.0,0.030,0.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.1071873418475493,-0.12898436081455067,-0.015435776082269204
B136,1.0,0.030,10.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.1065307889995134,-0.12852487977378135,-0.015342294474438134
B136,1.0,0.030,25.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.105531554148666,-0.12782023691888622,-0.01520308456502395
B136,1.0,0.030,50.0,False,False,False,False,True,False,True,False,True,True,False,False,False,True,-0.10383156395648563,-0.1266074564623887,-0.014973743232155057
B136,1.0,INF,0.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10357385063809543,-0.12431547577153856,-0.015470886400200667
B136,1.0,INF,10.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10292448276567145,-0.12387291142294066,-0.015373538045743596
B136,1.0,INF,25.0,False,False,False,False,True,True,True,False,True,True,True,True,False,True,-0.10193583521824157,-0.12319364274567834,-0.01522860967549744
B136,1.0,INF,50.0,False,False,False,False,True,False,True,False,True,True,False,False,False,True,-0.10025310940103094,-0.1220230488518157,-0.014989952357235214
