leg,vint,char,BW,levelset,n_overlap,gap_FULL,gap_IS,gap_OOS,abs_IS,abs_OOS,small_IS,small_OOS,resid,sel_flavour,sel_level,sel_seed,sel_gross,sel_cadence,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,beat_v2,beat_spy,keep4a,keep4b,fail4b,hh_BONLY,hh_SONLY
WF-A,FROZEN,momac,0.125,Q5,4,0.016997418252402325,0.14120877778144048,-0.04788243825479579,0.17306574356402932,0.09537195394900955,False,True,0.01903709544258786,,,,,,,,,,,,,,,,,,,,,,
WF-B,LIVE,momac,0.5,,14,,,,,,,,,BONLY,0.908909,5.0,1.0,M,1.373160319462234,0.18840987904361617,1.2626785340870899,-0.21472918938414343,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,True,False,False,DD,1.0202446837610135,0.5321089935947324
WF-B,LIVE,momac,0.25,,14,,,,,,,,,SONLY,0.903046,3.0,1.0,M,1.3919766822116781,0.19615959194805743,0.8858946867119416,-0.3236969727475213,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,True,False,False,DD,0.9843680578500114,0.5590259088774621
WF-B,LIVE,momac,0.125,,14,,,,,,,,,BONLY,0.908909,1.0,1.0,W,1.404841507292997,0.19190649168547913,1.1582988665281115,-0.27137419487517545,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,True,False,False,DD,0.9509842043981557,0.5045800137858429
WF-B,LIVE,tpers,0.5,,6,,,,,,,,,SONLY,0.973476,0.0,1.0,M,1.2414162316576263,0.20884887217451453,0.9036495873935539,-0.4827906765801665,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,True,False,False,DD,0.9509700615852476,0.47607829835219523
WF-B,LIVE,tpers,0.25,,6,,,,,,,,,SONLY,0.973476,2.0,0.5,M,1.7080546249314856,0.06608964007360907,0.6516918489213035,-0.23614958635316252,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,False,False,False,"H2,OOS,DD,CAGR",0.961990819320259,0.4865211647461012
WF-B,LIVE,tpers,0.125,,6,,,,,,,,,SONLY,0.973476,2.0,0.5,M,1.42661664851133,0.07809163582152046,0.6902720203450002,-0.2652974441023406,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,False,False,False,"H2,OOS,DD,CAGR",0.9299406430163301,0.46275689147396376
WF-B,FROZEN,momac,0.5,,4,,,,,,,,,BONLY,0.895891,3.0,1.0,M,1.2377663655461424,0.14915647173830426,1.0178550628712333,-0.2649067566223263,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,True,False,False,DD,1.0106021914237207,0.6115290091301839
WF-B,FROZEN,momac,0.25,,4,,,,,,,,,BONLY,0.895891,0.0,1.0,M,1.322229726567641,0.17366569458990933,1.0750361178463315,-0.2697826262494861,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,True,False,False,DD,0.9992906366170765,0.5929065326819638
WF-B,FROZEN,momac,0.125,,4,,,,,,,,,BONLY,0.91947,1.0,1.0,M,1.2407267201097794,0.2203321615824143,1.2572249812696492,-0.2843898803475261,0.09534814633523103,1.285084214786162,-0.12054943679771168,0.15450717694493377,0.8820107985559464,-0.33717235283398306,False,True,False,False,DD,0.9763117521976261,0.5991873103739729
