peak,trough,recov,depth,dur_pt,dur_pr,speed,bin,window,recovered,eid,panel,theta,depth_bin
2018-01-26,2018-02-08,2018-08-06,10.1037402122501,9,132,FAST,SHALLOW,OOS,True,E5,broad,0.1,SHALLOW
2018-09-20,2018-12-24,2019-04-12,19.34751663909505,65,140,SLOW,SHALLOW,OOS,True,E6,broad,0.1,SHALLOW
2020-02-19,2020-03-23,2020-08-10,33.71595330739301,23,120,FAST,DEEP,OOS,True,E7,broad,0.1,DEEP
2022-01-03,2022-10-12,2023-12-13,24.496651760884536,195,489,SLOW,DEEP,OOS,True,E8,broad,0.1,DEEP
2025-02-19,2025-04-08,2025-06-26,18.75508205970692,34,88,FAST,SHALLOW,OOS,True,E9,broad,0.1,SHALLOW
2009-01-28,2009-03-09,2009-04-17,22.058362096015106,27,55,FAST,DEEP,IS,True,E1,broad,0.15,DEEP
2010-04-23,2010-07-02,2010-11-04,15.698948290972748,49,136,FAST,SHALLOW,IS,True,E2,broad,0.15,SHALLOW
2011-04-29,2011-10-03,2012-02-03,18.6055433010453,108,193,SLOW,SHALLOW,IS,True,E3,broad,0.15,SHALLOW
2018-09-20,2018-12-24,2019-04-12,19.34751663909505,65,140,SLOW,SHALLOW,OOS,True,E4,broad,0.15,SHALLOW
2020-02-19,2020-03-23,2020-08-10,33.71595330739301,23,120,FAST,DEEP,OOS,True,E5,broad,0.15,DEEP
2022-01-03,2022-10-12,2023-12-13,24.496651760884536,195,489,SLOW,DEEP,OOS,True,E6,broad,0.15,DEEP
2025-02-19,2025-04-08,2025-06-26,18.75508205970692,34,88,FAST,SHALLOW,OOS,True,E7,broad,0.15,SHALLOW
