panel,family,form,decile,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,mean_names,keep4a,keep4b,fail4b,L_H1,L_H2,L_OOS,L_DD,L_CAGR
SMALL663,advQ,MA-DG,6,0.023394882559485852,0.3283759291421928,-0.1757934458763316,0.3193948986631836,0.3371114951334004,0.3263064806740852,0.023019636326685244,0.023626322189174154,0.3295814007010739,-0.17579344587633328,11.807390657917402,53.00253936008126,False,False,"H1,H2,OOS,CAGR",False,False,False,True,False
SMALL663,advQ,MA-DG,7,0.008805941341955226,0.14866196826174435,-0.25862138052169625,0.40920163668179754,-0.08741705568122883,0.6279340846552125,0.048143890161593594,-0.014709848189469188,-0.1403861713323601,-0.2586213805216937,11.986916018772886,53.08100558659218,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-DG,8,0.01254679760743338,0.19326442597112922,-0.24567807525096286,0.3727774068945846,0.02445390150056632,0.31798821815818834,0.022921359112149098,0.006202510803448469,0.1164396333956785,-0.2456780752509622,11.135967433282541,53.20949720670391,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-DG,9,-0.002645360844956035,0.00946319333782293,-0.2804149880020854,0.08418837822923987,-0.05573558238239985,-0.07424900507490008,-0.009060765574333107,0.0013309612101597423,0.058083876949099646,-0.2804149880020842,9.389939728958828,53.06196038598273,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,advQ,MA-DG,10,-0.02265088221497047,-0.21650137511652523,-0.5239469931377387,0.10617238120778784,-0.5172716358248126,0.15213193728819255,0.009556845447365792,-0.04199546365014506,-0.44433001262460453,-0.5239469931377402,5.77343319459121,53.589893346876586,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,1,0.047649786154769114,0.5690432262369792,-0.30341869833267743,1.2010734195677328,0.3111555076311416,1.2212885119953296,0.06954611637706898,0.03437284648225836,0.37771000606121446,-0.303418698332678,25.349128106581734,52.7074657186389,False,False,"H2,OOS,DD,CAGR",True,False,False,False,False
SMALL663,volQ,MA-RS,2,0.04036136910218269,0.3825919223294495,-0.3852275931766894,0.5127444835597577,0.3259682804404317,0.6894292322597391,0.06032195561240061,0.028241703814174013,0.26959627326228347,-0.38522759317669053,44.363696074226404,53.141696292534284,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,3,-0.009398020515249184,0.0013241372099655202,-0.5113265081650635,0.38282719919741,-0.23256358144055853,0.419194584840525,0.03916842322346392,-0.03820524974554229,-0.17279441642129179,-0.511326508165064,50.94569220852368,53.11604875571356,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,4,0.026891803553718674,0.2585399401045547,-0.46686556649724464,0.2907305563012264,0.24432844180222102,0.4551754575208921,0.047228647000177704,0.01454973951194849,0.17093796206010006,-0.4578156930403916,53.47627495614331,53.1604875571356,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,5,0.023028528678295634,0.22571102599881362,-0.4637010073687393,0.217499167442828,0.2378826049885691,0.2154242409544735,0.019544497542747008,0.02518265952092924,0.2330219598065949,-0.46370100736873887,53.9426421248914,53.25292026409345,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,6,-0.004384653152586959,0.05181862499227441,-0.47683611776216384,0.19993738451638343,-0.05389655015890401,0.13141583482410413,0.008623465222224125,-0.012321509197871672,0.011827782241661389,-0.47683611776216284,53.41624609891166,52.995429151853735,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,7,0.004078321252084738,0.10864249798694646,-0.4462184405282875,0.2149342832045829,0.03447689639768142,0.20487686081568823,0.019458947084820544,-0.005289262742197431,0.061064849109171794,-0.44621844052828785,50.79343031422073,53.073895378364654,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,8,-0.02104272358008219,-0.024053771898895418,-0.599776061669743,-0.020037580412566473,-0.02748525107261222,0.03419240463078934,-0.007299416725822794,-0.02942164033281225,-0.053435655442627766,-0.5547631431010603,47.42115764952654,53.202640934484506,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,9,0.07302647550324326,0.44275670423997443,-0.4879965612086318,0.16306283646027456,0.6447774674480982,0.10009405363549063,0.0022190359304739005,0.11915646454977358,0.6108037305709392,-0.4879965612086312,40.6228436541732,53.055104113763335,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-RS,10,0.10421449562923302,0.5199668450954229,-0.636495066444394,0.16231254305088497,0.7900221387355298,-0.1489465178478069,-0.05545497652780462,0.2158412004208905,0.8595295463778919,-0.44761861715567997,26.441337039834597,53.58278313864906,False,False,"H1,H2,OOS,DD",False,False,False,False,True
SMALL663,volQ,MA-DG,1,0.03796730514528068,0.7357815662144712,-0.13924517115011859,1.26339906332904,0.41285403468439824,1.2987914931648274,0.054752459221703464,0.02775123596809559,0.4994732436852519,-0.1392451711501218,15.313601128765487,52.7074657186389,False,False,"H2,OOS,CAGR",True,False,False,True,False
SMALL663,volQ,MA-DG,2,0.021820949312267413,0.34420931049152803,-0.22581809222963978,0.4777719626066216,0.2483147832201327,0.6919933310184742,0.040985645081900834,0.010180551128391668,0.17274796322461097,-0.22581809222964055,27.157074104333557,53.141696292534284,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-DG,3,0.004671486535375413,0.10017801408200089,-0.2571808851641125,0.4141588782937165,-0.1545587466728535,0.5522007089736866,0.03492943680440197,-0.013542545154206165,-0.13690690269777983,-0.2571808851641161,29.968724663750635,53.11604875571356,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-DG,4,0.015512133889329371,0.24268857380302847,-0.21833932724827043,0.2135698477739601,0.26908222516612484,0.41812197653867017,0.027284413804114394,0.008320861065680862,0.1453751183744828,-0.18293620851028403,30.03256353803703,53.1604875571356,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-DG,5,0.009347657245995844,0.16202378265301692,-0.20822161778650938,0.09799890416417126,0.21962110812108232,0.15742831178623118,0.00875958378453845,0.009710425111098653,0.16476888027857772,-0.1954493129007271,28.718205867927544,53.25292026409345,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-DG,6,-2.4989188692536857e-05,0.03682216931297793,-0.23668631467911183,0.2460237160080811,-0.1507968725789059,0.2502798577157179,0.015579125627138257,-0.009526521280838196,-0.08877838617002187,-0.23668631467911427,26.902095246375314,52.995429151853735,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-DG,7,0.011062323141470154,0.18053087105260668,-0.20884663031450068,0.22646977289377665,0.1394875638871331,0.2834598941013215,0.018759295842480483,0.006345498705497166,0.11962169862075525,-0.19738535336759744,24.369304682561964,53.073895378364654,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-DG,8,0.0011740470446275353,0.054052876879231083,-0.24765326960569145,-0.012017188321352314,0.11319287733020557,0.09430957132377937,0.004293598792893594,-0.0007445891868275156,0.030038144665934245,-0.19554327488737167,21.122659955135717,53.202640934484506,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False,False
SMALL663,volQ,MA-DG,9,0.022704246386377802,0.3105825160158465,-0.1841752660367887,0.18495553608328472,0.4156636949832799,0.16261098445079583,0.009637291942720116,0.030845273880456325,0.3924175583313049,-0.18417526603678758,17.14727110023427,53.055104113763335,False,False,"H1,H2,OOS,CAGR",False,False,False,True,False
