cell,panel,arm,book,n_bars,observed,N_IID,N_BLOCK,phi_L63,denom,iid_seed_spread,block_seed_spread,se_iid,se_block,phi_seed_min,phi_seed_max,phi_seed_spread,CAGR,Sharpe,MaxDD,band_lo_0.8,band_hi_0.8,band_width_0.8,band_lo_spread_0.8,band_hi_spread_0.8,band_lo_0.9,band_hi_0.9,band_width_0.9,band_lo_spread_0.9,band_hi_spread_0.9,band_lo_0.95,band_hi_0.95,band_width_0.95,band_lo_spread_0.95,band_hi_spread_0.95,bar_R_1164,phi_est_R_1164,band_bar_R_1164,band_est_R_1164,bar_R_STRICT,phi_est_R_STRICT,band_bar_R_STRICT,band_est_R_STRICT,bar_R_LOOSE,phi_est_R_LOOSE,band_bar_R_LOOSE,band_est_R_LOOSE,bar_R_TSTAT,phi_est_R_TSTAT,band_bar_R_TSTAT,band_est_R_TSTAT
U56/g0.75,U56,GROSS,anchor/g0.75,4446,19.12756183046503,22.303815020582395,20.0801411587981,0.7000933895015243,-3.1762531901173645,0.48582219215251143,0.22694694989749564,0.20956444456151502,0.1874803704108725,0.6513170839504587,0.7131816375848204,0.06186455363436172,0.1555201865472391,1.1380787773059986,-0.19127561830465023,15.943654580328984,26.13480985784186,10.191155277512875,0.8063401418541272,1.2702086052996542,15.45050197045684,28.678788686128538,13.228286715671699,0.42388403635825256,1.6700086056967116,13.902703687042992,30.77625855569677,16.873554868653777,0.6804001220413998,2.1220158422036874,1.4574665764575343,True,5.010025817090135,True,2.429110960762557,True,8.350043028483558,True,0.48582219215251143,True,1.6700086056967116,True,0.41912888912303004,True,0.41912888912303004,True
U56/g0.80,U56,GROSS,anchor/g0.80,4446,20.31004182032678,23.991323275265337,21.39547637288542,0.7051476324630128,-3.6812814549385564,0.11658922423677964,0.253907683966176,0.24513412524767908,0.16519928248947124,0.6806334346404552,0.7588973615389082,0.07826392689845296,0.16600080505080017,1.1382204519640184,-0.20310041820326752,17.049793795610857,27.776222803710464,10.726429008099608,0.6623090500783135,0.8774607805546388,16.366764030741237,30.875819331452288,14.50905530071105,0.7453787270378385,0.9837866801605202,14.785469735387474,32.830789210965925,18.045319475578452,0.4786732119963375,1.136861664089885,0.7617230518985281,True,2.9513600404815605,True,1.2695384198308801,True,4.918933400802601,True,0.253907683966176,True,0.9837866801605202,True,0.49026825049535816,True,0.49026825049535816,True
U56/g0.85,U56,GROSS,anchor/g0.85,4446,21.481209308120157,25.465706262297758,22.881440542572733,0.6485801719626152,-3.984496954177601,0.6097436569990933,0.21686248469347547,0.2839576155433292,0.15530127350626088,0.6449526264186402,0.7044215840818013,0.05946895766316118,0.17648502173757885,1.1383500393466024,-0.21481209308120175,18.010229600031916,29.626503998726736,11.61627439869482,0.24018006531457559,0.39489603382513394,16.967165522932532,31.362193806355123,14.39502828342259,0.561922937647708,1.3035960887872236,15.662730594421426,33.532509722043216,17.86977912762179,0.4741651438773502,1.8200792546513611,1.8292309709972798,True,3.9107882663616707,True,3.0487182849954664,True,6.517980443936118,True,0.6097436569990933,True,1.3035960887872236,True,0.5679152310866584,True,0.5679152310866584,True
U56/g0.90,U56,GROSS,anchor/g0.90,4446,22.641181010086335,26.404293706607838,23.858396350814957,0.6765402902087478,-3.763112696521503,0.5785971735573376,0.49999204826966803,0.1667295105151574,0.1657607305646529,0.5758952236815009,0.7175309518719303,0.14163572819042936,0.18697060523192888,1.1384664544669747,-0.22641181010086275,18.974158586043252,31.756374341081976,12.782215755038724,0.50682596762908,0.7245815118492693,18.326695079593996,34.36743906727821,16.040743987684216,0.4777171093552681,1.0662017602473313,17.02846987128065,37.78528023520886,20.75681036392821,0.9957591537642081,1.8917132311648714,1.735791520672013,True,3.198605280741994,True,2.892985867786688,True,5.331008801236656,True,0.5785971735573376,True,1.0662017602473313,True,0.3334590210303148,True,0.3334590210303148,True
U56/g0.95,U56,GROSS,anchor/g0.95,4446,23.78996514094679,27.375123098679303,25.20501468502393,0.6053034313243737,-3.5851579577325126,0.7259761620868268,0.5436911899827201,0.320113752611217,0.17143968808512078,0.6053034313243737,0.7790104985167834,0.1737070671924097,0.1974551010883523,1.1385678321795571,-0.23789965140946778,19.861249113755786,33.2240327536121,13.362783639856314,0.27008217088469166,0.8710816227927864,18.516731716763292,36.02800986854248,17.51127815177919,0.7561781894492938,1.109165426449266,17.577825640181093,37.860178781084365,20.282353140903272,0.4399212174694398,1.1887331207401175,2.1779284862604804,True,3.3274962793477982,True,3.629880810434134,False,5.54582713224633,True,0.7259761620868268,True,1.109165426449266,True,0.640227505222434,True,0.640227505222434,True
U56/g1.00,U56,GROSS,anchor/g1.00,4446,24.927640903130786,29.042056521520223,26.446458466839943,0.6308546086300129,-4.114415618389437,0.31447897592558505,0.5524979357613091,0.39745976281976425,0.20675108012934196,0.5585369142472466,0.7109515599958581,0.15241464574861152,0.20793643277725216,1.1386547568691299,-0.24927640903130788,21.408714943493322,33.86709252727828,12.458377583784959,0.41007920999617653,0.9911424172961816,20.50986995846849,36.47410742435165,15.964237465883162,0.7746139398827694,1.5399097073920274,19.012525571803764,39.33242733213888,20.319901760335114,0.783480916350566,1.4421372827527676,1.6574938072839274,True,4.619729122176082,True,2.7624896788065456,True,7.699548536960137,True,0.5524979357613091,True,1.5399097073920274,True,0.7949195256395285,True,0.7949195256395285,True
B136/N5/H63/W,B136,POP,N5/H63/W,4443,28.62353517468697,33.66540831952951,29.26089739491149,0.87358622442207,-5.0418731448425405,0.5867329563412582,0.5195086356320786,0.2499784053612295,0.2104191703441387,0.8453135722744354,0.9337540181272964,0.08844044585286104,0.2365986271857763,1.1079850625341563,-0.28623535174686965,23.5747937215912,38.50502262891175,14.930228907320554,0.5705347599782407,1.3622902059926432,21.879313347841226,41.08830035828964,19.20898701044841,0.35493685772438255,0.6398379126805409,21.002671988601726,43.6961530680695,22.693481079467773,0.4214845294440295,1.8999167918210205,1.7601988690237746,True,1.9195137380416227,True,2.933664781706291,True,3.1991895634027046,True,0.5867329563412582,True,0.6398379126805409,True,0.499956810722459,True,0.499956810722459,True
B136/N5/H63/M,B136,POP,N5/H63/M,4443,28.344803654081996,35.87578516867944,29.726444435700508,0.8165390820651398,-7.530981514597446,0.578601942667234,0.4424828333231545,0.2907746239160538,0.24652088006177664,0.7643826897979471,0.823072484046688,0.05868979424874088,0.1866838207421473,0.937142126173098,-0.2834480365408203,23.617290137877916,39.23172615635264,15.614436018474727,0.20502460746709517,0.4659963909632836,22.35332283431177,41.6455058292596,19.29218299494783,0.8829863228359898,0.6963897978075124,20.941463390310794,44.1876494939147,23.246186103603904,0.5487046121457233,1.3743012237100203,1.735805828001702,True,2.6489589685079693,True,2.89300971333617,True,4.414931614179949,True,0.578601942667234,True,0.8829863228359898,True,0.5815492478321076,True,0.5815492478321076,True
B136/N5/H126/W,B136,POP,N5/H126/W,4443,28.123881008744522,33.55323875620665,32.11870339340088,0.26421824265979277,-5.429357747462131,0.6934747969606505,0.766834356458034,0.3084987547279603,0.2631602533326962,0.10972047018572238,0.26421824265979277,0.15449777247407037,0.18905908768145907,0.9776027635417432,-0.2812388100874461,26.069445439030712,42.82694382338346,16.757498384352747,0.6508160828460916,1.0194494333024906,24.001360614931638,46.585680825926666,22.584320210995028,0.6448042987798779,1.2503309070018247,22.756245006012076,48.82215521758933,26.06591021157725,0.9160640642213096,2.508255218377805,2.300503069374102,True,3.750992721005474,True,3.83417178229017,True,6.2516545350091235,True,0.766834356458034,True,1.2503309070018247,True,0.6169975094559206,True,0.6169975094559206,True
B136/N5/H126/M,B136,POP,N5/H126/M,4443,28.34480365408203,33.88312958253669,30.397779856476394,0.6293146649519776,-5.538325928454661,0.6838880550196436,0.6152612952281089,0.3932375152771783,0.2700623345066635,0.6181714472855637,0.7206710533557635,0.10249960607019981,0.21242331498620626,1.0393600156739333,-0.2834480365408205,24.28086361038502,40.3451203379372,16.064256727552184,0.4744236983328527,0.7511500917015113,22.589435068471897,43.8885161184929,21.299081050021005,0.4766223977743991,1.2092597754980332,21.402962808594975,47.106980723656974,25.704017915062,1.0531004828096187,1.4398081396766997,2.0516641650589307,True,3.6277793264940996,True,3.419440275098218,True,6.046298877490166,True,0.6838880550196436,True,1.2092597754980332,True,0.7864750305543566,True,0.7864750305543566,True
