panel,ladder,stat,m,subsets,inf,p_inf
U56,CADENCE,DD,9,1,1,1.0
B136,N,S_FULL,3,84,84,1.0
B136,N,S_FULL,4,126,126,1.0
B136,N,S_FULL,5,126,126,1.0
B136,N,S_FULL,6,84,84,1.0
B136,N,S_FULL,7,36,36,1.0
B136,N,S_FULL,8,9,9,1.0
B136,N,S_FULL,9,1,1,1.0
B136,N,S_OOS,3,84,29,0.34523809523809523
B136,N,S_OOS,4,126,28,0.2222222222222222
B136,N,S_OOS,5,126,17,0.1349206349206349
B136,N,S_OOS,6,84,6,0.07142857142857142
B136,N,S_OOS,7,36,1,0.027777777777777776
B136,N,S_OOS,8,9,0,0.0
B136,N,S_OOS,9,1,0,0.0
B136,N,CAGR,3,84,84,1.0
B136,N,CAGR,4,126,126,1.0
B136,N,CAGR,5,126,126,1.0
B136,N,CAGR,6,84,84,1.0
B136,N,CAGR,7,36,36,1.0
B136,N,CAGR,8,9,9,1.0
B136,N,CAGR,9,1,1,1.0
B136,N,DD,3,84,39,0.4642857142857143
B136,N,DD,4,126,49,0.3888888888888889
B136,N,DD,5,126,41,0.3253968253968254
B136,N,DD,6,84,22,0.2619047619047619
B136,N,DD,7,36,7,0.19444444444444445
B136,N,DD,8,9,1,0.1111111111111111
B136,N,DD,9,1,0,0.0
B136,H,S_FULL,3,84,84,1.0
B136,H,S_FULL,4,126,126,1.0
B136,H,S_FULL,5,126,126,1.0
B136,H,S_FULL,6,84,84,1.0
B136,H,S_FULL,7,36,36,1.0
B136,H,S_FULL,8,9,9,1.0
B136,H,S_FULL,9,1,1,1.0
B136,H,S_OOS,3,84,71,0.8452380952380952
B136,H,S_OOS,4,126,90,0.7142857142857143
B136,H,S_OOS,5,126,71,0.5634920634920635
B136,H,S_OOS,6,84,34,0.40476190476190477
B136,H,S_OOS,7,36,9,0.25
B136,H,S_OOS,8,9,1,0.1111111111111111
B136,H,S_OOS,9,1,0,0.0
B136,H,CAGR,3,84,64,0.7619047619047619
B136,H,CAGR,4,126,81,0.6428571428571429
B136,H,CAGR,5,126,66,0.5238095238095238
B136,H,CAGR,6,84,33,0.39285714285714285
B136,H,CAGR,7,36,9,0.25
B136,H,CAGR,8,9,1,0.1111111111111111
B136,H,CAGR,9,1,0,0.0
B136,H,DD,3,84,79,0.9404761904761905
B136,H,DD,4,126,116,0.9206349206349206
B136,H,DD,5,126,116,0.9206349206349206
B136,H,DD,6,84,79,0.9404761904761905
B136,H,DD,7,36,35,0.9722222222222222
B136,H,DD,8,9,9,1.0
B136,H,DD,9,1,1,1.0
B136,GROSS,S_FULL,3,120,0,0.0
B136,GROSS,S_FULL,4,210,0,0.0
B136,GROSS,S_FULL,5,252,0,0.0
B136,GROSS,S_FULL,6,210,0,0.0
B136,GROSS,S_FULL,7,120,0,0.0
B136,GROSS,S_FULL,8,45,0,0.0
B136,GROSS,S_FULL,9,10,0,0.0
B136,GROSS,S_FULL,10,1,0,0.0
B136,GROSS,S_OOS,3,120,0,0.0
B136,GROSS,S_OOS,4,210,0,0.0
B136,GROSS,S_OOS,5,252,0,0.0
B136,GROSS,S_OOS,6,210,0,0.0
B136,GROSS,S_OOS,7,120,0,0.0
B136,GROSS,S_OOS,8,45,0,0.0
B136,GROSS,S_OOS,9,10,0,0.0
B136,GROSS,S_OOS,10,1,0,0.0
B136,GROSS,CAGR,3,120,0,0.0
B136,GROSS,CAGR,4,210,0,0.0
B136,GROSS,CAGR,5,252,0,0.0
B136,GROSS,CAGR,6,210,0,0.0
B136,GROSS,CAGR,7,120,0,0.0
B136,GROSS,CAGR,8,45,0,0.0
B136,GROSS,CAGR,9,10,0,0.0
B136,GROSS,CAGR,10,1,0,0.0
B136,GROSS,DD,3,120,0,0.0
B136,GROSS,DD,4,210,0,0.0
B136,GROSS,DD,5,252,0,0.0
B136,GROSS,DD,6,210,0,0.0
B136,GROSS,DD,7,120,0,0.0
B136,GROSS,DD,8,45,0,0.0
B136,GROSS,DD,9,10,0,0.0
B136,GROSS,DD,10,1,0,0.0
B136,CADENCE,S_FULL,3,84,61,0.7261904761904762
B136,CADENCE,S_FULL,4,126,70,0.5555555555555556
B136,CADENCE,S_FULL,5,126,51,0.40476190476190477
B136,CADENCE,S_FULL,6,84,24,0.2857142857142857
B136,CADENCE,S_FULL,7,36,7,0.19444444444444445
B136,CADENCE,S_FULL,8,9,1,0.1111111111111111
B136,CADENCE,S_FULL,9,1,0,0.0
B136,CADENCE,S_OOS,3,84,54,0.6428571428571429
B136,CADENCE,S_OOS,4,126,61,0.48412698412698413
B136,CADENCE,S_OOS,5,126,46,0.36507936507936506
B136,CADENCE,S_OOS,6,84,23,0.27380952380952384
B136,CADENCE,S_OOS,7,36,7,0.19444444444444445
B136,CADENCE,S_OOS,8,9,1,0.1111111111111111
B136,CADENCE,S_OOS,9,1,0,0.0
B136,CADENCE,CAGR,3,84,50,0.5952380952380952
B136,CADENCE,CAGR,4,126,53,0.42063492063492064
B136,CADENCE,CAGR,5,126,35,0.2777777777777778
B136,CADENCE,CAGR,6,84,13,0.15476190476190477
B136,CADENCE,CAGR,7,36,2,0.05555555555555555
B136,CADENCE,CAGR,8,9,0,0.0
B136,CADENCE,CAGR,9,1,0,0.0
B136,CADENCE,DD,3,84,84,1.0
B136,CADENCE,DD,4,126,126,1.0
B136,CADENCE,DD,5,126,126,1.0
B136,CADENCE,DD,6,84,84,1.0
B136,CADENCE,DD,7,36,36,1.0
B136,CADENCE,DD,8,9,9,1.0
B136,CADENCE,DD,9,1,1,1.0
