panel,book,arm,be_FULL,censored_FULL,be_noDD,censored_noDD,be_noCAGR,censored_noCAGR,be_SHARPEONLY,censored_SHARPEONLY,binding_bar,be_H1,be_H2,be_OOS,be_DD,be_CAGR,slack_H1,slack_H2,slack_OOS,slack_DD,slack_CAGR
broad,V1u,v1gate-dg,,False,,False,,False,,False,fails at 0,2.0,,,,,0.06023286450111276,-0.054948593227449716,-0.05014136229137789,-0.007987458901160954,-0.015170617273271833
broad,V1u,v1gate-rw,,False,,False,,False,,False,fails at 0,2.5,,,7.0,,0.07963336211464522,-0.026997300068609564,-0.02514324148247271,0.018764912334998052,-0.010977854721150135
broad,V1u,band3-dg,,False,,False,,False,,False,fails at 0,1.5,,,,,0.05123934436747968,-0.04248324568351447,-0.03860301923780429,-0.007755215178090469,-0.01476812590041933
broad,V1u,band3-rw,,False,,False,,False,,False,fails at 0,0.5,,,0.5,,0.02661520242737525,-0.023483728927846226,-0.021689618558099033,0.0020520071110424476,-0.014134275367894439
broad,V1u,vol60-dg,,False,,False,,False,,False,fails at 0,2.0,,,,,0.06970238567512932,-0.02757550991028146,-0.024730140963863945,-0.0054915383535877604,-0.01277092316349343
broad,V1u,vol60-rw,,False,,False,,False,,False,fails at 0,2.0,,,,,0.06970238567512932,-0.02757550991028146,-0.024730140963863945,-0.0054915383535877604,-0.01277092316349343
broad,V1u,g200-dg,,False,,False,,False,,False,fails at 0,2.0,,,,,0.06023286450111276,-0.054948593227449716,-0.05014136229137789,-0.007987458901160954,-0.015170617273271833
broad,V1u,g200-rw,,False,,False,,False,,False,fails at 0,2.5,,,7.0,,0.07963336211464522,-0.011986631399374947,-0.011202090616141969,0.018764912334997552,-0.009988131101625233
broad,TOP20,control,,False,12.0,False,,False,12.0,False,fails at 0,29.0,12.0,15.5,,30.0,0.2775619172899566,0.10116128687482762,0.13031043510126383,-0.05619936728733918,0.05547629157800625
broad,TOP20,v1gate-dg,4.0,False,4.0,False,4.0,False,4.0,False,H2,23.0,4.0,8.5,30.0,19.0,0.2348545403692348,0.0439643559151931,0.08502334193958017,0.019246973943771645,0.028323536938778357
broad,TOP20,v1gate-rw,7.5,False,7.5,False,7.5,False,7.5,False,H2,26.5,7.5,10.5,30.0,25.5,0.269193893567629,0.07515852591686367,0.10874750195351657,0.0024641792983905453,0.03993876127933356
broad,TOP20,band3-dg,,False,11.0,False,,False,11.0,False,fails at 0,30.0,11.0,14.5,,30.0,0.30870571934255064,0.09214891038475226,0.12525109820638725,-0.013514585390451167,0.05265815426984226
broad,TOP20,band3-rw,,False,11.0,False,,False,11.0,False,fails at 0,30.0,11.0,14.5,,30.0,0.3239349000231586,0.09276003266152688,0.12495293512702177,-0.01808350079095125,0.055185367437294755
broad,TOP20,vol60-dg,6.0,False,6.0,False,6.0,False,6.0,False,H2,18.5,6.0,10.0,30.0,19.0,0.1925167448581564,0.06220966613677037,0.10118776369276838,0.019246973943771645,0.02881234701864295
broad,TOP20,vol60-rw,,False,5.5,False,,False,5.5,False,fails at 0,22.0,5.5,9.0,,23.5,0.22587634273183088,0.05784410052081623,0.09132513015490784,-0.002919549218292461,0.03729654370318487
broad,TOP20,g200-dg,,False,10.5,False,,False,10.5,False,fails at 0,30.0,10.5,14.5,,30.0,0.3207802829979127,0.09108547190899163,0.12398496157858796,-0.02991911870012756,0.053393209356670454
broad,TOP20,g200-rw,,False,10.0,False,,False,10.0,False,fails at 0,30.0,10.0,14.0,,30.0,0.3300334111639671,0.0862352823027992,0.11849086016864185,-0.03673856426624125,0.055195849911413256
broad,EWall,control,,False,30.0,True,,False,30.0,True,fails at 0,30.0,30.0,30.0,,30.0,0.28130702678266806,0.1971505675555172,0.22741359897207492,-0.05127970599252665,0.03596462678562236
broad,EWall,v1gate-dg,,False,,False,30.0,True,30.0,True,fails at 0,30.0,30.0,30.0,30.0,,0.25534322126096587,0.1634119348165134,0.25621931895522354,0.08207615677724835,-0.03078874476428274
broad,EWall,v1gate-rw,10.5,False,10.5,False,19.5,False,19.5,False,CAGR,30.0,19.5,26.5,30.0,10.5,0.263822385292136,0.16391839567003408,0.21847552942833137,0.02886882465825033,0.00975362085310387
broad,EWall,band3-dg,,False,,False,30.0,True,30.0,True,fails at 0,30.0,30.0,30.0,30.0,,0.2980589587148019,0.18038016077664,0.2661114057660181,0.08018173395154254,-0.02412100442692694
broad,EWall,band3-rw,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.25898711406397235,0.19038573113763513,0.23809085618692305,0.01845687978954505,0.016127074785418458
broad,EWall,vol60-dg,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.3100516726057818,0.206641334697087,0.25403321636667164,0.015420136916359739,0.018521674684808656
broad,EWall,vol60-rw,,False,30.0,True,,False,30.0,True,fails at 0,30.0,30.0,30.0,,30.0,0.289798871444239,0.19625024651318768,0.23710793649711892,-0.004395303797916361,0.024410315965817067
broad,EWall,g200-dg,,False,,False,30.0,True,30.0,True,fails at 0,30.0,30.0,30.0,30.0,,0.2859464499281854,0.20585787420916724,0.2930876786924199,0.07663934541988945,-0.025216327133660538
broad,EWall,g200-rw,15.0,False,21.0,False,15.0,False,28.5,False,DD,30.0,28.5,30.0,15.0,21.0,0.2716824539107179,0.20823529877130542,0.2540096285581397,0.0030829023207505357,0.018567882164455166
broad,FRAC85,control,,False,30.0,True,,False,30.0,True,fails at 0,30.0,30.0,30.0,,30.0,0.3161386289291772,0.18161330869471048,0.22095417668499562,-0.04307010151373317,0.03442988855234437
broad,FRAC85,v1gate-dg,14.0,False,14.0,False,19.0,False,19.0,False,CAGR,29.5,19.0,25.0,30.0,14.0,0.2555076418852713,0.1725183353990638,0.22262583135331315,0.01684355806985635,0.015434451834900068
broad,FRAC85,band3-dg,14.5,False,25.5,False,14.5,False,27.5,False,DD,30.0,27.5,30.0,14.5,25.5,0.2530377625018141,0.17270948807727793,0.21939128357547566,0.002325105372187941,0.020766832214955663
broad,FRAC85,vol60-dg,30.0,True,30.0,True,30.0,True,30.0,True,,30.0,30.0,30.0,30.0,30.0,0.2965179952032637,0.21291803999182712,0.26237700605992353,0.006179408976903139,0.024713187084117863
broad,FRAC85,g200-dg,,False,23.0,False,,False,24.5,False,fails at 0,30.0,24.5,30.0,,23.0,0.26252880657364885,0.19349703122860729,0.2351791097308633,-0.01753236609469455,0.023720140394034264
