panel,book,gross,cost,w_pts,n_pass,base_to,drag
broad,TOP20,1.0,15.0,0,0,17.182168549639897,0.025773252824459848
broad,TOP20,1.0,25.0,0,0,17.182168549639897,0.04295542137409974
broad,TOP20,1.0,50.0,0,0,17.182168549639897,0.08591084274819948
small,EWALL,0.5,0.0,0,0,1.8867558566829532,0.0
small,EWALL,0.5,5.0,0,0,1.8867558566829532,0.0009433779283414766
small,EWALL,0.5,10.0,0,0,1.8867558566829532,0.0018867558566829533
small,EWALL,0.5,15.0,0,0,1.8867558566829532,0.00283013378502443
small,EWALL,0.5,25.0,0,0,1.8867558566829532,0.0047168896417073836
small,EWALL,0.5,50.0,0,0,1.8867558566829532,0.009433779283414767
small,EWALL,0.75,0.0,0,0,2.818390216073242,0.0
small,EWALL,0.75,5.0,0,0,2.818390216073242,0.001409195108036621
small,EWALL,0.75,10.0,0,0,2.818390216073242,0.002818390216073242
small,EWALL,0.75,15.0,0,0,2.818390216073242,0.004227585324109863
small,EWALL,0.75,25.0,0,0,2.818390216073242,0.007045975540183104
small,EWALL,0.75,50.0,0,0,2.818390216073242,0.014091951080366209
small,EWALL,1.0,0.0,0,0,3.747611276325614,0.0
small,EWALL,1.0,5.0,0,0,3.747611276325614,0.001873805638162807
small,EWALL,1.0,10.0,0,0,3.747611276325614,0.003747611276325614
small,EWALL,1.0,15.0,0,0,3.747611276325614,0.005621416914488421
small,EWALL,1.0,25.0,0,0,3.747611276325614,0.009369028190814034
small,EWALL,1.0,50.0,0,0,3.747611276325614,0.01873805638162807
small,TOP20,0.5,0.0,0,0,10.854471169605729,0.0
small,TOP20,0.5,5.0,0,0,10.854471169605729,0.005427235584802865
small,TOP20,0.5,10.0,0,0,10.854471169605729,0.01085447116960573
small,TOP20,0.5,15.0,0,0,10.854471169605729,0.016281706754408595
small,TOP20,0.5,25.0,0,0,10.854471169605729,0.02713617792401432
small,TOP20,0.5,50.0,0,0,10.854471169605729,0.05427235584802864
small,TOP20,0.75,0.0,0,0,16.24520452401551,0.0
small,TOP20,0.75,5.0,0,0,16.24520452401551,0.008122602262007754
small,TOP20,0.75,10.0,0,0,16.24520452401551,0.016245204524015507
small,TOP20,0.75,15.0,0,0,16.24520452401551,0.024367806786023263
small,TOP20,0.75,25.0,0,0,16.24520452401551,0.04061301131003878
small,TOP20,0.75,50.0,0,0,16.24520452401551,0.08122602262007755
small,TOP20,1.0,0.0,0,0,21.663592326681254,0.0
small,TOP20,1.0,5.0,0,0,21.663592326681254,0.010831796163340627
small,TOP20,1.0,10.0,0,0,21.663592326681254,0.021663592326681254
small,TOP20,1.0,15.0,0,0,21.663592326681254,0.03249538849002188
small,TOP20,1.0,25.0,0,0,21.663592326681254,0.05415898081670314
small,TOP20,1.0,50.0,0,0,21.663592326681254,0.10831796163340628
u56,EWALL,0.5,0.0,0,0,1.3401492841769116,0.0
u56,EWALL,0.5,5.0,0,0,1.3401492841769116,0.0006700746420884558
u56,EWALL,0.5,10.0,0,0,1.3401492841769116,0.0013401492841769115
u56,EWALL,0.5,15.0,0,0,1.3401492841769116,0.0020102239262653676
u56,EWALL,0.5,25.0,0,0,1.3401492841769116,0.003350373210442279
u56,EWALL,0.5,50.0,0,0,1.3401492841769116,0.006700746420884558
u56,EWALL,0.75,0.0,0,0,1.9918827924661704,0.0
u56,EWALL,0.75,5.0,0,0,1.9918827924661704,0.0009959413962330854
u56,EWALL,0.75,10.0,0,0,1.9918827924661704,0.0019918827924661708
u56,EWALL,0.75,15.0,0,0,1.9918827924661704,0.0029878241886992555
u56,EWALL,0.75,25.0,0,0,1.9918827924661704,0.004979706981165426
u56,EWALL,0.75,50.0,0,0,1.9918827924661704,0.009959413962330852
u56,EWALL,1.0,0.0,6,6,2.6428530585599534,0.0
u56,EWALL,1.0,5.0,6,6,2.6428530585599534,0.0013214265292799767
u56,EWALL,1.0,10.0,6,6,2.6428530585599534,0.0026428530585599535
u56,EWALL,1.0,15.0,6,6,2.6428530585599534,0.003964279587839931
u56,EWALL,1.0,25.0,5,5,2.6428530585599534,0.006607132646399883
u56,EWALL,1.0,50.0,1,1,2.6428530585599534,0.013214265292799766
u56,TOP20,0.5,0.0,0,0,5.627133796143418,0.0
u56,TOP20,0.5,5.0,0,0,5.627133796143418,0.002813566898071709
u56,TOP20,0.5,10.0,0,0,5.627133796143418,0.005627133796143418
u56,TOP20,0.5,15.0,0,0,5.627133796143418,0.008440700694215127
u56,TOP20,0.5,25.0,0,0,5.627133796143418,0.014067834490358543
u56,TOP20,0.5,50.0,0,0,5.627133796143418,0.028135668980717086
u56,TOP20,0.75,0.0,6,6,8.39816070459948,0.0
u56,TOP20,0.75,5.0,6,6,8.39816070459948,0.00419908035229974
u56,TOP20,0.75,10.0,6,6,8.39816070459948,0.00839816070459948
u56,TOP20,0.75,15.0,6,6,8.39816070459948,0.01259724105689922
u56,TOP20,0.75,25.0,6,6,8.39816070459948,0.0209954017614987
u56,TOP20,0.75,50.0,0,0,8.39816070459948,0.0419908035229974
u56,TOP20,1.0,0.0,0,0,11.186560563805005,0.0
u56,TOP20,1.0,5.0,0,0,11.186560563805005,0.005593280281902502
u56,TOP20,1.0,10.0,0,0,11.186560563805005,0.011186560563805004
u56,TOP20,1.0,15.0,0,0,11.186560563805005,0.016779840845707505
u56,TOP20,1.0,25.0,0,0,11.186560563805005,0.027966401409512513
u56,TOP20,1.0,50.0,0,0,11.186560563805005,0.055932802819025025
