uni,q,book,arm,frac_pos_full,frac_pos_IS,frac_pos_OOS,frac_priceable,dMaxDD_med,dCAGR_med,rate_med
universe.json(56),0.1,TOP40,g200-rw,1.0,1.0,1.0,1.0,6.891182688652286,3.718732112287415,0.5443057814066989
universe.json(56),0.1,TOP40,stop15,0.2,0.85,0.2,0.125,-0.20697998766406323,1.042152432452259,6.159932548149119
universe.json(56),0.1,TOP40,stop25,0.0,0.075,0.0,0.0,-1.456989414117571,0.39828995390542854,
universe.json(56),0.1,TOP40,v1gate-dg,1.0,1.0,1.0,1.0,8.240041918311958,4.944190674496118,0.597825838211008
universe.json(56),0.1,TOP40,v1gate-rw,1.0,1.0,1.0,1.0,8.177221763524411,4.77543012370324,0.5808914459374737
universe.json(56),0.1,TOP40,vol60-dg,1.0,0.825,1.0,1.0,5.35224432510798,1.8345088390735897,0.3320925811153073
universe.json(56),0.1,TOP40,vol60-rw,1.0,0.75,1.0,1.0,4.113593723034192,1.4634438216380885,0.3666155910771559
universe.json(56),0.1,TOP5,abs12-dg,0.325,0.65,0.375,0.0,-5.551115123125783e-15,0.23757909841602975,
universe.json(56),0.1,TOP5,abs12-rw,0.375,0.65,0.25,0.0,0.0,0.21951886631913498,
universe.json(56),0.1,TOP5,band3-dg,0.3,0.6,0.325,0.0,-1.1102230246251565e-14,0.354266730875441,
universe.json(56),0.1,TOP5,band3-rw,0.325,0.75,0.3,0.0,0.0,0.3554412952065378,
universe.json(56),0.1,TOP5,ddctl-8/.5/high,1.0,1.0,1.0,1.0,7.063255789924245,8.191631022661749,1.2022735317089692
universe.json(56),0.1,TOP5,ddctl-8/.5/recover,1.0,1.0,1.0,1.0,7.063255789924201,8.562740757586152,1.2678302739964202
universe.json(56),0.1,TOP5,ebud-0.10,0.75,0.95,0.7,0.5,0.10983712303000437,5.180033814611784,6.326132149683783
universe.json(56),0.1,TOP5,ebud-0.20,0.275,0.7,0.375,0.025,-1.1102230246251565e-14,1.6104260793706415,1.2259214218134984
universe.json(56),0.1,TOP5,g200-dg,0.3,0.8,0.375,0.05,0.0,0.26669338641852613,0.7962559846974132
universe.json(56),0.1,TOP5,g200-rw,0.35,0.675,0.425,0.05,0.0,0.09844705928896413,0.0877019685665666
universe.json(56),0.1,TOP5,stop15,0.0,1.0,0.0,0.0,-3.102442639744507,1.966535226323518,
universe.json(56),0.1,TOP5,stop25,0.0,0.8,0.0,0.0,-2.723558614170818,0.35243641256820224,
universe.json(56),0.1,TOP5,v1gate-dg,1.0,0.85,1.0,1.0,7.35528219503686,6.75009401582507,0.8067481559728504
universe.json(56),0.1,TOP5,v1gate-rw,1.0,0.675,1.0,1.0,7.233681029007677,5.355945381666361,0.7577124397601485
universe.json(56),0.1,TOP5,vol60-dg,1.0,0.95,1.0,1.0,7.703170112425505,6.570927313316998,0.8369092401546571
universe.json(56),0.1,TOP5,vol60-rw,1.0,0.8,1.0,1.0,6.356810427539089,5.138142610077456,0.7860079847244004
universe.json(56),0.1,TOPall,abs12-dg,1.0,1.0,1.0,1.0,7.82569694811091,4.56769927126458,0.5862107983024121
universe.json(56),0.1,TOPall,abs12-rw,0.925,0.475,0.925,0.925,2.6561513921575797,1.4563574842034632,0.5121381389262255
universe.json(56),0.1,TOPall,band3-dg,1.0,1.0,1.0,1.0,10.584130437592215,4.635566019354442,0.433922931648302
universe.json(56),0.1,TOPall,band3-rw,1.0,1.0,1.0,1.0,4.776148039164891,0.9786413215176148,0.2047577110798738
universe.json(56),0.1,TOPall,ddctl-8/.5/high,1.0,1.0,1.0,1.0,6.943522075615916,4.974473031828596,0.7179097909167561
universe.json(56),0.1,TOPall,ddctl-8/.5/recover,1.0,1.0,1.0,1.0,6.934711708383845,3.929175651182526,0.553597915605778
universe.json(56),0.1,TOPall,ebud-0.10,0.0,0.0,0.0,0.0,0.0,0.0,
universe.json(56),0.1,TOPall,ebud-0.20,0.0,0.0,0.0,0.0,0.0,0.0,
universe.json(56),0.1,TOPall,g200-dg,1.0,1.0,1.0,1.0,10.633892588312232,5.094999590310623,0.48241558830575126
universe.json(56),0.1,TOPall,g200-rw,1.0,1.0,1.0,1.0,3.7556891800891057,1.696675018005056,0.4608099533105577
universe.json(56),0.1,TOPall,stop15,0.425,0.425,0.425,0.275,-0.034408365476923386,1.146077285470548,5.098001099461529
universe.json(56),0.1,TOPall,stop25,0.0,0.425,0.0,0.0,-1.304696383160442,0.40460397631537637,
universe.json(56),0.1,TOPall,v1gate-dg,1.0,1.0,1.0,1.0,11.69760587264236,6.00040216951524,0.5083741607008205
universe.json(56),0.1,TOPall,v1gate-rw,1.0,1.0,1.0,1.0,6.6071154855994845,2.9209922237986907,0.4359807844552548
universe.json(56),0.1,TOPall,vol60-dg,1.0,0.875,1.0,1.0,5.72593744498594,1.7396597175720174,0.3023302374364267
universe.json(56),0.1,TOPall,vol60-rw,1.0,0.65,1.0,1.0,4.0435051568201095,1.1144590403356913,0.2566590886607716
universe.json(56),0.1,VS10,abs12-dg,0.475,0.2,0.45,0.025,0.0,0.46595679525472944,0.9307869955731651
universe.json(56),0.1,VS10,abs12-rw,0.1,0.05,0.175,0.0,-2.118616369494175,0.13253230725934761,
universe.json(56),0.1,VS10,band3-dg,0.9,0.4,0.825,0.775,0.6702626661193423,0.21214190118857834,0.32855664503235904
universe.json(56),0.1,VS10,band3-rw,0.2,0.35,0.225,0.1,-0.07196712642744685,0.01889255882170371,0.04118434937380332
universe.json(56),0.1,VS10,ddctl-8/.5/high,1.0,0.475,1.0,1.0,2.4263237611067523,2.2631484047868744,1.0065007128359247
universe.json(56),0.1,VS10,ddctl-8/.5/recover,1.0,0.45,1.0,1.0,2.419942331679054,1.798087726633435,0.7946924347830033
universe.json(56),0.1,VS10,ebud-0.10,0.975,1.0,0.975,0.975,2.500990584903101,3.064600801465056,1.1737740883133934
universe.json(56),0.1,VS10,ebud-0.20,0.85,0.425,0.85,0.775,0.7373489078188078,0.487907345499905,0.5449335844466006
universe.json(56),0.1,VS10,g200-dg,0.9,0.5,0.875,0.85,0.6924368071187792,0.3634683770886271,0.4414006425280018
universe.json(56),0.1,VS10,g200-rw,0.0,0.425,0.0,0.0,-1.442095282006156,0.20594126394629653,
universe.json(56),0.1,VS10,stop15,0.0,0.3,0.0,0.0,-2.1457867756660365,0.273401038770682,
universe.json(56),0.1,VS10,stop25,0.0,0.0,0.0,0.0,-0.8189773376447496,0.041272387214130735,
