arm,G,max_vol,bps,CAGR,Sharpe,MaxDD,H1,H2,oCAGR,oSharpe,oMaxDD,TO,y2020,y2022,p4a,p4b,fail4b,iSharpe,dd2020,dd2022,Vol
EXCL,0.85,0.8,10,0.12155810849498327,1.055633254254655,-0.18134439977119243,1.147626639751703,0.9791102578650225,0.1263000740612925,1.0638088775237209,-0.18134439977119288,8.895400528917664,0.21509582530457738,-0.13723701671795174,False,True,-,1.0461495324284837,-0.18131429515093378,-0.17956715940584467,0.11497602110765891
EXCL,0.85,0.8,25,0.10668578311900889,0.9388001306976553,-0.19804854164213204,1.0323331967881804,0.8604924942947385,0.11098239244318875,0.9474413599388455,-0.19804854164213292,8.895400528917664,0.19625143895880792,-0.1620256011403276,False,True,-,0.9285889936048406,-0.18298763856147127,-0.1954241805025192,0.11507178897543711
EXCL,0.85,99.0,10,0.13098215858859197,1.0909700016413695,-0.2094708194891055,1.1670968873200185,1.0365272125767888,0.14098656052471692,1.1117254218828523,-0.20947081948910518,8.597901719403394,0.29510237443549436,-0.12285122702629192,False,False,DD,1.0670977310786718,-0.2094708194891054,-0.16588718642413358,0.11940614134861152
EXCL,0.85,99.0,25,0.11648161717285,0.982128858841752,-0.21224747792547372,1.053641317565414,0.9306638788827988,0.12625188704512813,1.007602400710278,-0.2122474779254735,8.597901719403394,0.27812718079669807,-0.1470801845045272,False,False,DD,0.9513297678556031,-0.21224747792547383,-0.18107443323834949,0.11950739924534791
EXCL,1.0,0.3,10,0.0976449545900151,0.8962778192182841,-0.27791049804956347,1.038649367995517,0.7611453427915211,0.09622744644930026,0.8879070282510125,-0.2779104980495638,14.030961951521236,0.1315483002866682,-0.21836514828920717,False,False,"H2,DD,CAGR",0.9061255216474265,-0.14072996504080726,-0.2674560385018466,0.11083929825901932
EXCL,1.0,0.3,25,0.07476811687568019,0.7051581234424377,-0.3082211467041698,0.8646307109701497,0.5536703781791196,0.07212964777728859,0.6854849080624401,-0.30822114670417067,14.030961951521236,0.10156673612154932,-0.2533876893439678,False,False,"H1,H2,OOS,DD,CAGR",0.7286142476896338,-0.14827052501209237,-0.2930787020725929,0.1110337653316254
EXCL,1.0,0.4,10,0.1229331291747664,1.0050630112176953,-0.1971057095475205,1.052021858518936,0.9637941077984553,0.13231841421514323,1.0616267874883398,-0.19710570954752016,12.101555936242871,0.13343262539769873,-0.11573959634156539,False,True,-,0.9346479864523697,-0.19710570954752016,-0.19126494181783915,0.1229285016251696
EXCL,1.0,0.4,25,0.10272395383429633,0.85654947122693,-0.20609242217451051,0.906023716093276,0.8126436685059991,0.11166868941144847,0.9132210089395747,-0.20609242217451063,12.101555936242871,0.1078448757404793,-0.14856132972280334,False,False,"H1,H2,DD,CAGR",0.7860675843073888,-0.19941613085966814,-0.20609242217451007,0.12305016772999
EXCL,1.0,0.5,10,0.13328856437484693,1.0381801896098186,-0.20843288412828376,1.048979411026181,1.0308158362454383,0.14813836454558116,1.121912359984353,-0.20843288412828365,11.29986722092155,0.1496106264007031,-0.09038578925835772,False,False,DD,0.932859763883149,-0.20843288412828387,-0.1762243106892798,0.1285358825192593
EXCL,1.0,0.5,25,0.11423452740416451,0.9056015220331969,-0.21042658920029667,0.91865600096375,0.8958834990495614,0.12852897011127262,0.9895943249547393,-0.21042658920029678,11.29986722092155,0.1260114291279515,-0.12197800317119156,False,False,"H1,DD",0.7999391997610672,-0.21042658920029667,-0.18893390036192748,0.1286367162817747
EXCL,1.0,0.6,10,0.13872886468108026,1.0491670917398797,-0.2088028554473248,1.0687546822471747,1.0345559481991757,0.15137545851363554,1.1118572132650841,-0.20880285544732458,10.85923527416467,0.20028830632841133,-0.12442936568908636,False,False,DD,0.9699221508828656,-0.2088028554473247,-0.19907251323162978,0.13221321831035796
EXCL,1.0,0.6,25,0.12032341241007627,0.925270033425652,-0.21077674249840161,0.9466834481789237,0.9086673531636523,0.13241401769499883,0.9882906001326189,-0.21077674249840184,10.85923527416467,0.17726964203853735,-0.15383851599820408,False,False,"H1,DD",0.845563718312523,-0.21077674249840206,-0.21044090316957031,0.13231262270511895
EXCL,1.0,0.8,10,0.14301418702930047,1.0557245991218893,-0.21157034714878653,1.1478603415801052,0.9791640044542081,0.14862349497200333,1.0638062570711901,-0.21157034714878653,10.411019911714996,0.2537187025609904,-0.16134892705828097,False,False,DD,1.0463799544410943,-0.21157034714878675,-0.20924563927506723,0.1353515837043369
EXCL,1.0,0.8,25,0.12529319042049858,0.9395640540691691,-0.23023727391550075,1.0331621423205586,0.861285867350718,0.1303607774356348,0.9481409094951629,-0.23023727391550008,10.411019911714996,0.23100865724826591,-0.18953308470683328,False,False,DD,0.9294514910617887,-0.21346383151286574,-0.2271356992541903,0.13546438481546197
EXCL,1.0,99.0,10,0.15418847464549534,1.090997146245635,-0.243164753237042,1.1673466101645875,1.0364566753695046,0.1660293415000802,1.1116221047261297,-0.2431647532370419,10.058040403773981,0.34922313408199157,-0.1448844897107503,False,False,DD,1.0673309074298662,-0.2431647532370419,-0.19372151243674507,0.1405652234359986
EXCL,1.0,99.0,25,0.13689393804373395,0.9828305552296748,-0.24630859883880063,1.0544894597222374,0.9313294869146713,0.14843641950490105,1.008198377961512,-0.24630859883880107,10.058040403773981,0.32863622550661375,-0.17250617387785006,False,False,DD,0.952199083610181,-0.24630859883880074,-0.21089877300416116,0.14068467477802604
INCL5,0.75,0.3,10,0.0749179237962001,0.9112541232511278,-0.21512392899280453,1.0678394878017878,0.7628815685265733,0.07272411807217649,0.8894516434782717,-0.21512392899280453,10.59661496583758,0.10498125404246372,-0.1670586448002127,False,False,"H2,DD,CAGR",0.9372590018941587,-0.10641052445481669,-0.20695737812097803,0.08308631714404423
INCL5,0.75,0.3,25,0.057958406973543264,0.7186948411850178,-0.2399932289350799,0.8924377282822684,0.5539292186436938,0.05486690197138966,0.6856473591907337,-0.23999322893507902,10.59661496583758,0.08283701645203023,-0.19524433973118183,False,False,"H1,H2,OOS,DD,CAGR",0.758262141609348,-0.1122884542965612,-0.2278616693979082,0.08323118966023793
INCL5,0.75,0.4,10,0.09462959453480035,1.0277695249840029,-0.14947537815355916,1.0787060086708695,0.9829387499849707,0.1014125254581133,1.0824043699327544,-0.14947537815355882,9.175150538968497,0.1145379787326839,-0.08602223762741457,False,False,CAGR,0.9596802889485674,-0.14947537815355882,-0.14594791346183977,0.09212739208732998
INCL5,0.75,0.4,25,0.07966326060526918,0.8775326362799194,-0.1577694944041057,0.9311831242977252,0.829871168275863,0.08611954175646774,0.9320883894982713,-0.15776949440410593,9.175150538968497,0.09516632810799908,-0.11167808408794788,False,False,"H1,H2,CAGR",0.8096049720203418,-0.15133638833016794,-0.15776949440410626,0.09221651349425619
INCL5,0.75,0.5,10,0.10292390303587484,1.065429131678254,-0.1584358092681687,1.076666874465935,1.0577795831818375,0.11412972448657532,1.1508532283662345,-0.15843580926816858,8.597857111291933,0.12911245988977194,-0.06619887717579698,False,False,CAGR,0.9578373871425162,-0.1584358092681688,-0.13399773416529126,0.09633193742899347
INCL5,0.75,0.5,25,0.08878805906647291,0.9308504467739798,-0.16004521409589412,0.9450018239483966,0.920244984621165,0.09955149197649704,1.0159905690023021,-0.1600452140958939,8.597857111291933,0.11116491087522218,-0.09074387442173837,False,False,"H1,CAGR",0.8235989575043281,-0.16004521409589423,-0.14408764855050227,0.09640438707627096
INCL5,0.75,0.6,10,0.10723975992943369,1.0750540942572138,-0.15870675429476233,1.0997138935865889,1.056321015133637,0.11759715971586493,1.1441318500222997,-0.15870675429476244,8.273892559257998,0.17010688498070103,-0.09882683829281014,False,True,-,0.9874180978545285,-0.1587067542947621,-0.15397123909174049,0.0993811186230122
INCL5,0.75,0.6,25,0.09357976019171566,0.9494880711379791,-0.16713631584633493,0.9762557912923749,0.9284850046859142,0.10348156086731808,1.0185813336010743,-0.1671363158463357,8.273892559257998,0.15275386705008498,-0.12195688482593936,False,False,CAGR,0.8617714184188128,-0.1602997139380904,-0.16667912847852628,0.09945279198238786
INCL5,0.75,0.8,10,0.11171427461541006,1.0918212372606297,-0.17597797339930144,1.1980591100769693,1.0047122661081929,0.11674549394554634,1.1013809709055493,-0.17597797339930277,7.936982715427297,0.21711725345787714,-0.12849681078363218,False,True,-,1.0809574901530399,-0.16113711739130543,-0.16678830340107242,0.10177134278859842
INCL5,0.75,0.8,25,0.09855275565146493,0.9740561748764104,-0.19110790497011332,1.0820789525390286,0.8848772091613938,0.10309067600524058,0.9838215081471156,-0.1911079049701131,7.936982715427297,0.1997859620875384,-0.15082179129183937,False,False,CAGR,0.9627407432681495,-0.1626857460053861,-0.18116022916840724,0.10185309829853523
INCL5,0.75,99.0,10,0.12272224246130237,1.1440903085293663,-0.19298550558765915,1.2390297246354707,1.0779127547675103,0.1349033161204336,1.1795251489909666,-0.1929855055876586,7.597475952980227,0.29431302120303293,-0.11559045049076022,False,True,-,1.1012063854371925,-0.19298550558765892,-0.1544490136662744,0.10613945066356832
INCL5,0.75,99.0,25,0.10999424573273342,1.035850026136898,-0.195481988057709,1.1252937479723004,0.9731158208945095,0.1219063645811942,1.0764796373853296,-0.195481988057709,7.597475952980227,0.2791948263230186,-0.13737778162751668,False,True,-,0.9850599798005697,-0.19548198805770878,-0.16819653123115252,0.10622860467332415
INCL5,0.85,0.3,10,0.08475589500738878,0.9111341448735322,-0.24074571016813684,1.0681835214463464,0.762329103167571,0.08220953781359208,0.8889241745221608,-0.24074571016813573,11.988200446033659,0.1184891694505672,-0.18784205362668016,False,False,"H2,DD,CAGR",0.9376295966114477,-0.12020807146428192,-0.23163701489909982,0.09418240477971386
INCL5,0.85,0.3,25,0.06541226746340056,0.7189510009841034,-0.2679402938918606,0.8931434660425263,0.5537675314945499,0.06184617527186398,0.6854862744022293,-0.2679402938918599,11.988200446033659,0.09315087981128634,-0.21890227513159022,False,False,"H1,H2,OOS,DD,CAGR",0.7590208478291547,-0.1267679889494453,-0.2545470203697644,0.09434649103930624
