panel,book,cost,pick,pick_regime,pick_OOS_Sharpe,pick_OOS_CAGR,pick_OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,regret_vs_control,regret_vs_best_matched,best_cond_OOS,best_cond_arm,spearman_IS_OOS
broad,V1u,10.0,MATCHED[ddctl16/spy200],matched-spy200,0.5725668202117328,0.061218492416724724,-0.24631822486178456,0.5726795060813383,0.05825091721868203,-0.00011268586960555549,-0.00035559654517425265,0.5981719379505658,ddctl08,0.11771921280689852
broad,V1u,25.0,MATCHED[ddctl16/spy200],matched-spy200,0.14593615366035562,0.01017728634291859,-0.2990834170280422,0.14599987578246443,0.01003251284669271,-6.372212210881134e-05,-0.00023347969911000077,0.15443721301851107,ddctl08,0.29675051561739
broad,TOP20,0.0,gross75,spy200,1.0347963781849936,0.15740530668052188,-0.2224930325374711,1.0123343586984954,0.1641569570568462,0.022462019486498175,0.02216670495809403,1.0521706685677996,ddctl08,0.23680981595092027
broad,TOP20,10.0,gross75,spy200,0.948691303279174,0.142288879923538,-0.22360946492364608,0.9301240819488711,0.14862653950160798,0.018567221330302863,0.018232353881016516,0.9632533382381105,ddctl08,0.06993865030674846
broad,TOP20,25.0,MATCHED[ddctl16/spy200],matched-spy200,0.8069973816093621,0.13064600337795484,-0.2710935972105195,0.8066189970303554,0.1257100029253504,0.0003783845790066298,0.0,0.8295672846119374,ddctl08,0.19386503067484664
broad,EWall,0.0,ddctl04,spy200,1.2667922197548729,0.12218008287177229,-0.1729503244566254,1.1094375225693065,0.1403681035306461,0.15735469718556638,0.15650985175001875,1.3088274420890174,gross25,-0.23789090921394074
broad,EWall,10.0,ddctl12,spy200,1.1236741550483937,0.1254659126448996,-0.20184666769548554,1.1022031339130582,0.13933574083806333,0.0214710211353355,0.02077757958256754,1.2825375561964472,gross25,-0.2918455484171026
broad,EWall,25.0,ddctl12,spy200,1.1077893566262877,0.12351634241568266,-0.20243563769070116,1.0913501695849346,0.13778891144087635,0.016439187041353165,0.015972928697812083,1.2428290553039247,gross25,-0.48068678562816897
small,V1u,0.0,gross75,spy200,0.79763182584494,0.10925894585744045,-0.24064342271211425,0.7530912218883131,0.1069427880060827,0.044540603956626845,0.04388238996559568,0.8786418249962933,gross00,-0.26470588235294124
small,V1u,10.0,ddctl16,spy200,0.5117316702694517,0.06508825631719706,-0.32918434429703225,0.5310569496765438,0.07075009526850029,-0.019325279407092166,-0.019965822622554863,0.6555947954253445,gross00,-0.6707542646393072
small,V1u,25.0,MATCHED[gross75/spy200],matched-spy200,0.19774303881870145,0.01876378209138463,-0.4491640049832468,0.19789328807651987,0.01861917757130116,-0.00015024925781842446,-0.0007625863322772986,0.3204517824159547,gross00,-0.8209244758961568
small,TOP20,0.0,MATCHED[gross75/spy200],matched-spy200,0.8842870356642891,0.19539630347288317,-0.3140450259005042,0.8841988203250626,0.19114045522330447,8.821533922653835e-05,0.0,0.8965466580770783,gross75,0.3405040593987092
small,TOP20,10.0,MATCHED[gross75/spy200],matched-spy200,0.8092031705452856,0.1746840348865819,-0.31492043251112456,0.8091056551333645,0.17097711041046781,9.751541192104529e-05,0.0,0.82310420438429,ddctl08,0.14901523033638384
small,TOP20,25.0,MATCHED[gross75/spy200],matched-spy200,0.6964035019735421,0.14427271388168172,-0.3162320650146341,0.6962918593916119,0.14135706840808382,0.00011164258193019361,0.0,0.7024257074072896,gross75,0.2599009900990099
small,EWall,0.0,ddctl08,spy200,0.6698161998970245,0.08940763740983182,-0.28352746037779486,0.6473182186991797,0.10295173945013114,0.02249798119784474,0.02174730788216761,0.6698161998970245,gross50,0.754462824174429
small,EWall,10.0,ddctl08,spy200,0.6516645282730028,0.0865760297135878,-0.28742696085929453,0.6366624355474834,0.10089643214031607,0.015002092725519445,0.014340040039283353,0.6516645282730028,gross50,0.6929242577654218
