W,S,drop,panel,n_pre,n_post,pre,post,drift
4,6,drop2020,SMALL439,4,19,0.1432385307353865,-0.17052002618057283,-0.31375855691595933
4,6,drop2022,U56,8,19,-0.3959150389857422,-0.2530199174352842,0.14289512155045803
4,6,drop2022,B136,8,19,-0.5059746859685743,-0.4355242195932722,0.07045046637530211
4,6,drop2022,SMALL439,4,19,0.1432385307353865,-0.27611305956656723,-0.41935159030195374
4,6,drop2020+2022,U56,8,17,-0.3959150389857422,-0.22179877826518588,0.17411626072055633
4,6,drop2020+2022,B136,8,17,-0.5059746859685743,-0.4003620657280222,0.10561262024055212
4,6,drop2020+2022,SMALL439,4,17,0.1432385307353865,-0.19055222117199455,-0.33379075190738106
4,12,ALL,U56,4,11,-0.3919450898567436,-0.30360385211163393,0.08834123774510966
4,12,ALL,B136,4,11,-0.5073810033977882,-0.4913486729544642,0.016032330443324028
4,12,ALL,SMALL439,2,11,0.15663877895771217,-0.24414784232405032,-0.40078662128176246
4,12,drop2020,U56,4,10,-0.3919450898567436,-0.31673165180161533,0.07521343805512826
4,12,drop2020,B136,4,10,-0.5073810033977882,-0.503645792525907,0.0037352108718812227
4,12,drop2020,SMALL439,2,10,0.15663877895771217,-0.209736071852023,-0.3663748508097352
4,12,drop2022,U56,4,10,-0.3919450898567436,-0.23612949635504815,0.15581559350169544
4,12,drop2022,B136,4,10,-0.5073810033977882,-0.41257554758154197,0.09480545581624628
4,12,drop2022,SMALL439,2,10,0.15663877895771217,-0.2599306703217392,-0.4165694492794514
4,12,drop2020+2022,U56,4,9,-0.3919450898567436,-0.2432187898154069,0.1487263000413367
4,12,drop2020+2022,B136,4,9,-0.5073810033977882,-0.4174864442861538,0.08989455911163446
4,12,drop2020+2022,SMALL439,2,9,0.15663877895771217,-0.22344901735256326,-0.38008779631027545
5,6,ALL,U56,6,21,-0.4021872598139575,-0.34728438969388,0.054902870120077496
5,6,ALL,B136,6,21,-0.5205175071911758,-0.5099851761752946,0.010532331015881247
5,6,ALL,SMALL439,2,21,0.15023029902738122,-0.18157058257210823,-0.33180088159948945
5,6,drop2020,U56,6,19,-0.4021872598139575,-0.3378670138775718,0.06432024593638569
5,6,drop2020,B136,6,19,-0.5205175071911758,-0.5018329671249818,0.018684540066194022
5,6,drop2020,SMALL439,2,19,0.15023029902738122,-0.13537057420687745,-0.28560087323425865
5,6,drop2022,U56,6,19,-0.4021872598139575,-0.3103128391677182,0.0918744206462393
5,6,drop2022,B136,6,19,-0.5205175071911758,-0.47289325801386606,0.047624249177309785
5,6,drop2022,SMALL439,2,19,0.15023029902738122,-0.19311833407069737,-0.3433486330980786
5,6,drop2020+2022,U56,6,17,-0.4021872598139575,-0.2954379426052371,0.10674931720872038
5,6,drop2020+2022,B136,6,17,-0.5205175071911758,-0.4594182104680543,0.06109929672312153
5,6,drop2020+2022,SMALL439,2,17,0.15023029902738122,-0.14284158960350873,-0.29307188863088995
5,12,ALL,U56,3,11,-0.38418999604614273,-0.3472050817357298,0.03698491431041295
5,12,ALL,B136,3,11,-0.49123273934349876,-0.5135900752950128,-0.022357335951514012
5,12,ALL,SMALL439,1,11,0.2837303588583016,-0.18212167037001972,-0.46585202922832136
5,12,drop2020,U56,3,10,-0.38418999604614273,-0.36551595020378413,0.0186740458423586
5,12,drop2020,B136,3,10,-0.49123273934349876,-0.5369087040653631,-0.045675964721864304
5,12,drop2020,SMALL439,1,10,0.2837303588583016,-0.17654988155675433,-0.46028024041505594
5,12,drop2022,U56,3,10,-0.38418999604614273,-0.3041356103253269,0.08005438572081586
5,12,drop2022,B136,3,10,-0.49123273934349876,-0.46698399341592856,0.024248745927570203
5,12,drop2022,SMALL439,1,10,0.2837303588583016,-0.18611715052097844,-0.46984750937928005
5,12,drop2020+2022,U56,3,9,-0.38418999604614273,-0.3196955229108979,0.06449447313524481
5,12,drop2020+2022,B136,3,9,-0.49123273934349876,-0.4877151273964197,0.003517611947079058
5,12,drop2020+2022,SMALL439,1,9,0.2837303588583016,-0.1803702163007901,-0.4641005751590917
