panel,char,flavour,level,seed,K,n_from_B,n_from_S,cvol,mrho
mrho~POOL~L0.210029~0~k20,mrho,POOL,0.210029,0,20,4,16,0.47691066976509927,0.1942180360006472
mrho~POOL~L0.210029~1~k20,mrho,POOL,0.210029,1,20,4,16,0.4764754277556126,0.21898653720903824
mrho~POOL~L0.210029~2~k20,mrho,POOL,0.210029,2,20,3,17,0.4871670915813945,0.22266576148022058
mrho~POOL~L0.210029~3~k20,mrho,POOL,0.210029,3,20,6,14,0.5112786835577294,0.19456067068508567
mrho~POOL~L0.210029~4~k20,mrho,POOL,0.210029,4,20,3,17,0.5029578669712877,0.20297439597807854
mrho~POOL~L0.210029~5~k20,mrho,POOL,0.210029,5,20,2,18,0.4841740052091567,0.22625790531017717
mrho~POOL~L0.226987~0~k20,mrho,POOL,0.226987,0,20,5,15,0.46198306663905975,0.25056714858887125
mrho~POOL~L0.226987~1~k20,mrho,POOL,0.226987,1,20,7,13,0.41562356297394887,0.2237711755943352
mrho~POOL~L0.226987~2~k20,mrho,POOL,0.226987,2,20,4,16,0.43905622334613376,0.27207907774649454
mrho~POOL~L0.226987~3~k20,mrho,POOL,0.226987,3,20,5,15,0.46405000593133516,0.2453264153936698
mrho~POOL~L0.226987~4~k20,mrho,POOL,0.226987,4,20,4,16,0.46778698356505044,0.24850194951577664
mrho~POOL~L0.226987~5~k20,mrho,POOL,0.226987,5,20,5,15,0.49456697218184403,0.22785771433366114
mrho~POOL~L0.250883~0~k20,mrho,POOL,0.250883,0,20,5,15,0.4380961475994198,0.3039181574805426
mrho~POOL~L0.250883~1~k20,mrho,POOL,0.250883,1,20,5,15,0.4555662310045567,0.29557452821962477
mrho~POOL~L0.250883~2~k20,mrho,POOL,0.250883,2,20,7,13,0.3971203712481325,0.3113968313203088
mrho~POOL~L0.250883~3~k20,mrho,POOL,0.250883,3,20,7,13,0.4044451420703522,0.30996045537830524
mrho~POOL~L0.250883~4~k20,mrho,POOL,0.250883,4,20,7,13,0.42710398646578673,0.2874570559044035
mrho~POOL~L0.250883~5~k20,mrho,POOL,0.250883,5,20,7,13,0.4277040833645832,0.2919405539935593
mrho~POOL~L0.278135~0~k20,mrho,POOL,0.278135,0,20,8,12,0.44277931519798014,0.31283741988606306
mrho~POOL~L0.278135~1~k20,mrho,POOL,0.278135,1,20,7,13,0.3782463594445159,0.35954290058045135
mrho~POOL~L0.278135~2~k20,mrho,POOL,0.278135,2,20,7,13,0.42489124354469954,0.33633437070268396
mrho~POOL~L0.278135~3~k20,mrho,POOL,0.278135,3,20,8,12,0.3713440648735837,0.37216776064987767
mrho~POOL~L0.278135~4~k20,mrho,POOL,0.278135,4,20,10,10,0.3753105778520388,0.3323905637325444
mrho~POOL~L0.278135~5~k20,mrho,POOL,0.278135,5,20,8,12,0.37318152929863757,0.3704624827508845
mrho~BONLY~L0.114289~0~k20,mrho,BONLY,0.114289,0,20,20,0,0.2865989393371375,0.2005950220189681
mrho~BONLY~L0.114289~1~k20,mrho,BONLY,0.114289,1,20,20,0,0.2537635275212633,0.23688731797098808
mrho~BONLY~L0.114289~2~k20,mrho,BONLY,0.114289,2,20,20,0,0.2619670304826164,0.22883921515065977
mrho~BONLY~L0.114289~3~k20,mrho,BONLY,0.114289,3,20,20,0,0.3002885666758934,0.18405560562360543
mrho~BONLY~L0.114289~4~k20,mrho,BONLY,0.114289,4,20,20,0,0.25386632450999563,0.23668066353022046
mrho~BONLY~L0.114289~5~k20,mrho,BONLY,0.114289,5,20,20,0,0.2524093775274691,0.23402919202792666
mrho~BONLY~L0.148271~0~k20,mrho,BONLY,0.148271,0,20,20,0,0.2843521589033017,0.2214959624722305
mrho~BONLY~L0.148271~1~k20,mrho,BONLY,0.148271,1,20,20,0,0.3051496913404014,0.2345502562248662
mrho~BONLY~L0.148271~2~k20,mrho,BONLY,0.148271,2,20,20,0,0.25431264967881884,0.233241319904082
mrho~BONLY~L0.148271~3~k20,mrho,BONLY,0.148271,3,20,20,0,0.2906082221854081,0.22075014916571914
mrho~BONLY~L0.148271~4~k20,mrho,BONLY,0.148271,4,20,20,0,0.2912672088759487,0.21078247901796898
mrho~BONLY~L0.148271~5~k20,mrho,BONLY,0.148271,5,20,20,0,0.28038082236269246,0.2304410233298979
mrho~BONLY~L0.163402~0~k20,mrho,BONLY,0.163402,0,20,20,0,0.2802642645261086,0.2628670090041894
mrho~BONLY~L0.163402~1~k20,mrho,BONLY,0.163402,1,20,20,0,0.2942679953333659,0.26075974156263604
mrho~BONLY~L0.163402~2~k20,mrho,BONLY,0.163402,2,20,20,0,0.2436344689992327,0.2434261732615168
mrho~BONLY~L0.163402~3~k20,mrho,BONLY,0.163402,3,20,20,0,0.2982083606195608,0.2471390543333568
mrho~BONLY~L0.163402~4~k20,mrho,BONLY,0.163402,4,20,20,0,0.25872331217797695,0.2511039042372011
mrho~BONLY~L0.163402~5~k20,mrho,BONLY,0.163402,5,20,20,0,0.30395448945130027,0.2572480044762812
mrho~BONLY~L0.180327~0~k20,mrho,BONLY,0.180327,0,20,20,0,0.3149931885160094,0.24979279684731756
mrho~BONLY~L0.180327~1~k20,mrho,BONLY,0.180327,1,20,20,0,0.26710654709050663,0.3109286034342413
mrho~BONLY~L0.180327~2~k20,mrho,BONLY,0.180327,2,20,20,0,0.31282579768651375,0.24031795967289357
mrho~BONLY~L0.180327~3~k20,mrho,BONLY,0.180327,3,20,20,0,0.30881609587441017,0.23807101360575855
mrho~BONLY~L0.180327~4~k20,mrho,BONLY,0.180327,4,20,20,0,0.2842265349600304,0.2793083144474259
mrho~BONLY~L0.180327~5~k20,mrho,BONLY,0.180327,5,20,20,0,0.2990767525754659,0.2604898445850092
mrho~BONLY~L0.194679~0~k20,mrho,BONLY,0.194679,0,20,20,0,0.27090467884704705,0.3066055344290227
mrho~BONLY~L0.194679~1~k20,mrho,BONLY,0.194679,1,20,20,0,0.32886702318385286,0.25573349551109315
mrho~BONLY~L0.194679~2~k20,mrho,BONLY,0.194679,2,20,20,0,0.3322684128525922,0.2885889722734912
mrho~BONLY~L0.194679~3~k20,mrho,BONLY,0.194679,3,20,20,0,0.29010821467347647,0.31282565029460224
mrho~BONLY~L0.194679~4~k20,mrho,BONLY,0.194679,4,20,20,0,0.2825644665779309,0.28839178828355544
mrho~BONLY~L0.194679~5~k20,mrho,BONLY,0.194679,5,20,20,0,0.3060480771969554,0.2966212978658883
mrho~BONLY~L0.210029~0~k20,mrho,BONLY,0.210029,0,20,20,0,0.3251623985089538,0.2908859067556802
mrho~BONLY~L0.210029~1~k20,mrho,BONLY,0.210029,1,20,20,0,0.26959162591158986,0.3170891752525525
mrho~BONLY~L0.210029~2~k20,mrho,BONLY,0.210029,2,20,20,0,0.2906793851212027,0.33423840889570045
mrho~BONLY~L0.210029~3~k20,mrho,BONLY,0.210029,3,20,20,0,0.3019695841684591,0.2986848893958769
mrho~BONLY~L0.210029~4~k20,mrho,BONLY,0.210029,4,20,20,0,0.3121887786880802,0.3005211890760562
mrho~BONLY~L0.210029~5~k20,mrho,BONLY,0.210029,5,20,20,0,0.27927103426410066,0.307898868334263
mrho~BONLY~L0.226987~0~k20,mrho,BONLY,0.226987,0,20,20,0,0.3073032343248355,0.3329942536874808
mrho~BONLY~L0.226987~1~k20,mrho,BONLY,0.226987,1,20,20,0,0.2829087900046976,0.3200306176484829
mrho~BONLY~L0.226987~2~k20,mrho,BONLY,0.226987,2,20,20,0,0.2705126509087461,0.3743705017158103
mrho~BONLY~L0.226987~3~k20,mrho,BONLY,0.226987,3,20,20,0,0.32692216299447147,0.3403250288623702
mrho~BONLY~L0.226987~4~k20,mrho,BONLY,0.226987,4,20,20,0,0.30890935997602587,0.320050504603823
mrho~BONLY~L0.226987~5~k20,mrho,BONLY,0.226987,5,20,20,0,0.32753023054017055,0.34432709903246245
mrho~BONLY~L0.250883~0~k20,mrho,BONLY,0.250883,0,20,20,0,0.26787449286273385,0.39895417502865654
mrho~BONLY~L0.250883~1~k20,mrho,BONLY,0.250883,1,20,20,0,0.28381377944321706,0.38029096279643276
mrho~BONLY~L0.250883~2~k20,mrho,BONLY,0.250883,2,20,20,0,0.30737993658555457,0.41610775561643076
mrho~BONLY~L0.250883~3~k20,mrho,BONLY,0.250883,3,20,20,0,0.29685385107201523,0.4171315176378842
mrho~BONLY~L0.250883~4~k20,mrho,BONLY,0.250883,4,20,20,0,0.3151750670792416,0.42434379786870147
mrho~BONLY~L0.250883~5~k20,mrho,BONLY,0.250883,5,20,20,0,0.32928673305056516,0.37409963798232754
mrho~BONLY~L0.278135~0~k20,mrho,BONLY,0.278135,0,20,20,0,0.29680495704663756,0.43966338546262934
mrho~BONLY~L0.278135~1~k20,mrho,BONLY,0.278135,1,20,20,0,0.3135919225056373,0.46675917329980515
mrho~BONLY~L0.278135~2~k20,mrho,BONLY,0.278135,2,20,20,0,0.31158451743493887,0.4012649519591117
mrho~BONLY~L0.278135~3~k20,mrho,BONLY,0.278135,3,20,20,0,0.28735343803556457,0.43288502553078284
mrho~BONLY~L0.278135~4~k20,mrho,BONLY,0.278135,4,20,20,0,0.2761980812043402,0.4577044847227954
mrho~BONLY~L0.278135~5~k20,mrho,BONLY,0.278135,5,20,20,0,0.30645179320494026,0.41282382374898585
mrho~SONLY~L0.114289~0~k20,mrho,SONLY,0.114289,0,20,0,20,0.6382733589985368,0.09182741565644659
mrho~SONLY~L0.114289~1~k20,mrho,SONLY,0.114289,1,20,0,20,0.6138959011426215,0.10033292747722758
mrho~SONLY~L0.114289~2~k20,mrho,SONLY,0.114289,2,20,0,20,0.6204918901227067,0.09659624164232593
mrho~SONLY~L0.114289~3~k20,mrho,SONLY,0.114289,3,20,0,20,0.6432160875741731,0.11543085936591593
mrho~SONLY~L0.114289~4~k20,mrho,SONLY,0.114289,4,20,0,20,0.6874292879142775,0.09841314972935969
mrho~SONLY~L0.114289~5~k20,mrho,SONLY,0.114289,5,20,0,20,0.6579967071962873,0.09571313029897675
mrho~SONLY~L0.148271~0~k20,mrho,SONLY,0.148271,0,20,0,20,0.6101805750296316,0.14134671470257232
mrho~SONLY~L0.148271~1~k20,mrho,SONLY,0.148271,1,20,0,20,0.6303114689528292,0.11880240511493471
mrho~SONLY~L0.148271~2~k20,mrho,SONLY,0.148271,2,20,0,20,0.654392954121931,0.12241358502812948
mrho~SONLY~L0.148271~3~k20,mrho,SONLY,0.148271,3,20,0,20,0.6098380111985411,0.13282795157197674
mrho~SONLY~L0.148271~4~k20,mrho,SONLY,0.148271,4,20,0,20,0.5791122561296425,0.12935916585481508
mrho~SONLY~L0.148271~5~k20,mrho,SONLY,0.148271,5,20,0,20,0.5788245613086673,0.13421891009188966
mrho~SONLY~L0.163402~0~k20,mrho,SONLY,0.163402,0,20,0,20,0.5784431172312023,0.14540983222957507
mrho~SONLY~L0.163402~1~k20,mrho,SONLY,0.163402,1,20,0,20,0.6145717342140821,0.15138397317084282
mrho~SONLY~L0.163402~2~k20,mrho,SONLY,0.163402,2,20,0,20,0.587091895857493,0.1592492466817555
mrho~SONLY~L0.163402~3~k20,mrho,SONLY,0.163402,3,20,0,20,0.5827068214542507,0.16110602089418707
mrho~SONLY~L0.163402~4~k20,mrho,SONLY,0.163402,4,20,0,20,0.6046265456746884,0.18054317600584588
mrho~SONLY~L0.163402~5~k20,mrho,SONLY,0.163402,5,20,0,20,0.5820938033863989,0.16943532915306955
mrho~SONLY~L0.180327~0~k20,mrho,SONLY,0.180327,0,20,0,20,0.6070687746687626,0.16364949903591264
mrho~SONLY~L0.180327~1~k20,mrho,SONLY,0.180327,1,20,0,20,0.5448947323944187,0.17304065486297582
mrho~SONLY~L0.180327~2~k20,mrho,SONLY,0.180327,2,20,0,20,0.5746678753540209,0.17054155585874065
mrho~SONLY~L0.180327~3~k20,mrho,SONLY,0.180327,3,20,0,20,0.46962994568017324,0.18582728031138832
mrho~SONLY~L0.180327~4~k20,mrho,SONLY,0.180327,4,20,0,20,0.5509962830098416,0.1698958154530617
mrho~SONLY~L0.180327~5~k20,mrho,SONLY,0.180327,5,20,0,20,0.5323181696478859,0.17543725653380987
mrho~SONLY~L0.194679~0~k20,mrho,SONLY,0.194679,0,20,0,20,0.5490041436452335,0.20623968472611948
mrho~SONLY~L0.194679~1~k20,mrho,SONLY,0.194679,1,20,0,20,0.5487898018670764,0.20389400959137163
mrho~SONLY~L0.194679~2~k20,mrho,SONLY,0.194679,2,20,0,20,0.5308260822852826,0.19672006956496998
mrho~SONLY~L0.194679~3~k20,mrho,SONLY,0.194679,3,20,0,20,0.5848723574481819,0.19305690536955997
mrho~SONLY~L0.194679~4~k20,mrho,SONLY,0.194679,4,20,0,20,0.5509963759362007,0.19599028042468025
mrho~SONLY~L0.194679~5~k20,mrho,SONLY,0.194679,5,20,0,20,0.5096778680236205,0.17882987086378696
mrho~SONLY~L0.210029~0~k20,mrho,SONLY,0.210029,0,20,0,20,0.48761019865816396,0.21793088056211535
mrho~SONLY~L0.210029~1~k20,mrho,SONLY,0.210029,1,20,0,20,0.5687280437119262,0.21010663453645742
mrho~SONLY~L0.210029~2~k20,mrho,SONLY,0.210029,2,20,0,20,0.4753997706557945,0.22855392590806503
mrho~SONLY~L0.210029~3~k20,mrho,SONLY,0.210029,3,20,0,20,0.5251832267752189,0.20832886094921224
mrho~SONLY~L0.210029~4~k20,mrho,SONLY,0.210029,4,20,0,20,0.5108690140704029,0.20104015789912424
mrho~SONLY~L0.210029~5~k20,mrho,SONLY,0.210029,5,20,0,20,0.48632168507726936,0.21846770393651904
mrho~SONLY~L0.226987~0~k20,mrho,SONLY,0.226987,0,20,0,20,0.4798109662098355,0.252014730855381
mrho~SONLY~L0.226987~1~k20,mrho,SONLY,0.226987,1,20,0,20,0.5352502449363048,0.24507031269054125
mrho~SONLY~L0.226987~2~k20,mrho,SONLY,0.226987,2,20,0,20,0.5149573394943225,0.22249247352433427
mrho~SONLY~L0.226987~3~k20,mrho,SONLY,0.226987,3,20,0,20,0.4676229011619304,0.2495044480870696
mrho~SONLY~L0.226987~4~k20,mrho,SONLY,0.226987,4,20,0,20,0.45913387070234446,0.26422914749135695
mrho~SONLY~L0.226987~5~k20,mrho,SONLY,0.226987,5,20,0,20,0.48804137519869384,0.2359671038466833
mrho~SONLY~L0.250883~0~k20,mrho,SONLY,0.250883,0,20,0,20,0.5049415571793372,0.29258979955517384
mrho~SONLY~L0.250883~1~k20,mrho,SONLY,0.250883,1,20,0,20,0.47744953455118744,0.3128123094860095
mrho~SONLY~L0.250883~2~k20,mrho,SONLY,0.250883,2,20,0,20,0.4898487584674667,0.28251692118810745
mrho~SONLY~L0.250883~3~k20,mrho,SONLY,0.250883,3,20,0,20,0.5314951125460471,0.26657576301474767
mrho~SONLY~L0.250883~4~k20,mrho,SONLY,0.250883,4,20,0,20,0.49748531143292973,0.26836476773024187
mrho~SONLY~L0.250883~5~k20,mrho,SONLY,0.250883,5,20,0,20,0.467165882691428,0.2885660724670982
mrho~SONLY~L0.278135~0~k20,mrho,SONLY,0.278135,0,20,0,20,0.4354887071632024,0.3306390652677409
mrho~SONLY~L0.278135~1~k20,mrho,SONLY,0.278135,1,20,0,20,0.4354604972256322,0.36222308649955065
mrho~SONLY~L0.278135~2~k20,mrho,SONLY,0.278135,2,20,0,20,0.3977545165743906,0.36473926870689644
mrho~SONLY~L0.278135~3~k20,mrho,SONLY,0.278135,3,20,0,20,0.44808751897209326,0.33430375583571287
mrho~SONLY~L0.278135~4~k20,mrho,SONLY,0.278135,4,20,0,20,0.45530422024546235,0.318165888876252
mrho~SONLY~L0.278135~5~k20,mrho,SONLY,0.278135,5,20,0,20,0.46278285412782943,0.3456788921224311
cvol~POOL~L0.247206~0~k20,cvol,POOL,0.247206,0,20,14,6,0.29910975145625435,0.28176627203157334
cvol~POOL~L0.247206~1~k20,cvol,POOL,0.247206,1,20,15,5,0.26808476362889244,0.3008639522285976
cvol~POOL~L0.247206~2~k20,cvol,POOL,0.247206,2,20,13,7,0.29384588688723917,0.33215228969414273
cvol~POOL~L0.247206~3~k20,cvol,POOL,0.247206,3,20,7,13,0.3430566573165369,0.22671784558423894
cvol~POOL~L0.247206~4~k20,cvol,POOL,0.247206,4,20,12,8,0.3128430068245128,0.26367854635083543
cvol~POOL~L0.247206~5~k20,cvol,POOL,0.247206,5,20,12,8,0.29470224805432393,0.3012887938185676
cvol~POOL~L0.313730~0~k20,cvol,POOL,0.31373,0,20,8,12,0.37195564208375276,0.28237791395264744
cvol~POOL~L0.313730~1~k20,cvol,POOL,0.31373,1,20,13,7,0.32944686263753015,0.351931768490336
cvol~POOL~L0.313730~2~k20,cvol,POOL,0.31373,2,20,9,11,0.3444453383371743,0.28011302596530335
cvol~POOL~L0.313730~3~k20,cvol,POOL,0.31373,3,20,8,12,0.35163839498728316,0.2863349983017525
cvol~POOL~L0.313730~4~k20,cvol,POOL,0.31373,4,20,6,14,0.3487634407578445,0.24409682543666433
cvol~POOL~L0.313730~5~k20,cvol,POOL,0.31373,5,20,11,9,0.3101475897003843,0.2833520372251796
cvol~POOL~L0.378049~0~k20,cvol,POOL,0.378049,0,20,6,14,0.3882344699891717,0.23213958687494685
cvol~POOL~L0.378049~1~k20,cvol,POOL,0.378049,1,20,6,14,0.3724778659191445,0.2566289996902685
cvol~POOL~L0.378049~2~k20,cvol,POOL,0.378049,2,20,5,15,0.42559740636600296,0.2051996737255928
cvol~POOL~L0.378049~3~k20,cvol,POOL,0.378049,3,20,4,16,0.3948062948878484,0.22936600394441356
cvol~POOL~L0.378049~4~k20,cvol,POOL,0.378049,4,20,9,11,0.3946991977757498,0.24815143600481498
cvol~POOL~L0.378049~5~k20,cvol,POOL,0.378049,5,20,3,17,0.39883169558288534,0.27595360424283477
cvol~POOL~L0.433143~0~k20,cvol,POOL,0.433143,0,20,5,15,0.40031993477579375,0.2456610135393732
cvol~POOL~L0.433143~1~k20,cvol,POOL,0.433143,1,20,5,15,0.4121839679503916,0.17883745589845934
cvol~POOL~L0.433143~2~k20,cvol,POOL,0.433143,2,20,5,15,0.43410237266103174,0.23514017071595505
cvol~POOL~L0.433143~3~k20,cvol,POOL,0.433143,3,20,2,18,0.42575334705379947,0.22632121068103295
cvol~POOL~L0.433143~4~k20,cvol,POOL,0.433143,4,20,3,17,0.41378432902775214,0.21529144470279335
cvol~POOL~L0.433143~5~k20,cvol,POOL,0.433143,5,20,2,18,0.4551254845410015,0.20108406040599616
cvol~POOL~L0.472186~0~k20,cvol,POOL,0.472186,0,20,2,18,0.47538881334157157,0.20920711229230438
cvol~POOL~L0.472186~1~k20,cvol,POOL,0.472186,1,20,2,18,0.46589092851406966,0.21311037551756898
cvol~POOL~L0.472186~2~k20,cvol,POOL,0.472186,2,20,1,19,0.48035910813439725,0.21803152672375592
cvol~POOL~L0.472186~3~k20,cvol,POOL,0.472186,3,20,0,20,0.48769662578990747,0.20250039991133675
cvol~POOL~L0.472186~4~k20,cvol,POOL,0.472186,4,20,1,19,0.43558066406895063,0.24380218090883066
cvol~POOL~L0.472186~5~k20,cvol,POOL,0.472186,5,20,4,16,0.4518173319063732,0.1703717631038555
cvol~POOL~L0.515932~0~k20,cvol,POOL,0.515932,0,20,4,16,0.4962885612546156,0.19081029880038983
cvol~POOL~L0.515932~1~k20,cvol,POOL,0.515932,1,20,3,17,0.5210981345026864,0.1986406783875651
cvol~POOL~L0.515932~2~k20,cvol,POOL,0.515932,2,20,3,17,0.4657798332077191,0.17827717288461353
cvol~POOL~L0.515932~3~k20,cvol,POOL,0.515932,3,20,0,20,0.5281337089039834,0.19633913170975517
cvol~POOL~L0.515932~4~k20,cvol,POOL,0.515932,4,20,3,17,0.49626262885277905,0.2090227227091304
cvol~POOL~L0.515932~5~k20,cvol,POOL,0.515932,5,20,1,19,0.5094773082006112,0.14909163488845348
cvol~POOL~L0.571754~0~k20,cvol,POOL,0.571754,0,20,2,18,0.5289075361243472,0.16177781793404641
cvol~POOL~L0.571754~1~k20,cvol,POOL,0.571754,1,20,1,19,0.5744646470919108,0.19718103114233373
cvol~POOL~L0.571754~2~k20,cvol,POOL,0.571754,2,20,0,20,0.5467649024304084,0.18450183526502967
cvol~POOL~L0.571754~3~k20,cvol,POOL,0.571754,3,20,0,20,0.5469139908868133,0.19131419304712327
cvol~POOL~L0.571754~4~k20,cvol,POOL,0.571754,4,20,1,19,0.5115721102033662,0.2326108869318545
cvol~POOL~L0.571754~5~k20,cvol,POOL,0.571754,5,20,0,20,0.5469059503193859,0.15714240321861417
cvol~POOL~L0.653302~0~k20,cvol,POOL,0.653302,0,20,0,20,0.6370235094207268,0.16513424725350492
cvol~POOL~L0.653302~1~k20,cvol,POOL,0.653302,1,20,1,19,0.5975146703759605,0.14506083346699594
cvol~POOL~L0.653302~2~k20,cvol,POOL,0.653302,2,20,1,19,0.6013368194585051,0.1753238688611138
cvol~POOL~L0.653302~3~k20,cvol,POOL,0.653302,3,20,0,20,0.6058342633083128,0.17209169192518722
cvol~POOL~L0.653302~4~k20,cvol,POOL,0.653302,4,20,1,19,0.6351395591682234,0.14875054069267765
cvol~POOL~L0.653302~5~k20,cvol,POOL,0.653302,5,20,0,20,0.6117965927412597,0.22138645430380488
cvol~POOL~L0.763602~0~k20,cvol,POOL,0.763602,0,20,0,20,0.6974699498021684,0.16762991979545033
cvol~POOL~L0.763602~1~k20,cvol,POOL,0.763602,1,20,0,20,0.7096749471065467,0.15101193382305816
cvol~POOL~L0.763602~2~k20,cvol,POOL,0.763602,2,20,0,20,0.6703471081641628,0.1928074156528371
cvol~POOL~L0.763602~3~k20,cvol,POOL,0.763602,3,20,0,20,0.7090296394334976,0.14625205094720856
cvol~POOL~L0.763602~4~k20,cvol,POOL,0.763602,4,20,0,20,0.7040500571874937,0.13452287430095963
cvol~POOL~L0.763602~5~k20,cvol,POOL,0.763602,5,20,0,20,0.7391728933925903,0.1362041974711002
cvol~BONLY~L0.247206~0~k20,cvol,BONLY,0.247206,0,20,20,0,0.24972840561205936,0.42225300193688703
cvol~BONLY~L0.247206~1~k20,cvol,BONLY,0.247206,1,20,20,0,0.24879188526232077,0.420822501384405
cvol~BONLY~L0.247206~2~k20,cvol,BONLY,0.247206,2,20,20,0,0.23878602649874603,0.36580985137862726
cvol~BONLY~L0.247206~3~k20,cvol,BONLY,0.247206,3,20,20,0,0.24727116680857092,0.3849418722614362
cvol~BONLY~L0.247206~4~k20,cvol,BONLY,0.247206,4,20,20,0,0.2622659711938369,0.439862792461802
cvol~BONLY~L0.247206~5~k20,cvol,BONLY,0.247206,5,20,20,0,0.2685348911378757,0.2792329885534311
cvol~BONLY~L0.313730~0~k20,cvol,BONLY,0.31373,0,20,20,0,0.2821743948490756,0.4064164795873248
cvol~BONLY~L0.313730~1~k20,cvol,BONLY,0.31373,1,20,20,0,0.27763627250717826,0.3797338640227707
cvol~BONLY~L0.313730~2~k20,cvol,BONLY,0.31373,2,20,20,0,0.2734881246198368,0.36487383175726146
cvol~BONLY~L0.313730~3~k20,cvol,BONLY,0.31373,3,20,20,0,0.2605462791902252,0.3754154033327718
cvol~BONLY~L0.313730~4~k20,cvol,BONLY,0.31373,4,20,20,0,0.3013777975989866,0.31159563956116504
cvol~BONLY~L0.313730~5~k20,cvol,BONLY,0.31373,5,20,20,0,0.2590282477825598,0.23310900128184792
cvol~BONLY~L0.378049~0~k20,cvol,BONLY,0.378049,0,20,20,0,0.27775778915714955,0.36461201519782077
cvol~BONLY~L0.378049~1~k20,cvol,BONLY,0.378049,1,20,20,0,0.3167194662384087,0.29243532716769877
cvol~BONLY~L0.378049~2~k20,cvol,BONLY,0.378049,2,20,20,0,0.30679987507473633,0.31320271929240906
cvol~BONLY~L0.378049~3~k20,cvol,BONLY,0.378049,3,20,20,0,0.2859274362233481,0.4405850000579682
cvol~BONLY~L0.378049~4~k20,cvol,BONLY,0.378049,4,20,20,0,0.32833841525264346,0.3442532438843763
cvol~BONLY~L0.378049~5~k20,cvol,BONLY,0.378049,5,20,20,0,0.3171946233997353,0.33074876807061093
cvol~BONLY~L0.433143~0~k20,cvol,BONLY,0.433143,0,20,20,0,0.3371539921585926,0.31230607187139764
