idea,ratio,bar_CF,bar_MED,dCAGR_pp,dDD_pp,verdict,kill_CF,kill_MED
"297 rule 8 walk-forward (band, cadence picked on <=2016-12-31 inside each of 12 ",3.6908783783783785,2.18252427184466,2.1066909892359065,-5.92,21.85,**4a 1/216** (U56/DEGROSS/MA/W/0.03 = th,False,False
"293 KEEP paths, all 2,725 cells (545 panels x EWall/CAND10/CAND20/v1/v2, 10 bps,",0.3636363636363636,2.386411889596603,2.3034943937505137,-25.630000000000003,9.32,"**4a 2/2725** (both k=20/q=0.75, where v",True,True
"302 KEEP paths, 360 MEANPH cells (3 panels x 2 gates x 6 bands x 5 cadence point",10.558823529411768,2.18252427184466,2.1066909892359065,-1.3599999999999994,14.36,"**4a 1/360, 4b 40/360** - all 40 passers",False,False
"296 D4 KEEP paths, all 162 cells, DG vs its zero-parameter replay",10.585185185185187,2.2140512147078133,2.1371225071368847,-1.3499999999999996,14.29,"**4a 1/162, 4b 15/162 vs the replay's 0/",False,False
"51 rule-8 walk-forward ((g, cadence) chosen on IS 2010-2016 Sharpe inside each p",6.67765567765568,2.18252427184466,2.1066909892359065,-2.7299999999999986,18.229999999999997,**The panel ordering SURVIVES untouched:,False,False
"51 Q5 is the KEEP-path verdict a GROSS-DIAL placement? (30 book-forms, admissibl",3.6136363636363624,2.2140512147078133,2.1371225071368847,-3.960000000000001,14.309999999999999,**Sharpe span across g is <= 0.0050 in a,False,False
304 H3 three-way at matched -12.05% MaxDD: what the exposure ladder actually buy,2.5614657210401885,2.2140512147078133,2.1371225071368847,-8.46,21.669999999999998,The ungated static control is **1.89 pp/,False,False
"304 H4 rule-8 walk-forward (band by IS Sharpe, gross matched to the live book's ",3.660472972972973,2.18252427184466,2.1066909892359065,-5.92,21.669999999999998,**The live book beats all three re-selec,False,False
304 KEEP paths over the full 442-point (2 panels x 6 bands x 17 gross x DEGROSS/,1.1993200169995748,2.2140512147078133,2.1371225071368847,-23.53,28.22,"**4a 11/442, 4b 54/442.** All 11 4a pass",True,True
"318 rule 8 walk-forward ((q,m) on 2009-2016 only, 2017-2026 read once), per pane",14.27272727272728,2.174193548387097,2.0986497224017784,-1.0999999999999996,15.700000000000003,**The chooser loses OOS CAGR on 3/3 pane,False,False
47 SMALL439 under the whole cost x lag grid,0.8400000000000005,2.390070921985816,2.307026290583515,-7.5,6.300000000000004,**0/60 cells pass 4b and 0/60 pass 4a** ,True,True
"355 CORRECTION to the queue's premise: the inversion is NOT ""no economic content",4.329218106995885,2.2140512147078133,2.1371225071368847,-2.4299999999999997,10.52,"(n,g) chosen on IS<=2016 per chooser tap",False,False
372 the sleeve MOVES the 4b frontier; no gross level does (240 cells: 10 c-value,4.322751322751321,2.2140512147078133,2.1371225071368847,-3.780000000000001,16.34,"**4a 0/240, 4b 10/240** — every passer a",False,False
"350 KEEP paths, breadth-gate overlay grid: 6 forms x 3 panels x 3 rungs x 3 B x ",4.331395348837208,2.2140512147078133,2.1371225071368847,-3.4400000000000013,14.899999999999999,"**4a 24/486** (all at 0 bps), **4b 52/48",False,False
371 the sign the queue saw is real but cheap; the expensive failure is the GROSS,4.8928571428571415,2.2140512147078133,2.1371225071368847,-3.6400000000000006,17.81,Composition picks sit on the **lower-vol,False,False
"374 KEEP paths, all 1242 points (1188 overlays + 54 base books)",5.780487804878047,2.2140512147078133,2.1371225071368847,-3.280000000000001,18.96,"**4a 55/1242, 4b 122/1242** (71/37/14 at",False,False
375 PARK by-product — U56 EWALL monthly + breadth gate B=0.40 depth 0.50 (the ce,4.823717948717946,2.2140512147078133,2.1371225071368847,-3.120000000000001,15.049999999999997,"**4b PASS at 0, 10 AND 25 bps** (OOS Sha",False,False
"370 PARK by-product — 60% QQQ inside a +/-6% band + 40% sleeve (band=0.06, c=0.6",3.7243107769423553,2.2140512147078133,2.1371225071368847,-3.99,14.86,**The family's FIRST gated 4b pass** (id,False,False
"28 PARK by-product — equal-weight above-200d, vol20<0.60, gross 0.85, BTC/ETH ca",5.1732026143790835,2.2140512147078133,2.1371225071368847,-3.0600000000000005,15.829999999999998,**Clears all five 4b bars** and is what ,False,False
