panel,volwin,p,dd_bought_pp,cagr_paid_pp,pp_DD_per_pp_CAGR,calmar,calmar_anchor,oos_calmar,m4b_DD_pp,m4b_CAGR_pp,turnover,pass4b,fail4b
B136,20,0.0,0.0,0.0,,0.774336400526666,0.774336400526666,0.7804875637511434,-0.5106156467432066,5.473861730570147,3.1135616497424925,False,DD
B136,20,0.25,1.1014126219552112,0.6534127935619694,1.68563063473405,0.7844923848751699,0.774336400526666,0.7959801768857288,0.5907969752120046,4.820448937008178,3.5711866625030484,True,-
B136,20,0.5,2.1917998652305926,1.329387071928334,1.6487296375248264,0.7941657976166048,0.774336400526666,0.810125556670524,1.681184218487386,4.144474658641813,4.414943314332627,True,-
B136,20,0.75,2.3089567727308635,1.9893329736977883,1.1606688288280649,0.7634080095322371,0.774336400526666,0.7821265622593354,1.798341125987657,3.4845287568723586,5.34309405945869,True,-
B136,20,1.0,2.4278431309154525,2.6244500119478875,0.9250864447265612,0.7336817098670014,0.774336400526666,0.7542414529324317,1.9172274841722459,2.8494117186222594,6.301786838045443,True,-
B136,20,1.5,2.5096743102059227,3.801334906432774,0.6602086824707156,0.6724192080778852,0.774336400526666,0.694520016585737,1.999058663462716,1.6725268241373727,8.227024650296608,False,H2
B136,60,0.0,0.0,0.0,,0.774336400526666,0.774336400526666,0.7804875637511434,-0.5106156467432066,5.473861730570147,3.1135616497424925,False,DD
B136,60,0.25,1.0616085613259219,0.61024919349284,1.7396312402310083,0.7850990149360074,0.774336400526666,0.80240273747733,0.5509929145827153,4.863612537077307,3.1812410170593814,True,-
B136,60,0.5,2.135122855229943,1.2059594651072647,1.770476468742698,0.7983805996026075,0.774336400526666,0.8255990248482699,1.6245072084867362,4.267902265462882,3.37567681622289,True,-
B136,60,0.75,2.3411642480482997,1.7814018588237612,1.3142257803604982,0.776045558529069,0.774336400526666,0.8104046726794535,1.8305486013050931,3.6924598717463857,3.637621623951895,True,-
B136,60,1.0,2.470444197610977,2.3349165140975847,1.058043909790827,0.7512402006291776,0.774336400526666,0.7908922475612328,1.9598285508677704,3.138945216472562,3.940165106094626,True,-
B136,60,1.5,2.6572130405164596,3.374018132856027,0.7875514996913164,0.7015363562070904,0.774336400526666,0.7477627207821456,2.146597393773253,2.09984359771412,4.595811815349155,True,-
SMALL,20,0.0,0.0,0.0,,0.21377689760715796,0.21377689760715796,0.1834760846093603,-16.280143194871233,-2.005075843848293,3.930561433413117,False,"H1,H2,OOS,DD,CAGR"
SMALL,20,0.25,0.4207261341484081,-0.2721322042992247,,0.22380947818381192,0.21377689760715796,0.19377776306014144,-15.859417060722825,-1.7329436395490685,4.410842577080848,False,"H1,H2,OOS,DD,CAGR"
SMALL,20,0.5,0.8131902837061,-0.5026581711342848,,0.23272788175007653,0.21377689760715796,0.20299934916078738,-15.466952911165134,-1.5024176727140084,5.345598341752929,False,"H1,H2,OOS,DD,CAGR"
SMALL,20,0.75,1.2270850991063842,-0.713178318064811,,0.24142445678631413,0.21377689760715796,0.2122018194181258,-15.053058095764849,-1.2918975257834822,6.424508686988893,False,"H1,H2,OOS,DD,CAGR"
SMALL,20,1.0,1.681904649519761,-0.901905456297869,,0.24999590662082896,0.21377689760715796,0.2216645679410118,-14.598238545351471,-1.1031703875504242,7.562003061027602,False,"H1,H2,OOS,DD,CAGR"
SMALL,20,1.5,2.7003631183087795,-1.2044652335621242,,0.2664752823777854,0.21377689760715796,0.2414594350087935,-13.579780076562454,-0.800610610286169,9.88295143086466,False,"H1,H2,OOS,DD,CAGR"
SMALL,60,0.0,0.0,0.0,,0.21377689760715796,0.21377689760715796,0.1834760846093603,-16.280143194871233,-2.005075843848293,3.930561433413117,False,"H1,H2,OOS,DD,CAGR"
SMALL,60,0.25,0.7403173737121294,-0.06014879787201721,,0.21988286160202702,0.21377689760715796,0.18970864418393057,-15.539825821159104,-1.944927045976276,3.998355750691084,False,"H1,H2,OOS,DD,CAGR"
SMALL,60,0.5,1.4466091677583837,-0.12701540191184524,,0.2262189513415883,0.21377689760715796,0.19592619535304334,-14.833534027112849,-1.878060441936448,4.1860307872534,False,"H1,H2,OOS,DD,CAGR"
SMALL,60,0.75,2.1208565776727473,-0.19555473867227668,,0.23264724629685943,0.21377689760715796,0.20202464913560947,-14.159286617198486,-1.8095211051760165,4.449800576692772,False,"H1,H2,OOS,DD,CAGR"
SMALL,60,1.0,2.765261151075693,-0.26118817404312544,,0.2390348815738856,0.21377689760715796,0.20789250507072818,-13.51488204379554,-1.7438876698051677,4.7636108795197565,False,"H1,H2,OOS,DD,CAGR"
SMALL,60,1.5,3.9737503631197657,-0.37722713823951093,,0.2514795736953518,0.21377689760715796,0.21856342646135413,-12.306392831751467,-1.6278487056087823,5.48480810029004,False,"H1,H2,OOS,DD,CAGR"
