item,hmult,fe,centre,n,mean
219,1.0,WITHIN,0.85,45,-0.0013810049950527855
219,1.0,WITHIN,0.875,40,-0.0020233692773584935
219,1.0,WITHIN,0.9,37,-0.0023052786066460333
219,1.0,WITHIN,0.925,50,-0.0037803013485539516
219,1.0,WITHIN,0.95,63,-0.0038115413378979304
219,1.0,WITHIN,0.975,119,-0.004610336233243879
219,1.0,WITHIN,1.0,100,-0.004847468718311291
219,1.0,RECENTRED,0.2,6,0.005886884254850241
219,1.0,RECENTRED,0.225,18,0.008549382646298722
219,1.0,RECENTRED,0.25,21,0.006908159653993851
219,1.0,RECENTRED,0.275,16,-0.0033185453261109347
219,1.0,RECENTRED,0.3,21,0.006869761269730658
219,1.0,RECENTRED,0.325,35,0.006452266129988673
219,1.0,RECENTRED,0.35,47,-0.004258569907954439
219,1.0,RECENTRED,0.375,56,-0.0061662315082247855
219,1.0,RECENTRED,0.4,51,0.0026947948309580935
219,1.0,RECENTRED,0.425,37,0.004069858853229411
219,1.0,RECENTRED,0.45,27,0.010795893601412912
219,1.0,RECENTRED,0.475,31,0.017011206792834944
219,1.0,RECENTRED,0.5,34,0.013132862640936167
219,1.0,RECENTRED,0.525,27,0.013021028294674249
219,1.0,RECENTRED,0.55,19,0.008506813715430482
219,1.0,RECENTRED,0.575,16,0.013799358146258496
219,1.0,RECENTRED,0.6,23,0.020390617851783248
219,1.0,RECENTRED,0.625,27,0.02103184244007721
219,1.0,RECENTRED,0.65,24,0.019810193848707705
219,1.0,RECENTRED,0.675,20,0.02065234768428109
219,1.0,RECENTRED,0.7,24,0.018911611717997948
219,1.0,RECENTRED,0.725,27,0.009496971487537132
219,1.0,RECENTRED,0.75,24,0.008956139514270245
219,1.0,RECENTRED,0.775,26,0.010062826099724542
219,1.0,RECENTRED,0.8,32,0.005646514419245338
219,1.0,RECENTRED,0.825,42,0.005233537146275364
219,1.0,RECENTRED,0.85,45,0.004198859419264678
219,1.0,RECENTRED,0.875,40,0.003556495136958969
219,1.0,RECENTRED,0.9,37,0.0032745858076714306
219,1.0,RECENTRED,0.925,50,0.0017995630657635117
219,1.0,RECENTRED,0.95,63,0.001768323076419533
219,1.0,RECENTRED,0.975,119,0.0009695281810735871
219,1.0,RECENTRED,1.0,100,0.0007323956960061717
219,1.0,STANDARDISED,0.2,6,0.010627507117191902
219,1.0,STANDARDISED,0.225,18,0.007310196276301683
219,1.0,STANDARDISED,0.25,21,-0.00021481462468155282
219,1.0,STANDARDISED,0.275,16,-0.003397337007364179
219,1.0,STANDARDISED,0.3,21,0.003946508379616236
219,1.0,STANDARDISED,0.325,35,0.0020128913499827916
219,1.0,STANDARDISED,0.35,47,-0.007819444426539776
219,1.0,STANDARDISED,0.375,56,-0.00604821312081441
219,1.0,STANDARDISED,0.4,51,0.0003771450479537515
219,1.0,STANDARDISED,0.425,37,0.002700637524550641
219,1.0,STANDARDISED,0.45,27,0.0074391141878105
219,1.0,STANDARDISED,0.475,31,0.009738752765962266
219,1.0,STANDARDISED,0.5,34,0.011867694035056421
219,1.0,STANDARDISED,0.525,27,0.01404684791330706
219,1.0,STANDARDISED,0.55,19,0.006101626741984736
219,1.0,STANDARDISED,0.575,16,0.019438803838931453
219,1.0,STANDARDISED,0.6,23,0.02384406489151167
219,1.0,STANDARDISED,0.625,27,0.023116006887260992
219,1.0,STANDARDISED,0.65,24,0.023689755392509917
219,1.0,STANDARDISED,0.675,20,0.036136625826878085
219,1.0,STANDARDISED,0.7,24,0.02804319734101515
219,1.0,STANDARDISED,0.725,27,0.011804245335962587
219,1.0,STANDARDISED,0.75,24,0.011531627731844138
219,1.0,STANDARDISED,0.775,26,0.012056939144457388
219,1.0,STANDARDISED,0.8,32,0.006471621615637904
219,1.0,STANDARDISED,0.825,42,0.005163396807731691
219,1.0,STANDARDISED,0.85,45,0.00566277950238536
219,1.0,STANDARDISED,0.875,40,0.005126324973697567
219,1.0,STANDARDISED,0.9,37,0.004505824348439614
219,1.0,STANDARDISED,0.925,50,0.0025916902507325287
219,1.0,STANDARDISED,0.95,63,0.0028549907445195775
219,1.0,STANDARDISED,0.975,119,0.00030331893425460273
219,1.0,STANDARDISED,1.0,100,0.0
219,2.0,NONE,0.2,18,0.007310196276301683
219,2.0,NONE,0.225,26,0.004145444138028146
219,2.0,NONE,0.25,34,0.0017797084172016323
219,2.0,NONE,0.275,42,0.0052020654647129926
219,2.0,NONE,0.3,51,0.0011791589608493567
219,2.0,NONE,0.325,68,-0.0034489043935729082
219,2.0,NONE,0.35,89,-0.0027723780403687143
219,2.0,NONE,0.375,98,-0.003087918082715217
219,2.0,NONE,0.4,91,-0.003986460659129686
219,2.0,NONE,0.425,78,0.003822772109813559
219,2.0,NONE,0.45,68,0.007687074824505748
219,2.0,NONE,0.475,60,0.008403693516520965
219,2.0,NONE,0.5,55,0.01105559406132406
219,2.0,NONE,0.525,51,0.007545743865941559
219,2.0,NONE,0.55,43,0.0104470592567086
219,2.0,NONE,0.575,41,0.015877161178010062
219,2.0,NONE,0.6,43,0.02056857587672072
219,2.0,NONE,0.625,36,0.02486856368919262
219,2.0,NONE,0.65,47,0.02547659989877872
219,2.0,NONE,0.675,48,0.02420012170918463
219,2.0,NONE,0.7,47,0.017040682199352106
219,2.0,NONE,0.725,48,0.01652054026731366
219,2.0,NONE,0.75,33,0.012363385311559488
219,2.0,NONE,0.775,56,0.00799377219035843
219,2.0,NONE,0.8,68,0.008206087155717955
219,2.0,NONE,0.825,77,0.008612825438139498
219,2.0,NONE,0.85,82,0.007933536737048278
219,2.0,NONE,0.875,60,0.009069020650959457
219,2.0,NONE,0.9,90,0.005581185695248751
219,2.0,NONE,0.925,100,0.0035441661968429305
219,2.0,NONE,0.95,169,0.0009190654097060864
219,2.0,NONE,0.975,163,0.0009592011498884526
219,2.0,NONE,1.0,119,0.00038313164209654964
219,2.0,WITHIN,0.2,18,0.002969518231981258
219,2.0,WITHIN,0.225,26,-0.00031094948811006943
219,2.0,WITHIN,0.25,34,-0.0026153890491526976
219,2.0,WITHIN,0.275,42,0.0013090960475447921
219,2.0,WITHIN,0.3,51,-0.002192950898007099
219,2.0,WITHIN,0.325,68,-0.00640174381151621
219,2.0,WITHIN,0.35,89,-0.005972358110197346
219,2.0,WITHIN,0.375,98,-0.006219846549980687
219,2.0,WITHIN,0.4,91,-0.0077095602010898824
219,2.0,WITHIN,0.425,78,-8.084308589423995e-05
219,2.0,WITHIN,0.45,68,0.004389726587849764
219,2.0,WITHIN,0.475,60,0.00594686784999478
219,2.0,WITHIN,0.5,55,0.00908713412971393
219,2.0,WITHIN,0.525,51,0.006097824634191823
219,2.0,WITHIN,0.55,43,0.007730774987923016
219,2.0,WITHIN,0.575,41,0.009781865547600833
219,2.0,WITHIN,0.6,43,0.012760821079222547
219,2.0,WITHIN,0.625,36,0.015707319483957295
219,2.0,WITHIN,0.65,47,0.015290490895633736
219,2.0,WITHIN,0.675,48,0.013781038369035362
219,2.0,WITHIN,0.7,47,0.0086640756675788
219,2.0,WITHIN,0.725,48,0.008354011201816633
219,2.0,WITHIN,0.75,33,0.004467271294281431
219,2.0,WITHIN,0.775,56,0.0014850607599385494
219,2.0,WITHIN,0.8,68,0.001500165567100233
219,2.0,WITHIN,0.825,77,-0.0007793821379179658
219,2.0,WITHIN,0.85,82,-0.0011643965408793652
219,2.0,WITHIN,0.875,60,-0.0011494892971761655
219,2.0,WITHIN,0.9,90,-0.0029994426502448603
219,2.0,WITHIN,0.925,100,-0.0032542241273347296
219,2.0,WITHIN,0.95,169,-0.004364763782152184
219,2.0,WITHIN,0.975,163,-0.004447079608090177
219,2.0,WITHIN,1.0,119,-0.004610336233243879
219,2.0,RECENTRED,0.2,18,0.008549382646298722
219,2.0,RECENTRED,0.225,26,0.005268914926207396
219,2.0,RECENTRED,0.25,34,0.0029644753651647654
219,2.0,RECENTRED,0.275,42,0.0068889604618622554
219,2.0,RECENTRED,0.3,51,0.0033869135163103643
219,2.0,RECENTRED,0.325,68,-0.0008218793971987472
219,2.0,RECENTRED,0.35,89,-0.000392493695879882
219,2.0,RECENTRED,0.375,98,-0.0006399821356632237
219,2.0,RECENTRED,0.4,91,-0.0021296957867724185
219,2.0,RECENTRED,0.425,78,0.005499021328423224
219,2.0,RECENTRED,0.45,68,0.009969591002167228
219,2.0,RECENTRED,0.475,60,0.011526732264312247
219,2.0,RECENTRED,0.5,55,0.014666998544031393
219,2.0,RECENTRED,0.525,51,0.011677689048509288
219,2.0,RECENTRED,0.55,43,0.013310639402240483
219,2.0,RECENTRED,0.575,41,0.0153617299619183
219,2.0,RECENTRED,0.6,43,0.018340685493540013
219,2.0,RECENTRED,0.625,36,0.021287183898274758
219,2.0,RECENTRED,0.65,47,0.0208703553099512
219,2.0,RECENTRED,0.675,48,0.019360902783352826
219,2.0,RECENTRED,0.7,47,0.014243940081896262
219,2.0,RECENTRED,0.725,48,0.013933875616134095
219,2.0,RECENTRED,0.75,33,0.010047135708598895
219,2.0,RECENTRED,0.775,56,0.007064925174256012
219,2.0,RECENTRED,0.8,68,0.007080029981417696
219,2.0,RECENTRED,0.825,77,0.004800482276399498
219,2.0,RECENTRED,0.85,82,0.004415467873438098
219,2.0,RECENTRED,0.875,60,0.004430375117141298
219,2.0,RECENTRED,0.9,90,0.002580421764072604
219,2.0,RECENTRED,0.925,100,0.0023256402869827357
219,2.0,RECENTRED,0.95,169,0.0012151006321652808
219,2.0,RECENTRED,0.975,163,0.001132784806227287
219,2.0,RECENTRED,1.0,119,0.0009695281810735871
219,2.0,STANDARDISED,0.2,18,0.007310196276301683
219,2.0,STANDARDISED,0.225,26,-0.00042438784434060874
219,2.0,STANDARDISED,0.25,34,0.00014299319144568277
219,2.0,STANDARDISED,0.275,42,0.002660317020570388
219,2.0,STANDARDISED,0.3,51,-0.0001466566616768884
219,2.0,STANDARDISED,0.325,68,-0.003841048434005973
219,2.0,STANDARDISED,0.35,89,-0.003109951232823988
219,2.0,STANDARDISED,0.375,98,-0.0029484655844936774
219,2.0,STANDARDISED,0.4,91,-0.002559294156829181
219,2.0,STANDARDISED,0.425,78,0.0032342345342434337
219,2.0,STANDARDISED,0.45,68,0.004877279129855039
219,2.0,STANDARDISED,0.475,60,0.00889972394550659
219,2.0,STANDARDISED,0.5,55,0.009942072178679822
219,2.0,STANDARDISED,0.525,51,0.00910069317677798
219,2.0,STANDARDISED,0.55,43,0.026396459802354815
219,2.0,STANDARDISED,0.575,41,0.01395920304366975
219,2.0,STANDARDISED,0.6,43,0.014241950102725292
219,2.0,STANDARDISED,0.625,36,0.0214259517945391
219,2.0,STANDARDISED,0.65,47,0.025678628498599684
219,2.0,STANDARDISED,0.675,48,0.02216513135495
219,2.0,STANDARDISED,0.7,47,0.02389007366578264
219,2.0,STANDARDISED,0.725,48,0.023822904468560373
219,2.0,STANDARDISED,0.75,33,0.012241621418153934
219,2.0,STANDARDISED,0.775,56,0.006730548467021924
219,2.0,STANDARDISED,0.8,68,0.006241340950898424
219,2.0,STANDARDISED,0.825,77,0.004452129131829889
219,2.0,STANDARDISED,0.85,82,0.0040896276923777395
219,2.0,STANDARDISED,0.875,60,0.005625113350907368
219,2.0,STANDARDISED,0.9,90,0.00423922466227261
219,2.0,STANDARDISED,0.925,100,0.003384891624186179
219,2.0,STANDARDISED,0.95,169,0.0007385781047921853
219,2.0,STANDARDISED,0.975,163,0.0007872922286721686
219,2.0,STANDARDISED,1.0,119,0.00030331893425460273
219,3.0,NONE,0.2,26,0.004145444138028146
219,3.0,NONE,0.225,34,0.0017797084172016323
219,3.0,NONE,0.25,47,0.0050080954038091
219,3.0,NONE,0.275,69,0.002778559999663007
219,3.0,NONE,0.3,89,-0.0016139065801719992
219,3.0,NONE,0.325,105,-0.0030268104036322895
219,3.0,NONE,0.35,119,-0.0014707313925697099
219,3.0,NONE,0.375,124,-0.0010936327901917575
219,3.0,NONE,0.4,125,-0.0005115856847023682
219,3.0,NONE,0.425,122,0.0004019493254227787
219,3.0,NONE,0.45,111,0.005078649315661443
219,3.0,NONE,0.475,92,0.00781492417126993
219,3.0,NONE,0.5,77,0.007738113657653388
219,3.0,NONE,0.525,71,0.011106485557948622
219,3.0,NONE,0.55,73,0.012852169836486248
219,3.0,NONE,0.575,70,0.01647385013565617
219,3.0,NONE,0.6,54,0.01835924972923048
219,3.0,NONE,0.625,63,0.02187147613466871
219,3.0,NONE,0.65,60,0.024157324903108335
219,3.0,NONE,0.675,74,0.020335919254419074
219,3.0,NONE,0.7,72,0.019450285743004895
219,3.0,NONE,0.725,53,0.017008414133332088
219,3.0,NONE,0.75,80,0.01252278055044547
219,3.0,NONE,0.775,75,0.008879525386371647
219,3.0,NONE,0.8,101,0.008930715744477537
219,3.0,NONE,0.825,108,0.00880177083639231
219,3.0,NONE,0.85,92,0.008184540763719014
219,3.0,NONE,0.875,132,0.005759692433854531
219,3.0,NONE,0.9,123,0.005695048995848658
219,3.0,NONE,0.925,209,0.0026215281243152006
219,3.0,NONE,0.95,200,0.0017720830984214652
219,3.0,NONE,0.975,169,0.0009190654097060864
219,3.0,NONE,1.0,163,0.0009592011498884526
219,3.0,WITHIN,0.2,26,-0.00031094948811006943
219,3.0,WITHIN,0.225,34,-0.0026153890491526976
219,3.0,WITHIN,0.25,47,0.00040432228240032533
219,3.0,WITHIN,0.275,69,-0.0008462198206188316
219,3.0,WITHIN,0.3,89,-0.004577802012920205
219,3.0,WITHIN,0.325,105,-0.006418232644327792
219,3.0,WITHIN,0.35,119,-0.004894597713734709
219,3.0,WITHIN,0.375,124,-0.004639745793906267
219,3.0,WITHIN,0.4,125,-0.003749697390772241
219,3.0,WITHIN,0.425,122,-0.002845888234140469
219,3.0,WITHIN,0.45,111,0.001888950650886117
219,3.0,WITHIN,0.475,92,0.0048252409931957415
219,3.0,WITHIN,0.5,77,0.00533765178751213
219,3.0,WITHIN,0.525,71,0.008891609533032715
219,3.0,WITHIN,0.55,73,0.008992239822935202
219,3.0,WITHIN,0.575,70,0.01070895330251718
219,3.0,WITHIN,0.6,54,0.011590234440970067
219,3.0,WITHIN,0.625,63,0.013494682092156225
219,3.0,WITHIN,0.65,60,0.014757090611846572
219,3.0,WITHIN,0.675,74,0.011140742744212388
219,3.0,WITHIN,0.7,72,0.010312783946007835
219,3.0,WITHIN,0.725,53,0.008469238077557732
219,3.0,WITHIN,0.75,80,0.00503906672306113
219,3.0,WITHIN,0.775,75,0.0017716560993802533
219,3.0,WITHIN,0.8,101,0.0002081007700909246
219,3.0,WITHIN,0.825,108,0.0001951526617451489
219,3.0,WITHIN,0.85,92,-0.0007264843225312823
219,3.0,WITHIN,0.875,132,-0.0021552695740894366
219,3.0,WITHIN,0.9,123,-0.002512979366814143
219,3.0,WITHIN,0.925,209,-0.0039166500013304234
219,3.0,WITHIN,0.95,200,-0.00405084642282301
219,3.0,WITHIN,0.975,169,-0.004364763782152184
219,3.0,WITHIN,1.0,163,-0.004447079608090177
219,3.0,RECENTRED,0.2,26,0.005268914926207396
219,3.0,RECENTRED,0.225,34,0.0029644753651647654
219,3.0,RECENTRED,0.25,47,0.00598418669671779
219,3.0,RECENTRED,0.275,69,0.0047336445936986314
219,3.0,RECENTRED,0.3,89,0.0010020624013972594
219,3.0,RECENTRED,0.325,105,-0.0008383682300103284
219,3.0,RECENTRED,0.35,119,0.0006852667005827556
219,3.0,RECENTRED,0.375,124,0.0009401186204111969
219,3.0,RECENTRED,0.4,125,0.0018301670235452221
219,3.0,RECENTRED,0.425,122,0.002733976180176994
219,3.0,RECENTRED,0.45,111,0.007468815065203581
219,3.0,RECENTRED,0.475,92,0.010405105407513205
219,3.0,RECENTRED,0.5,77,0.010917516201829593
219,3.0,RECENTRED,0.525,71,0.01447147394735018
219,3.0,RECENTRED,0.55,73,0.014572104237252668
219,3.0,RECENTRED,0.575,70,0.016288817716834648
219,3.0,RECENTRED,0.6,54,0.017170098855287533
219,3.0,RECENTRED,0.625,63,0.01907454650647369
219,3.0,RECENTRED,0.65,60,0.02033695502616404
219,3.0,RECENTRED,0.675,74,0.01672060715852985
219,3.0,RECENTRED,0.7,72,0.0158926483603253
219,3.0,RECENTRED,0.725,53,0.014049102491875198
219,3.0,RECENTRED,0.75,80,0.010618931137378593
219,3.0,RECENTRED,0.775,75,0.007351520513697717
219,3.0,RECENTRED,0.8,101,0.005787965184408389
219,3.0,RECENTRED,0.825,108,0.005775017076062614
219,3.0,RECENTRED,0.85,92,0.004853380091786181
219,3.0,RECENTRED,0.875,132,0.0034245948402280278
219,3.0,RECENTRED,0.9,123,0.0030668850475033213
219,3.0,RECENTRED,0.925,209,0.001663214412987039
219,3.0,RECENTRED,0.95,200,0.0015290179914944535
219,3.0,RECENTRED,0.975,169,0.0012151006321652808
219,3.0,RECENTRED,1.0,163,0.001132784806227287
219,3.0,STANDARDISED,0.2,26,-0.00042438784434060874
219,3.0,STANDARDISED,0.225,34,0.00014299319144568277
219,3.0,STANDARDISED,0.25,47,0.002512320632274359
219,3.0,STANDARDISED,0.275,69,0.0007683042063075956
219,3.0,STANDARDISED,0.3,89,-0.0024847976416912283
219,3.0,STANDARDISED,0.325,105,-0.003088590587396335
219,3.0,STANDARDISED,0.35,119,-0.001864413333889116
219,3.0,STANDARDISED,0.375,124,-0.0009622065909750854
219,3.0,STANDARDISED,0.4,125,0.0005629034562699092
219,3.0,STANDARDISED,0.425,122,0.0008767091649466419
219,3.0,STANDARDISED,0.45,111,0.004446265811256152
219,3.0,STANDARDISED,0.475,92,0.006588705552474868
219,3.0,STANDARDISED,0.5,77,0.00782098694769962
219,3.0,STANDARDISED,0.525,71,0.024714120239696546
219,3.0,STANDARDISED,0.55,73,0.016261544937781636
219,3.0,STANDARDISED,0.575,70,0.017047823471873478
219,3.0,STANDARDISED,0.6,54,0.015410442870724676
219,3.0,STANDARDISED,0.625,63,0.017565359754101804
219,3.0,STANDARDISED,0.65,60,0.022899878184618833
219,3.0,STANDARDISED,0.675,74,0.02082524914491504
219,3.0,STANDARDISED,0.7,72,0.020582023552897295
219,3.0,STANDARDISED,0.725,53,0.023740132886225812
219,3.0,STANDARDISED,0.75,80,0.01668126777111329
219,3.0,STANDARDISED,0.775,75,0.006426622940325851
219,3.0,STANDARDISED,0.8,101,0.004949567989359152
219,3.0,STANDARDISED,0.825,108,0.0047624505990414906
219,3.0,STANDARDISED,0.85,92,0.004333437802111819
219,3.0,STANDARDISED,0.875,132,0.003217029931919665
219,3.0,STANDARDISED,0.9,123,0.0044254724204520635
219,3.0,STANDARDISED,0.925,209,0.0017509339672908877
219,3.0,STANDARDISED,0.95,200,0.0012828756733850109
219,3.0,STANDARDISED,0.975,169,0.0007385781047921853
219,3.0,STANDARDISED,1.0,163,0.0007872922286721686
219,4.0,NONE,0.2,34,0.0017797084172016323
219,4.0,NONE,0.225,47,0.0050080954038091
219,4.0,NONE,0.25,69,0.002778559999663007
219,4.0,NONE,0.275,94,-0.001348339906108786
219,4.0,NONE,0.3,123,-0.0015140777187639034
219,4.0,NONE,0.325,140,-0.0006009230184867546
219,4.0,NONE,0.35,140,-0.0014763136626596617
219,4.0,NONE,0.375,146,0.0004359638753595885
219,4.0,NONE,0.4,155,0.0017819049787006615
219,4.0,NONE,0.425,158,0.0012759850562352316
219,4.0,NONE,0.45,146,0.0016800668040549437
219,4.0,NONE,0.475,128,0.0051198688647380725
219,4.0,NONE,0.5,108,0.008328479861095951
219,4.0,NONE,0.525,99,0.011608183965048358
219,4.0,NONE,0.55,98,0.015229657510936878
219,4.0,NONE,0.575,86,0.014867956687715457
219,4.0,NONE,0.6,90,0.01829581936978966
219,4.0,NONE,0.625,78,0.019815008804538608
219,4.0,NONE,0.65,90,0.01872623140076156
219,4.0,NONE,0.675,84,0.02009826459097607
219,4.0,NONE,0.7,80,0.020067398881550784
219,4.0,NONE,0.725,104,0.015473625814432061
219,4.0,NONE,0.75,95,0.012204406713294855
219,4.0,NONE,0.775,125,0.011649387932542377
219,4.0,NONE,0.8,115,0.00920471067582106
219,4.0,NONE,0.825,116,0.00854993518722103
219,4.0,NONE,0.85,158,0.006710890121273474
219,4.0,NONE,0.875,155,0.005866629275444949
219,4.0,NONE,0.9,251,0.003210645683977241
219,4.0,NONE,0.925,223,0.0031412153654232517
219,4.0,NONE,0.95,209,0.0026215281243152006
219,4.0,NONE,0.975,200,0.0017720830984214652
219,4.0,NONE,1.0,169,0.0009190654097060864
219,4.0,WITHIN,0.2,34,-0.0026153890491526976
219,4.0,WITHIN,0.225,47,0.00040432228240032533
219,4.0,WITHIN,0.25,69,-0.0008462198206188316
219,4.0,WITHIN,0.275,94,-0.004717056019935788
219,4.0,WITHIN,0.3,123,-0.005044415442916713
219,4.0,WITHIN,0.325,140,-0.003961163770723044
219,4.0,WITHIN,0.35,140,-0.005126450244937368
219,4.0,WITHIN,0.375,146,-0.003024824245772966
219,4.0,WITHIN,0.4,155,-0.0014255281594215167
219,4.0,WITHIN,0.425,158,-0.0015995752588507622
219,4.0,WITHIN,0.45,146,-0.0013820383641432398
219,4.0,WITHIN,0.475,128,0.0020614112413055168
219,4.0,WITHIN,0.5,108,0.005328093250787637
219,4.0,WITHIN,0.525,99,0.007640844832009301
219,4.0,WITHIN,0.55,98,0.010699057995314652
219,4.0,WITHIN,0.575,86,0.010247089295756039
219,4.0,WITHIN,0.6,90,0.011678626628616394
219,4.0,WITHIN,0.625,78,0.012126084552573274
219,4.0,WITHIN,0.65,90,0.010621409586475257
219,4.0,WITHIN,0.675,84,0.011505429037019774
219,4.0,WITHIN,0.7,80,0.010825912810075911
219,4.0,WITHIN,0.725,104,0.007160127348752463
219,4.0,WITHIN,0.75,95,0.004571830240555701
219,4.0,WITHIN,0.775,125,0.00272784090454012
219,4.0,WITHIN,0.8,115,0.0004516472726885153
219,4.0,WITHIN,0.825,116,0.00012236245453438628
219,4.0,WITHIN,0.85,158,-0.0010629024048051995
219,4.0,WITHIN,0.875,155,-0.0019804107223254683
219,4.0,WITHIN,0.9,251,-0.0033192254802224177
219,4.0,WITHIN,0.925,223,-0.003559835578247843
219,4.0,WITHIN,0.95,209,-0.0039166500013304234
219,4.0,WITHIN,0.975,200,-0.00405084642282301
219,4.0,WITHIN,1.0,169,-0.004364763782152184
219,4.0,RECENTRED,0.2,34,0.0029644753651647654
219,4.0,RECENTRED,0.225,47,0.00598418669671779
219,4.0,RECENTRED,0.25,69,0.0047336445936986314
219,4.0,RECENTRED,0.275,94,0.0008628083943816747
219,4.0,RECENTRED,0.3,123,0.0005354489714007525
219,4.0,RECENTRED,0.325,140,0.0016187006435944202
219,4.0,RECENTRED,0.35,140,0.00045341416938009607
219,4.0,RECENTRED,0.375,146,0.0025550401685444975
219,4.0,RECENTRED,0.4,155,0.004154336254895946
219,4.0,RECENTRED,0.425,158,0.003980289155466702
219,4.0,RECENTRED,0.45,146,0.004197826050174223
219,4.0,RECENTRED,0.475,128,0.007641275655622979
219,4.0,RECENTRED,0.5,108,0.010907957665105102
219,4.0,RECENTRED,0.525,99,0.013220709246326765
219,4.0,RECENTRED,0.55,98,0.016278922409632114
219,4.0,RECENTRED,0.575,86,0.015826953710073505
219,4.0,RECENTRED,0.6,90,0.017258491042933855
219,4.0,RECENTRED,0.625,78,0.017705948966890737
219,4.0,RECENTRED,0.65,90,0.01620127400079272
219,4.0,RECENTRED,0.675,84,0.01708529345133724
219,4.0,RECENTRED,0.7,80,0.016405777224393375
219,4.0,RECENTRED,0.725,104,0.012739991763069928
219,4.0,RECENTRED,0.75,95,0.010151694654873165
219,4.0,RECENTRED,0.775,125,0.008307705318857585
219,4.0,RECENTRED,0.8,115,0.00603151168700598
219,4.0,RECENTRED,0.825,116,0.00570222686885185
219,4.0,RECENTRED,0.85,158,0.004516962009512264
219,4.0,RECENTRED,0.875,155,0.0035994536919919952
219,4.0,RECENTRED,0.9,251,0.002260638934095046
219,4.0,RECENTRED,0.925,223,0.002020028836069622
219,4.0,RECENTRED,0.95,209,0.001663214412987039
219,4.0,RECENTRED,0.975,200,0.0015290179914944535
219,4.0,RECENTRED,1.0,169,0.0012151006321652808
219,4.0,STANDARDISED,0.2,34,0.00014299319144568277
219,4.0,STANDARDISED,0.225,47,0.002512320632274359
219,4.0,STANDARDISED,0.25,69,0.0007683042063075956
219,4.0,STANDARDISED,0.275,94,-0.0023829599935776867
219,4.0,STANDARDISED,0.3,123,-0.0022572841274147095
219,4.0,STANDARDISED,0.325,140,-0.0013457521087062647
219,4.0,STANDARDISED,0.35,140,-0.0011876518679288623
219,4.0,STANDARDISED,0.375,146,0.0011748355500804007
219,4.0,STANDARDISED,0.4,155,0.0017640984510116826
