panel,cost,constr,sel,pick,n_adm,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS,v1_OOS,spy_OOS,d_ctl,beat_ctl,beat_v1,beat_spy,oracle,oracle_arm,oracle_OOS
small,10.0,lit,S0,FIXIS|m0.10|lit,28,0.10118324629422148,0.5990847525024371,-0.2761864120777465,0.43855959982363313,0.5806618551671671,0.8820107671822842,0.16052515267880396,True,True,False,True,FIXIS|m0.10|lit,0.5990847525024371
small,10.0,lit,S1,(none),0,,,,,,,,,,,,,
small,10.0,lit,S2,(none),0,,,,,,,,,,,,,
small,10.0,lit,S3,ADAPT63|m0.53|lit,4,0.05920350675508246,0.48399461112946585,-0.23679819849144712,0.43855959982363313,0.5806618551671671,0.8820107671822842,0.04543501130583272,True,False,False,False,FIXIS|m0.10|lit,0.5990847525024371
small,10.0,norm,S0,FIXIS|m0.10|norm,28,0.09997843380838067,0.5877720967942491,-0.31929117917954897,0.4453994318325334,0.5806618551671671,0.8820107671822842,0.14237266496171574,True,True,False,True,FIXIS|m0.10|norm,0.5877720967942491
small,10.0,norm,S1,(none),0,,,,,,,,,,,,,
small,10.0,norm,S2,(none),0,,,,,,,,,,,,,
small,10.0,norm,S3,ADAPT63|m0.53|norm,4,0.0521964019724146,0.417676564145286,-0.35941869538031723,0.4453994318325334,0.5806618551671671,0.8820107671822842,-0.02772286768724741,False,False,False,False,FIXIS|m0.10|norm,0.5877720967942491
small,25.0,lit,S0,FIXIS|m0.10|lit,28,0.062360000873560084,0.4115541728443439,-0.29235746781018446,0.2790495626945396,0.250067051410945,0.8820107671822842,0.1325046101498043,True,True,False,True,FIXIS|m0.10|lit,0.4115541728443439
small,25.0,lit,S1,(none),0,,,,,,,,,,,,,
small,25.0,lit,S2,(none),0,,,,,,,,,,,,,
small,25.0,lit,S3,ADAPT63|m0.53|lit,4,0.0348486312393006,0.31629766292135175,-0.2944727329275977,0.2790495626945396,0.250067051410945,0.8820107671822842,0.03724810022681213,True,True,False,False,FIXIS|m0.10|lit,0.4115541728443439
small,25.0,norm,S0,FIXIS|m0.10|norm,28,0.0606949307091984,0.4004532510747315,-0.3217883023979681,0.2831111026985149,0.250067051410945,0.8820107671822842,0.11734214837621659,True,True,False,True,FIXIS|m0.10|norm,0.4004532510747315
small,25.0,norm,S1,(none),0,,,,,,,,,,,,,
small,25.0,norm,S2,(none),0,,,,,,,,,,,,,
small,25.0,norm,S3,ADAPT63|m0.53|norm,4,0.02692491785420903,0.2535822159703403,-0.38242049073582485,0.2831111026985149,0.250067051410945,0.8820107671822842,-0.029528886728174608,False,True,False,False,FIXIS|m0.10|norm,0.4004532510747315
