ladder,panel,book,cost,family,IS_argmax,OOS_argmax,IS_max,OOS_max,OOS_at_IS_pick,regret,hit
PUB,u56,CAND20,25,abs,126.0,126.0,0.1271067514382107,-0.4613359887472468,-0.4613359887472468,0.0,True
PUB,u56,CAND20,25,band,0.08,0.02,-0.013959528323814752,-0.026661112875470128,-0.3919503860930873,0.36528927321761717,False
PUB,u56,CAND20,25,ddctl,0.05,0.05,1.3151930527711908,8.121318544025458,8.121318544025458,0.0,True
PUB,u56,CAND20,25,dg,0.4,0.4,7.0972698788023365,12.813010073032217,12.813010073032217,0.0,True
PUB,u56,CAND20,25,stop,0.25,0.08,-0.09384450743786799,2.27895799910961,-1.3952119485103442,3.674169947619954,False
PUB,u56,EWALL0,10,200d,200.0,250.0,1.678057115065812,4.201124928181121,3.8336636581234096,0.3674612700577118,False
PUB,u56,EWALL0,10,abs,126.0,378.0,2.6687842574528275,3.4068565255120586,3.2489435826990376,0.15791294281302104,False
PUB,u56,EWALL0,10,band,0.02,0.03,2.7913248171704153,4.82162076600493,4.750028904279857,0.07159186172507326,False
PUB,u56,EWALL0,10,ddctl,0.05,0.05,2.743550392932481,7.491880148589781,7.491880148589781,0.0,True
PUB,u56,EWALL0,10,dg,0.4,0.4,7.339661921593477,13.042742947594155,13.042742947594155,0.0,True
PUB,u56,EWALL0,10,stop,0.1,0.08,0.4441043181326543,2.5107052787123663,0.7899291506767825,1.7207761280355838,False
PUB,u56,EWALL0,25,200d,200.0,250.0,0.712141394146526,4.030469265931503,3.605953506180415,0.4245157597510878,False
PUB,u56,EWALL0,25,abs,42.0,378.0,1.12118285189593,3.3376066955215333,-1.7357823726654065,5.073389068186939,False
PUB,u56,EWALL0,25,band,0.02,0.03,2.155024954174678,4.6687212344773465,4.574913580531071,0.09380765394627577,False
PUB,u56,EWALL0,25,ddctl,0.05,0.05,2.044106487293318,7.351725233032525,7.351725233032525,0.0,True
PUB,u56,EWALL0,25,dg,0.4,0.4,7.352212923198421,13.05459083724495,13.05459083724495,0.0,True
PUB,u56,EWALL0,25,stop,0.25,0.08,0.030728059918883055,2.0828838463946564,-1.3574867759056253,3.4403706223002817,False
EXT,broad,CAND20,10,200d,400.0,20.0,-5.551115123125783e-14,5.9488960199922,0.774545088717915,5.174350931274285,False
EXT,broad,CAND20,10,abs,756.0,21.0,1.1683446295772781,5.115052391309116,3.3306690738754696e-14,5.115052391309083,False
EXT,broad,CAND20,10,band,0.2,0.01,0.07434831774644213,1.097113376432346,-0.0731882583253407,1.1703016347576867,False
EXT,broad,CAND20,10,ddctl,0.02,0.02,3.461600996531533,10.931391776861766,10.931391776861766,0.0,True
EXT,broad,CAND20,10,dg,0.0,0.0,13.041325176362728,25.68376254878091,25.68376254878091,0.0,True
EXT,broad,CAND20,10,stop,0.06,0.02,0.15982269084170442,6.134450635180677,3.2280376009345524,2.9064130342461247,False
EXT,broad,CAND20,25,200d,400.0,100.0,1.1102230246251565e-14,2.996803405465709,0.8271826372952762,2.1696207681704327,False
EXT,broad,CAND20,25,abs,504.0,63.0,1.1613919819193685,2.0421133791177493,0.36802283404316904,1.6740905450745802,False
EXT,broad,CAND20,25,band,0.2,0.01,0.037155408401856604,1.1228808824149228,-0.0705510984700286,1.1934319808849514,False
EXT,broad,CAND20,25,ddctl,0.05,0.03,2.5643974844837936,9.433885056130986,7.157523571037771,2.276361485093215,False
EXT,broad,CAND20,25,dg,0.0,0.0,13.385702465484151,25.864711654813245,25.864711654813245,0.0,True
EXT,broad,CAND20,25,stop,0.25,0.04,3.3306690738754696e-14,2.859894686386766,-2.350408308323848,5.210302994710614,False
EXT,broad,EWALL0,10,200d,150.0,100.0,4.404314359707151,7.0177930383906295,5.960370020158512,1.0574230182321172,False
EXT,broad,EWALL0,10,abs,126.0,21.0,4.673948346326129,6.563611915965306,4.1841387592056805,2.3794731567596257,False
EXT,broad,EWALL0,10,band,0.03,0.03,4.837698394140544,6.869856328677804,6.869856328677804,0.0,True
EXT,broad,EWALL0,10,ddctl,0.02,0.02,7.132059231139143,10.613290513515638,10.613290513515638,0.0,True
EXT,broad,EWALL0,10,dg,0.0,0.0,15.31684179077606,25.364842481579032,25.364842481579032,0.0,True
EXT,broad,EWALL0,10,stop,0.02,0.02,1.575887285401767,6.914940104251577,6.914940104251577,0.0,True
EXT,broad,EWALL0,25,200d,400.0,100.0,3.8855877916274095,5.017616602786134,3.8247486255864716,1.1928679771996626,False
EXT,broad,EWALL0,25,abs,126.0,126.0,4.3918884407111,3.982505331301256,3.982505331301256,0.0,True
EXT,broad,EWALL0,25,band,0.03,0.03,4.730861892173044,6.673474483153042,6.673474483153042,0.0,True
EXT,broad,EWALL0,25,ddctl,0.02,0.03,6.16619223046293,10.56977706597123,10.56977706597121,2.1316282072803006e-14,False
EXT,broad,EWALL0,25,dg,0.0,0.0,15.339892951492484,25.385209286855037,25.385209286855037,0.0,True
EXT,broad,EWALL0,25,stop,0.15,0.02,1.2234117954153745,5.538695816372341,-1.1251684287863162,6.663864245158657,False
EXT,u56,CAND20,10,200d,500.0,100.0,-0.4470469863093296,1.2129808321926117,-0.5920090104649223,1.804989842657534,False
EXT,u56,CAND20,10,abs,42.0,21.0,0.9437981415635122,1.5640883207528877,-0.11192110357924889,1.6760094243321366,False
EXT,u56,CAND20,10,band,0.02,0.005,-0.2541612444002306,0.15417828237449527,0.024520494675672744,0.12965778769882252,False
EXT,u56,CAND20,10,ddctl,0.02,0.02,3.0472115848094616,9.538722990528026,9.538722990528026,0.0,True
EXT,u56,CAND20,10,dg,0.0,0.0,11.257572520268189,21.922008272635864,21.922008272635864,0.0,True
EXT,u56,CAND20,10,stop,0.06,0.02,1.6845350197972508,6.447782290702286,3.899855717203049,2.5479265734992373,False
EXT,u56,CAND20,25,200d,300.0,100.0,-0.19119712530319966,1.0554280626777213,-1.086718448087609,2.1421465107653304,False
EXT,u56,CAND20,25,abs,756.0,21.0,0.19647221836992523,1.2418869847808378,-0.5854030901159435,1.8272900748967813,False
EXT,u56,CAND20,25,band,0.08,0.005,-0.013959528323814752,0.10379860224665194,-0.3919503860930873,0.49574898833973924,False
EXT,u56,CAND20,25,ddctl,0.02,0.02,2.478477831128356,9.545837463838403,9.545837463838403,0.0,True
EXT,u56,CAND20,25,dg,0.0,0.0,11.922951107319301,22.052786821824654,22.052786821824654,0.0,True
EXT,u56,CAND20,25,stop,0.06,0.04,0.39075093368001745,4.9765418133572155,3.5217848265339025,1.454756986823313,False
EXT,u56,EWALL0,10,200d,200.0,250.0,1.678057115065812,4.201124928181121,3.8336636581234096,0.3674612700577118,False
