grid,basis,legal,floor,n_slots,n_empty,n_picks,OOS_4b,OOS_4a,med_OOS_Sharpe,med_OOS_CAGR,med_OOS_MaxDD,med_FULL_Sharpe,med_FULL_MaxDD,ext_share
DW60,S_IS4B,True,0.5,18,15,3,0,0,1.105,0.1052,-0.1616,1.0993,-0.1616,0.6667
DW60,S_IS4B,True,0.75,18,15,3,0,0,1.105,0.1052,-0.1616,1.0993,-0.1616,0.6667
DW60,S_IS4B,True,0.9,18,18,0,0,0,,,,,,
DW60,S_ISLEG4,True,0.0,18,0,18,4,0,0.9361,0.1052,-0.1616,0.9163,-0.1616,0.8889
DW60,S_ISLEG4,True,0.1,18,6,12,5,0,1.1331,0.1245,-0.1534,1.0993,-0.1534,1.0
DW60,S_ISLEG4,True,0.25,18,6,12,5,0,1.1331,0.1245,-0.1534,1.0993,-0.1534,1.0
DW60,S_ISLEG4,True,0.4,18,6,12,5,0,1.1331,0.1245,-0.1534,1.0993,-0.1534,1.0
DW60,S_ISLEG4,True,0.5,18,6,12,5,0,1.1331,0.1245,-0.1534,1.0993,-0.1534,1.0
DW60,S_ISLEG4,True,0.75,18,6,12,6,0,1.2045,0.1245,-0.1534,1.1445,-0.1534,1.0
DW60,S_ISLEG4,True,0.9,18,9,9,3,0,1.1331,0.1052,-0.1477,1.0993,-0.1477,1.0
DW60,S_FULL4B,False,0.0,18,0,18,4,0,0.9361,0.1052,-0.1616,0.9163,-0.1616,0.8889
DW60,S_FULL4B,False,0.1,18,9,9,5,0,1.2758,0.1245,-0.1591,1.1897,-0.1591,0.8889
DW60,S_FULL4B,False,0.25,18,9,9,6,0,1.2758,0.1245,-0.1591,1.1897,-0.1591,0.7778
DW60,S_FULL4B,False,0.4,18,9,9,6,0,1.2758,0.1245,-0.1591,1.1897,-0.1591,0.7778
DW60,S_FULL4B,False,0.5,18,9,9,6,0,1.2758,0.1245,-0.1591,1.1897,-0.1591,0.5556
DW60,S_FULL4B,False,0.75,18,12,6,6,0,1.2814,0.1256,-0.1534,1.1897,-0.1534,0.8333
DW60,S_FULL4B,False,0.9,18,12,6,6,0,1.2814,0.1256,-0.1534,1.1897,-0.1534,0.8333
ALL120,S_IS4B,True,0.0,36,0,36,4,0,0.842,0.1148,-0.2408,0.9843,-0.2408,0.7778
ALL120,S_IS4B,True,0.1,36,18,18,0,0,1.0328,0.1382,-0.2271,1.0751,-0.2271,0.2778
ALL120,S_IS4B,True,0.25,36,21,15,0,0,1.0328,0.1152,-0.2322,1.0943,-0.2322,0.1333
ALL120,S_IS4B,True,0.4,36,21,15,3,0,1.0852,0.1104,-0.205,1.0877,-0.205,0.4667
ALL120,S_IS4B,True,0.5,36,21,15,3,0,1.0852,0.1104,-0.205,1.0877,-0.205,0.4667
ALL120,S_IS4B,True,0.75,36,27,9,0,0,1.0852,0.1097,-0.205,1.0877,-0.205,0.5556
ALL120,S_IS4B,True,0.9,36,36,0,0,0,,,,,,
ALL120,S_ISLEG4,True,0.0,36,0,36,4,0,0.842,0.1148,-0.2408,0.9843,-0.2408,0.7778
ALL120,S_ISLEG4,True,0.1,36,6,30,5,0,1.0028,0.1213,-0.2365,1.0828,-0.2365,0.8
ALL120,S_ISLEG4,True,0.25,36,6,30,5,0,1.0028,0.1213,-0.2365,1.0828,-0.2365,0.8
ALL120,S_ISLEG4,True,0.4,36,6,30,5,0,1.0028,0.1213,-0.2365,1.0828,-0.2365,0.8
ALL120,S_ISLEG4,True,0.5,36,6,30,5,0,1.0028,0.1213,-0.2365,1.0828,-0.2365,0.7
ALL120,S_ISLEG4,True,0.75,36,6,30,7,0,0.9849,0.1213,-0.2144,1.0886,-0.2144,0.7333
ALL120,S_ISLEG4,True,0.9,36,18,18,4,0,1.0551,0.1263,-0.2162,1.0983,-0.2162,0.8889
ALL120,S_FULL4B,False,0.0,36,0,36,4,0,0.842,0.1148,-0.2408,0.9843,-0.2408,0.7778
ALL120,S_FULL4B,False,0.1,36,15,21,5,0,1.0852,0.1152,-0.205,1.0877,-0.205,0.6667
ALL120,S_FULL4B,False,0.25,36,18,18,9,0,1.1334,0.1198,-0.1856,1.0993,-0.1856,0.7222
ALL120,S_FULL4B,False,0.4,36,21,15,9,0,1.2245,0.1245,-0.1769,1.1731,-0.1769,0.6667
ALL120,S_FULL4B,False,0.5,36,24,12,9,0,1.2152,0.1256,-0.1701,1.1382,-0.1701,0.4167
ALL120,S_FULL4B,False,0.75,36,27,9,9,0,1.2758,0.1267,-0.1591,1.1897,-0.1591,0.5556
ALL120,S_FULL4B,False,0.9,36,30,6,6,0,1.2814,0.1256,-0.1534,1.1897,-0.1534,0.8333
