phi,delta,N_CD,N_4B,n_books_CD,n_books_4B,best_book,best_gross,best_sleeve,best_Sharpe,best_CAGR,best_MaxDD
0.1,0.9,1586,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.0,1587,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.1,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.2,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.3,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.4,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.5,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.6,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.7,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.8,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,1.9,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.1,2.0,1588,1259,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.1,0,0,0,0,,,,,,
0.2,0.2,182,165,50,49,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.3,525,466,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.4,853,733,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.5,1130,954,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.6,1331,1101,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.7,1434,1166,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.8,1476,1188,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,0.9,1482,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.0,1483,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.1,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.2,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.3,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.4,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.5,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.6,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.7,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.8,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,1.9,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.2,2.0,1484,1189,53,51,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.1,0,0,0,0,,,,,,
0.3,0.2,27,27,14,14,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.3,295,273,51,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.4,617,540,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.5,893,761,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.6,1094,908,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.7,1197,973,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.8,1239,995,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,0.9,1245,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.0,1246,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.1,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.2,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.3,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.4,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.5,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.6,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.7,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.8,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,1.9,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.3,2.0,1247,996,53,50,B136k20d00,0.5,0.3,1.4031197045050456,0.059890180526762204,-0.061448777588643755
0.4,0.1,0,0,0,0,,,,,,
0.4,0.2,1,1,1,1,U56,0.4,0.3,1.2763432700964008,0.06261362781739499,-0.06720134807665878
0.4,0.3,100,97,34,34,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,0.4,377,340,51,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,0.5,645,561,52,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,0.6,845,708,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,0.7,948,773,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,0.8,990,795,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,0.9,996,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.0,997,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.1,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.2,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.3,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.4,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.5,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.6,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.7,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.8,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,1.9,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.4,2.0,998,796,53,50,B136k20d00,0.6,0.3,1.396758698356326,0.06909732097689703,-0.07365609614327717
0.5,0.1,0,0,0,0,,,,,,
0.5,0.2,0,0,0,0,,,,,,
0.5,0.3,14,14,9,9,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,0.4,142,133,45,43,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,0.5,387,341,49,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,0.6,581,488,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,0.7,683,553,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,0.8,724,575,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,0.9,730,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.0,731,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.1,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.2,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.3,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.4,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.5,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.6,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.7,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.8,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,1.9,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.5,2.0,732,576,50,46,B136k20d00,0.7,0.3,1.384715336874775,0.07832364813862847,-0.08633534496962791
0.6,0.1,0,0,0,0,,,,,,
0.6,0.2,0,0,0,0,,,,,,
0.6,0.3,0,0,0,0,,,,,,
0.6,0.4,25,25,11,11,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,0.5,186,169,41,41,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,0.6,366,312,44,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,0.7,464,377,44,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,0.8,503,399,44,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,0.9,508,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.0,509,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.1,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.2,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.3,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.4,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.5,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.6,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.7,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.8,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,1.9,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.6,2.0,510,400,45,43,B136k20d00,0.9,0.3,1.35763053547168,0.0968293032068388,-0.11138714218698764
0.7,0.1,0,0,0,0,,,,,,
0.7,0.2,0,0,0,0,,,,,,
0.7,0.3,0,0,0,0,,,,,,
0.7,0.4,1,1,1,1,U56,0.8,0.3,1.2366540490455464,0.11137079998231147,-0.13456151534607674
0.7,0.5,52,48,18,18,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,0.6,173,151,31,31,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,0.7,267,215,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,0.8,306,237,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,0.9,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.0,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.1,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.2,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.3,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.4,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.5,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.6,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.7,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.8,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,1.9,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.7,2.0,310,238,36,35,B136k40d04,0.9,0.3,1.2630522459273972,0.11748877172327021,-0.15005222918478167
0.8,0.1,0,0,0,0,,,,,,
0.8,0.2,0,0,0,0,,,,,,
0.8,0.3,0,0,0,0,,,,,,
0.8,0.4,0,0,0,0,,,,,,
0.8,0.5,9,9,7,7,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,0.6,61,55,19,19,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,0.7,127,102,30,26,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,0.8,164,122,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,0.9,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.0,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.1,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.2,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.3,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.4,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.5,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.6,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.7,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.8,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,1.9,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.8,2.0,168,123,34,27,B136k40d04,1.0,0.3,1.250951969221935,0.12905170121165543,-0.16639999376595926
0.9,0.1,0,0,0,0,,,,,,
0.9,0.2,0,0,0,0,,,,,,
0.9,0.3,0,0,0,0,,,,,,
0.9,0.4,0,0,0,0,,,,,,
0.9,0.5,0,0,0,0,,,,,,
0.9,0.6,10,9,8,7,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,0.7,46,39,17,16,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,0.8,76,56,24,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,0.9,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.0,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.1,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.2,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.3,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.4,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.5,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.6,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.7,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.8,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,1.9,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
0.9,2.0,80,57,25,20,B136k40d04,1.0,0.15,1.1729983968129636,0.14571515030171067,-0.20210099524761638
1.0,0.1,0,0,0,0,,,,,,
1.0,0.2,0,0,0,0,,,,,,
1.0,0.3,0,0,0,0,,,,,,
1.0,0.4,0,0,0,0,,,,,,
1.0,0.5,0,0,0,0,,,,,,
1.0,0.6,0,0,0,0,,,,,,
1.0,0.7,9,8,8,7,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,0.8,27,20,14,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,0.9,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.0,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.1,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.2,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.3,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.4,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.5,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.6,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.7,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.8,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,1.9,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.0,2.0,30,21,16,11,U56,1.0,0.15,1.1602746809973785,0.1539726152659382,-0.20360126226143171
1.1,0.1,0,0,0,0,,,,,,
1.1,0.2,0,0,0,0,,,,,,
1.1,0.3,0,0,0,0,,,,,,
1.1,0.4,0,0,0,0,,,,,,
1.1,0.5,0,0,0,0,,,,,,
1.1,0.6,0,0,0,0,,,,,,
1.1,0.7,0,0,0,0,,,,,,
1.1,0.8,7,5,7,5,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,0.9,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.0,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.1,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.2,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.3,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.4,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.5,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.6,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.7,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.8,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,1.9,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.1,2.0,8,6,8,6,U56,1.0,0.0,1.1076822412577438,0.17167599048314908,-0.23850902493128767
1.2,0.1,0,0,0,0,,,,,,
1.2,0.2,0,0,0,0,,,,,,
1.2,0.3,0,0,0,0,,,,,,
1.2,0.4,0,0,0,0,,,,,,
1.2,0.5,0,0,0,0,,,,,,
1.2,0.6,0,0,0,0,,,,,,
1.2,0.7,0,0,0,0,,,,,,
1.2,0.8,1,0,1,0,,,,,,
1.2,0.9,1,0,1,0,,,,,,
1.2,1.0,1,0,1,0,,,,,,
1.2,1.1,1,0,1,0,,,,,,
1.2,1.2,1,0,1,0,,,,,,
1.2,1.3,1,0,1,0,,,,,,
1.2,1.4,1,0,1,0,,,,,,
1.2,1.5,1,0,1,0,,,,,,
1.2,1.6,1,0,1,0,,,,,,
1.2,1.7,1,0,1,0,,,,,,
1.2,1.8,1,0,1,0,,,,,,
1.2,1.9,1,0,1,0,,,,,,
1.2,2.0,1,0,1,0,,,,,,
1.3,0.1,0,0,0,0,,,,,,
1.3,0.2,0,0,0,0,,,,,,
1.3,0.3,0,0,0,0,,,,,,
1.3,0.4,0,0,0,0,,,,,,
1.3,0.5,0,0,0,0,,,,,,
1.3,0.6,0,0,0,0,,,,,,
1.3,0.7,0,0,0,0,,,,,,
1.3,0.8,0,0,0,0,,,,,,
1.3,0.9,0,0,0,0,,,,,,
1.3,1.0,0,0,0,0,,,,,,
1.3,1.1,0,0,0,0,,,,,,
1.3,1.2,0,0,0,0,,,,,,
1.3,1.3,0,0,0,0,,,,,,
1.3,1.4,0,0,0,0,,,,,,
1.3,1.5,0,0,0,0,,,,,,
1.3,1.6,0,0,0,0,,,,,,
1.3,1.7,0,0,0,0,,,,,,
1.3,1.8,0,0,0,0,,,,,,
1.3,1.9,0,0,0,0,,,,,,
1.3,2.0,0,0,0,0,,,,,,
1.4,0.1,0,0,0,0,,,,,,
1.4,0.2,0,0,0,0,,,,,,
1.4,0.3,0,0,0,0,,,,,,
1.4,0.4,0,0,0,0,,,,,,
1.4,0.5,0,0,0,0,,,,,,
