panel,gross,cadence,band,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,spy_H1,spy_H2,spy_OOS,spy_CAGR,spy_MaxDD,pass4a,pass4b
B136,1.0,M,0.0,0.11289915153560437,1.135084975363831,-0.16079842380916232,1.2466986369602946,1.0223186573555767,1.1534008141898386,0.9568540270149234,0.8342206005217467,0.8822053166939766,0.15228333786002324,-0.3371595330739301,False,True
B136,1.0,M,0.02,0.11311436111580075,1.1152248141995371,-0.18809181551002496,1.2334499254045688,0.999252601404392,1.1248377549367432,0.9568540270149234,0.8342206005217467,0.8822053166939766,0.15228333786002324,-0.3371595330739301,False,True
B136,1.0,M,0.03,0.1124302250302549,1.094137548771911,-0.20501067113817883,1.2169933690369967,0.9766063337999801,1.0970915942394783,0.9568540270149234,0.8342206005217467,0.8822053166939766,0.15228333786002324,-0.3371595330739301,False,False
B136,1.0,M,0.05,0.11422270800515744,1.0807869566252768,-0.2309799885256255,1.2279474277064992,0.9454182169731105,1.0623019833094407,0.9568540270149234,0.8342206005217467,0.8822053166939766,0.15228333786002324,-0.3371595330739301,False,False
B136,1.0,M,0.08,0.1175330848174434,1.0654113889138723,-0.2657844292820717,1.258306058329332,0.8999523643924606,1.0156313572647988,0.9568540270149234,0.8342206005217467,0.8822053166939766,0.15228333786002324,-0.3371595330739301,False,False
B136,1.0,M,0.12,0.12076155290141166,1.0747174696590245,-0.2585937089894883,1.2738716062849724,0.9007178800855595,1.022071480571095,0.9568540270149234,0.8342206005217467,0.8822053166939766,0.15228333786002324,-0.3371595330739301,False,False
B136,1.0,M,0.2,0.11682448260337241,1.0383811480589045,-0.25016098777224693,1.2004916159837822,0.9060882256054114,1.011130371400628,0.9568540270149234,0.8342206005217467,0.8822053166939766,0.15228333786002324,-0.3371595330739301,False,False
SMALL439,0.5,W,0.0,0.025918668629822506,0.5839972266372613,-0.07968970848492352,0.48632455933795943,0.6699579326484291,0.6538698179519373,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,W,0.02,0.027006224912953014,0.6054501411926585,-0.08190231486379118,0.5385503823390535,0.6658818068971522,0.6541700563521572,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
SMALL439,0.5,W,0.03,0.027499545687971416,0.615013132373079,-0.08164080368905469,0.540843337311427,0.6816427072119191,0.6640280220675154,0.8908874746723193,0.8579247523814549,0.8821923750254496,0.14129862948357252,-0.33717289200673817,False,False
