,dv_63d_median_last_row
COSO,2220875.0
COUR,30278233.999999996
CPF,5741248.5
CPRI,57238974.0
CRAI,22010554.02
CRI,36324273.35
CRMD,8381843.999999999
CRON,2901208.0
CRSR,15700608.0
CRTO,5549190.0
CSR,7630704.0
CSTL,8606112.0
CSV,4365006.52
CTBI,7696990.0
CTEV,3217152.0
CTKB,4003679.9999999995
CTO,6951666.149999999
CTRN,9564184.0
CTS,11480726.0
CURI,1042784.6
CURV,507936.0
CVEO,3364006.0000000005
CWBC,6406490.4
CWCO,2464480.0
CXDO,2711494.0
CYH,3854247.0
CYRX,8199832.0
CZFS,1421754.0
CZNC,1548356.25
CZWI,1120968.72
DAKT,9634701.0
DCH,16953216.0
DCOM,11603086.04
DEA,8587540.36
DEI,19820958.0
DFIN,10665585.0
DGXX,13619040.0
DHC,12234352.379999999
DHX,677207.9999999999
DLX,9840179.700000001
DMC,10866108.0
DSGR,5671200.0
DSX,1492114.6600000001
DXC,30848525.000000004
EAF,1876075.0
EBF,2873987.7
EBS,6512661.0
ECVT,14064624.0
EFC,14493814.280000001
EFOR,19516704.0
EFSI,2351530.0
EGAN,944012.0
EGBN,6945981.0
EGHT,2982200.0
EGY,6456360.17
EIG,9323776.0
ELA,2366028.0
EMBC,5804060.0
EOLS,5393520.0
EPAC,13873977.0
EPC,17109297.04
EPM,1304294.0
EQBK,5548800.0
ESEA,3249610.2600000002
ESP,1966619.9999999998
ETD,10039075.079999998
ETON,22504416.0
EVCM,1445639.0
EVH,11724342.0
EVTC,12021758.0
EYE,36748360.0
FBIZ,3543869.94
FBLA,1122297.0
FBRT,10270890.0
FC,1634304.0
FCAP,833408.0
FCBC,3854544.0
FCCO,1666372.5799999998
FEIM,16179480.0
FET,11363556.0
FISI,5616747.0
FLNG,10451486.7
FLO,41619375.0
FLXS,3977932.0
FMAO,2232524.3000000003
FMBH,6549397.4
FMNB,6053616.0
FNRN,2116530.0
FOR,3558436.0
FOSL,3423222.0
FRAF,1967619.0
FRPH,1856205.0
FRST,2536326.81
FSBC,6524932.4799999995
FSUN,9279620.0
FTK,8631840.0
FVCB,1791329.92
FVR,2908156.65
FVRR,5726688.0
FWRG,12427165.0
GABC,6610023.0
GASS,1026915.0000000001
GBFH,1793880.0
GBX,18937698.0
GCO,7172279.999999999
GDOT,4386903.0
GDYN,9616800.0
GENI,35314438.0
GHM,20196216.0
GIC,3805279.8
GILT,5986140.0
GLP,3587760.0
GLRE,2256316.0
GNK,8643420.62
GO,24725530.0
GOGO,5931718.0
GOOD,5144732.97
GPRE,19489932.0
GRNT,3953702.0700000003
GRPN,28854420.0
GSBC,7212945.0
GSL,12452938.74
GTM,24701544.0
GWRS,681676.98
HAFC,6365501.4
HAPN,23708675.0
HBCP,6202425.36
HBT,4574088.0
HCKT,3153264.0
HCWC,194317.19999999998
HE,21698756.0
HFWA,10658320.0
HIPO,4621974.0
HLF,17378192.0
HLIT,17035683.0
HLLY,2228512.0
HLMN,9568992.0
HLX,
HNRG,11246139.0
HNST,5837121.0
HOPE,12695123.879999999
HPK,3117868.9999999995
HPP,9681353.0
HRTG,8343615.0
HSHP,4483384.5
HSTM,5081413.899999999
HTB,7564460.48
HTLD,8059320.0
HUN,39128320.0
HZO,13333968.0
IBCP,6710526.0
IBEX,3480315.0000000005
ICFI,17177236.05
IDN,850108.0
IDR,6731800.000000001
IGIC,2148146.5
IIPR,18255702.0
IMCR,15869844.0
IMMR,3181321.2
INBK,953135.45
INFU,1307840.0
INGN,1400196.0
INMD,7619240.0
INNV,3034708.0
INOD,71950697.0
INSE,802620.0
INSG,1924580.0
INSP,34737120.0
INVA,14140760.0
IRMD,10341486.600000001
IRWD,7090275.0
ISBA,2246454.0
ISTR,4464786.0
ITIC,15814357.440000001
ITRN,7164976.0
IVR,19559520.0
JACK,10812111.999999998
JAKK,1581974.74
JBI,7635362.000000001
JBLU,136667430.0
JCAP,5999781.02
JELD,2492160.0
JILL,1228340.22
JMSB,880209.0599999999
KE,4770718.0
KFRC,12166821.0
KIDS,3438106.0
KINS,1891452.0
KLC,2112064.0
KMPR,24287833.5
KOP,7383256.76
KREF,5659472.0
KRNT,3281604.0
KRNY,5053138.0
KRO,2301155.5799999996
KROS,2223945.0
KRT,5148308.76
KSS,67138759.1
KVHI,1578763.0
LAND,6033467.0
LCUT,1310740.4800000002
LE,2700789.0
LEGH,2385540.0
LFMD,2907072.0
LGIH,15785984.0
LKFN,10177010.0
LMAT,27857348.04
LMB,16255344.0
LMNR,931468.0
LNN,14671310.559999999
LOB,8592108.8
LOVE,3379958.0
LQDT,7212996.0
LTRX,4506942.0
LWAY,3223099.0
LXFR,3106664.0
LXU,8037792.0
LYTS,6526768.069999999
LZ,16236792.0
LZB,19563676.68
MAMA,9087117.0
MATV,4681701.0
MATW,10249079.82
MBC,16645806.0
MBWM,6424240.0
MCB,10884592.0
MCBS,2472211.96
MCFT,3772300.0
MDXG,4733365.0
MEC,14363720.0
MED,1646268.0000000002
MEI,9626584.0
MFA,13087428.0
MG,3196864.0
MGPI,3219009.36
MITK,12151944.0
MLAB,16909844.04
MLKN,13927517.450000001
MMI,4030000.0
MNKD,14501648.0
MNRO,13218208.08
MPAA,1437025.0
MPB,4779000.46
MPTI,13741338.0
MRAM,18350586.0
MRBK,1710540.0000000002
MSBI,5048072.81
MSEX,7874878.86
MTRX,2609100.0
MTW,3972396.0
MUX,17832360.0
MVBF,1404278.34
MX,3170245.0
MYE,11263467.0
MYFW,1725785.0
NABL,8033625.0
NAGE,1850148.0
NAT,21311061.93
NATH,2313520.0
NATR,2535036.0
NAVI,8258661.670000001
NBBK,6097955.76
NBHC,15220350.0
NBR,20103498.0
NECB,1007556.0
NEWT,3092500.0
NGS,4457691.0
NGVC,3467102.64
NKSH,1285540.0
NLOP,1384548.0
NNBR,4748144.0
NPB,3007206.2
NPCE,2463500.0
NPK,12490725.000000002
NPKI,10918320.0
NRC,2132060.0
NRIM,4028878.72
NRP,3809880.8200000003
NSP,24359246.01
NSSC,11012472.0
NTGR,6825870.0
NUS,2840898.0
NUTX,21874848.0
NVAX,33357600.0
NVCR,19419015.0
NVEC,20108296.0
NVGS,8726217.28
NWFL,1055534.4
NX,6214006.0
NXH,10324314.0
NXRT,6821862.0
OBK,8008124.0
OCFC,16953308.200000003
OEC,3075328.0
OESX,696055.0
OFIX,3142833.0
OI,20413344.0
OIS,4773960.0
OLN,57310154.99999999
OMCL,26004132.0
OMDA,24072048.0
ONIT,2413473.0
ONT,10025811.0
OPK,3699000.0000000005
OPRT,2582100.0
OPTU,2974428.0
OPTX,3130829.0
ORC,29308525.92
ORN,4702420.0
ORRF,4617854.67
OSBC,9679597.200000001
OSG,2174642.0
OSPN,5598439.5600000005
OSS,13510322.999999998
OVBC,1464555.78
OWLT,1008998.0
OXM,13732500.0
PACK,2275221.0
PANL,2950933.44
PAR,15211165.0
PCRX,13107990.0
PD,16449643.000000002
PDEX,4683680.0
PDLB,1279530.0
PDM,8908017.0
PEBK,1124812.0
PEBO,9707220.84
PERI,2892181.0
PFIS,3490886.04
PGC,7980277.0
PHR,8774002.0
PINE,2537003.1
PKBK,1460128.0
PLAB,30764193.0
PLAY,15655590.0
PLBC,3251294.67
PLOW,10166520.0
PLPC,33916805.0
PLTK,4381155.0
PMTS,936402.0
PNTG,9267095.0
PRAA,6630286.0
PRG,19699543.5
PRGS,20002752.0
PRKS,25994461.0
PRTH,2189112.0
PSFE,2116212.0
PSIX,13577824.000000002
PSTL,6487071.0
PUMP,39676702.0
PZZA,28406380.000000004
QCRH,11078166.0
QNST,11830455.0
RAIL,1522698.0
RBB,4110199.7399999998
RBBN,1391806.0
RBKB,1046682.0
RC,1868482.0
RDCM,1526400.0
RDVT,12691197.0
RDWR,5321151.0
REAL,29413140.0
REFI,1643053.0
REPX,6620720.0
RGP,1663288.92
RGR,4127698.0
RICK,1220560.0
RIGL,11438728.0
RJET,1619340.0
RLGT,1031658.0
RLJ,19469394.0
RM,2702833.38
ROCK,13220767.999999998
RPD,23025024.0
RRBI,7210486.0
RRGB,1969256.0
RWT,7966910.000000001
RYAM,7041914.0
RYZ,11263884.58
SAFE,4600323.0
SAFT,13104803.86
SBH,18618201.0
SBSI,3942120.6
SCL,7153955.9
SCSC,12485423.0
SD,4211274.15
SFL,15620990.19
SFST,6948579.0
SHBI,4212438.23
SHEN,5567700.0
SHOE,9648541.0
SIBN,8615572.0
SIGA,2030264.0
SILC,6825122.999999999
SITC,2460208.5
SLNH,13948928.000000002
SLVM,10059128.0
SMA,20178680.0
SMBC,7093370.640000001
SMBK,5133877.21
SMP,5081546.4
SMPL,23939924.0
SMWB,5558071.0
SND,1302336.0
SONO,26411410.0
SPB,29188143.72
SPFI,5237856.0
SPH,2886205.52
SPOK,1576702.1
SRTA,5443042.0
SSTI,651375.0
SSTK,6697024.0
SSYS,4636544.0
STBA,11622675.0
STIM,2338010.0
STLN,7938864.999999999
STOK,20641896.0
STRA,20815921.6
STRT,6879808.0
STRZ,3701114.0
SVC,12584800.0
SVV,9574972.0
SWBI,6944091.0
SWIM,4495646.0
SXC,10019778.93
TATT,5413095.0
TAYD,1741204.0
TBCH,3339440.0
TBPH,7383999.0
TCBK,12268962.0
TCBX,4300950.0
TCI,521652.0
TCMD,6664706.0
TDOC,31046128.0
TEN,8909544.0
TFIN,15263279.999999998
TGLS,10062338.0
TH,20912160.0
THFF,8079390.0
THRM,12447072.0
THRY,1681992.0
TILE,15603068.8
TIPT,3723447.0
TITN,3532178.0
TK,6174833.0
TLRY,16140747.0
TLS,2295054.0
TNC,13744011.0
TNDM,31963300.000000004
TOYO,4219426.0
TRC,2128291.0
TREE,10606302.0
TRIP,38761250.0
TRNS,11146257.0
TROX,15447640.000000002
TRS,16662708.0
TRST,7177957.38
TRTX,5613651.0
TRUP,9986340.0
TSBK,1335985.0
TUYA,1064974.0
TWI,3770634.0
TWIN,2155276.8899999997
TXO,1721357.9
UAMY,34597941.0
UAN,4400936.72
UFCS,7677352.0
UFI,578508.0
UHT,4677540.0
UIS,2271003.0
ULCC,21560000.0
UMH,8424678.0
UNTY,3159119.8600000003
UPBD,16552015.999999998
UPWK,27168849.0
USCB,970339.8
USNA,2537152.0
USPH,13672473.120000001
UTI,36637164.0
UTL,5762796.0
UTMD,1637268.0
UVE,7913590.0
UVSP,9237652.64
UVV,11968190.08
VATE,1169188.0
VCEL,21323061.0
VEL,1707886.7699999998
VISN,42335657.0
VITL,17751985.0
VMD,3506976.0
VREX,4917075.0
VRRM,18027652.5
VRTS,17544930.72
VSTS,16176472.0
VTOL,9547239.479999999
VTS,8016000.0
VYX,19554726.0
WABC,9435076.0
WASH,5294378.0600000005
WBTN,3073237.0
WD,14732586.0
WEAV,8302232.0
WEN,54510405.75
WEST,3177984.0
WEYS,812745.0499999999
WGO,16874355.2
WINA,15484131.000000002
WKC,34627320.0
WLDN,20205060.0
WLFC,16310790.0
WMK,11459400.0
WNC,10956882.0
WRLD,18166620.0
WS,8315736.0
WSBF,1337945.0
WTBA,1485403.25
WTI,13389695.149999999
WWW,14348176.0
WYFI,58170000.0
WYY,1443680.0
XERS,13597229.999999998
XGN,1215984.0
XHR,13821282.0
XIFR,9471202.0
XPEL,9292500.0
XPER,2741122.0
XRN,3157750.0
YELP,25276779.0
YEXT,5644026.0
YORW,3689400.0
ZD,29906800.0
ZUMZ,3796128.0
