default,pool,panel,book,cost,pool_empty,n_pool,n_arms,moved_off_control,cell_arms_pass4b,TO_ratio,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,ctl_OOS_Sharpe,ctl_OOS_CAGR,ctl_OOS_MaxDD,d_OOS_Sharpe,d_OOS_CAGR,d_OOS_MaxDD,rand_pctile,v1_OOS_Sharpe,v2_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,beat_v2,beat_spy,arm,TO,pass4a_v2,pass4a_v1,pass4b,fail4b,pass4b_oos,fail4b_oos,full_CAGR,full_Sharpe,full_MaxDD,H1,H2
MENU_NET,P_S1,broad,EWall,10.0,False,5,17,True,4,5.629809309517066,0.11946098062191446,1.0992719666895874,-0.18511741019808992,1.1022031339130582,0.13933574083806333,-0.2537106610635026,-0.0029311672234708652,-0.019874760216148868,0.06859325086541268,0.8,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,MENU_NET(5),4.873758340510318,False,True,True,-,True,-,0.11795622528203475,1.0959828763766803,-0.18511741019808992,1.201703644146965,1.001659193840074
K_Sharpe,P_S1,broad,EWall,10.0,False,5,17,True,4,1.5677966562516243,0.12011126700793429,1.1224553129457142,-0.18696236312424186,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.02025217903265597,-0.01922447383012904,0.06674829793926074,0.8,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,vol60-dg,1.3572505940322879,False,True,True,-,True,-,0.12359420654058484,1.1381201336577496,-0.18696236312424186,1.2550969789577595,1.0269842529994457
K_CAGR,P_S1,broad,EWall,10.0,False,5,17,True,4,1.5677966562516243,0.12011126700793429,1.1224553129457142,-0.18696236312424186,1.1022031339130582,0.13933574083806333,-0.2537106610635026,0.02025217903265597,-0.01922447383012904,0.06674829793926074,0.8,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,vol60-dg,1.3572505940322879,False,True,True,-,True,-,0.12359420654058484,1.1381201336577496,-0.18696236312424186,1.2550969789577595,1.0269842529994457
K_Random,P_S1,broad,EWall,10.0,False,5,17,True,4,6.276966987223549,0.1262813511488694,1.0556536906516467,-0.22633974776376686,1.1022031339130582,0.13933574083806333,-0.2537106610635026,-0.04654944326141153,-0.013054389689193924,0.027370913299735733,0.2,0.5762505378038233,1.1185082795688426,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,abs12-rw,5.434006468988727,False,False,False,DD,False,DD,0.12028036623364713,1.0487291483539292,-0.2263397477637672,1.1540525804932997,0.9666811631675719
D_NONE,P_ALL,broad,EWall,25.0,False,17,17,False,2,1.0,0.13778891144087635,1.0913501695849346,-0.25391347869315706,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.0,0.0,0.0,0.7058823529411765,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,control,0.8657057588560485,False,True,False,DD,False,DD,0.1400924235152614,1.1115111687130292,-0.25391347869315684,1.2210337678029726,1.0132839604042891
MENU_SEP,P_ALL,broad,EWall,25.0,False,17,17,True,2,3.427170725135457,0.10769598366636468,1.0823187579729519,-0.1922164580535689,1.0913501695849346,0.13778891144087635,-0.25391347869315706,-0.009031411611982731,-0.03009292777451167,0.06169702063958815,0.7058823529411765,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_SEP(17),2.9669214333326246,False,True,True,-,False,CAGR,0.10776069517294751,1.080854615733558,-0.1922164580535688,1.1910368517090184,0.9787567824805219
MENU_NET,P_ALL,broad,EWall,25.0,False,17,17,True,2,2.745176245010822,0.10943320177232718,1.098436123465862,-0.19128284339252166,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.007085953880927365,-0.028355709668549167,0.0626306353006354,0.8823529411764706,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,MENU_NET(17),2.3765148843806916,False,True,True,-,True,-,0.10939882126648182,1.0959570830970933,-0.19128284339252177,1.2046770646349496,0.9952147118028175
K_Sharpe,P_ALL,broad,EWall,25.0,False,17,17,True,2,1.5677966562516243,0.11769385576362001,1.1020383628219215,-0.18709252316824732,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.010688193236986887,-0.020095055677256335,0.06682095552490974,0.8823529411764706,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,vol60-dg,1.3572505940322879,False,True,True,-,True,-,0.12130922960363022,1.1191160964632159,-0.18709252316824732,1.2377017236737897,1.0064365016081922
K_CAGR,P_ALL,broad,EWall,25.0,False,17,17,False,2,1.0,0.13778891144087635,1.0913501695849346,-0.25391347869315706,1.0913501695849346,0.13778891144087635,-0.25391347869315706,0.0,0.0,0.0,0.7058823529411765,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,True,True,control,0.8657057588560485,False,True,False,DD,False,DD,0.1400924235152614,1.1115111687130292,-0.25391347869315684,1.2210337678029726,1.0132839604042891
K_Random,P_ALL,broad,EWall,25.0,False,17,17,True,2,9.060428151326283,0.10624129842882057,0.9570430450148669,-0.20423449713176212,1.0913501695849346,0.13778891144087635,-0.25391347869315706,-0.13430712457006766,-0.031547613012055775,0.04967898156139494,0.058823529411764705,0.15539928865606328,1.0740236940215924,0.8820239235972316,0.1545044425578177,-0.3371595330739301,False,True,g200-rw,7.843664828304624,False,True,False,"DD,CAGR",False,"DD,CAGR",0.10331075508585696,0.9489014612578256,-0.20423449713176178,1.0512720354915346,0.860282822203034
