rung,committed,rebuilt,n
R4,L5_CAGR,L2_H2+L3_OOS+L5_CAGR,83
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L1_H1+L3_OOS+L5_CAGR,82
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L3_OOS+L5_CAGR,81
R4,L2_H2+L3_OOS,L1_H1,80
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L2_H2+L4_DD+L5_CAGR,75
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L5_CAGR,74
R3,L2_H2+L3_OOS+L4_DD,L4_DD,73
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L3_OOS+L4_DD,72
R4,L1_H1,L5_CAGR,71
R4,L1_H1+L3_OOS+L4_DD,L1_H1,71
R3,L2_H2+L3_OOS,L3_OOS,68
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L5_CAGR,68
R4,L1_H1,-,67
R3,L2_H2,L2_H2+L3_OOS+L4_DD,66
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L4_DD,65
R4,L5_CAGR,L3_OOS+L5_CAGR,65
R4,L1_H1+L5_CAGR,L1_H1,64
R4,L2_H2,L3_OOS+L4_DD,62
R3,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L4_DD+L5_CAGR,59
R4,L2_H2,L3_OOS+L5_CAGR,58
R4,L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,57
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L2_H2+L3_OOS+L4_DD,56
R4,L2_H2+L5_CAGR,L1_H1+L5_CAGR,56
R4,L2_H2,L2_H2+L3_OOS,52
R3,L2_H2,L1_H1+L2_H2+L3_OOS+L4_DD,52
R4,L5_CAGR,L1_H1+L2_H2+L5_CAGR,51
R3,L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS,50
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L4_DD+L5_CAGR,49
R4,L1_H1+L4_DD+L5_CAGR,L4_DD+L5_CAGR,48
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L3_OOS+L5_CAGR,47
R3,L1_H1+L2_H2+L3_OOS+L5_CAGR,L5_CAGR,45
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L2_H2+L3_OOS+L4_DD,43
R4,L2_H2+L4_DD,L1_H1+L4_DD,42
R3,L1_H1+L2_H2+L4_DD,L4_DD,40
R4,L2_H2+L4_DD,L1_H1,39
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1,39
R4,L2_H2,L2_H2+L5_CAGR,38
R4,L2_H2+L3_OOS+L5_CAGR,L1_H1+L2_H2+L5_CAGR,38
R4,L2_H2,L2_H2+L3_OOS+L4_DD+L5_CAGR,37
R4,L4_DD,L1_H1,37
R3,L2_H2+L3_OOS+L5_CAGR,L5_CAGR,37
R3,L3_OOS,L1_H1+L2_H2+L3_OOS+L5_CAGR,36
R4,L1_H1+L4_DD+L5_CAGR,L5_CAGR,35
R4,L2_H2+L3_OOS,L3_OOS,34
R4,L4_DD+L5_CAGR,L4_DD,33
R3,L1_H1,L4_DD,33
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L4_DD+L5_CAGR,32
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L3_OOS+L5_CAGR,32
R4,L1_H1+L3_OOS,L1_H1,31
R4,L1_H1+L2_H2+L4_DD,L1_H1+L4_DD,30
R4,L4_DD,-,29
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L1_H1+L2_H2+L3_OOS,27
R3,L2_H2+L4_DD+L5_CAGR,L4_DD+L5_CAGR,27
R4,L3_OOS+L4_DD,L4_DD,26
R4,L1_H1+L4_DD+L5_CAGR,L1_H1+L4_DD,26
R4,L1_H1,L1_H1+L4_DD,26
R3,L2_H2+L3_OOS+L4_DD+L5_CAGR,L2_H2+L4_DD+L5_CAGR,25
R4,L2_H2+L3_OOS+L4_DD,L2_H2+L3_OOS+L4_DD+L5_CAGR,24
R4,L2_H2+L3_OOS,-,24
R3,L1_H1,L1_H1+L2_H2+L3_OOS+L5_CAGR,24
R3,L1_H1+L2_H2+L3_OOS+L4_DD,L4_DD,24
R4,L2_H2+L3_OOS+L5_CAGR,L2_H2+L3_OOS,22
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS,22
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L3_OOS+L4_DD,21
R4,L4_DD,L3_OOS,21
R4,L2_H2,L2_H2+L4_DD,20
R4,L1_H1,L3_OOS+L5_CAGR,20
R3,L1_H1+L3_OOS+L5_CAGR,L3_OOS,18
R3,L3_OOS+L4_DD+L5_CAGR,L3_OOS,17
R4,L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,17
R4,L1_H1,L1_H1+L3_OOS+L4_DD,17
R4,L1_H1+L4_DD+L5_CAGR,L1_H1+L5_CAGR,17
R3,L1_H1+L2_H2+L3_OOS,L3_OOS,16
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L2_H2+L3_OOS+L4_DD+L5_CAGR,16
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS+L4_DD+L5_CAGR,15
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L1_H1+L4_DD+L5_CAGR,15
R3,L2_H2+L3_OOS+L5_CAGR,L2_H2+L5_CAGR,15
R4,L4_DD+L5_CAGR,L5_CAGR,15
R3,L1_H1+L3_OOS+L4_DD,L3_OOS,14
R4,L2_H2+L3_OOS,L2_H2+L3_OOS+L5_CAGR,14
R4,L3_OOS,L3_OOS+L4_DD,14
R3,L2_H2,L3_OOS+L4_DD,13
R4,L2_H2+L3_OOS,L1_H1+L2_H2+L3_OOS,12
R4,L1_H1+L3_OOS+L4_DD,L4_DD,12
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,12
R4,L1_H1+L4_DD+L5_CAGR,L1_H1,12
R4,L1_H1+L3_OOS+L4_DD+L5_CAGR,L1_H1+L5_CAGR,12
R4,L4_DD,L4_DD+L5_CAGR,11
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L3_OOS+L4_DD+L5_CAGR,11
R4,L1_H1+L3_OOS+L4_DD+L5_CAGR,L1_H1+L4_DD+L5_CAGR,11
R4,L2_H2+L5_CAGR,L2_H2,10
R4,L1_H1+L2_H2+L5_CAGR,L5_CAGR,10
R4,L2_H2,L2_H2+L4_DD+L5_CAGR,10
R3,L1_H1,L1_H1+L4_DD,10
R4,L3_OOS,L4_DD,10
R4,L1_H1+L2_H2+L3_OOS,L3_OOS,10
R3,L1_H1+L3_OOS+L4_DD,L3_OOS+L4_DD,10
R4,L3_OOS,L4_DD+L5_CAGR,10
R4,L1_H1,L2_H2+L3_OOS,10
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L2_H2,10
R4,L1_H1+L3_OOS+L4_DD,L3_OOS,9
R3,L2_H2,L4_DD,9
R3,L2_H2+L3_OOS,L2_H2,9
R3,L2_H2,L5_CAGR,9
R4,L1_H1+L4_DD+L5_CAGR,L4_DD,9
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L1_H1+L4_DD,9
R4,L1_H1+L2_H2,L1_H1,8
R3,L3_OOS+L4_DD,L3_OOS,8
R4,L2_H2+L3_OOS+L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,8
R4,L2_H2+L3_OOS+L5_CAGR,-,8
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L2_H2+L5_CAGR,8
R3,L2_H2+L3_OOS+L4_DD+L5_CAGR,L4_DD+L5_CAGR,8
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L1_H1+L2_H2+L5_CAGR,8
R4,L2_H2,L4_DD,7
R4,L2_H2,L1_H1+L2_H2+L5_CAGR,7
R4,L2_H2+L3_OOS+L4_DD,L2_H2,7
R4,L1_H1+L2_H2+L3_OOS,L1_H1+L3_OOS,6
R4,L1_H1,L4_DD,6
R4,L1_H1+L5_CAGR,L2_H2+L5_CAGR,6
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L5_CAGR,6
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L2_H2+L4_DD+L5_CAGR,6
R4,L2_H2,L1_H1,6
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L4_DD,5
R4,L1_H1+L4_DD,L1_H1+L4_DD+L5_CAGR,5
R4,L4_DD,L1_H1+L2_H2+L4_DD+L5_CAGR,5
R4,L4_DD,L1_H1+L4_DD+L5_CAGR,5
R3,L1_H1,L4_DD+L5_CAGR,5
R3,L4_DD,L4_DD+L5_CAGR,5
R3,L1_H1+L3_OOS+L4_DD,L1_H1+L4_DD,5
R4,L1_H1+L3_OOS+L5_CAGR,L3_OOS,4
R4,L2_H2+L5_CAGR,-,4
R4,L2_H2+L3_OOS,L2_H2+L5_CAGR,4
R4,L1_H1+L2_H2+L3_OOS,L1_H1+L2_H2,4
R4,L1_H1,L1_H1+L2_H2+L3_OOS,4
R4,L1_H1,L1_H1+L2_H2+L5_CAGR,4
R4,L1_H1,L1_H1+L2_H2+L4_DD,4
R4,L2_H2,L1_H1+L2_H2+L3_OOS,4
R3,L1_H1+L3_OOS+L5_CAGR,L3_OOS+L5_CAGR,4
R4,L2_H2,L1_H1+L2_H2+L4_DD,4
R4,L4_DD,L1_H1+L2_H2+L4_DD,4
R4,L2_H2+L3_OOS+L5_CAGR,L1_H1,4
R4,L1_H1+L4_DD+L5_CAGR,-,4
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,4
R4,L2_H2+L3_OOS+L5_CAGR,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,4
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L2_H2+L4_DD+L5_CAGR,4
R3,L1_H1+L4_DD,L4_DD+L5_CAGR,4
R3,L3_OOS+L4_DD,L4_DD,4
R4,L1_H1+L3_OOS+L4_DD+L5_CAGR,L1_H1+L4_DD,3
R4,L3_OOS+L4_DD,L2_H2+L3_OOS+L4_DD,3
R4,L3_OOS,L2_H2+L3_OOS,3
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L5_CAGR,3
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS+L4_DD,3
R4,L3_OOS,-,3
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2+L3_OOS+L4_DD,3
R4,L2_H2,L5_CAGR,3
R4,L1_H1+L3_OOS+L4_DD+L5_CAGR,L1_H1+L3_OOS+L4_DD,3
R4,L1_H1,L1_H1+L3_OOS+L4_DD+L5_CAGR,3
R4,L2_H2+L4_DD,L2_H2+L3_OOS+L4_DD,3
R4,L5_CAGR,L3_OOS,3
R3,L4_DD,L2_H2+L4_DD,3
R4,L2_H2+L3_OOS+L5_CAGR,L2_H2,3
R3,L2_H2,L1_H1+L2_H2+L3_OOS+L5_CAGR,3
R4,L3_OOS,L2_H2+L3_OOS+L4_DD,3
R4,L1_H1,L1_H1+L3_OOS+L5_CAGR,3
R4,L1_H1+L5_CAGR,L1_H1+L2_H2+L3_OOS+L5_CAGR,3
R4,L4_DD+L5_CAGR,L2_H2+L4_DD,3
R3,L1_H1,L5_CAGR,3
R3,L1_H1+L5_CAGR,L4_DD+L5_CAGR,3
R3,L1_H1+L2_H2+L4_DD,L4_DD+L5_CAGR,3
R3,L1_H1+L2_H2,L4_DD+L5_CAGR,3
R4,L4_DD+L5_CAGR,L1_H1+L4_DD,3
R4,L1_H1+L2_H2,L2_H2,3
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L2_H2,3
R4,L1_H1+L2_H2+L5_CAGR,L1_H1,3
R4,L1_H1+L4_DD,L5_CAGR,3
R4,L2_H2+L4_DD+L5_CAGR,L2_H2+L5_CAGR,3
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L4_DD,3
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L1_H1+L2_H2,3
R4,L5_CAGR,L1_H1,2
R4,L2_H2+L5_CAGR,L1_H1+L2_H2+L5_CAGR,2
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L1_H1+L2_H2+L4_DD,2
R4,L1_H1,L1_H1+L3_OOS,2
R4,L1_H1,L1_H1+L2_H2+L4_DD+L5_CAGR,2
R4,L1_H1+L3_OOS+L5_CAGR,L1_H1,2
R3,L1_H1+L3_OOS,L3_OOS,2
R4,L1_H1+L2_H2+L4_DD,L2_H2+L4_DD,2
R4,L2_H2,L3_OOS+L4_DD+L5_CAGR,2
R4,L4_DD,L1_H1+L3_OOS+L4_DD,2
R3,L3_OOS,L1_H1+L2_H2+L3_OOS+L4_DD,2
R4,L1_H1,L2_H2,2
R4,L1_H1,L2_H2+L5_CAGR,2
R4,L1_H1,L2_H2+L3_OOS+L4_DD,2
R4,L1_H1,L1_H1+L4_DD+L5_CAGR,2
R4,L1_H1+L5_CAGR,-,2
R4,L1_H1+L2_H2+L5_CAGR,-,2
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L2_H2+L5_CAGR,2
R4,L1_H1+L2_H2+L4_DD,L1_H1+L2_H2+L4_DD+L5_CAGR,2
R3,L2_H2+L4_DD+L5_CAGR,L3_OOS,2
R4,L2_H2+L4_DD+L5_CAGR,L3_OOS,2
R3,L5_CAGR,L4_DD+L5_CAGR,2
R4,L2_H2+L4_DD+L5_CAGR,L4_DD,2
R4,L4_DD,L2_H2,2
R4,L1_H1+L3_OOS+L4_DD+L5_CAGR,L1_H1,2
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L4_DD+L5_CAGR,2
R4,L1_H1+L3_OOS,L1_H1+L5_CAGR,2
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L4_DD,1
R3,L3_OOS+L5_CAGR,L3_OOS,1
R4,L3_OOS+L5_CAGR,L2_H2+L3_OOS+L5_CAGR,1
R4,L3_OOS+L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD,1
R4,L2_H2+L3_OOS+L4_DD+L5_CAGR,L2_H2+L4_DD,1
R4,L1_H1+L2_H2+L3_OOS,L1_H1+L2_H2+L3_OOS+L5_CAGR,1
R4,L2_H2+L4_DD,L4_DD+L5_CAGR,1
R4,L1_H1+L2_H2+L3_OOS+L5_CAGR,L1_H1,1
R4,L2_H2,L1_H1+L3_OOS+L4_DD,1
R4,L1_H1+L2_H2+L3_OOS+L4_DD,L1_H1+L3_OOS+L4_DD+L5_CAGR,1
R4,L3_OOS+L5_CAGR,L5_CAGR,1
R3,L1_H1+L3_OOS+L4_DD+L5_CAGR,L3_OOS,1
R4,L2_H2+L3_OOS+L4_DD,L1_H1+L3_OOS+L4_DD,1
R4,L1_H1+L2_H2,L1_H1+L5_CAGR,1
R4,L1_H1+L3_OOS+L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD,1
R4,L2_H2+L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD,1
R4,L1_H1+L2_H2+L4_DD,L2_H2+L3_OOS+L4_DD,1
R4,L1_H1+L4_DD,L1_H1+L2_H2+L4_DD,1
R4,L3_OOS+L4_DD,L1_H1+L3_OOS+L4_DD,1
R4,L1_H1,L2_H2+L3_OOS+L5_CAGR,1
R4,L5_CAGR,L2_H2,1
R4,L3_OOS,L2_H2+L3_OOS+L5_CAGR,1
R4,L2_H2+L3_OOS+L5_CAGR,L1_H1+L3_OOS+L5_CAGR,1
R3,L1_H1+L2_H2+L3_OOS,L1_H1+L2_H2,1
R4,L1_H1+L2_H2+L5_CAGR,L1_H1+L2_H2+L3_OOS+L5_CAGR,1
R4,L1_H1+L2_H2+L4_DD,L1_H1+L2_H2+L3_OOS+L4_DD,1
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L2_H2+L4_DD,1
R4,L1_H1+L2_H2+L5_CAGR,L2_H2+L5_CAGR,1
R3,L1_H1+L2_H2+L4_DD+L5_CAGR,L3_OOS,1
R4,L1_H1+L2_H2+L4_DD+L5_CAGR,L3_OOS,1
R4,L2_H2+L4_DD+L5_CAGR,L1_H1+L2_H2+L4_DD+L5_CAGR,1
R3,L2_H2+L5_CAGR,L3_OOS,1
R4,L2_H2+L5_CAGR,L3_OOS+L5_CAGR,1
R3,L2_H2+L4_DD,L4_DD+L5_CAGR,1
R3,L2_H2,L4_DD+L5_CAGR,1
R3,L1_H1+L2_H2,L5_CAGR,1
R4,L1_H1+L4_DD,L2_H2,1
R4,L2_H2+L4_DD+L5_CAGR,L5_CAGR,1
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L4_DD,1
R4,L1_H1+L4_DD,L2_H2+L4_DD,1
R4,L1_H1+L4_DD+L5_CAGR,L1_H1+L2_H2+L5_CAGR,1
R4,L1_H1+L3_OOS+L4_DD,L1_H1+L5_CAGR,1
R4,L2_H2+L5_CAGR,L1_H1,1
R4,L1_H1+L2_H2+L3_OOS,L1_H1+L5_CAGR,1
R4,L1_H1+L2_H2+L3_OOS,L1_H1,1
R3,L1_H1+L3_OOS,L1_H1,1
R4,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR,L3_OOS+L5_CAGR,1
