book,CAGR,Sharpe,MaxDD,Vol,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,Ebar,turnover_yr,panel,target,lookback,sbar,s_at_cap,s_min,a_h1,a_h2,a_dd,pass4a,b_h1,b_h2,b_oos,b_dd,b_cagr,pass4b,o_h1,o_h2,o_sharpe,o_dd,o_cagr,pass4b_oos
vt t=0.08 L=21,0.08161798028838563,1.0432191755779727,-0.10661258816476249,0.0781524577605087,1.160681962799412,0.9286227221639494,0.07667997154413908,0.9796240096181,-0.07937526486608582,0.08571010781007038,1.0960425677206076,-0.10661258816476193,1.2803286595513286,0.8979789205698779,0.6118317296278895,3.7607802589076735,B136,0.08,21,0.8691632106037758,0.4665465194863708,0.30559654880136666,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.08 L=42,0.08556318941981012,1.0694633770353015,-0.11512664072922929,0.07975997721083561,1.2117692440071197,0.9318956993458254,0.0826377568965726,1.0336203306051954,-0.07747211239720586,0.08798334555046061,1.0989334561243715,-0.11512664072922985,1.2615934348326996,0.9235381953825041,0.6118003369980096,3.053156608715754,B136,0.08,42,0.8670784268705941,0.4054967334985357,0.3788150789213544,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.08 L=63,0.0861569679278138,1.0748152575340815,-0.12846098908823422,0.0798802318610844,1.2403325678038721,0.915020010217667,0.08542199743442658,1.0647908540684055,-0.07535166320316589,0.08676387470969527,1.0828895309479458,-0.1284609890882339,1.2482469369008287,0.9051365505209084,0.612074609902213,2.7618209312076534,B136,0.08,63,0.8666704958649207,0.36719981977922955,0.4503383965317626,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.08 L=126,0.08674800408529726,1.065572763265136,-0.139147668479215,0.08118234905426962,1.273849773705144,0.8652872251677315,0.09021196193628289,1.1041087195637989,-0.07642477505368406,0.08389767494205191,1.0335280059308065,-0.13914766847921511,1.1294629556004885,0.9299401393395184,0.6119301084674527,2.5284907487953263,B136,0.08,126,0.8633399698558668,0.2876774048209056,0.5343836548827289,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.08 L=252,0.08952760257821013,1.1052948230672088,-0.13806864340702818,0.08052859738050902,1.2639546150787602,0.9568059853483747,0.08699568277723557,1.0891804892574193,-0.07947266055274083,0.09162150214492426,1.1181997315722632,-0.13806864340702796,1.2376227853256494,0.9882488594189834,0.6094105967450004,2.3471780882762,B136,0.08,252,0.8575411757846255,0.24036945257940978,0.5413247795381501,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.1 L=21,0.0897018264078826,1.0374805592785623,-0.11898550309751132,0.08642249822048192,1.1554538666016598,0.9208348407568967,0.08692702854688905,0.9915235803651056,-0.0976708486630884,0.09199705346244835,1.076728952900882,-0.11898550309751066,1.235312599260923,0.9033572336790445,0.6642179311040073,3.3011938299420294,B136,0.1,21,0.9389318366155817,0.70736652399189,0.38199568600170836,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.1 L=42,0.09569297676505983,1.0818433488205959,-0.13408382003550923,0.08808309508322257,1.2056798597584593,0.9594616924059849,0.09432834595918793,1.049419158344808,-0.09116573339553369,0.09682041537207953,1.109616249416613,-0.134083820035509,1.2672561386022807,0.9356426988285401,0.6697878104484555,2.8742202315824197,B136,0.1,42,0.9453055965993398,0.7010587970263573,0.4735188486516931,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.1 L=63,0.09764965544784876,1.0965103747693123,-0.14018678126902928,0.08857124562583318,1.2423644787919648,0.9533548941150147,0.09851128516585539,1.089414267597039,-0.08830274944281113,0.09693910737408684,1.102520515142071,-0.14018678126902906,1.2477340411861328,0.9421324042148054,0.672055886185538,2.745569012002807,B136,0.1,63,0.9483902102265911,0.6909213786888939,0.5629229956647033,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.1 L=126,0.0989966197834602,1.0901941804290116,-0.15114745933607365,0.09035644673656455,1.2541395315001898,0.9297908867017501,0.10209226327241461,1.1056453133910487,-0.09309853804724066,0.096448500013113,1.0770525263929351,-0.15114745933607343,1.195400346319423,0.94577588094829,0.6773389876625985,2.620267793792982,B136,0.1,126,0.9522938955978435,0.7148006307726965,0.6679795686034112,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.1 L=252,0.0990586905358839,1.0889953640237802,-0.15659902753123844,0.0905221515795125,1.2367476195395466,0.9468543436523453,0.09944333619387136,1.0857572557142288,-0.09541082724475103,0.09874136432408087,1.0915164954543406,-0.15659902753123855,1.2141898295294888,0.9542572333070162,0.6771193630979465,2.575687825355568,B136,0.1,252,0.95287866082521,0.6810092363144853,0.6766559744226877,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.12 L=21,0.09684088632687082,1.0627725230915712,-0.13305414207285016,0.0908860363005906,1.187087460947908,0.9386091627403467,0.0966873500344192,1.0364647194778567,-0.09583219730075598,0.0969676078358308,1.0858930371817315,-0.13305414207285016,1.2275311831967994,0.9275079345191284,0.688680235817097,3.0044661913940214,B136,0.12,21,0.9714785958705112,0.8373507546744763,0.45839482320204994,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.12 L=42,0.10240753295524985,1.1037929667681066,-0.1403692688834316,0.0922057238591835,1.2139738281924144,0.9934229663420541,0.10161279593673989,1.0683489355522773,-0.09658169169714281,0.10306381885796068,1.1350592125631496,-0.1403692688834317,1.3066671322990469,0.9407410830897238,0.6943315701431262,2.7523128246753936,B136,0.12,42,0.9778261003848735,0.8560486596080198,0.5682226183820316,False,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.12 L=63,0.10342299308176317,1.1028661088545957,-0.14773525654462483,0.09320202332081706,1.2325376938002002,0.9751963226008497,0.10401845726049874,1.088766550383004,-0.09662286996140523,0.10293183012040075,1.115039174158022,-0.14773525654462483,1.2627859272082902,0.9469198106631028,0.6963175982002168,2.7089765017077077,B136,0.12,63,0.9803733990817504,0.872493804911016,0.6755075947976439,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.12 L=126,0.10370418980130447,1.0925191771117455,-0.16157734777304533,0.09442346550192246,1.239972258097021,0.9496684051356005,0.10557185676648562,1.097775950981989,-0.09663155757540698,0.1021652802393429,1.0879842843185124,-0.16157734777304533,1.2126869830545555,0.9469198106631028,0.6984643113204975,2.6591131879972556,B136,0.12,126,0.9814244974431258,0.8470376210858301,0.75,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.12 L=252,0.104060341890164,1.100274151804491,-0.16157734777304522,0.09401659192077047,1.2367805832321535,0.9706859319695362,0.10347677572923253,1.0918490126001996,-0.09663155757540676,0.10454216036779584,1.1070393930792943,-0.1615773477730451,1.2470461330427716,0.9469198106631028,0.6981502463862985,2.6344238598908443,B136,0.12,252,0.9813048885437975,0.858526695201622,0.75,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.15 L=21,0.10502715029478549,1.1098866580779294,-0.14064440547786716,0.0939885408625611,1.227820260157528,0.991989807795878,0.10551661740474105,1.0866075745679518,-0.10183589033554974,0.1046233823904903,1.1305732574965437,-0.14064440547786694,1.2915760779402323,0.9464055077334809,0.7039922132103772,2.756072821946874,B136,0.15,21,0.991519239560082,0.9384996620860554,0.5729935290025624,False,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.15 L=42,0.10750769057697496,1.1216464662894932,-0.1498736416850175,0.09509622540503046,1.237963534713616,1.005868085725563,0.1079422500607683,1.0992456928929597,-0.09755987337612648,0.1071492001633636,1.1414220717332626,-0.14987364168501738,1.3097990300997602,0.9469198106631028,0.7065066056256687,2.684550018149853,B136,0.15,42,0.9943780935101451,0.95629646316738,0.7102782729775395,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False
vt t=0.15 L=63,0.10659074274605396,1.1029619836378308,-0.16118024001989928,0.09603829426455954,1.229320976507901,0.9784678133286133,0.1075991933841729,1.090877047120376,-0.10258142349584165,0.10575921372659658,1.1135051458565643,-0.1611802400198995,1.2585478321076682,0.9469198106631028,0.7076447873198995,2.672524167365266,B136,0.15,63,0.9962413706966817,0.9585492227979274,0.75,True,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
vt t=0.15 L=126,0.10737877511558414,1.107218937261884,-0.16157734777304544,0.09633832225672793,1.2332535226771555,0.9833022070744003,0.10834071022430436,1.09548371899444,-0.10459015546040462,0.10658557013582604,1.1174115114630112,-0.1615773477730451,1.2654546746390924,0.9469198106631028,0.7088759605852497,2.6624637689123074,B136,0.15,126,0.9962266276188331,0.9849065104753323,0.75,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False
vt t=0.15 L=252,0.10523721903042405,1.0992315256754637,-0.16157734777304522,0.09517525051255685,1.2205263433672584,0.9833022070744003,0.10360554409735823,1.077228468197512,-0.1045901554604044,0.10658557013582604,1.1174115114630112,-0.1615773477730451,1.2654546746390924,0.9469198106631028,0.7036619715646074,2.6487581391801314,B136,0.15,252,0.9891304347826086,0.9565217391304348,0.75,False,False,False,False,True,True,True,True,False,False,True,True,True,True,False,False
