period,D,assign,bar,subset,n,was_inside,now_inside,to_inside,to_outside,net,moved_share
FULL,12,MEAN,1.0,ALL,607,260,257,0,3,-3,0.004942339373970346
FULL,12,MEAN,1.0,2PANEL,345,121,118,0,3,-3,0.008695652173913044
FULL,12,MEAN,1.0,3PANEL,262,139,139,0,0,0,0.0
FULL,12,MEAN,2.0,ALL,607,315,313,2,4,-2,0.009884678747940691
FULL,12,MEAN,2.0,2PANEL,345,145,143,2,4,-2,0.017391304347826087
FULL,12,MEAN,2.0,3PANEL,262,170,170,0,0,0,0.0
FULL,12,MAX,1.0,ALL,607,260,271,12,1,11,0.0214168039538715
FULL,12,MAX,1.0,2PANEL,345,121,124,4,1,3,0.014492753623188406
FULL,12,MAX,1.0,3PANEL,262,139,147,8,0,8,0.030534351145038167
FULL,12,MAX,2.0,ALL,607,315,346,33,2,31,0.057660626029654036
FULL,12,MAX,2.0,2PANEL,345,145,153,10,2,8,0.034782608695652174
FULL,12,MAX,2.0,3PANEL,262,170,193,23,0,23,0.08778625954198473
FULL,12,RSS,1.0,ALL,607,260,302,42,0,42,0.06919275123558484
FULL,12,RSS,1.0,2PANEL,345,121,134,13,0,13,0.03768115942028986
FULL,12,RSS,1.0,3PANEL,262,139,168,29,0,29,0.11068702290076336
FULL,12,RSS,2.0,ALL,607,315,360,45,0,45,0.07413509060955518
FULL,12,RSS,2.0,2PANEL,345,145,164,19,0,19,0.05507246376811594
FULL,12,RSS,2.0,3PANEL,262,170,196,26,0,26,0.09923664122137404
FULL,24,POOLED,1.0,ALL,607,260,260,0,0,0,0.0
FULL,24,POOLED,1.0,2PANEL,345,121,121,0,0,0,0.0
FULL,24,POOLED,1.0,3PANEL,262,139,139,0,0,0,0.0
FULL,24,POOLED,2.0,ALL,607,312,312,0,0,0,0.0
FULL,24,POOLED,2.0,2PANEL,345,144,144,0,0,0,0.0
FULL,24,POOLED,2.0,3PANEL,262,168,168,0,0,0,0.0
FULL,24,MIN,1.0,ALL,607,260,237,0,23,-23,0.03789126853377265
FULL,24,MIN,1.0,2PANEL,345,121,110,0,11,-11,0.03188405797101449
FULL,24,MIN,1.0,3PANEL,262,139,127,0,12,-12,0.04580152671755725
FULL,24,MIN,2.0,ALL,607,312,295,0,17,-17,0.02800658978583196
FULL,24,MIN,2.0,2PANEL,345,144,133,0,11,-11,0.03188405797101449
FULL,24,MIN,2.0,3PANEL,262,168,162,0,6,-6,0.022900763358778626
FULL,24,MEAN,1.0,ALL,607,260,254,0,6,-6,0.009884678747940691
FULL,24,MEAN,1.0,2PANEL,345,121,115,0,6,-6,0.017391304347826087
FULL,24,MEAN,1.0,3PANEL,262,139,139,0,0,0,0.0
FULL,24,MEAN,2.0,ALL,607,312,309,2,5,-3,0.011532125205930808
FULL,24,MEAN,2.0,2PANEL,345,144,141,2,5,-3,0.020289855072463767
FULL,24,MEAN,2.0,3PANEL,262,168,168,0,0,0,0.0
FULL,24,MAX,1.0,ALL,607,260,268,10,2,8,0.019769357495881382
FULL,24,MAX,1.0,2PANEL,345,121,121,2,2,0,0.011594202898550725
FULL,24,MAX,1.0,3PANEL,262,139,147,8,0,8,0.030534351145038167
FULL,24,MAX,2.0,ALL,607,312,344,36,4,32,0.06589785831960461
FULL,24,MAX,2.0,2PANEL,345,144,151,11,4,7,0.043478260869565216
FULL,24,MAX,2.0,3PANEL,262,168,193,25,0,25,0.09541984732824428
FULL,24,RSS,1.0,ALL,607,260,303,43,0,43,0.07084019769357495
FULL,24,RSS,1.0,2PANEL,345,121,135,14,0,14,0.04057971014492753
FULL,24,RSS,1.0,3PANEL,262,139,168,29,0,29,0.11068702290076336
FULL,24,RSS,2.0,ALL,607,312,358,46,0,46,0.0757825370675453
FULL,24,RSS,2.0,2PANEL,345,144,162,18,0,18,0.05217391304347826
FULL,24,RSS,2.0,3PANEL,262,168,196,28,0,28,0.10687022900763359
IS,3,POOLED,1.0,ALL,607,302,302,0,0,0,0.0
IS,3,POOLED,1.0,2PANEL,345,137,137,0,0,0,0.0
IS,3,POOLED,1.0,3PANEL,262,165,165,0,0,0,0.0
IS,3,POOLED,2.0,ALL,607,354,354,0,0,0,0.0
IS,3,POOLED,2.0,2PANEL,345,166,166,0,0,0,0.0
IS,3,POOLED,2.0,3PANEL,262,188,188,0,0,0,0.0
IS,3,MIN,1.0,ALL,607,302,291,0,11,-11,0.018121911037891267
IS,3,MIN,1.0,2PANEL,345,137,133,0,4,-4,0.011594202898550725
IS,3,MIN,1.0,3PANEL,262,165,158,0,7,-7,0.026717557251908396
IS,3,MIN,2.0,ALL,607,354,343,2,13,-11,0.02471169686985173
IS,3,MIN,2.0,2PANEL,345,166,160,2,8,-6,0.028985507246376812
IS,3,MIN,2.0,3PANEL,262,188,183,0,5,-5,0.019083969465648856
IS,3,MEAN,1.0,ALL,607,302,300,0,2,-2,0.0032948929159802307
IS,3,MEAN,1.0,2PANEL,345,137,135,0,2,-2,0.005797101449275362
IS,3,MEAN,1.0,3PANEL,262,165,165,0,0,0,0.0
IS,3,MEAN,2.0,ALL,607,354,353,2,3,-1,0.008237232289950576
IS,3,MEAN,2.0,2PANEL,345,166,165,2,3,-1,0.014492753623188406
IS,3,MEAN,2.0,3PANEL,262,188,188,0,0,0,0.0
IS,3,MAX,1.0,ALL,607,302,309,8,1,7,0.014827018121911038
IS,3,MAX,1.0,2PANEL,345,137,139,3,1,2,0.011594202898550725
IS,3,MAX,1.0,3PANEL,262,165,170,5,0,5,0.019083969465648856
IS,3,MAX,2.0,ALL,607,354,370,17,1,16,0.029654036243822075
IS,3,MAX,2.0,2PANEL,345,166,173,8,1,7,0.02608695652173913
IS,3,MAX,2.0,3PANEL,262,188,197,9,0,9,0.03435114503816794
IS,3,RSS,1.0,ALL,607,302,336,34,0,34,0.05601317957166392
IS,3,RSS,1.0,2PANEL,345,137,150,13,0,13,0.03768115942028986
IS,3,RSS,1.0,3PANEL,262,165,186,21,0,21,0.08015267175572519
IS,3,RSS,2.0,ALL,607,354,386,32,0,32,0.05271828665568369
IS,3,RSS,2.0,2PANEL,345,166,183,17,0,17,0.04927536231884058
IS,3,RSS,2.0,3PANEL,262,188,203,15,0,15,0.05725190839694656
IS,6,POOLED,1.0,ALL,607,298,298,0,0,0,0.0
IS,6,POOLED,1.0,2PANEL,345,134,134,0,0,0,0.0
IS,6,POOLED,1.0,3PANEL,262,164,164,0,0,0,0.0
IS,6,POOLED,2.0,ALL,607,352,352,0,0,0,0.0
IS,6,POOLED,2.0,2PANEL,345,165,165,0,0,0,0.0
IS,6,POOLED,2.0,3PANEL,262,187,187,0,0,0,0.0
IS,6,MIN,1.0,ALL,607,298,294,0,4,-4,0.006589785831960461
IS,6,MIN,1.0,2PANEL,345,134,133,0,1,-1,0.002898550724637681
IS,6,MIN,1.0,3PANEL,262,164,161,0,3,-3,0.011450381679389313
IS,6,MIN,2.0,ALL,607,352,341,0,11,-11,0.018121911037891267
IS,6,MIN,2.0,2PANEL,345,165,158,0,7,-7,0.020289855072463767
IS,6,MIN,2.0,3PANEL,262,187,183,0,4,-4,0.015267175572519083
IS,6,MEAN,1.0,ALL,607,298,299,2,1,1,0.004942339373970346
IS,6,MEAN,1.0,2PANEL,345,134,135,2,1,1,0.008695652173913044
IS,6,MEAN,1.0,3PANEL,262,164,164,0,0,0,0.0
IS,6,MEAN,2.0,ALL,607,352,355,3,0,3,0.004942339373970346
IS,6,MEAN,2.0,2PANEL,345,165,168,3,0,3,0.008695652173913044
IS,6,MEAN,2.0,3PANEL,262,187,187,0,0,0,0.0
IS,6,MAX,1.0,ALL,607,298,311,14,1,13,0.02471169686985173
IS,6,MAX,1.0,2PANEL,345,134,139,6,1,5,0.020289855072463767
IS,6,MAX,1.0,3PANEL,262,164,172,8,0,8,0.030534351145038167
IS,6,MAX,2.0,ALL,607,352,368,16,0,16,0.026359143327841845
IS,6,MAX,2.0,2PANEL,345,165,171,6,0,6,0.017391304347826087
IS,6,MAX,2.0,3PANEL,262,187,197,10,0,10,0.03816793893129771
IS,6,RSS,1.0,ALL,607,298,335,37,0,37,0.060955518945634266
IS,6,RSS,1.0,2PANEL,345,134,149,15,0,15,0.043478260869565216
IS,6,RSS,1.0,3PANEL,262,164,186,22,0,22,0.08396946564885496
IS,6,RSS,2.0,ALL,607,352,386,34,0,34,0.05601317957166392
IS,6,RSS,2.0,2PANEL,345,165,182,17,0,17,0.04927536231884058
IS,6,RSS,2.0,3PANEL,262,187,204,17,0,17,0.0648854961832061
IS,12,POOLED,1.0,ALL,607,299,299,0,0,0,0.0
IS,12,POOLED,1.0,2PANEL,345,134,134,0,0,0,0.0
IS,12,POOLED,1.0,3PANEL,262,165,165,0,0,0,0.0
IS,12,POOLED,2.0,ALL,607,352,352,0,0,0,0.0
IS,12,POOLED,2.0,2PANEL,345,166,166,0,0,0,0.0
IS,12,POOLED,2.0,3PANEL,262,186,186,0,0,0,0.0
IS,12,MIN,1.0,ALL,607,299,268,0,31,-31,0.051070840197693576
IS,12,MIN,1.0,2PANEL,345,134,130,0,4,-4,0.011594202898550725
IS,12,MIN,1.0,3PANEL,262,165,138,0,27,-27,0.10305343511450382
IS,12,MIN,2.0,ALL,607,352,328,0,24,-24,0.039538714991762765
IS,12,MIN,2.0,2PANEL,345,166,149,0,17,-17,0.04927536231884058
IS,12,MIN,2.0,3PANEL,262,186,179,0,7,-7,0.026717557251908396
IS,12,MEAN,1.0,ALL,607,299,300,1,0,1,0.0016474464579901153
IS,12,MEAN,1.0,2PANEL,345,134,135,1,0,1,0.002898550724637681
IS,12,MEAN,1.0,3PANEL,262,165,165,0,0,0,0.0
IS,12,MEAN,2.0,ALL,607,352,347,3,8,-5,0.018121911037891267
IS,12,MEAN,2.0,2PANEL,345,166,161,3,8,-5,0.03188405797101449
IS,12,MEAN,2.0,3PANEL,262,186,186,0,0,0,0.0
IS,12,MAX,1.0,ALL,607,299,322,23,0,23,0.03789126853377265
IS,12,MAX,1.0,2PANEL,345,134,141,7,0,7,0.020289855072463767
IS,12,MAX,1.0,3PANEL,262,165,181,16,0,16,0.061068702290076333
IS,12,MAX,2.0,ALL,607,352,368,21,5,16,0.042833607907743
IS,12,MAX,2.0,2PANEL,345,166,171,10,5,5,0.043478260869565216
IS,12,MAX,2.0,3PANEL,262,186,197,11,0,11,0.04198473282442748
IS,12,RSS,1.0,ALL,607,299,332,33,0,33,0.054365733113673806
IS,12,RSS,1.0,2PANEL,345,134,146,12,0,12,0.034782608695652174
IS,12,RSS,1.0,3PANEL,262,165,186,21,0,21,0.08015267175572519
IS,12,RSS,2.0,ALL,607,352,384,32,0,32,0.05271828665568369
IS,12,RSS,2.0,2PANEL,345,166,180,14,0,14,0.04057971014492753
IS,12,RSS,2.0,3PANEL,262,186,204,18,0,18,0.06870229007633588
IS,24,POOLED,1.0,ALL,607,290,290,0,0,0,0.0
IS,24,POOLED,1.0,2PANEL,345,133,133,0,0,0,0.0
IS,24,POOLED,1.0,3PANEL,262,157,157,0,0,0,0.0
IS,24,POOLED,2.0,ALL,607,347,347,0,0,0,0.0
IS,24,POOLED,2.0,2PANEL,345,161,161,0,0,0,0.0
IS,24,POOLED,2.0,3PANEL,262,186,186,0,0,0,0.0
IS,24,MIN,1.0,ALL,607,290,263,0,27,-27,0.044481054365733116
IS,24,MIN,1.0,2PANEL,345,133,125,0,8,-8,0.02318840579710145
IS,24,MIN,1.0,3PANEL,262,157,138,0,19,-19,0.07251908396946564
IS,24,MIN,2.0,ALL,607,347,317,0,30,-30,0.04942339373970346
IS,24,MIN,2.0,2PANEL,345,161,144,0,17,-17,0.04927536231884058
IS,24,MIN,2.0,3PANEL,262,186,173,0,13,-13,0.04961832061068702
IS,24,MEAN,1.0,ALL,607,290,289,0,1,-1,0.0016474464579901153
IS,24,MEAN,1.0,2PANEL,345,133,132,0,1,-1,0.002898550724637681
IS,24,MEAN,1.0,3PANEL,262,157,157,0,0,0,0.0
IS,24,MEAN,2.0,ALL,607,347,340,2,9,-7,0.018121911037891267
IS,24,MEAN,2.0,2PANEL,345,161,154,2,9,-7,0.03188405797101449
IS,24,MEAN,2.0,3PANEL,262,186,186,0,0,0,0.0
IS,24,MAX,1.0,ALL,607,290,305,15,0,15,0.02471169686985173
IS,24,MAX,1.0,2PANEL,345,133,136,3,0,3,0.008695652173913044
IS,24,MAX,1.0,3PANEL,262,157,169,12,0,12,0.04580152671755725
IS,24,MAX,2.0,ALL,607,347,363,19,3,16,0.036243822075782535
IS,24,MAX,2.0,2PANEL,345,161,166,8,3,5,0.03188405797101449
IS,24,MAX,2.0,3PANEL,262,186,197,11,0,11,0.04198473282442748
IS,24,RSS,1.0,ALL,607,290,327,37,0,37,0.060955518945634266
IS,24,RSS,1.0,2PANEL,345,133,142,9,0,9,0.02608695652173913
IS,24,RSS,1.0,3PANEL,262,157,185,28,0,28,0.10687022900763359
IS,24,RSS,2.0,ALL,607,347,377,30,0,30,0.04942339373970346
IS,24,RSS,2.0,2PANEL,345,161,176,15,0,15,0.043478260869565216
IS,24,RSS,2.0,3PANEL,262,186,201,15,0,15,0.05725190839694656
OOS,3,POOLED,1.0,ALL,607,260,260,0,0,0,0.0
OOS,3,POOLED,1.0,2PANEL,345,120,120,0,0,0,0.0
OOS,3,POOLED,1.0,3PANEL,262,140,140,0,0,0,0.0
OOS,3,POOLED,2.0,ALL,607,314,314,0,0,0,0.0
OOS,3,POOLED,2.0,2PANEL,345,143,143,0,0,0,0.0
OOS,3,POOLED,2.0,3PANEL,262,171,171,0,0,0,0.0
OOS,3,MIN,1.0,ALL,607,260,179,0,81,-81,0.13344316309719934
OOS,3,MIN,1.0,2PANEL,345,120,91,0,29,-29,0.08405797101449275
OOS,3,MIN,1.0,3PANEL,262,140,88,0,52,-52,0.1984732824427481
OOS,3,MIN,2.0,ALL,607,314,215,0,99,-99,0.1630971993410214
OOS,3,MIN,2.0,2PANEL,345,143,106,0,37,-37,0.1072463768115942
OOS,3,MIN,2.0,3PANEL,262,171,109,0,62,-62,0.2366412213740458
OOS,3,MEAN,1.0,ALL,607,260,246,0,14,-14,0.023064250411861616
OOS,3,MEAN,1.0,2PANEL,345,120,106,0,14,-14,0.04057971014492753
OOS,3,MEAN,1.0,3PANEL,262,140,140,0,0,0,0.0
OOS,3,MEAN,2.0,ALL,607,314,304,5,15,-10,0.032948929159802305
OOS,3,MEAN,2.0,2PANEL,345,143,133,5,15,-10,0.057971014492753624
OOS,3,MEAN,2.0,3PANEL,262,171,171,0,0,0,0.0
OOS,3,MAX,1.0,ALL,607,260,301,49,8,41,0.09390444810543658
OOS,3,MAX,1.0,2PANEL,345,120,123,11,8,3,0.05507246376811594
OOS,3,MAX,1.0,3PANEL,262,140,178,38,0,38,0.1450381679389313
OOS,3,MAX,2.0,ALL,607,314,346,45,13,32,0.09555189456342669
OOS,3,MAX,2.0,2PANEL,345,143,145,15,13,2,0.08115942028985507
OOS,3,MAX,2.0,3PANEL,262,171,201,30,0,30,0.11450381679389313
OOS,3,RSS,1.0,ALL,607,260,306,54,8,46,0.10214168039538715
OOS,3,RSS,1.0,2PANEL,345,120,123,11,8,3,0.05507246376811594
OOS,3,RSS,1.0,3PANEL,262,140,183,43,0,43,0.16412213740458015
OOS,3,RSS,2.0,ALL,607,314,354,48,8,40,0.09225700164744646
OOS,3,RSS,2.0,2PANEL,345,143,152,17,8,9,0.07246376811594203
OOS,3,RSS,2.0,3PANEL,262,171,202,31,0,31,0.1183206106870229
OOS,6,POOLED,1.0,ALL,607,258,258,0,0,0,0.0
OOS,6,POOLED,1.0,2PANEL,345,120,120,0,0,0,0.0
OOS,6,POOLED,1.0,3PANEL,262,138,138,0,0,0,0.0
OOS,6,POOLED,2.0,ALL,607,314,314,0,0,0,0.0
OOS,6,POOLED,2.0,2PANEL,345,143,143,0,0,0,0.0
OOS,6,POOLED,2.0,3PANEL,262,171,171,0,0,0,0.0
OOS,6,MIN,1.0,ALL,607,258,232,0,26,-26,0.042833607907743
OOS,6,MIN,1.0,2PANEL,345,120,110,0,10,-10,0.028985507246376812
OOS,6,MIN,1.0,3PANEL,262,138,122,0,16,-16,0.061068702290076333
OOS,6,MIN,2.0,ALL,607,314,271,0,43,-43,0.07084019769357495
OOS,6,MIN,2.0,2PANEL,345,143,128,0,15,-15,0.043478260869565216
OOS,6,MIN,2.0,3PANEL,262,171,143,0,28,-28,0.10687022900763359
OOS,6,MEAN,1.0,ALL,607,258,252,0,6,-6,0.009884678747940691
OOS,6,MEAN,1.0,2PANEL,345,120,114,0,6,-6,0.017391304347826087
OOS,6,MEAN,1.0,3PANEL,262,138,138,0,0,0,0.0
OOS,6,MEAN,2.0,ALL,607,314,315,4,3,1,0.011532125205930808
OOS,6,MEAN,2.0,2PANEL,345,143,144,4,3,1,0.020289855072463767
OOS,6,MEAN,2.0,3PANEL,262,171,171,0,0,0,0.0
OOS,6,MAX,1.0,ALL,607,258,280,27,5,22,0.05271828665568369
OOS,6,MAX,1.0,2PANEL,345,120,119,4,5,-1,0.02608695652173913
OOS,6,MAX,1.0,3PANEL,262,138,161,23,0,23,0.08778625954198473
OOS,6,MAX,2.0,ALL,607,314,344,32,2,30,0.05601317957166392
OOS,6,MAX,2.0,2PANEL,345,143,149,8,2,6,0.028985507246376812
OOS,6,MAX,2.0,3PANEL,262,171,195,24,0,24,0.0916030534351145
OOS,6,RSS,1.0,ALL,607,258,292,34,0,34,0.05601317957166392
OOS,6,RSS,1.0,2PANEL,345,120,124,4,0,4,0.011594202898550725
OOS,6,RSS,1.0,3PANEL,262,138,168,30,0,30,0.11450381679389313
OOS,6,RSS,2.0,ALL,607,314,351,37,0,37,0.060955518945634266
OOS,6,RSS,2.0,2PANEL,345,143,154,11,0,11,0.03188405797101449
OOS,6,RSS,2.0,3PANEL,262,171,197,26,0,26,0.09923664122137404
OOS,12,POOLED,1.0,ALL,607,264,264,0,0,0,0.0
OOS,12,POOLED,1.0,2PANEL,345,122,122,0,0,0,0.0
OOS,12,POOLED,1.0,3PANEL,262,142,142,0,0,0,0.0
OOS,12,POOLED,2.0,ALL,607,321,321,0,0,0,0.0
OOS,12,POOLED,2.0,2PANEL,345,148,148,0,0,0,0.0
OOS,12,POOLED,2.0,3PANEL,262,173,173,0,0,0,0.0
OOS,12,MIN,1.0,ALL,607,264,237,0,27,-27,0.044481054365733116
OOS,12,MIN,1.0,2PANEL,345,122,113,0,9,-9,0.02608695652173913
OOS,12,MIN,1.0,3PANEL,262,142,124,0,18,-18,0.06870229007633588
OOS,12,MIN,2.0,ALL,607,321,293,0,28,-28,0.04612850082372323
OOS,12,MIN,2.0,2PANEL,345,148,133,0,15,-15,0.043478260869565216
OOS,12,MIN,2.0,3PANEL,262,173,160,0,13,-13,0.04961832061068702
OOS,12,MEAN,1.0,ALL,607,264,260,0,4,-4,0.006589785831960461
OOS,12,MEAN,1.0,2PANEL,345,122,118,0,4,-4,0.011594202898550725
OOS,12,MEAN,1.0,3PANEL,262,142,142,0,0,0,0.0
OOS,12,MEAN,2.0,ALL,607,321,319,3,5,-2,0.013179571663920923
OOS,12,MEAN,2.0,2PANEL,345,148,146,3,5,-2,0.02318840579710145
OOS,12,MEAN,2.0,3PANEL,262,173,173,0,0,0,0.0
OOS,12,MAX,1.0,ALL,607,264,283,22,3,19,0.04118616144975288
OOS,12,MAX,1.0,2PANEL,345,122,124,5,3,2,0.02318840579710145
OOS,12,MAX,1.0,3PANEL,262,142,159,17,0,17,0.0648854961832061
OOS,12,MAX,2.0,ALL,607,321,348,31,4,27,0.057660626029654036
OOS,12,MAX,2.0,2PANEL,345,148,152,8,4,4,0.034782608695652174
OOS,12,MAX,2.0,3PANEL,262,173,196,23,0,23,0.08778625954198473
OOS,12,RSS,1.0,ALL,607,264,304,40,0,40,0.06589785831960461
OOS,12,RSS,1.0,2PANEL,345,122,133,11,0,11,0.03188405797101449
OOS,12,RSS,1.0,3PANEL,262,142,171,29,0,29,0.11068702290076336
OOS,12,RSS,2.0,ALL,607,321,360,39,0,39,0.0642504118616145
OOS,12,RSS,2.0,2PANEL,345,148,161,13,0,13,0.03768115942028986
OOS,12,RSS,2.0,3PANEL,262,173,199,26,0,26,0.09923664122137404
OOS,24,POOLED,1.0,ALL,607,269,269,0,0,0,0.0
OOS,24,POOLED,1.0,2PANEL,345,125,125,0,0,0,0.0
OOS,24,POOLED,1.0,3PANEL,262,144,144,0,0,0,0.0
OOS,24,POOLED,2.0,ALL,607,325,325,0,0,0,0.0
OOS,24,POOLED,2.0,2PANEL,345,151,151,0,0,0,0.0
OOS,24,POOLED,2.0,3PANEL,262,174,174,0,0,0,0.0
OOS,24,MIN,1.0,ALL,607,269,240,0,29,-29,0.047775947281713346
OOS,24,MIN,1.0,2PANEL,345,125,115,0,10,-10,0.028985507246376812
OOS,24,MIN,1.0,3PANEL,262,144,125,0,19,-19,0.07251908396946564
OOS,24,MIN,2.0,ALL,607,325,295,0,30,-30,0.04942339373970346
OOS,24,MIN,2.0,2PANEL,345,151,134,0,17,-17,0.04927536231884058
OOS,24,MIN,2.0,3PANEL,262,174,161,0,13,-13,0.04961832061068702
OOS,24,MEAN,1.0,ALL,607,269,262,0,7,-7,0.011532125205930808
OOS,24,MEAN,1.0,2PANEL,345,125,118,0,7,-7,0.020289855072463767
OOS,24,MEAN,1.0,3PANEL,262,144,144,0,0,0,0.0
OOS,24,MEAN,2.0,ALL,607,325,324,5,6,-1,0.018121911037891267
OOS,24,MEAN,2.0,2PANEL,345,151,150,5,6,-1,0.03188405797101449
OOS,24,MEAN,2.0,3PANEL,262,174,174,0,0,0,0.0
OOS,24,MAX,1.0,ALL,607,269,289,27,7,20,0.05601317957166392
OOS,24,MAX,1.0,2PANEL,345,125,123,5,7,-2,0.034782608695652174
OOS,24,MAX,1.0,3PANEL,262,144,166,22,0,22,0.08396946564885496
OOS,24,MAX,2.0,ALL,607,325,352,32,5,27,0.060955518945634266
OOS,24,MAX,2.0,2PANEL,345,151,156,10,5,5,0.043478260869565216
