panel,basis,target,edge_W,edge_M,DiD,OOS_edge_W,OOS_edge_M,OOS_DiD,flat_rebate_full,flat_rebate_OOS,scaler_survives_M
SMALL,B_CONST,0.12,-0.045979627662097844,-0.03703620596003787,0.008943421702059973,-0.06761265876158584,-0.07944336095631,-0.011830702194724152,-0.07963508859778179,-0.16581422173477567,False
SMALL,B_CONST,0.14,-0.036753579002598735,-0.026349476305732533,0.010404102696866202,-0.052291011714879376,-0.057996404265781065,-0.005705392550901689,-0.07963508859778179,-0.16581422173477567,False
U56,B_SELF,0.06,0.009795484292633994,0.07400806000321003,0.06421257571057604,-0.00418451496777017,0.04252812893933022,0.04671264390710039,-0.10526674299431815,-0.10479035222500221,True
U56,B_SELF,0.08,0.02320250682843117,0.043393846207675946,0.020191339379244777,0.019302960865812624,0.0042171670011021956,-0.015085793864710428,-0.10526674299431815,-0.10479035222500221,True
U56,B_SELF,0.1,0.01553832666034638,0.012712358520546863,-0.0028259681397995173,0.013905299226486534,-0.016826407701810986,-0.03073170692829752,-0.10526674299431815,-0.10479035222500221,False
U56,B_SELF,0.12,0.0032155240360789428,-0.0015579547098063529,-0.004773478745885296,0.0009739975805163059,-0.023478508030237544,-0.02445250561075385,-0.10526674299431815,-0.10479035222500221,False
U56,B_SELF,0.14,-0.0037360339475682736,-0.008157088653726552,-0.004421054706158278,-0.007119244614717024,-0.023368634530337218,-0.016249389915620194,-0.10526674299431815,-0.10479035222500221,False
B136,B_SELF,0.06,0.012797606117397775,0.07497070240703696,0.062173096289639185,-0.0379551869319108,0.06074776347271427,0.09870295040462507,0.028295966000094985,0.07495831064856029,True
B136,B_SELF,0.08,0.013932547758345404,0.08831421602561607,0.07438166826727066,-0.015674291329436985,0.08415001776305431,0.09982430909249129,0.028295966000094985,0.07495831064856029,True
B136,B_SELF,0.1,-0.0002764081977866262,0.05456857549724381,0.054844983695030436,-0.024776101332569356,0.042766484160090545,0.0675425854926599,0.028295966000094985,0.07495831064856029,True
B136,B_SELF,0.12,-0.008730083945762468,0.01305120914792135,0.021781293093683818,-0.028146964118862527,-0.01197382684807824,0.016173137270784288,0.028295966000094985,0.07495831064856029,False
B136,B_SELF,0.14,-0.0018071970262643067,-9.59795468917779e-05,0.0017112174793725288,-0.007437395655262691,-0.0201454438686981,-0.012708048213435408,0.028295966000094985,0.07495831064856029,False
SMALL,B_SELF,0.06,-0.034132269357285916,-0.03194971135198171,0.0021825580053042026,-0.038505951854217846,-0.12110966911936485,-0.08260371726514701,-0.07963508859778179,-0.16581422173477567,False
SMALL,B_SELF,0.08,-0.04693304425994027,-0.03291058532553398,0.01402245893440629,-0.055845282018872455,-0.10162231790423518,-0.04577703588536272,-0.07963508859778179,-0.16581422173477567,False
SMALL,B_SELF,0.1,-0.03742351260998261,-0.028504452632633737,0.008919059977348875,-0.04845456377228524,-0.0754356385446143,-0.026981074772329056,-0.07963508859778179,-0.16581422173477567,False
SMALL,B_SELF,0.12,-0.027834728915166917,-0.029386920245408676,-0.001552191330241759,-0.034286927802402334,-0.06613391113002431,-0.03184698332762198,-0.07963508859778179,-0.16581422173477567,False
SMALL,B_SELF,0.14,-0.02082133385071261,-0.02246306756504307,-0.0016417337143304622,-0.028846534974140414,-0.050814947998856275,-0.02196841302471586,-0.07963508859778179,-0.16581422173477567,False
