panel,book,cost,sel,arm,m,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,entered
small,EWall,25.0,"S2 widest IS interval, m=mid",(none),,,,,False
small,EWall,25.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
small,EWall,25.0,"S4 argmaxIS-Sharpe, no screen",ddctl-8/.5/recover,1.0,0.0755304908670615,0.6830863344772165,-0.2342138415156597,True
small,TOP20,10.0,S0 control m=1.00,control,1.0,0.1709771104104678,0.8091056551333645,-0.3084989458059236,True
small,TOP20,10.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
small,TOP20,10.0,"S2 widest IS interval, m=mid",(none),,,,,False
small,TOP20,10.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
small,TOP20,10.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.20,1.0,0.1637802501064564,0.7922553146106635,-0.3016715563165164,True
small,TOP20,25.0,S0 control m=1.00,control,1.0,0.1413570684080838,0.6962918593916119,-0.3097889357986776,True
small,TOP20,25.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
small,TOP20,25.0,"S2 widest IS interval, m=mid",(none),,,,,False
small,TOP20,25.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
small,TOP20,25.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.20,1.0,0.1353727316144473,0.681419573302655,-0.3029070451977667,True
small,V1u,10.0,S0 control m=1.00,control,1.0,0.0707500952685002,0.5310569496765438,-0.3402453037647643,True
small,V1u,10.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
small,V1u,10.0,"S2 widest IS interval, m=mid",(none),,,,,False
small,V1u,10.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
small,V1u,10.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.20,1.0,0.0190847655591952,0.2441711202782061,-0.3193713144832205,True
small,V1u,25.0,S0 control m=1.00,control,1.0,0.0186191775713011,0.1978932880765198,-0.440945755537582,True
small,V1u,25.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
small,V1u,25.0,"S2 widest IS interval, m=mid",(none),,,,,False
small,V1u,25.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
small,V1u,25.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.20,1.0,-0.0119547373826192,-0.0759011895519583,-0.3792397785685668,True
u56,EWall,10.0,S0 control m=1.00,control,1.0,0.1381731378987332,1.13573799920687,-0.2252589051154077,True
u56,EWall,10.0,S1 IS-point-4b + argmaxIS-Sharpe,abs12-rw,1.0,0.1204528630234289,1.031338857338196,-0.1988593220329021,True
u56,EWall,10.0,"S2 widest IS interval, m=mid",band3-rw,1.15,0.1545687888499987,1.2023838141768215,-0.2018685182454345,True
u56,EWall,10.0,"S3 widest IS interval, m=1.00 pinned",band3-rw,1.0,0.134106125406634,1.2025269424250271,-0.1771479023734391,True
u56,EWall,10.0,"S4 argmaxIS-Sharpe, no screen",abs12-rw,1.0,0.1204528630234289,1.031338857338196,-0.1988593220329021,True
u56,EWall,25.0,S0 control m=1.00,control,1.0,0.1367113476223065,1.1250416500196645,-0.2254761775008924,True
u56,EWall,25.0,S1 IS-point-4b + argmaxIS-Sharpe,control,1.0,0.1367113476223065,1.1250416500196645,-0.2254761775008924,True
u56,EWall,25.0,"S2 widest IS interval, m=mid",control,0.95,0.1298093103834525,1.1250297807959788,-0.2151366926429568,True
u56,EWall,25.0,"S3 widest IS interval, m=1.00 pinned",control,1.0,0.1367113476223065,1.1250416500196645,-0.2254761775008924,True
u56,EWall,25.0,"S4 argmaxIS-Sharpe, no screen",control,1.0,0.1367113476223065,1.1250416500196645,-0.2254761775008924,True
u56,TOP20,10.0,S0 control m=1.00,control,1.0,0.1663895886560977,1.1676752607259366,-0.2221040871986458,True
u56,TOP20,10.0,S1 IS-point-4b + argmaxIS-Sharpe,control,1.0,0.1663895886560977,1.1676752607259366,-0.2221040871986458,True
u56,TOP20,10.0,"S2 widest IS interval, m=mid",control,0.95,0.1579591085708418,1.167579462385414,-0.21189544222533,True
u56,TOP20,10.0,"S3 widest IS interval, m=1.00 pinned",control,1.0,0.1663895886560977,1.1676752607259366,-0.2221040871986458,True
u56,TOP20,10.0,"S4 argmaxIS-Sharpe, no screen",control,1.0,0.1663895886560977,1.1676752607259366,-0.2221040871986458,True
u56,TOP20,25.0,S0 control m=1.00,control,1.0,0.1508723712406403,1.0721876011978528,-0.2234027013672911,True
u56,TOP20,25.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
u56,TOP20,25.0,"S2 widest IS interval, m=mid",(none),,,,,False
u56,TOP20,25.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
u56,TOP20,25.0,"S4 argmaxIS-Sharpe, no screen",control,1.0,0.1508723712406403,1.0721876011978528,-0.2234027013672911,True
u56,V1u,10.0,S0 control m=1.00,control,1.0,0.071676449136329,0.7135835570891119,-0.1567209222390836,True
u56,V1u,10.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
u56,V1u,10.0,"S2 widest IS interval, m=mid",(none),,,,,False
u56,V1u,10.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
u56,V1u,10.0,"S4 argmaxIS-Sharpe, no screen",control,1.0,0.071676449136329,0.7135835570891119,-0.1567209222390836,True
u56,V1u,25.0,S0 control m=1.00,control,1.0,0.0326745554949106,0.3592038657013107,-0.1994802938550098,True
u56,V1u,25.0,S1 IS-point-4b + argmaxIS-Sharpe,(none),,,,,False
u56,V1u,25.0,"S2 widest IS interval, m=mid",(none),,,,,False
u56,V1u,25.0,"S3 widest IS interval, m=1.00 pinned",(none),,,,,False
u56,V1u,25.0,"S4 argmaxIS-Sharpe, no screen",ebud-0.10,1.0,0.0095157977364368,0.2106945472471071,-0.1108163729424442,True
