panel,k,q,book,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,pub_keep4b,pub_keep4a,p4b_B_SPY,fail_B_SPY,p4b_B_LARGE,fail_B_LARGE,p4b_B_SMALL,fail_B_SMALL,p4b_B_MATCH,fail_B_MATCH,p4b_B_HALF,fail_B_HALF,p4b_B_OWN,fail_B_OWN
k20~q0.250~s104,20,0.25,CAND10,0.1118132118309351,0.8929478552839092,-0.2666094157521175,1.1969828180693978,0.670903513241526,0.7735581411612927,False,False,False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR",True,-,False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR"
k20~q0.250~s104,20,0.25,CAND20,0.1127610875174032,0.928562922621597,-0.2530338399237893,1.1703940731516962,0.7534375832863703,0.8178763062813156,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",True,-,False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD,CAGR"
k20~q0.250~s105,20,0.25,EWall,0.0932871237325898,0.8014256818408927,-0.198769186387366,1.0641599352329516,0.5811534639183576,0.6863369875670079,False,False,False,"H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,CAGR",False,"H1,H2,OOS,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s105,20,0.25,CAND10,0.0966369265124693,0.7919889692334476,-0.1930195326500025,1.1385671107441344,0.4994047381972494,0.5959531697025211,False,False,False,"H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H2,OOS,CAGR",False,"H2,OOS,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s105,20,0.25,CAND20,0.0931907154538347,0.799661665062744,-0.198769186387366,1.0641599352329516,0.5786112668981342,0.6838579508065643,False,False,False,"H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,CAGR",False,"H1,H2,OOS,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s106,20,0.25,EWall,0.088269567587226,0.7325958784835188,-0.2926379727102397,1.0192406518367374,0.5227907096595934,0.638101008301323,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR"
k20~q0.250~s106,20,0.25,CAND10,0.0798853574244289,0.6558405267630794,-0.3030383899820776,0.8711811335696678,0.500710889949083,0.5811110484517065,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR"
k20~q0.250~s106,20,0.25,CAND20,0.0882849873041624,0.7336819404449265,-0.2926379727102396,1.0210552420618275,0.5224554485766589,0.6381634091501786,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR"
k20~q0.250~s107,20,0.25,EWall,0.1064735264876639,0.8868266798484582,-0.2399557853590599,0.9488412772314933,0.8347971779726291,0.8825082068281819,False,False,False,"H2,DD",False,"H1,H2,OOS,DD,CAGR",True,-,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s107,20,0.25,CAND10,0.1044691670186681,0.8345399186216346,-0.250172930936639,0.8932772594700379,0.7857548771771693,0.8123966239331838,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",True,-,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s107,20,0.25,CAND20,0.1070651093578662,0.8917350441745472,-0.2399557853590601,0.9549274183122124,0.8387988468045073,0.8858939726759728,False,False,False,"H2,DD",False,"H1,H2,OOS,DD,CAGR",True,-,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s108,20,0.25,EWall,0.0949534352911536,0.8156468616592665,-0.2255939425502418,0.9526812237427704,0.6998719504524226,0.7351294124826234,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,CAGR,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s108,20,0.25,CAND10,0.0909990367092492,0.7492769582934242,-0.2378195126444391,0.8992076646785837,0.6238688366837497,0.6703061607394595,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s108,20,0.25,CAND20,0.0952227162034673,0.8172701721752653,-0.2255939425502425,0.953939568961692,0.7015708973796053,0.7377836335799839,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,CAGR,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s109,20,0.25,EWall,0.0891037407882751,0.7794829199512868,-0.193725561487306,0.7907282860395244,0.7774010712881835,0.8808658341247328,False,False,False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s109,20,0.25,CAND10,0.0941944048486276,0.7912685642271792,-0.1985630733688903,0.7882947838311759,0.8020508260622334,0.928071525960012,False,False,False,"H1,H2,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s109,20,0.25,CAND20,0.0887157396582269,0.7763575711333143,-0.1937255614873054,0.7836985045876718,0.7774010712881835,0.8808658341247328,False,False,False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s110,20,0.25,EWall,0.1084066822237834,0.939215537351993,-0.1731864960209759,0.9996799682253834,0.8856236617410453,1.0025132813141566,True,False,True,-,False,"H1,H2,OOS,CAGR",True,-,False,"H1,H2,OOS,CAGR",False,"H1,H2,CAGR",True,-
k20~q0.250~s110,20,0.25,CAND10,0.114914198002239,0.9368308755995406,-0.1823287937791264,0.9659267580387731,0.9105052477784452,0.9933781802508698,True,False,True,-,False,"H1,H2,OOS,CAGR",True,-,False,"H1,H2,OOS,CAGR",False,"H1,H2",True,-
k20~q0.250~s110,20,0.25,CAND20,0.1082287754712867,0.9383190922851906,-0.1731864960209758,0.9934984846205918,0.889489470166768,1.0058812543783202,True,False,True,-,False,"H1,H2,OOS,CAGR",True,-,False,"H1,H2,OOS,CAGR",False,"H1,H2,CAGR",True,-
k20~q0.250~s111,20,0.25,EWall,0.0783561678682378,0.6554946119810021,-0.2855693257071688,0.9530511546756087,0.4082582678588259,0.5589567005414884,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s111,20,0.25,CAND10,0.0844767614336268,0.6752178952241923,-0.2880397216328386,0.9298349585346352,0.4589379804804945,0.6328904257108655,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s111,20,0.25,CAND20,0.0784678924215462,0.6562109119557504,-0.2855693257071688,0.9544672480367888,0.4082582678588259,0.5589567005414884,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s112,20,0.25,EWall,0.1057766301825853,0.8221155067111916,-0.300345909703112,0.8130598813139189,0.8364291658092762,0.903567626362785,False,False,False,"H1,H2,DD",False,"H1,H2,OOS,DD,CAGR",False,"H1,DD",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s112,20,0.25,CAND10,0.1201723052838028,0.876486616663387,-0.3003931718963055,0.9179233482907752,0.8478711114612673,0.9572793828874588,False,False,False,"H2,DD",False,"H1,H2,OOS,DD,CAGR",False,DD,False,"H1,H2,OOS,DD",False,"H1,H2,DD",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s112,20,0.25,CAND20,0.1028819786684822,0.8025174049905311,-0.3003459097031122,0.8134278644636018,0.8003726382420797,0.8732450069001996,False,False,False,"H1,H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",False,"H1,DD",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s113,20,0.25,EWall,0.1260448588650622,0.9445690754728152,-0.1908534326832999,0.837764253383287,1.0406868606846775,1.073193024342748,False,False,False,H1,False,"H1,H2,OOS",False,H1,False,H1,False,H1,False,"H1,CAGR"
k20~q0.250~s113,20,0.25,CAND10,0.1269729268666277,0.912470649958957,-0.1907604527107335,0.7968366262503063,1.0153296640065663,1.0262255949046466,False,False,False,H1,False,"H1,H2,OOS",False,H1,False,H1,False,H1,False,"H1,CAGR"
k20~q0.250~s113,20,0.25,CAND20,0.1256113824916132,0.942328145460334,-0.1908534326832999,0.8307453406856181,1.042430753384229,1.0747116168232211,False,False,False,H1,False,"H1,H2,OOS",False,H1,False,H1,False,H1,False,"H1,CAGR"
k20~q0.250~s114,20,0.25,EWall,0.1112734413913203,0.843833241940237,-0.2786201381339781,0.8996788927828131,0.7990514907518445,0.900511085323155,False,False,False,"H2,DD",False,"H1,H2,OOS,DD,CAGR",False,DD,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s114,20,0.25,CAND10,0.1047238752127186,0.7727319624206685,-0.2769471455017248,0.7832571562053912,0.7660752638226693,0.8258549364139754,False,False,False,"H1,H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",False,"H1,DD",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s114,20,0.25,CAND20,0.1096912081776861,0.8334074151957044,-0.2786201381339778,0.8772122885859563,0.7990514907518445,0.900511085323155,False,False,False,"H1,H2,DD",False,"H1,H2,OOS,DD,CAGR",False,DD,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s115,20,0.25,EWall,0.1174889520591659,0.914431259939582,-0.3297597992703025,1.1580733170731925,0.6994947174823455,0.8252561518342747,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",False,DD,False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD"
k20~q0.250~s115,20,0.25,CAND10,0.118230078757388,0.8768892379530453,-0.3278258437191749,1.0779946971755396,0.6985251177988048,0.8032433248215505,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",False,DD,False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD"
k20~q0.250~s115,20,0.25,CAND20,0.1169968526337996,0.9107236984701674,-0.3297597992703033,1.1499083335463005,0.6994947174823455,0.8252561518342747,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",False,DD,False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD",False,"H2,OOS,DD"
k20~q0.250~s116,20,0.25,EWall,0.0844577890076749,0.6774794660016952,-0.2231685526051888,0.903461038995172,0.4831730391832301,0.5753118312181009,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s116,20,0.25,CAND10,0.0840694841331695,0.6572482055419975,-0.2243039434104043,0.8602724067233055,0.4844121413055351,0.5719457858910891,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s116,20,0.25,CAND20,0.0847728844194513,0.6794840375186401,-0.223168552605189,0.8998528183453878,0.490166234110461,0.5812194179621575,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s117,20,0.25,EWall,0.086066278217469,0.7637124461033623,-0.2158761612477967,1.047275013026137,0.5453361742141273,0.677985088297421,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s117,20,0.25,CAND10,0.0789261088950477,0.68394007136783,-0.2341455032497839,0.9692703729286092,0.4564564627700017,0.5976171730008295,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s117,20,0.25,CAND20,0.086782603324748,0.7693140376592025,-0.2158761612477973,1.0599233325193114,0.5453361742141273,0.677985088297421,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR"
k20~q0.250~s118,20,0.25,EWall,0.0706006383478186,0.5951420203235825,-0.3379876838691963,0.7815198404600441,0.4441916452875186,0.4932843558654387,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s118,20,0.25,CAND10,0.0832982751852227,0.6585106839227559,-0.3375656758699091,0.8507391258961954,0.4961359698440534,0.5429670245539766,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s118,20,0.25,CAND20,0.0725826626810235,0.609983649012677,-0.3379876838691961,0.8074772844392567,0.450085174001391,0.4983183574172137,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s119,20,0.25,EWall,0.0998235388442325,0.7918527079629929,-0.1896880154408883,0.869963987299441,0.7343896023647518,0.8085471252526214,False,False,False,"H1,H2,OOS",False,"H1,H2,OOS,CAGR",False,CAGR,False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s119,20,0.25,CAND10,0.0977447724028506,0.7433474148251211,-0.2011338106540817,0.8330137373492413,0.6723748814970265,0.713101883431395,False,False,False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s119,20,0.25,CAND20,0.0994529360924434,0.7896973261611893,-0.1896880154408891,0.8728265207261574,0.7283379104593644,0.8034025853418953,False,False,False,"H1,H2,OOS",False,"H1,H2,OOS,CAGR",False,CAGR,False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s120,20,0.25,EWall,0.1010040775726623,0.8614774028388168,-0.2271810507006015,1.0497419402613533,0.6942886124725174,0.8177222929669664,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",True,-,False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD"
k20~q0.250~s120,20,0.25,CAND10,0.1007815959697295,0.8226197601713408,-0.2309259629994349,1.0692950816149112,0.6022863758648077,0.72772124171805,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",False,H2,False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD"
k20~q0.250~s120,20,0.25,CAND20,0.1000514993627514,0.8538696904048401,-0.2271810507006015,1.034066417516914,0.6944425050571805,0.8176185252978891,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD,CAGR",False,CAGR,False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD"
k20~q0.250~s121,20,0.25,EWall,0.0798309305892872,0.658739653866955,-0.3202789653452172,0.904917507416106,0.4767739646321959,0.6102534593748387,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s121,20,0.25,CAND10,0.0837169790829923,0.6729677205064035,-0.3294394201969515,0.943148082814756,0.4691883811903476,0.6343348611887197,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s121,20,0.25,CAND20,0.0797402883376463,0.6580027668802643,-0.3202789653452174,0.9158485963746203,0.4670316314234849,0.6019445723075255,False,False,False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s122,20,0.25,EWall,0.0827923845926894,0.7170999524221313,-0.2304599346758206,0.7964752994563199,0.6567875013440423,0.6136342621833024,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s122,20,0.25,CAND10,0.08556135489302,0.7103443142056083,-0.2304599346758199,0.8099184835337424,0.6289052382224548,0.5981884927316546,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s122,20,0.25,CAND20,0.083310791680093,0.7211194282772999,-0.2304599346758202,0.8054222390439363,0.6567875013440423,0.6136342621833024,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,OOS,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,CAGR"
k20~q0.250~s123,20,0.25,EWall,0.1264310293818926,0.9678356072863008,-0.2313248873979304,1.2145859905720944,0.7504278945218442,0.9345036242294916,False,False,False,"H2,DD",False,"H2,OOS,DD",True,-,False,"H2,OOS,DD",False,"H2,OOS,DD",False,"H2,DD"
k20~q0.250~s123,20,0.25,CAND10,0.1244334228956003,0.918564031062634,-0.2377515084291155,1.1410585891876237,0.7181064402785151,0.8492566484943239,False,False,False,"H2,OOS,DD",False,"H1,H2,OOS,DD",True,-,False,"H2,OOS,DD",False,"H2,OOS,DD",False,"H2,DD"
k20~q0.250~s123,20,0.25,CAND20,0.126423048996801,0.9667553316040994,-0.2313248873979297,1.2145859905720944,0.7489795191149745,0.9328771157540838,False,False,False,"H2,DD",False,"H2,OOS,DD",True,-,False,"H2,OOS,DD",False,"H2,OOS,DD",False,"H2,DD"
k20~q0.250~s124,20,0.25,EWall,0.0827528777240913,0.7159416138415453,-0.2689650148961037,0.7921175905250623,0.6545070809823936,0.7083163786579728,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s124,20,0.25,CAND10,0.0857126956949421,0.7049164503735654,-0.277075096884811,0.7389227733074977,0.682185395087671,0.6989529360299587,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
k20~q0.250~s124,20,0.25,CAND20,0.0839763761958012,0.7250590933611991,-0.2690864575436303,0.8105212276072871,0.6554860428249087,0.7178820361770264,False,False,False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR",False,"H1,H2,OOS,DD,CAGR"
