panel,L,n_windows,p,sd,level
B135,0.25,4,0.999,0.04457983555817048,0.16322583174035885
B135,0.25,4,1.0,0.04443328038397988,0.16754060987410951
B135,0.375,2,0.9,0.048146499930219744,0.08597485729768575
B135,0.375,2,0.95,0.05192725596792995,0.11027462590215234
B135,0.375,2,0.975,0.05271898673268437,0.12292451705940934
B135,0.375,2,0.99,0.054040764802682745,0.13998867558120487
B135,0.375,2,0.995,0.055335887044922705,0.15411183691663016
B135,0.375,2,0.999,0.05508668272789799,0.16883355212312295
B135,0.375,2,1.0,0.05515803606080329,0.17688271687828183
B135,0.5,2,0.9,0.03962463011917978,0.08710024515827436
B135,0.5,2,0.95,0.04379592204132066,0.10783847688262066
B135,0.5,2,0.975,0.04590074640456926,0.1194069941691395
B135,0.5,2,0.99,0.04699813654552183,0.13799267971084217
B135,0.5,2,0.995,0.04690034722564472,0.15307329323057906
B135,0.5,2,0.999,0.04687634936302716,0.1676442305067217
B135,0.5,2,1.0,0.046730845785854874,0.17688271687828167
B135,0.625,1,0.9,0.03123366182509323,0.08266414390755028
B135,0.625,1,0.95,0.03568391865558779,0.09874947655811184
B135,0.625,1,0.975,0.039015818206181906,0.11373446300999127
B135,0.625,1,0.99,0.04045114586723137,0.12857753380168502
B135,0.625,1,0.995,0.040616017304065916,0.13994855740972073
B135,0.625,1,0.999,0.041546048082943536,0.15343037272712742
B135,0.625,1,1.0,0.0429625493485465,0.1855985664317653
B135,0.75,1,0.9,0.042751190087361626,0.08635324796419215
B135,0.75,1,0.95,0.04994698200327784,0.10613889364596453
B135,0.75,1,0.975,0.05348146759618442,0.12699581758216866
B135,0.75,1,0.99,0.05420557715960867,0.140216590503519
B135,0.75,1,0.995,0.0541398234419931,0.15301361719842543
B135,0.75,1,0.999,0.055079546794443233,0.1894472296285047
B135,0.75,1,1.0,0.0551332974257015,0.20740302267849475
B135,0.875,1,0.9,0.03475322954096379,0.08885232195813139
B135,0.875,1,0.95,0.04038886304547164,0.10772415258455732
B135,0.875,1,0.975,0.043808413184920326,0.12485133041892314
B135,0.875,1,0.99,0.04601232980917304,0.1375757468169307
B135,0.875,1,0.995,0.04653857544863116,0.1488803159189972
B135,0.875,1,0.999,0.047377026225594296,0.18837506035404183
B135,0.875,1,1.0,0.04679763354007195,0.20740302267849475
B135,1.0,1,0.9,0.033379872874880416,0.08749828986209221
B135,1.0,1,0.95,0.03923116151948647,0.10676761348643192
B135,1.0,1,0.975,0.04334324904482727,0.12299273950224109
B135,1.0,1,0.99,0.046034582129733874,0.1359120869472666
B135,1.0,1,0.995,0.04656746974395536,0.1491477302916514
B135,1.0,1,0.999,0.04566898049425275,0.1879954407082147
B135,1.0,1,1.0,0.04660042080168884,0.20740302267849475
SMALL663,0.125,8,0.9,0.06294833028438136,0.11680422035028883
SMALL663,0.125,8,0.95,0.0641674330634445,0.13933605002499497
SMALL663,0.125,8,0.975,0.06492023757003657,0.16564638727802433
SMALL663,0.125,8,0.99,0.0656539297741712,0.18202483351998516
SMALL663,0.125,8,0.995,0.0661410578218487,0.191190971254028
SMALL663,0.125,8,0.999,0.06602395414864104,0.20231574141288652
SMALL663,0.125,8,1.0,0.06629620689667023,0.2074472483405359
SMALL663,0.25,4,0.9,0.07947570660672251,0.130908635518606
SMALL663,0.25,4,0.95,0.07941180235216966,0.15494026571238026
SMALL663,0.25,4,0.975,0.07940907201388019,0.17496605418599975
SMALL663,0.25,4,0.99,0.07894203473616884,0.2037070288878971
SMALL663,0.25,4,0.995,0.07908969928123934,0.21699765110366195
SMALL663,0.25,4,0.999,0.07871961368098404,0.2352376416419866
SMALL663,0.25,4,1.0,0.07910048677155362,0.25048157428475476
SMALL663,0.375,2,0.9,0.09302459832831637,0.15184724658963863
SMALL663,0.375,2,0.95,0.093787302608305,0.18951381623242447
SMALL663,0.375,2,0.975,0.09400440148672969,0.20812490413392126
SMALL663,0.375,2,0.99,0.09500912518851476,0.23789194730283822
SMALL663,0.375,2,0.995,0.0958572684463381,0.2644706035234446
SMALL663,0.375,2,0.999,0.096743098598326,0.2956579869785698
SMALL663,0.375,2,1.0,0.09701962497368855,0.30548265343042974
SMALL663,0.5,2,0.9,0.09795089350132066,0.15402113747214163
SMALL663,0.5,2,0.95,0.0980462042056743,0.18388310278947118
SMALL663,0.5,2,0.975,0.09736236772690396,0.2032008738282653
SMALL663,0.5,2,0.99,0.09672817995640481,0.22546169927946372
SMALL663,0.5,2,0.995,0.09677146274923507,0.25598228810185353
SMALL663,0.5,2,0.999,0.09679236113810337,0.29288341062592355
SMALL663,0.5,2,1.0,0.09691564634882419,0.30548265343042974
SMALL663,0.625,1,0.9,0.1011886977162383,0.14657098460437268
SMALL663,0.625,1,0.95,0.10190719161630957,0.18464236028523118
SMALL663,0.625,1,0.975,0.10418414860929268,0.20673238229644147
SMALL663,0.625,1,0.99,0.10285183702020609,0.23991860000878654
SMALL663,0.625,1,0.995,0.10212197562146089,0.25969792671466013
SMALL663,0.625,1,0.999,0.10362854346256103,0.3327170494111402
SMALL663,0.625,1,1.0,0.10462928698536676,0.35814054180328136
SMALL663,0.75,1,0.9,0.101607510046878,0.15209035352469
SMALL663,0.75,1,0.95,0.10309003718153903,0.19040215723580287
SMALL663,0.75,1,0.975,0.10306902744928252,0.20832423176709583
SMALL663,0.75,1,0.99,0.10142505649027346,0.23171093947985288
SMALL663,0.75,1,0.995,0.10043083858259758,0.2525059287856361
SMALL663,0.75,1,0.999,0.10120391643899267,0.33177424113426607
SMALL663,0.75,1,1.0,0.10037765155014812,0.35814054180328136
SMALL663,0.875,1,0.9,0.10639304353036735,0.16895349623323713
SMALL663,0.875,1,0.95,0.1068187527727144,0.19240475411941302
SMALL663,0.875,1,0.975,0.10580343545500889,0.20717751320214692
SMALL663,0.875,1,0.99,0.1020089684029882,0.2292277669897065
SMALL663,0.875,1,0.995,0.0999199380645767,0.251215879636569
SMALL663,0.875,1,0.999,0.09814594090927878,0.33058299627447024
SMALL663,0.875,1,1.0,0.0986732218339625,0.35814054180328136
SMALL663,1.0,1,0.9,0.09034893610438559,0.1648802955923613
SMALL663,1.0,1,0.95,0.09112069260860663,0.18878063001089318
SMALL663,1.0,1,0.975,0.0915689004091155,0.20452595045133942
SMALL663,1.0,1,0.99,0.08979044261847123,0.22567634807792314
SMALL663,1.0,1,0.995,0.08888878597024481,0.2488038888462219
SMALL663,1.0,1,0.999,0.08926200153424778,0.3293624175868705
SMALL663,1.0,1,1.0,0.08896889588572424,0.35814054180328136
