cadence,window,chooser,b_fit,pts
QUARTER,L252,H_ANY,0.48182931165580567,49:0.2510;98:0.1790;193:0.1296
QUARTER,L252,CH_RAW,0.4894781519290821,49:0.2701;98:0.1930;193:0.1381
QUARTER,L252,CH_ANCHOR,,
QUARTER,L504,H_RUNNERUP,0.9348223170826768,48:0.0896;97:0.0407;189:0.0251
QUARTER,L504,H_NARROWEST,0.5084890260798155,49:0.2397;98:0.1721;193:0.1194
QUARTER,L504,H_ANY,0.44112845793482947,49:0.2345;98:0.1751;193:0.1281
QUARTER,L504,CH_RAW,0.4931827771876846,49:0.2569;98:0.1864;193:0.1306
QUARTER,L504,CH_ANCHOR,,
QUARTER,L756,H_RUNNERUP,0.6606758272408499,48:0.1145;96:0.0648;189:0.0462
QUARTER,L756,H_NARROWEST,0.506366737328587,49:0.2377;98:0.1724;193:0.1187
QUARTER,L756,H_ANY,0.496335266739148,49:0.2293;98:0.1685;193:0.1161
QUARTER,L756,CH_RAW,0.48943846749508846,49:0.2469;98:0.1798;193:0.1262
QUARTER,L756,CH_ANCHOR,,
QUARTER,L1260,H_RUNNERUP,0.9471160617614258,51:0.0551;102:0.0310;201:0.0150
QUARTER,L1260,H_NARROWEST,0.4838950275528859,49:0.2234;98:0.1649;193:0.1151
QUARTER,L1260,H_ANY,0.5004164290415889,49:0.2216;98:0.1636;193:0.1116
QUARTER,L1260,CH_RAW,0.45015162970610734,49:0.2302;98:0.1702;193:0.1242
QUARTER,L1260,CH_ANCHOR,,
QUARTER,L2520,H_RUNNERUP,1.0208917328155223,51:0.0734;102:0.0328;201:0.0181
QUARTER,L2520,H_NARROWEST,0.4867366838538247,49:0.2140;98:0.1595;193:0.1098
QUARTER,L2520,H_ANY,0.4877344628928273,49:0.2177;98:0.1584;193:0.1115
QUARTER,L2520,CH_RAW,0.45146378268669957,49:0.2286;98:0.1611;193:0.1231
QUARTER,L2520,CH_ANCHOR,,
QUARTER,EXPAND,H_RUNNERUP,1.0103823642174494,50:0.0986;98:0.0491;193:0.0250
QUARTER,EXPAND,H_NARROWEST,0.4819587334041749,49:0.2210;98:0.1616;193:0.1141
QUARTER,EXPAND,H_ANY,0.5042192539578048,49:0.2345;98:0.1587;193:0.1175
QUARTER,EXPAND,CH_RAW,0.3731619740134918,49:0.2004;98:0.1512;193:0.1202
QUARTER,EXPAND,CH_ANCHOR,,
YEAR,L252,H_RUNNERUP,,
YEAR,L252,H_NARROWEST,0.48451368790374005,24:0.1878;24:0.1880;46:0.1371
YEAR,L252,H_ANY,0.4453653483095673,24:0.1816;24:0.1856;46:0.1374
YEAR,L252,CH_RAW,0.394742480095833,24:0.2114;24:0.2166;46:0.1655
YEAR,L252,CH_ANCHOR,,
YEAR,L504,H_RUNNERUP,0.4748035931886151,24:0.0269;24:0.0302;48:0.0205
YEAR,L504,H_NARROWEST,0.35970955137508753,24:0.1766;24:0.1719;46:0.1379
YEAR,L504,H_ANY,0.4438357641180694,24:0.1757;24:0.1783;46:0.1326
YEAR,L504,CH_RAW,0.2932747874768538,24:0.1910;24:0.1867;46:0.1560
YEAR,L504,CH_ANCHOR,,
YEAR,L756,H_RUNNERUP,0.5843217503439778,24:0.1479;24:0.1597;42:0.1108
YEAR,L756,H_NARROWEST,0.41856839929582834,24:0.1819;24:0.1885;46:0.1410
YEAR,L756,H_ANY,0.3945452592078943,24:0.1882;24:0.1866;46:0.1450
YEAR,L756,CH_RAW,0.39859768120580485,24:0.1988;24:0.1956;46:0.1521
YEAR,L756,CH_ANCHOR,,
YEAR,L1260,H_RUNNERUP,,
YEAR,L1260,H_NARROWEST,0.46660517900696225,24:0.1871;24:0.1755;46:0.1338
YEAR,L1260,H_ANY,0.36365901701599596,24:0.1838;24:0.1820;46:0.1443
YEAR,L1260,CH_RAW,0.5263592560362674,24:0.2008;24:0.2031;46:0.1434
YEAR,L1260,CH_ANCHOR,,
YEAR,L2520,H_RUNNERUP,0.8833163057334269,24:0.0794;24:0.0773;48:0.0425
YEAR,L2520,H_NARROWEST,0.42362200405292944,24:0.1677;24:0.1718;46:0.1289
YEAR,L2520,H_ANY,0.32803032217552536,24:0.1625;24:0.1662;46:0.1327
YEAR,L2520,CH_RAW,0.44771021751228623,24:0.1703;24:0.1801;46:0.1308
YEAR,L2520,CH_ANCHOR,,
YEAR,EXPAND,H_RUNNERUP,0.5360108491473771,24:0.0689;24:0.0749;48:0.0495
YEAR,EXPAND,H_NARROWEST,0.26380688361488136,24:0.1661;24:0.1725;46:0.1426
YEAR,EXPAND,H_ANY,0.3387434818812975,24:0.1765;24:0.1682;46:0.1382
YEAR,EXPAND,CH_RAW,0.3874476297257028,24:0.1599;24:0.1540;46:0.1220
YEAR,EXPAND,CH_ANCHOR,,
