uni,book,m,CAGR,Sharpe,MaxDD,H1,H2,OOS_Sharpe,gross,TO,p4b
universe.json(56),CAND20,0.65,0.08220179639010938,1.0926535194360172,-0.12122913853516648,1.0880065404298884,1.1027195392389166,1.1690613494946371,0.4661274749505301,6.287961984286753,False
universe.json(56),CAND20,0.7,0.08855857253118571,1.0927304847412749,-0.1302114769637972,1.0880624293319197,1.1028201653461707,1.1691626774990187,0.5019511726097081,6.7663612438856395,False
universe.json(56),CAND20,0.75,0.09491784943289883,1.0928027560494111,-0.1391450699672988,1.0881131864036464,1.1029165743372498,1.1692593726819558,0.5377705269078877,7.2443701854264795,False
universe.json(56),CAND20,0.8,0.10127905727157716,1.0928694852017418,-0.14802995512857964,1.088157938846147,1.1030079305555256,1.169350599077357,0.5735855910157694,7.722144046919847,False
universe.json(56),CAND20,0.85,0.10764169724540684,1.0929306739499411,-0.1568661773533826,1.088197218091777,1.1030937854177134,1.169436009888887,0.6093964181321702,8.199766726818154,True
universe.json(56),CAND20,0.9,0.11400520358440502,1.0929858840350726,-0.1656537652087292,1.0882302102205603,1.1031740241677062,1.1695154710837443,0.6452030614870509,8.677378236348352,True
universe.json(56),CAND20,0.95,0.1203690907940631,1.0930354009713659,-0.17439276329804576,1.0882571411157287,1.1032489846300906,1.1695893069494658,0.6810055743445887,9.155039944325052,True
universe.json(56),CAND20,1.0,0.1267328078382215,1.0930789903925349,-0.18308321629461444,1.0882783023843388,1.1033179868221341,1.169657001611733,0.7168040100062943,9.632867058472202,True
universe.json(56),EWall,0.1,0.010379527000287325,1.049533503754299,-0.01645139366400805,1.0673784856399544,1.0363158012364664,1.11373005254375,0.0750830481577787,0.8407007539729809,False
universe.json(56),EWall,0.15,0.01557473928449693,1.049585668546009,-0.024629172587100734,1.0674507114150784,1.0363558394365402,1.113763203213707,0.11261904836221594,1.2592914035559735,False
universe.json(56),EWall,0.2,0.020773259724155224,1.0496363383093796,-0.0327749836021608,1.0675215281414103,1.0363943987376383,1.1137946601463882,0.1501514191479582,1.6767284553123531,False
universe.json(56),EWall,0.25,0.025974844094068583,1.0496855851039248,-0.04088880979675347,1.0675909754209678,1.036431583133551,1.1138245084777099,0.1876802004131206,2.093024821483595,False
universe.json(56),EWall,0.3,0.031179242312129762,1.0497333079648716,-0.04897063719799011,1.067659177798257,1.0364670920564236,1.1138524785181967,0.22520543207763544,2.5081969973604235,False
universe.json(56),EWall,0.35,0.036386209199722463,1.0497796650171676,-0.05702044850389465,1.0677259863182342,1.036501360835029,1.1138790104884821,0.2627271540848491,2.9222545945297953,False
universe.json(56),EWall,0.4,0.041595492041454074,1.0498246108540081,-0.06503822585192076,1.067791456376745,1.036534256661699,1.113903965293589,0.3002454064031397,3.335212471774731,False
universe.json(56),EWall,0.45,0.046806834474736325,1.0498680796984243,-0.0730239525052151,1.067855631513019,1.036565615915708,1.1139271867478735,0.33776022902755576,3.747086868248285,False
universe.json(56),EWall,0.5,0.05201997782134904,1.0499100328750384,-0.08097761177846341,1.0679185873376615,1.03659529950638,1.1139485604086243,0.3752716619814777,4.157894123591758,False
universe.json(56),EWall,0.55,0.05723465950531992,1.0499504148624474,-0.08889918703791067,1.0679800650156728,1.0366234359617632,1.113968135304477,0.41277974531830164,4.5676521669475525,False
