panel,sleeve,gross,CAGR,Sharpe,MaxDD,H1,H2,vol,sbar,sbar_oos,turn,drag_bp,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,IS_CAGR,IS_vol,IS_sbar,keep4a,keep4b,keep4a_oos,keep4b_oos,fail_legs,fail_legs_oos,FD_resid_daily,FD_CAGR,FD_dCAGR,FD_dSharpe,FD_dMaxDD,script
B136,IEF,0.4,0.10273802335846338,1.1752887276489103,-0.14111704167066463,1.5616919079527019,0.9247265134129645,0.08640477188003902,0.5995617951936114,0.5994865403351028,2.090557015001448,20.90557015001448,0.09943536912375817,1.0361897564922298,-0.14111704167066452,1.4239178112568993,0.10676822785195061,0.07313611329737083,0.5996533233996998,False,False,False,False,CAGR,CAGR,1.3877787807814457e-17,0.10273802335846316,-2.220446049250313e-16,0.0,-2.220446049250313e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,IEF,0.5,0.12336755056591975,1.1674222905172584,-0.13429477168619075,1.5006409125343194,0.9477646378270091,0.10433807647897048,0.499552670947459,0.4994744395569277,2.527747279326884,25.277472793268842,0.12204366491601126,1.0573706014188233,-0.1342947716861912,1.3631071646966553,0.12497982282402975,0.0893450440215623,0.49964781934022756,False,True,False,True,-,-,2.0816681711721685e-17,0.12336755056591975,0.0,2.220446049250313e-16,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,IEF,0.6,0.14387261268771745,1.145946668189439,-0.14870460034120092,1.429522608736529,0.9544495777525273,0.1240556591023368,0.3995793355057089,0.3995043870014364,2.9360478926320743,29.360478926320745,0.14458630836781738,1.0613718825165386,-0.14870460034120125,1.2945560542790522,0.14300518495030268,0.10776701623889146,0.3996704911105564,False,True,False,True,-,-,2.0816681711721685e-17,0.14387261268771723,-2.220446049250313e-16,-2.220446049250313e-16,-4.440892098500626e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,IEF,0.75,0.17434150520724545,1.1117068465762765,-0.18958731109274674,1.3386650517436343,0.9534147286918994,0.1555029500674125,0.24968164112268337,0.24962326952507163,3.5019875965277363,35.019875965277365,0.1782180449473496,1.0564704369365927,-0.1895873110927465,1.2080286454358036,0.16964387601952202,0.13760813233535468,0.24975263517837362,False,True,False,True,-,-,2.0816681711721685e-17,0.17434150520724523,-2.220446049250313e-16,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,IEF,0.9,0.204384345672749,1.0827706571897056,-0.22962794311067003,1.2705512049329537,0.948621889556008,0.18821768989453636,0.09985213005325336,0.09982420048055236,4.023776688501755,40.23776688501755,0.21154521918993674,1.0484851430385744,-0.2296279431106708,1.1435999113498354,0.19573200070214503,0.16886847426970594,0.09988609920470483,False,False,False,False,DD,DD,5.551115123125783e-17,0.204384345672749,0.0,0.0,0.0,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,TLT,0.4,0.09974627831007976,0.910838480213183,-0.2407989614314292,1.3077739090755103,0.6362073936699927,0.11120116288095895,0.5994955135129181,0.599366115862126,2.18802261406137,21.8802261406137,0.08845287797178747,0.7543492342997623,-0.24079896143142965,1.1696797965127943,0.11363984078732714,0.09598055770933338,0.599652892519188,False,False,False,False,"H2,DD,CAGR","H2,DD,CAGR",1.3877787807814457e-17,0.09974627831007976,0.0,0.0,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,TLT,0.5,0.12139727883749218,1.0377879798381566,-0.20921550521795784,1.4611101467463488,0.7646694829193895,0.11703557715835254,0.4994879255133145,0.4993520288460933,2.6248146856498975,26.248146856498977,0.11311896385407327,0.886150919815418,-0.2092155052179585,1.309879505650814,0.13154874268524575,0.09804562490395394,0.4996532089037913,False,False,False,False,"H2,DD","H2,DD",1.3877787807814457e-17,0.1213972788374924,2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,TLT,0.6,0.14273525001366982,1.0998487144622116,-0.18838801961801144,1.4937699208670034,0.8488729492730002,0.1289091860466724,0.3995213054164394,0.39938977170162165,3.023983876001322,30.23983876001322,0.13764617638627175,0.9684475419603427,-0.18838801961801166,1.3412763958094898,0.148955492437026,0.1078961626584057,0.3996812823959461,False,True,False,True,-,-,4.163336342344337e-17,0.14273525001366982,0.0,-4.440892098500626e-16,-1.1102230246251565e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,TLT,0.75,0.17406691569727673,1.114044607652338,-0.1938656240077823,1.414711997286135,0.9143662442429389,0.15487880558616635,0.2496411413569215,0.24953710828183934,3.563230401248135,35.63230401248135,0.17408913920803326,1.0263591098817593,-0.1938656240077824,1.2714367572929708,0.17403988707150608,0.1332292200304298,0.24976767087175733,False,True,False,True,-,-,2.0816681711721685e-17,0.17406691569727673,0.0,0.0,-3.3306690738754696e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
B136,TLT,0.9,0.20446096511003864,1.089025410333226,-0.22844539137372855,1.3024519119198819,0.9393494938230419,0.18698093234556304,0.09983501409811885,0.09978445830693396,4.049169282529092,40.49169282529092,0.20998751810551264,1.0427122024255802,-0.22844539137372877,1.1707131322166777,0.19777334178296768,0.1660039243034564,0.09989650223278865,False,False,False,False,DD,DD,4.85722573273506e-17,0.20446096511003864,0.0,-2.220446049250313e-16,-2.220446049250313e-16,2026-09-19_is-the-SLEEVE-CREDIT-a-CLOSED-FORM-CORRECTION_C.py
