panel,family,group,cost,selector,arm,IS_lift,OOS_lift,d_vs_ctl,pool_IS,pool_OOS,disp_sd,disp_span
broad,GATE,CORE,25.0,K_TO,gate=none,0.09657057447275297,0.034293851192024105,0.017326475563342214,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GATE,CORE,25.0,K_ANTI,gate=v1gate,-0.08647838161697019,-0.052577438400028154,-0.06954481402871004,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GATE,CORE,25.0,K_MEDIAN,gate=band3,0.01312349933289192,0.01696737562868189,0.0,1.0393403695914578,1.0570563183929105,0.08348939424134334,0.18634142490742256
broad,GROSS,CORE,0.0,K_Sharpe,g=1.000,0.0012848879800588797,-0.0018775679749443164,-0.0012690234443404336,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_CAGR,g=1.000,0.0012848879800588797,-0.0018775679749443164,-0.0012690234443404336,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_Calmar,g=1.000,0.0012848879800588797,-0.0018775679749443164,-0.0012690234443404336,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_Sortino,g=1.000,0.0012848879800588797,-0.0018775679749443164,-0.0012690234443404336,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_MaxDD,g=0.250,-0.0012838315888750174,0.0018409403474570762,0.002449484878060959,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_Vol,g=0.250,-0.0012838315888750174,0.0018409403474570762,0.002449484878060959,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_TO,g=0.250,-0.0012838315888750174,0.0018409403474570762,0.002449484878060959,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_ANTI,g=0.250,-0.0012838315888750174,0.0018409403474570762,0.002449484878060959,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,0.0,K_MEDIAN,g=0.625,-4.227818322100063e-07,1.4646950394325842e-05,0.0006231914809982086,1.1165107466724642,1.1487438738938534,0.0009248336101375723,0.002568719568933897
broad,GROSS,CORE,10.0,K_Sharpe,g=1.000,0.0016681586860880504,-0.001521024083537048,-0.0010967681058315915,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_CAGR,g=1.000,0.0016681586860880504,-0.001521024083537048,-0.0010967681058315915,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_Calmar,g=1.000,0.0016681586860880504,-0.001521024083537048,-0.0010967681058315915,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_Sortino,g=1.000,0.0016681586860880504,-0.001521024083537048,-0.0010967681058315915,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_MaxDD,g=0.250,-0.0018234801111007837,0.0013503795024925047,0.0017746354801979614,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_Vol,g=0.250,-0.0018234801111007837,0.0013503795024925047,0.0017746354801979614,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_TO,g=0.250,-0.0018234801111007837,0.0013503795024925047,0.0017746354801979614,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_ANTI,g=0.250,-0.0018234801111007837,0.0013503795024925047,0.0017746354801979614,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,10.0,K_MEDIAN,g=0.625,6.216233233380386e-05,6.798654776551949e-05,0.0004922425254709761,1.090530063866313,1.118932535546548,0.0012602303990510504,0.003491638797188834
broad,GROSS,CORE,25.0,K_Sharpe,g=1.000,0.002244069638747792,-0.0009852452394523148,-0.000837978803555739,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_CAGR,g=1.000,0.002244069638747792,-0.0009852452394523148,-0.000837978803555739,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_Calmar,g=1.000,0.002244069638747792,-0.0009852452394523148,-0.000837978803555739,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_Sortino,g=1.000,0.002244069638747792,-0.0009852452394523148,-0.000837978803555739,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_MaxDD,g=0.250,-0.002634512253660626,0.0006131066269463581,0.0007603730628429339,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_Vol,g=0.250,-0.002634512253660626,0.0006131066269463581,0.0007603730628429339,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_TO,g=0.250,-0.002634512253660626,0.0006131066269463581,0.0007603730628429339,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_ANTI,g=0.250,-0.002634512253660626,0.0006131066269463581,0.0007603730628429339,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,GROSS,CORE,25.0,K_MEDIAN,g=0.625,0.00015625715469402834,0.00014818803987948215,0.000295454475776058,1.051525371108235,1.074170960457489,0.001766955228427886,0.004878581892408418
broad,LOOKBACK,EXT,0.0,K_Sharpe,lb=126,0.19781454568859602,-0.005438246495952814,0.10238336191065023,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_CAGR,lb=126,0.19781454568859602,-0.005438246495952814,0.10238336191065023,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_Calmar,lb=126,0.19781454568859602,-0.005438246495952814,0.10238336191065023,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_Sortino,lb=126,0.19781454568859602,-0.005438246495952814,0.10238336191065023,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_MaxDD,lb=126,0.19781454568859602,-0.005438246495952814,0.10238336191065023,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_Vol,lb=21,-0.1633932414987913,0.08551165105826364,0.19333325946486668,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_TO,lb=252,-0.018600449342497827,-0.006932544429370857,0.10088906397723219,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_ANTI,lb=21,-0.1633932414987913,0.08551165105826364,0.19333325946486668,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,0.0,K_MEDIAN,lb=composite,0.02122692104877233,-0.10782160840660304,0.0,1.1537747478320761,1.1150966302102219,0.12510527497350785,0.36120778718738733
broad,LOOKBACK,EXT,10.0,K_Sharpe,lb=126,0.2242805469035254,0.020769427474068403,0.10403525932148816,1.0343660672272215,1.0060295430079431,0.1773102490786194,0.5126424689415104
