panel,m,cost,constr,dSharpe,dCAGR,dMaxDD,dOOS,dSharpe63,dSharpe_FIXIS,dTO
broad,0.53,25.0,norm,-0.08200003565947633,-0.008157342820788172,-0.04531249905169665,-0.06162172825177026,-0.022237621918376527,0.0,1.9637508860540471
broad,0.75,10.0,lit,-0.0404668704339779,0.005260047644761068,-0.02808933762808119,-0.06594278666506903,-0.0007973944729415816,-0.0064803005046727424,3.155862974623182
broad,0.75,25.0,lit,-0.07358743003544288,-1.7417859996537999e-06,-0.033190136330291775,-0.10159538782458111,-0.009464528371025183,-0.007695307184499622,3.155862974623182
broad,0.75,10.0,norm,-0.016470356546270493,-0.001008675874279108,-0.02311303626602723,-0.018621920586409324,0.005025165581553193,-0.004864626030836039,1.1659111852143962
broad,0.75,25.0,norm,-0.03086328117293391,-0.0029131705918670203,-0.024200305860991644,-0.035669220899704146,0.007257089385204307,-0.005607626873606386,1.1659111852143962
broad,1.0,10.0,lit,-0.0478278958151519,0.008337032109239306,-0.020104551836530038,-0.08095965912998992,0.0009964439144671822,-0.002985652519192694,2.8104101057749826
broad,1.0,25.0,lit,-0.0777938138771116,0.003643672873633319,-0.024345567019063652,-0.11098292328510695,-0.00885931295819542,-0.003559524552077864,2.8104101057749826
broad,1.0,10.0,norm,-0.003013957260739497,-0.003333514415798655,0.005795453794552263,-0.007798645731273535,0.010263192936289078,-0.003958452654983624,-0.16364496195103762
broad,1.0,25.0,norm,-0.003948738491416304,-0.00302300559401969,0.005790200573958737,-0.009492595480817267,0.010793471106317787,-0.003904601719013079,-0.16364496195103762
small,0.05,10.0,lit,-0.130145902220887,-0.02937337980957655,-0.06625448976712023,-0.16524915861890127,-0.1904218267073573,0.0,2.6092014996522828
small,0.05,25.0,lit,-0.13846946647790376,-0.032138742427789024,-0.06448338779565588,-0.17609972813655506,-0.1902646759798194,0.0,2.6092014996522828
small,0.05,10.0,norm,-0.13282070539354662,-0.02999331958692686,-0.06625448976711945,-0.16932098834992876,-0.1908134468937919,0.0,2.5404292460853455
small,0.05,25.0,norm,-0.14065879686018934,-0.032626908003203,-0.06448338779565554,-0.17943100434238524,-0.19048779021210693,0.0,2.5404292460853455
small,0.1,10.0,lit,-0.21025157973975683,-0.03852966628941745,-0.10729766904569327,-0.1826378034544024,-0.18742988135750638,0.04358452443915539,3.061848383938635
small,0.1,25.0,lit,-0.22140211677374877,-0.04193145323005387,-0.0687007356443291,-0.18823088577962838,-0.1934548946820849,0.04328352097918664,3.061848383938635
small,0.1,10.0,norm,-0.19981903338001006,-0.037188348345836175,-0.05925324431672385,-0.16677784151588998,-0.18905839621590592,0.04473530827937755,2.9127985606218125
small,0.1,25.0,norm,-0.2116501674173203,-0.040393283143229874,-0.06768494498619615,-0.17338051455046913,-0.1946940004423771,0.04431214217962637,2.9127985606218125
small,0.2,10.0,lit,-0.020022378226569493,-0.00039981474249706217,-0.13722971911612614,0.0004356890299802574,-0.01091504935868226,0.01711497420487168,3.097138473743289
small,0.2,25.0,lit,-0.03581214187941281,-0.005183051247280135,-0.13652885353274324,-0.00900949542361068,-0.01488077892896475,0.017763686240683918,3.097138473743289
small,0.2,10.0,norm,-0.005533385118576706,0.0011313183632459811,-0.06017204014990851,0.024954792429764228,-0.016983565068422524,0.017098852374596685,2.824901913782412
small,0.2,25.0,norm,-0.02236400801428781,-0.0032676087740821647,-0.062094372553721966,0.013581184955531844,-0.020471447629971135,0.017730161480678158,2.824901913782412
small,0.35,10.0,lit,0.04247925303898692,0.010295216302321109,-0.15642966710202877,0.0011108373160177987,0.048867293496178965,0.001583896629894943,3.02626376828443
small,0.35,25.0,lit,0.025893585300821864,0.005337605758151565,-0.15661836365533088,-0.010292084384742106,0.04588901616312835,0.00041009998006502624,3.02626376828443
small,0.35,10.0,norm,0.03599141762374797,0.007737949721802639,-0.07054252612538237,0.004543337164312877,0.008250134705146017,-0.0028888464814638137,2.343948031171621
small,0.35,25.0,norm,0.020232405355172012,0.003901863508729564,-0.07210542367619432,-0.007335488333749252,0.00761854933239281,-0.0037474803692982284,2.343948031171621
small,0.53,10.0,lit,-0.0014658315818486534,0.004205708357056137,-0.15272233137654634,-0.023604210581800456,0.06530451633317041,-0.01917824022398762,3.529682150971267
small,0.53,25.0,lit,-0.021707239964262742,-0.0013363624148159392,-0.14753854476575834,-0.04061508034420372,0.05784805520953823,-0.021136183977169487,3.529682150971267
small,0.53,10.0,norm,-0.008389621934168423,8.965367975100058e-05,-0.047704039740740556,-0.026750244508229437,0.0050052253259662005,-0.015795113964616192,2.1158807007941576
small,0.53,25.0,norm,-0.025001081890644677,-0.00317343261517955,-0.049905201058941584,-0.04174218602776905,0.003465021325579354,-0.017161999206561862,2.1158807007941576
small,0.75,10.0,lit,-0.005010222541363019,0.003850873718659109,-0.1290350347025676,-0.03469367601387341,0.06168444151435126,0.008138986911487844,3.5958615784141887
small,0.75,25.0,lit,-0.02559262887404745,-0.0017491055852354442,-0.13057367522170982,-0.05326620415711436,0.05484105340326287,0.006092463361508538,3.5958615784141887
small,0.75,10.0,norm,0.00833914078050707,0.0014020970671884125,-0.0029998889440281395,-0.019777738838408165,0.023971485346985344,0.012259965983463184,1.1529028038501963
small,0.75,25.0,norm,-0.003199605946265477,-0.00039366427074138954,-0.004973408638441756,-0.03173517035506171,0.024798772029259702,0.011435713572453543,1.1529028038501963
small,1.0,10.0,lit,-0.007941861962205254,0.003981122905794221,-0.13949127516864424,0.0099216336327001,0.05727557509203052,0.01418170450895151,3.735383891669697
small,1.0,25.0,lit,-0.028016283627651573,-0.0017995315774381737,-0.14242250392687794,-0.008340617906398812,0.04883307319065505,0.010975408434775069,3.735383891669697
small,1.0,10.0,norm,0.0023786084266749774,2.3222286011925775e-06,0.0012502006259837994,0.00042945338225591767,0.011910976708726151,0.01046295324909119,2.6778418286355077e-05
small,1.0,25.0,norm,0.0005958983541155538,2.160131403750043e-06,0.0009445163488642772,-0.002905447305612041,0.011635041207303326,0.00956188380639264,2.6778418286355077e-05
