panel,theta,peak,trough,end,depth,trough_in_IS
SMALL439,0.08,2015-07-20,2016-02-11,2016-04-15,-0.13022902339657327,True
SMALL439,0.08,2018-01-26,2018-02-08,2018-08-03,-0.10101880123915974,False
SMALL439,0.08,2012-04-02,2012-06-04,2012-08-15,-0.09686946889662107,True
SMALL439,0.08,2020-09-02,2020-09-23,2020-11-10,-0.09440397995330463,False
SMALL439,0.08,2026-01-27,2026-03-30,2026-04-13,-0.08884966829933227,False
SMALL439,0.08,2024-07-16,2024-08-05,2024-09-18,-0.08405625908508729,False
SMALL439,0.1,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673795,False
SMALL439,0.1,2022-01-03,2022-10-12,2023-12-12,-0.2449639755587777,False
SMALL439,0.1,2018-09-20,2018-12-24,2019-04-11,-0.19348915262727273,False
SMALL439,0.1,2025-02-19,2025-04-08,2025-06-25,-0.187552417520088,False
SMALL439,0.1,2011-04-29,2011-10-03,2012-02-02,-0.18605456334553905,True
SMALL439,0.1,2015-07-20,2016-02-11,2016-04-15,-0.13022902339657327,True
SMALL439,0.1,2018-01-26,2018-02-08,2018-08-03,-0.10101880123915974,False
SMALL439,0.15,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673795,False
SMALL439,0.15,2022-01-03,2022-10-12,2023-12-12,-0.2449639755587777,False
SMALL439,0.15,2018-09-20,2018-12-24,2019-04-11,-0.19348915262727273,False
SMALL439,0.15,2025-02-19,2025-04-08,2025-06-25,-0.187552417520088,False
SMALL439,0.15,2011-04-29,2011-10-03,2012-02-02,-0.18605456334553905,True
SMALL439,0.2,2020-02-19,2020-03-23,2020-08-07,-0.33717289200673795,False
SMALL439,0.2,2022-01-03,2022-10-12,2023-12-12,-0.2449639755587777,False
