panel,family,cost,pick,oracle,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,best_OOS_Sharpe,regret_BP,regret_PB,base_OOS_Sharpe,spy_OOS_Sharpe,beats_base,beats_spy
SMALL439,GROSS,25.0,1.0,0.25,0.5222396343322504,0.04438544445727732,0.5066142423088023,-0.1989848796343825,0.5081502421176544,0.0015359998088521065,-0.0015359998088521065,0.5072384570086393,0.8820107009842559,False,False
SMALL439,N,10.0,15,20,0.8091651702438228,0.22400776859820337,0.7816046260174127,-0.3984729184886633,0.7863473620037023,0.0047427359862896035,-0.0047427359862896035,0.5680478246931868,0.8820107009842559,True,False
SMALL439,N,25.0,15,15,0.6753508738590898,0.18205012564261702,0.6751067607342052,-0.4081160724750468,0.6751067607342052,0.0,0.0,0.5072384570086393,0.8820107009842559,True,False
SMALL439,VOLCAP,10.0,9.99,9.99,0.6898028317567114,0.2112996620129175,0.7863473620037023,-0.3937412857675827,0.7863473620037023,0.0,0.0,0.5680478246931868,0.8820107009842559,True,False
SMALL439,VOLCAP,25.0,9.99,9.99,0.5553822595378608,0.1703301563851236,0.6724783288101395,-0.395608244953669,0.6724783288101395,0.0,0.0,0.5072384570086393,0.8820107009842559,True,False
U56,BAND,10.0,0.08,0.02,1.1222394384505352,0.09004482178490125,1.1665622442225985,-0.1446692025345785,1.2811887081306934,0.11462646390809494,-0.11462646390809494,1.2788365375971416,0.8757783801289708,False,True
U56,BAND,25.0,0.12,0.03,1.1029699912858832,0.08809614558594925,1.1510942293396473,-0.12160758382639625,1.2419798947110106,0.09088566537136322,-0.09088566537136322,1.2419798947110106,0.8757783801289708,False,True
U56,CADENCE,10.0,M,D,1.105450257517768,0.09585563633380367,1.2268133927596305,-0.14381696831010204,1.2893155514184778,0.06250215865884723,-0.06250215865884723,1.2788365375971416,0.8757783801289708,False,True
U56,CADENCE,25.0,M,W,1.0802487159597496,0.09380479469425351,1.2025776049262655,-0.14407161915585198,1.2419798947110106,0.039402289784745026,-0.039402289784745026,1.2419798947110106,0.8757783801289708,False,True
U56,GROSS,10.0,1.0,0.25,1.1047294762116384,0.12705574482766546,1.278130070073234,-0.15910992176170913,1.2798125484521798,0.001682478378945751,-0.001682478378945751,1.2788365375971416,0.8757783801289708,False,True
U56,GROSS,25.0,1.0,0.5,1.0663991139453364,0.12305032992267484,1.2414728105522923,-0.15958972443847597,1.2421532442891838,0.0006804337368915281,-0.0006804337368915281,1.2419798947110106,0.8757783801289708,False,True
U56,N,10.0,5,40,1.292346688051361,0.30977376012540914,1.0566165542998782,-0.3653165567577392,1.251168658078597,0.1945521037787188,-0.1945521037787188,1.2788365375971416,0.8757783801289708,False,True
U56,N,25.0,5,40,1.1573008924922121,0.2699046231852742,0.9528025292709856,-0.36551813968602065,1.1709850183391957,0.21818248906821003,-0.21818248906821003,1.2419798947110106,0.8757783801289708,False,True
U56,VOLCAP,10.0,9.99,0.4,1.1231912201391396,0.21037296570771757,1.169680048319822,-0.2537098076993278,1.2128408544795235,0.043160806159701526,-0.043160806159701526,1.2788365375971416,0.8757783801289708,False,True
U56,VOLCAP,25.0,9.99,0.4,0.9957645704189064,0.18876872172287462,1.0676700811541013,-0.25502157652677937,1.0741691945328136,0.006499113378712229,-0.006499113378712229,1.2419798947110106,0.8757783801289708,False,True
