panel,m,constr,n,r_CAGR,r_DD,r_BOTH,r_4b,r_4a,med_calmar
SMALL,14,RESPREAD@0.5,240,0.0625,0.004166666666666667,0.0,0.0,0.0,0.03987835119323514
SMALL,28,DEGROSS,240,0.0,0.225,0.0,0.0,0.004166666666666667,0.06470977848357609
SMALL,28,RESPREAD,240,0.07083333333333333,0.0,0.0,0.0,0.0,0.05887952137876011
SMALL,28,RESPREAD@0.15,240,0.0,0.6625,0.0,0.0,0.016666666666666666,0.07476529465369884
SMALL,28,RESPREAD@0.25,240,0.0,0.2708333333333333,0.0,0.0,0.008333333333333333,0.07311431044882295
SMALL,28,RESPREAD@0.375,240,0.03333333333333333,0.05,0.0,0.0,0.0,0.07146530957966099
SMALL,28,RESPREAD@0.5,240,0.04583333333333333,0.008333333333333333,0.0,0.0,0.0,0.06596331855675745
SMALL,55,DEGROSS,240,0.020833333333333332,0.5,0.0,0.0,0.0125,0.11225511281317063
SMALL,55,RESPREAD,240,0.1625,0.0,0.0,0.0,0.0,0.11247513530984823
SMALL,55,RESPREAD@0.15,240,0.0,0.825,0.0,0.0,0.020833333333333332,0.12446437772531047
SMALL,55,RESPREAD@0.25,240,0.008333333333333333,0.5083333333333333,0.0,0.0,0.016666666666666666,0.1232085307799658
SMALL,55,RESPREAD@0.375,240,0.05,0.20416666666666666,0.0,0.0,0.0125,0.11911495251863505
SMALL,55,RESPREAD@0.5,240,0.1,0.029166666666666667,0.0,0.0,0.0,0.11708051992795947
SMALL,110,DEGROSS,240,0.0,0.6791666666666667,0.0,0.0,0.004166666666666667,0.13640725925586186
SMALL,110,RESPREAD,240,0.19166666666666668,0.0,0.0,0.0,0.0,0.1412909934897617
SMALL,110,RESPREAD@0.15,240,0.0,0.9291666666666667,0.0,0.0,0.0125,0.13646446166244827
SMALL,110,RESPREAD@0.25,240,0.004166666666666667,0.6375,0.0,0.0,0.004166666666666667,0.1374758893895353
SMALL,110,RESPREAD@0.375,240,0.05,0.14583333333333334,0.004166666666666667,0.0,0.0,0.13912364438363578
SMALL,110,RESPREAD@0.5,240,0.10833333333333334,0.020833333333333332,0.0,0.0,0.0,0.1408488580677419
SMALL,220,DEGROSS,240,0.0,0.7041666666666667,0.0,0.0,0.04583333333333333,0.1514128594378081
SMALL,220,RESPREAD,240,0.2125,0.0,0.0,0.0,0.0,0.15406307123703022
SMALL,220,RESPREAD@0.15,240,0.0,0.9458333333333333,0.0,0.0,0.05,0.14768352833757722
SMALL,220,RESPREAD@0.25,240,0.008333333333333333,0.7458333333333333,0.0,0.0,0.03333333333333333,0.14888655611075344
SMALL,220,RESPREAD@0.375,240,0.04583333333333333,0.22083333333333333,0.0,0.0,0.0,0.1503214441930489
SMALL,220,RESPREAD@0.5,240,0.09166666666666666,0.020833333333333332,0.004166666666666667,0.0,0.0,0.1516700408941237
SMALL,665,DEGROSS,30,0.0,0.7666666666666667,0.0,0.0,0.1,0.17386788935952144
SMALL,665,RESPREAD,30,0.26666666666666666,0.0,0.0,0.0,0.0,0.17420518881542194
SMALL,665,RESPREAD@0.15,30,0.0,1.0,0.0,0.0,0.1,0.16369721355340713
SMALL,665,RESPREAD@0.25,30,0.0,0.8666666666666667,0.0,0.0,0.1,0.16551263126585508
SMALL,665,RESPREAD@0.375,30,0.06666666666666667,0.5,0.06666666666666667,0.03333333333333333,0.0,0.1677238856613994
SMALL,665,RESPREAD@0.5,30,0.1,0.06666666666666667,0.0,0.0,0.0,0.16985977826138957
U56,14,DEGROSS,240,0.13333333333333333,0.7375,0.029166666666666667,0.0,0.0,0.22594153408944487
U56,14,RESPREAD,240,0.525,0.04583333333333333,0.020833333333333332,0.0,0.0,0.3614979034304735
U56,14,RESPREAD@0.15,240,0.0,1.0,0.0,0.0,0.0,0.35141082675686963
U56,14,RESPREAD@0.25,240,0.075,0.8916666666666667,0.05,0.020833333333333332,0.0,0.35692517405793484
U56,14,RESPREAD@0.375,240,0.2625,0.6208333333333333,0.09166666666666666,0.058333333333333334,0.0,0.3607578254741847
U56,14,RESPREAD@0.5,240,0.37916666666666665,0.4,0.07083333333333333,0.0125,0.0,0.3630330583568753
U56,28,DEGROSS,240,0.07083333333333333,0.8125,0.029166666666666667,0.025,0.0,0.24842045438202526
U56,28,RESPREAD,240,0.5625,0.14166666666666666,0.029166666666666667,0.025,0.0,0.38854504362978715
U56,28,RESPREAD@0.15,240,0.004166666666666667,0.9916666666666667,0.004166666666666667,0.004166666666666667,0.0,0.3630315209928704
U56,28,RESPREAD@0.25,240,0.08333333333333333,0.8666666666666667,0.0375,0.016666666666666666,0.0,0.3719255229219237
U56,28,RESPREAD@0.375,240,0.20833333333333334,0.6208333333333333,0.029166666666666667,0.025,0.0,0.3763815712080337
U56,28,RESPREAD@0.5,240,0.35,0.39166666666666666,0.029166666666666667,0.020833333333333332,0.0,0.38052477552175556
U56,55,DEGROSS,30,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.0,0.47151134233565456
U56,55,RESPREAD,30,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.5395066731454183
U56,55,RESPREAD@0.15,30,0.0,1.0,0.0,0.0,0.0,0.48735150491427937
U56,55,RESPREAD@0.25,30,0.03333333333333333,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.4969389556041466
U56,55,RESPREAD@0.375,30,0.23333333333333334,0.7666666666666667,0.03333333333333333,0.03333333333333333,0.0,0.5085073604805337
U56,55,RESPREAD@0.5,30,0.4666666666666667,0.7,0.2,0.2,0.0,0.519524909825805
