=== 2026-09-07_is-TURNOVER-not-COUNT-the-real-n-dial_cloud
Book: top-n eligible by the v1 composite (vol scaler OFF), NORM weights g/k_t at g=0.75, weekly, next-day execution.  Band m: sell only past rank n+m.

[panels]
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
load_prices: network unavailable (ModuleNotFoundError); using prices.csv
    SMALL: dropped 44 tickers with max_1d_move >= 1.0 -> 439 names + SPY

================ U56: 55 names + SPY, 2008-01-02 -> 2026-09-04, eval from 2009-01-13
    eligible/day mean 37.5 min 3 max 55
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% H1/H2 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    RULES v2 (live, 10 bps) CAGR 8.66% Sharpe 1.206 MaxDD -12.05% H1/H2 1.226/1.191 | OOS Sharpe 1.285 CAGR 9.53% MaxDD -12.05%

[0] GATES
    fast_backtest vs engine.backtest: max|dr| 0.000e+00  max|dturnover| 0.000e+00
    derived rung r(25) vs live backtest(cost_bps=25): max|d| 0.000e+00
    sel_band(n=20, m=0) nests sel_hard(n=20) on rebalance days: 0 disagreements of 54600
    idea 44 U56 anchor (FIXED g/n, 10 bps): 12.66% / 1.092 / -18.31%  H1/H2 1.088/1.102   [published 12.66% / 1.092 / -18.31%]

[A/B] GRID U56 (all points; ann.turnover = mean yearly sum|dw|)
       n   m  turn/yr  names  gross | c=0     CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=10    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=25    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a
      20   0    11.00   19.1  0.750 |  14.03%  1.155 -18.22%  1.165/1.154   1.219 Y  n |  12.79%  1.064 -18.31%  1.068/1.066   1.131 Y  n |  10.94%  0.926 -18.44%  0.923/0.934   0.999 n  n |
      20   5     7.22   19.1  0.750 |  13.82%  1.148 -17.40%  1.147/1.155   1.227 Y  n |  13.00%  1.087 -17.46%  1.085/1.095   1.169 Y  n |  11.78%  0.996 -17.57%  0.991/1.006   1.081 Y  n |
      20  10     6.13   19.1  0.750 |  13.67%  1.140 -17.42%  1.158/1.132   1.209 Y  n |  12.98%  1.088 -17.48%  1.106/1.080   1.159 Y  n |  11.95%  1.011 -17.57%  1.027/1.003   1.083 Y  n |
      20  20     5.26   19.1  0.750 |  13.46%  1.158 -17.16%  1.189/1.140   1.232 Y  n |  12.87%  1.112 -17.22%  1.144/1.093   1.187 Y  n |  11.98%  1.043 -17.32%  1.076/1.022   1.119 Y  n |
      20  40     5.07   19.1  0.750 |  13.30%  1.172 -15.21%  1.228/1.136   1.234 Y  n |  12.73%  1.127 -15.27%  1.183/1.089   1.189 Y  n |  11.88%  1.059 -16.16%  1.115/1.020   1.122 Y  n |
      30   0     9.29   27.5  0.750 |  12.56%  1.138 -17.36%  1.107/1.170   1.236 Y  n |  11.52%  1.053 -17.47%  1.021/1.086   1.153 Y  n |   9.98%  0.925 -17.63%  0.891/0.960   1.028 n  n |
      30   5     6.86   27.5  0.750 |  12.56%  1.141 -17.31%  1.128/1.157   1.218 Y  n |  11.79%  1.078 -17.42%  1.065/1.093   1.156 Y  n |  10.64%  0.983 -17.57%  0.971/0.997   1.062 n  n |
      30  10     6.15   27.5  0.750 |  12.41%  1.140 -17.49%  1.163/1.126   1.209 Y  n |  11.72%  1.083 -17.60%  1.106/1.068   1.153 Y  n |  10.69%  0.996 -17.76%  1.021/0.980   1.068 Y  n |
      30  20     5.85   27.5  0.750 |  12.40%  1.165 -16.05%  1.207/1.134   1.222 Y  n |  11.75%  1.109 -16.15%  1.152/1.077   1.168 Y  n |  10.77%  1.025 -16.30%  1.069/0.992   1.086 Y  n |
      30  40     5.85   27.5  0.750 |  12.42%  1.167 -16.05%  1.212/1.134   1.222 Y  n |  11.77%  1.111 -16.15%  1.156/1.077   1.168 Y  n |  10.79%  1.027 -16.30%  1.073/0.992   1.086 Y  n |
      40   0     8.43   34.5  0.750 |  11.67%  1.133 -16.55%  1.132/1.139   1.218 Y  n |  10.73%  1.051 -16.66%  1.050/1.055   1.136 Y  n |   9.34%  0.926 -16.83%  0.926/0.929   1.012 n  n |
      40   5     7.26   34.5  0.750 |  11.56%  1.131 -17.09%  1.123/1.141   1.222 Y  n |  10.75%  1.059 -17.21%  1.051/1.069   1.152 Y  n |   9.56%  0.951 -17.38%  0.943/0.961   1.048 n  n |
      40  10     7.14   34.5  0.750 |  11.44%  1.127 -16.52%  1.134/1.125   1.208 Y  n |  10.65%  1.056 -16.63%  1.063/1.054   1.139 n  n |   9.47%  0.949 -16.79%  0.955/0.947   1.035 n  n |
      40  20     7.13   34.5  0.750 |  11.45%  1.129 -16.24%  1.134/1.129   1.211 Y  n |  10.66%  1.058 -16.35%  1.063/1.058   1.142 Y  n |   9.48%  0.951 -16.51%  0.955/0.950   1.039 n  n |
      40  40     7.13   34.5  0.750 |  11.45%  1.129 -16.24%  1.134/1.129   1.211 Y  n |  10.66%  1.058 -16.35%  1.063/1.058   1.142 Y  n |   9.48%  0.951 -16.51%  0.955/0.950   1.039 n  n |
      60   0     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      60   5     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      60  10     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      60  20     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      60  40     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      80   0     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      80   5     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      80  10     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      80  20     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
      80  40     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |
     ALL   0     8.21   37.4  0.750 |  11.31%  1.132 -15.77%  1.149/1.120   1.196 Y  n |  10.39%  1.049 -15.87%  1.067/1.036   1.113 n  n |   9.04%  0.924 -16.11%  0.944/0.909   0.989 n  n |

================ B136: 135 names + SPY, 2008-01-02 -> 2026-09-04, eval from 2009-01-13
    eligible/day mean 91.5 min 3 max 128
    SPY CAGR 15.23% Sharpe 0.889 MaxDD -33.72% H1/H2 0.957/0.834 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    RULES v2 (live, 10 bps) CAGR 8.03% Sharpe 1.106 MaxDD -12.24% H1/H2 1.229/0.984 | OOS Sharpe 1.119 CAGR 7.98% MaxDD -12.24%

[A/B] GRID B136 (all points; ann.turnover = mean yearly sum|dw|)
       n   m  turn/yr  names  gross | c=0     CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=10    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=25    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a
       5   0    21.88    5.0  0.750 |  19.21%  0.986 -23.41%  1.112/0.890   0.931 n  n |  16.63%  0.876 -23.99%  0.996/0.782   0.824 n  n |  12.87%  0.710 -24.85%  0.823/0.621   0.664 n  n |
       5   5    11.96    5.0  0.750 |  17.64%  0.932 -26.27%  1.072/0.823   0.885 n  n |  16.24%  0.870 -26.93%  1.008/0.763   0.825 n  n |  14.18%  0.778 -27.90%  0.913/0.673   0.735 n  n |
       5  10     9.57    5.0  0.750 |  18.32%  0.965 -27.31%  1.187/0.788   0.885 n  n |  17.20%  0.916 -27.89%  1.136/0.739   0.836 n  n |  15.53%  0.842 -28.76%  1.060/0.666   0.763 n  n |
       5  20     7.83    5.0  0.750 |  18.02%  0.964 -22.69%  1.306/0.691   0.765 n  n |  17.10%  0.923 -22.74%  1.266/0.649   0.723 n  n |  15.73%  0.862 -23.09%  1.205/0.586   0.660 n  n |
       5  40     6.18    5.0  0.750 |  20.89%  1.106 -22.69%  1.388/0.874   1.018 n  n |  20.15%  1.073 -22.74%  1.355/0.841   0.985 n  n |  19.04%  1.023 -22.88%  1.306/0.791   0.935 n  n |
      10   0    17.92    9.9  0.750 |  16.32%  1.004 -21.37%  1.231/0.817   0.888 n  n |  14.25%  0.895 -21.44%  1.118/0.710   0.781 n  n |  11.22%  0.731 -21.55%  0.948/0.550   0.620 n  n |
      10   5    10.46    9.9  0.750 |  17.42%  1.061 -21.51%  1.350/0.821   0.905 n  n |  16.20%  0.997 -21.54%  1.287/0.757   0.841 n  n |  14.39%  0.901 -21.60%  1.192/0.660   0.744 n  n |
      10  10     8.33    9.9  0.750 |  18.16%  1.091 -22.55%  1.369/0.861   0.949 n  n |  17.18%  1.041 -22.58%  1.320/0.809   0.897 n  n |  15.72%  0.965 -22.62%  1.247/0.731   0.819 n  n |
      10  20     6.64    9.9  0.750 |  18.27%  1.103 -22.20%  1.403/0.856   0.963 n  n |  17.48%  1.062 -22.24%  1.363/0.814   0.922 n  n |  16.32%  1.002 -22.30%  1.304/0.752   0.859 n  n |
      10  40     5.40    9.9  0.750 |  17.56%  1.083 -22.64%  1.300/0.903   1.016 n  n |  16.93%  1.050 -22.69%  1.268/0.868   0.981 n  n |  15.98%  0.999 -22.76%  1.219/0.816   0.929 n  n |
      20   0    14.31   19.7  0.750 |  14.62%  1.045 -19.98%  1.208/0.904   0.986 Y  n |  12.99%  0.943 -20.05%  1.105/0.803   0.884 n  n |  10.59%  0.789 -20.16%  0.949/0.650   0.730 n  n |
      20   5     9.52   19.7  0.750 |  14.71%  1.047 -20.01%  1.234/0.885   0.972 Y  n |  13.62%  0.980 -20.08%  1.166/0.817   0.903 n  n |  12.01%  0.878 -20.17%  1.064/0.715   0.800 n  n |
      20  10     7.61   19.7  0.750 |  14.51%  1.030 -19.88%  1.270/0.823   0.924 n  n |  13.64%  0.976 -19.95%  1.218/0.768   0.869 n  n |  12.35%  0.895 -20.04%  1.138/0.685   0.786 n  n |
      20  20     6.20   19.7  0.750 |  14.98%  1.052 -20.39%  1.278/0.862   0.970 n  n |  14.27%  1.009 -20.43%  1.235/0.817   0.926 n  n |  13.21%  0.943 -20.49%  1.171/0.750   0.859 n  n |
      20  40     5.09   19.7  0.750 |  14.19%  1.013 -21.01%  1.246/0.814   0.941 n  n |  13.61%  0.977 -21.06%  1.210/0.777   0.904 n  n |  12.74%  0.922 -21.13%  1.157/0.721   0.849 n  n |
      30   0    12.47   29.4  0.750 |  13.55%  1.049 -20.21%  1.212/0.905   0.991 Y  n |  12.15%  0.953 -20.30%  1.112/0.811   0.895 n  n |  10.07%  0.807 -20.57%  0.962/0.670   0.752 n  n |
      30   5     8.86   29.4  0.750 |  13.86%  1.069 -19.92%  1.218/0.938   1.033 Y  n |  12.86%  1.000 -19.98%  1.148/0.870   0.965 Y  n |  11.37%  0.897 -20.08%  1.043/0.769   0.864 n  n |
      30  10     7.43   29.4  0.750 |  14.15%  1.084 -19.74%  1.242/0.944   1.043 Y  n |  13.31%  1.027 -19.79%  1.185/0.887   0.985 Y  n |  12.05%  0.941 -19.85%  1.099/0.801   0.899 n  n |
      30  20     6.06   29.4  0.750 |  13.96%  1.066 -19.92%  1.210/0.940   1.043 Y  n |  13.27%  1.019 -19.96%  1.164/0.893   0.997 Y  n |  12.24%  0.949 -20.03%  1.095/0.823   0.927 n  n |
      30  40     4.96   29.4  0.750 |  13.72%  1.056 -19.99%  1.234/0.903   1.017 Y  n |  13.15%  1.018 -20.03%  1.197/0.863   0.978 Y  n |  12.32%  0.960 -20.10%  1.141/0.804   0.919 n  n |
      40   0    11.28   38.8  0.750 |  13.31%  1.081 -19.03%  1.203/0.970   1.062 Y  n |  12.04%  0.989 -19.11%  1.108/0.880   0.971 Y  n |  10.16%  0.850 -19.50%  0.965/0.746   0.835 n  n |
      40   5     8.43   38.8  0.750 |  13.02%  1.058 -19.21%  1.174/0.954   1.051 Y  n |  12.07%  0.990 -19.28%  1.103/0.887   0.983 Y  n |  10.66%  0.886 -19.61%  0.997/0.787   0.882 n  n |
      40  10     7.22   38.8  0.750 |  13.14%  1.065 -18.82%  1.182/0.960   1.060 Y  n |  12.33%  1.006 -18.88%  1.121/0.903   1.003 Y  n |  11.12%  0.918 -19.05%  1.031/0.817   0.917 n  n |
      40  20     6.00   38.8  0.750 |  12.97%  1.055 -18.70%  1.201/0.923   1.028 Y  n |  12.30%  1.006 -18.76%  1.152/0.874   0.980 Y  n |  11.29%  0.932 -19.04%  1.079/0.800   0.907 n  n |
      40  40     5.05   38.8  0.750 |  12.67%  1.040 -18.51%  1.187/0.909   1.020 Y  n |  12.11%  0.998 -18.57%  1.147/0.866   0.978 Y  n |  11.26%  0.936 -18.87%  1.086/0.802   0.915 n  n |
      60   0     9.75   56.7  0.750 |  12.47%  1.085 -18.57%  1.185/0.994   1.089 Y  n |  11.38%  1.000 -18.68%  1.097/0.911   1.005 Y  n |   9.76%  0.871 -19.17%  0.965/0.785   0.879 n  n |
      60   5     7.90   56.7  0.750 |  12.59%  1.094 -18.30%  1.194/1.002   1.096 Y  n |  11.70%  1.025 -18.46%  1.124/0.934   1.028 Y  n |  10.39%  0.920 -18.95%  1.017/0.832   0.926 n  n |
      60  10     6.91   56.7  0.750 |  12.62%  1.094 -18.30%  1.203/0.994   1.092 Y  n |  11.84%  1.034 -18.46%  1.142/0.934   1.033 Y  n |  10.69%  0.943 -18.95%  1.051/0.844   0.943 Y  n |
      60  20     6.09   56.7  0.750 |  12.35%  1.077 -18.25%  1.178/0.984   1.083 Y  n |  11.67%  1.024 -18.41%  1.125/0.930   1.030 Y  n |  10.66%  0.943 -18.91%  1.046/0.849   0.950 n  n |
      60  40     5.39   56.7  0.750 |  12.04%  1.065 -18.46%  1.211/0.933   1.046 Y  n |  11.44%  1.017 -18.62%  1.165/0.883   0.998 Y  n |  10.54%  0.945 -19.12%  1.096/0.808   0.925 n  n |
      80   0     8.77   73.1  0.750 |  12.18%  1.105 -18.10%  1.192/1.024   1.125 Y  n |  11.20%  1.025 -18.44%  1.112/0.943   1.044 Y  n |   9.75%  0.904 -18.96%  0.993/0.820   0.923 n  n |
      80   5     7.48   73.1  0.750 |  12.09%  1.097 -18.11%  1.196/1.005   1.106 Y  n |  11.26%  1.028 -18.45%  1.129/0.934   1.037 Y  n |  10.02%  0.925 -18.97%  1.030/0.828   0.933 n  n |
      80  10     6.86   73.1  0.750 |  12.06%  1.095 -18.22%  1.215/0.983   1.091 Y  n |  11.30%  1.032 -18.56%  1.155/0.918   1.027 Y  n |  10.16%  0.937 -19.08%  1.064/0.819   0.931 n  n |
      80  20     6.34   73.1  0.750 |  11.97%  1.093 -18.11%  1.210/0.985   1.089 Y  n |  11.27%  1.034 -18.45%  1.154/0.923   1.030 Y  n |  10.21%  0.947 -18.97%  1.071/0.831   0.941 n  n |
      80  40     6.11   73.1  0.750 |  12.00%  1.107 -17.95%  1.223/1.000   1.111 Y  n |  11.32%  1.050 -18.28%  1.169/0.941   1.053 Y  n |  10.30%  0.964 -18.88%  1.088/0.851   0.967 n  n |
     ALL   0     8.27   91.3  0.750 |  11.62%  1.105 -17.34%  1.218/0.998   1.101 Y  n |  10.70%  1.025 -17.69%  1.143/0.915   1.019 Y  n |   9.34%  0.906 -18.22%  1.031/0.789   0.896 n  n |

================ SMALL439: 439 names + SPY, 2010-01-04 -> 2026-09-04, eval from 2011-01-13
    eligible/day mean 141.2 min 0 max 281
    SPY CAGR 14.13% Sharpe 0.862 MaxDD -33.72% H1/H2 0.891/0.858 | OOS Sharpe 0.882 CAGR 15.45% MaxDD -33.72%
    RULES v2 (live, 10 bps) CAGR 3.81% Sharpe 0.572 MaxDD -14.68% H1/H2 0.570/0.577 | OOS Sharpe 0.568 CAGR 3.85% MaxDD -14.68%

[A/B] GRID SMALL439 (all points; ann.turnover = mean yearly sum|dw|)
       n   m  turn/yr  names  gross | c=0     CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=10    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a | c=25    CAGR   Shrp   MaxDD         H1/H2    OOS 4b 4a
       5   0    30.07    5.0  0.750 |   8.19%  0.442 -34.24%  0.565/0.340   0.546 n  n |   4.98%  0.321 -40.20%  0.443/0.218   0.423 n  n |   0.35%  0.138 -48.15%  0.259/0.035   0.240 n  n |
       5   5    18.55    5.0  0.750 |   6.87%  0.393 -36.55%  0.380/0.407   0.509 n  n |   4.90%  0.317 -40.11%  0.307/0.329   0.431 n  n |   2.02%  0.204 -45.19%  0.197/0.212   0.315 n  n |
       5  10    15.65    5.0  0.750 |   7.81%  0.431 -36.47%  0.542/0.339   0.480 n  n |   6.14%  0.366 -36.84%  0.482/0.271   0.413 n  n |   3.67%  0.270 -40.75%  0.391/0.169   0.312 n  n |
       5  20    13.06    5.0  0.750 |   9.55%  0.507 -39.54%  0.670/0.374   0.444 n  n |   8.13%  0.451 -39.70%  0.620/0.313   0.384 n  n |   6.03%  0.367 -39.94%  0.545/0.221   0.294 n  n |
       5  40    11.44    5.0  0.750 |  10.43%  0.540 -39.54%  0.781/0.344   0.456 n  n |   9.17%  0.491 -39.70%  0.738/0.290   0.404 n  n |   7.31%  0.418 -40.19%  0.673/0.209   0.325 n  n |
      10   0    24.27   10.0  0.750 |  10.40%  0.600 -31.23%  0.659/0.555   0.674 n  n |   7.75%  0.477 -31.40%  0.533/0.433   0.551 n  n |   3.90%  0.293 -33.60%  0.345/0.251   0.366 n  n |
      10   5    16.82   10.0  0.750 |  10.61%  0.609 -31.00%  0.745/0.498   0.695 n  n |   8.76%  0.524 -31.16%  0.664/0.409   0.608 n  n |   6.05%  0.396 -31.41%  0.542/0.275   0.476 n  n |
      10  10    14.67   10.0  0.750 |  12.05%  0.670 -30.34%  0.794/0.569   0.715 n  n |  10.41%  0.597 -30.50%  0.725/0.492   0.639 n  n |   8.01%  0.486 -30.73%  0.620/0.376   0.525 n  n |
      10  20    12.55   10.0  0.750 |  12.60%  0.701 -30.59%  0.855/0.576   0.687 n  n |  11.20%  0.638 -30.74%  0.796/0.508   0.621 n  n |   9.12%  0.542 -30.96%  0.707/0.407   0.521 n  n |
      10  40    10.77   10.0  0.750 |  10.58%  0.614 -30.59%  0.824/0.443   0.538 n  n |   9.39%  0.558 -30.74%  0.773/0.384   0.480 n  n |   7.64%  0.475 -30.96%  0.696/0.295   0.392 n  n |
      20   0    20.45   19.9  0.750 |   8.60%  0.570 -31.37%  0.724/0.449   0.589 n  n |   6.40%  0.450 -33.48%  0.606/0.326   0.466 n  n |   3.19%  0.270 -36.53%  0.428/0.143   0.281 n  n |
      20   5    15.59   19.9  0.750 |   8.83%  0.583 -31.77%  0.723/0.472   0.612 n  n |   7.15%  0.491 -31.95%  0.635/0.377   0.517 n  n |   4.67%  0.354 -33.74%  0.503/0.234   0.374 n  n |
      20  10    13.70   19.9  0.750 |   8.63%  0.571 -32.68%  0.712/0.460   0.599 n  n |   7.15%  0.491 -34.05%  0.636/0.375   0.515 n  n |   4.97%  0.370 -36.05%  0.523/0.248   0.389 n  n |
      20  20    11.96   19.9  0.750 |   8.66%  0.576 -32.09%  0.776/0.413   0.535 n  n |   7.36%  0.505 -32.80%  0.710/0.338   0.461 n  n |   5.45%  0.399 -34.72%  0.611/0.225   0.350 n  n |
      20  40    10.21   19.9  0.750 |   9.41%  0.623 -32.15%  0.779/0.497   0.597 n  n |   8.30%  0.562 -32.30%  0.723/0.431   0.531 n  n |   6.65%  0.470 -32.51%  0.639/0.331   0.434 n  n |
      30   0    18.81   29.7  0.750 |   7.25%  0.520 -31.64%  0.594/0.464   0.558 n  n |   5.25%  0.401 -32.82%  0.475/0.346   0.438 n  n |   2.32%  0.224 -35.59%  0.296/0.168   0.258 n  n |
      30   5    15.28   29.7  0.750 |   7.61%  0.541 -31.69%  0.588/0.507   0.573 n  n |   5.97%  0.445 -32.09%  0.493/0.409   0.474 n  n |   3.57%  0.300 -34.38%  0.351/0.262   0.327 n  n |
      30  10    13.43   29.7  0.750 |   7.37%  0.527 -31.81%  0.650/0.431   0.539 n  n |   5.94%  0.442 -32.46%  0.569/0.342   0.452 n  n |   3.82%  0.315 -34.49%  0.448/0.210   0.321 n  n |
      30  20    11.44   29.7  0.750 |   8.29%  0.584 -31.77%  0.694/0.499   0.582 n  n |   7.06%  0.511 -32.61%  0.626/0.422   0.506 n  n |   5.24%  0.402 -34.33%  0.525/0.306   0.391 n  n |
      30  40     9.90   29.7  0.750 |   8.55%  0.602 -31.46%  0.721/0.507   0.619 n  n |   7.48%  0.538 -31.62%  0.663/0.439   0.552 n  n |   5.89%  0.443 -32.44%  0.576/0.337   0.452 n  n |
      40   0    17.56   39.5  0.750 |   7.07%  0.526 -31.80%  0.549/0.512   0.572 n  n |   5.21%  0.410 -32.55%  0.432/0.396   0.456 n  n |   2.47%  0.237 -35.23%  0.258/0.223   0.281 n  n |
      40   5    14.66   39.5  0.750 |   6.83%  0.510 -32.14%  0.562/0.473   0.533 n  n |   5.27%  0.414 -33.06%  0.467/0.374   0.434 n  n |   2.98%  0.269 -35.30%  0.325/0.227   0.286 n  n |
      40  10    12.97   39.5  0.750 |   7.38%  0.545 -31.25%  0.589/0.515   0.567 n  n |   6.00%  0.460 -32.29%  0.507/0.426   0.478 n  n |   3.95%  0.331 -34.27%  0.384/0.292   0.345 n  n |
      40  20    11.38   39.5  0.750 |   7.09%  0.529 -32.32%  0.613/0.465   0.530 n  n |   5.88%  0.453 -33.50%  0.543/0.385   0.452 n  n |   4.09%  0.341 -35.23%  0.437/0.265   0.334 n  n |
      40  40     9.78   39.5  0.750 |   7.28%  0.541 -31.85%  0.653/0.454   0.540 n  n |   6.24%  0.476 -32.68%  0.594/0.384   0.472 n  n |   4.69%  0.379 -34.13%  0.504/0.280   0.370 n  n |
      60   0    15.86   58.4  0.750 |   6.82%  0.529 -33.01%  0.561/0.509   0.556 n  n |   5.14%  0.419 -34.66%  0.452/0.397   0.443 n  n |   2.66%  0.254 -37.06%  0.289/0.229   0.274 n  n |
      60   5    13.81   58.4  0.750 |   6.79%  0.527 -33.93%  0.574/0.494   0.548 n  n |   5.32%  0.431 -35.33%  0.482/0.394   0.449 n  n |   3.16%  0.288 -37.37%  0.343/0.246   0.301 n  n |
