panel,cost,conv,trend,volcap,d_CAGR_pp,d_Sharpe,Gross
U56,10,dg,on,0.60,-5.973432711437554,-0.010415102889329564,0.5172584241127175
U56,10,dg,on,0.90,-5.419039928717839,0.019156888844812592,0.5278327014617628
U56,10,dg,on,off,-5.082470557627294,0.04806068084153292,0.5306849334994476
U56,10,dg,off,0.30,-6.2603810508757185,-0.011956918364836477,0.5676973295746635
U56,10,dg,off,0.45,-3.1817208715756884,0.008934613139809588,0.6783894913088014
U56,10,dg,off,0.60,-1.7082612404395237,0.009537101404171855,0.7193270998757755
U56,10,dg,off,0.90,-0.9206038244872428,-0.023864490432214724,0.7432931507273017
U56,10,dg,off,off,0.0,0.0,0.7502302461672524
SMALL439,0,rw,on,0.30,-5.443629310232456,-0.18726587009740492,0.7500396531683587
SMALL439,0,rw,on,0.45,-5.014280752852862,-0.20215106107603875,0.7500611944893814
SMALL439,0,rw,on,0.60,-5.312069168680744,-0.2527166066395651,0.7500295104604584
SMALL439,0,rw,on,0.90,-4.069270347385223,-0.18410375696930248,0.7500596282672254
SMALL439,0,rw,on,off,-2.788139382128363,-0.11450843312253067,0.7500917304181896
SMALL439,0,rw,off,0.30,-4.324234038236208,-0.08873012036798589,0.7500540293003716
SMALL439,0,rw,off,0.45,-4.447177979121553,-0.1752027874882156,0.7500552996727977
SMALL439,0,rw,off,0.60,-4.260882146125922,-0.20060592113065479,0.7500422434932876
SMALL439,0,rw,off,0.90,-2.3840875426918595,-0.11502219899272181,0.750066633898461
SMALL439,0,rw,off,off,0.0,0.0,0.7501008892339182
SMALL439,0,dg,on,0.30,-9.783556823206684,-0.40470529796432153,0.13938626320193
SMALL439,0,dg,on,0.45,-8.975286085996203,-0.32977831935582697,0.25432875748444717
SMALL439,0,dg,on,0.60,-8.305608454574575,-0.2784434710409754,0.314498931238243
SMALL439,0,dg,on,0.90,-7.298451095861358,-0.18151955367049466,0.35857484296091735
SMALL439,0,dg,on,off,-6.430231576635048,-0.09570109490190992,0.3778960122588028
SMALL439,0,dg,off,0.30,-9.071237381026576,-0.2873892070280796,0.22705024189725503
SMALL439,0,dg,off,0.45,-7.156021571576976,-0.22467673796347815,0.4525751645155848
SMALL439,0,dg,off,0.60,-5.856194770347423,-0.21772927208533893,0.5866302170101508
SMALL439,0,dg,off,0.90,-3.5922624620732924,-0.14670366192263018,0.6960535615527764
SMALL439,0,dg,off,off,0.0,0.0,0.7501008892339182
SMALL439,10,rw,on,0.30,-7.644065871605443,-0.39129151608679535,0.7500396531683587
SMALL439,10,rw,on,0.45,-6.5081308504121305,-0.3228821852988801,0.7500611944893814
SMALL439,10,rw,on,0.60,-6.515497919042601,-0.34202183545263065,0.7500295104604584
SMALL439,10,rw,on,0.90,-5.072934683633212,-0.2537886013580227,0.7500596282672254
SMALL439,10,rw,on,off,-3.7030957849193857,-0.17474797526400554,0.7500917304181896
SMALL439,10,rw,off,0.30,-6.099382231513029,-0.2523571052192047,0.7500540293003716
SMALL439,10,rw,off,0.45,-5.321562288946113,-0.2435546606242312,0.7500552996727977
SMALL439,10,rw,off,0.60,-4.727525926863829,-0.2337204923022786,0.7500422434932876
SMALL439,10,rw,off,0.90,-2.5335243279198005,-0.12477361423839761,0.750066633898461
SMALL439,10,rw,off,off,0.0,0.0,0.7501008892339182
SMALL439,10,dg,on,0.30,-9.900156686836702,-0.5368304403565459,0.13938626320193
SMALL439,10,dg,on,0.45,-9.179856987553947,-0.4146664108137428,0.25432875748444717
SMALL439,10,dg,on,0.60,-8.519090742060055,-0.3423971259689519,0.314498931238243
SMALL439,10,dg,on,0.90,-7.501963695983083,-0.23119938719790795,0.35857484296091735
SMALL439,10,dg,on,off,-6.6233028073188205,-0.13861575091069844,0.3778960122588028
SMALL439,10,dg,off,0.30,-9.300062536304065,-0.4005065712983816,0.22705024189725503
SMALL439,10,dg,off,0.45,-7.442763240327488,-0.2767012959065968,0.4525751645155848
SMALL439,10,dg,off,0.60,-6.06998898282507,-0.2438589827709956,0.5866302170101508
SMALL439,10,dg,off,0.90,-3.6758084045960926,-0.15461113055384068,0.6960535615527764
SMALL439,10,dg,off,off,0.0,0.0,0.7501008892339182
