panel,gate,freq,bps,m_8,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,parent_OOS_CAGR,parent_OOS_Sharpe,parent_OOS_MaxDD,gridmean_OOS_Sharpe,best_OOS_Sharpe,best_OOS_m,base_OOS_CAGR,base_OOS_Sharpe,base_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
u56,200d,Q,10,30,0.13248053204596255,1.0211348768371016,-0.19056644808729084,0.15422530369734977,1.0647067267306631,-0.27122388205911996,1.0298262176358897,1.0647067267306631,0,0.09563216064933844,1.288463762182964,-0.12054942313126815,0.15503769025418768,0.8844185021541422,-0.33717235283398284
u56,200d,Q,25,30,0.13003427682639046,1.004605298279288,-0.19056644808729084,0.14995441378920638,1.039128402234179,-0.2712238820591202,1.0105611642548278,1.039128402234179,0,0.09269634071563959,1.2516242862884182,-0.12092631068492765,0.15503769025418768,0.8844185021541422,-0.33717235283398284
broad,none,W,10,999,0.08554614469545707,1.1578744593379893,-0.14054147382232007,0.12403543308684384,0.8772388861854608,-0.20695397413814864,0.9626036220974166,1.1578744593379893,999,0.08008859645602318,1.1216815149000923,-0.12240793860208021,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,none,W,25,999,0.08381098866019743,1.1346927186400106,-0.14185822316316554,0.10025013386433868,0.7297768001864946,-0.2095579045703102,0.88802518536207,1.1346927186400106,999,0.07668722367257308,1.0771846782277699,-0.12284879701089035,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,W,10,999,0.1196635702904012,0.918244902966639,-0.175699631864785,0.12522447158897898,0.8939893512532118,-0.2005204833110832,0.9343887822581727,0.9845461872487988,50,0.08008859645602318,1.1216815149000923,-0.12240793860208021,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,W,25,999,0.1133599528241136,0.8756804478356623,-0.1767433894154894,0.10151202677493876,0.7454051778633731,-0.20155317029654174,0.8555885245950433,0.9393376618443223,50,0.07668722367257308,1.0771846782277699,-0.12284879701089035,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,band3,W,10,999,0.10963414122117476,0.9026113309596329,-0.1794569567397385,0.12669725683122346,0.90241617896901,-0.20052048331108296,0.9485971761272576,1.006471480230998,50,0.08008859645602318,1.1216815149000923,-0.12240793860208021,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,band3,W,25,999,0.10429696273304412,0.8635505294592805,-0.18205549169932378,0.1030646830281654,0.7546772532187863,-0.20155317029654163,0.8714052528496897,0.9637552350772104,50,0.07668722367257308,1.0771846782277699,-0.12284879701089035,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,D,10,30,0.14575345862361622,1.029242728633241,-0.18794694813098056,0.08967308973774935,0.6863547919893497,-0.19681079471085083,0.9009883648544955,1.029242728633241,30,0.08008859645602318,1.1216815149000923,-0.12240793860208021,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,D,25,30,0.13346571647936667,0.9534175006864566,-0.19101193704435182,0.037688666309694696,0.3353226059479087,-0.24070797274962308,0.7625725945820729,0.9534175006864566,30,0.07668722367257308,1.0771846782277699,-0.12284879701089035,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,M,10,999,0.14663595494466164,1.005500007458061,-0.22390357341550848,0.15723833114928065,1.0091365206469072,-0.2610459352657425,1.0192178874005906,1.0633058410758078,20,0.08008859645602318,1.1216815149000923,-0.12240793860208021,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,M,25,999,0.14231961130279536,0.9800364687107334,-0.22483248216837715,0.14591117490143257,0.9464675321188017,-0.26162460920298103,0.9757954201968574,1.0246505610226537,20,0.07668722367257308,1.0771846782277699,-0.12284879701089035,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,Q,10,999,0.12301234100357639,0.8774216692069801,-0.2359483401971203,0.11798494752787758,0.7539348082909643,-0.27063847287815357,0.8282685434529093,0.8913705254627272,20,0.08008859645602318,1.1216815149000923,-0.12240793860208021,0.1550349534852662,0.8844317457858041,-0.3371595330739301
broad,200d,Q,25,999,0.12040085303494963,0.861274606147939,-0.23594834019712085,0.11181451898536254,0.7205137986207736,-0.2706384728781538,0.8026496881902406,0.8677073138304818,20,0.07668722367257308,1.0771846782277699,-0.12284879701089035,0.1550349534852662,0.8844317457858041,-0.3371595330739301
