outcome,device,m,cells,native_claims,bar,real_share,real_sub_p5,real_sub_med,real_sub_p95,null_p5,null_med,null_p95,null_sd,draws_used,excess,z,p_left,verdict,stable_below
CAGR,BAR,12,36,23,3.8180487459122077,0.5,,,,0.5,0.6666666666666666,0.8333333333333334,0.10927078368286129,400.0,-0.16666666666666663,-1.5252628474815968,0.1,INSIDE,
CAGR,SUB,15,36,23,1.96,0.8260869565217391,0.7333333333333333,0.8,0.9333333333333333,0.64,0.8,0.9333333333333333,0.0999712794750326,153.0,0.02608695652173909,0.26094450985049356,0.6862745098039216,INSIDE,0.0
CAGR,BAR,15,36,23,3.0220133545195655,0.7333333333333333,,,,0.6,0.7333333333333333,0.9333333333333333,0.09181563652837743,400.0,0.0,0.0,0.54,INSIDE,
CAGR,SUB,19,36,23,1.96,0.8260869565217391,0.7894736842105263,0.8421052631578947,0.8947368421052632,0.7368421052631579,0.8157894736842105,0.9473684210526315,0.0707215591956013,12.0,0.010297482837528626,0.14560599277863634,0.5,INSIDE,0.0
CAGR,BAR,19,36,23,2.5951230491455775,0.7894736842105263,,,,0.6842105263157895,0.7894736842105263,0.9473684210526315,0.08281700616235345,400.0,0.0,0.0,0.5225,INSIDE,
CAGR,SUB,24,36,23,,,,,,,,,,,,,,NA (m > native claims),
CAGR,BAR,24,36,23,1.6996060437953933,0.875,,,,0.75,0.875,0.9583333333333334,0.06662726700333231,400.0,0.0,0.0,0.6925,INSIDE,
CAGR,SUB,28,36,23,,,,,,,,,,,,,,NA (m > native claims),
CAGR,BAR,28,36,23,1.2215532509800975,0.8571428571428571,,,,0.7857142857142857,0.8928571428571429,0.9642857142857143,0.05617937743495911,400.0,-0.03571428571428581,-0.6357187876571527,0.4,INSIDE,
MaxDD,SUB,4,36,19,1.96,0.10526315789473684,0.0,0.0,0.25,0.0,0.5,0.75,0.24341242650078487,400.0,-0.39473684210526316,-1.621679089189764,0.0925,INSIDE,0.0
MaxDD,BAR,4,36,19,3.809499281975642,0.0,,,,0.0,0.0,0.5,0.1619413474070165,400.0,0.0,0.0,0.6,INSIDE,
MaxDD,SUB,6,36,19,1.96,0.10526315789473684,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.8333333333333334,0.19885741332254456,400.0,-0.39473684210526316,-1.9850245234006152,0.0175,BELOW,0.4575
MaxDD,BAR,6,36,19,3.495418176076109,0.16666666666666666,,,,0.0,0.16666666666666666,0.5,0.1572683481611393,400.0,0.0,0.0,0.5775,INSIDE,
MaxDD,SUB,9,36,19,1.96,0.10526315789473684,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.7444444444444431,0.150578575800276,367.0,-0.3391812865497076,-2.2525202190754543,0.0,BELOW,0.797
MaxDD,BAR,9,36,19,2.880847551192464,0.1111111111111111,,,,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.14230222359297895,400.0,-0.2222222222222222,-1.5616215728141751,0.11,INSIDE,
MaxDD,SUB,12,36,19,1.96,0.10526315789473684,0.0,0.08333333333333333,0.16666666666666666,0.25,0.5,0.6708333333333318,0.13981075999761647,200.0,-0.39473684210526316,-2.8233652553780035,0.0,BELOW,1.0
MaxDD,BAR,12,36,19,2.582551142240674,0.08333333333333333,,,,0.25,0.4166666666666667,0.6666666666666666,0.1235385047375019,400.0,-0.33333333333333337,-2.6982140834682227,0.005,BELOW,
MaxDD,SUB,15,36,19,1.96,0.10526315789473684,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.5333333333333333,0.7333333333333333,0.12772024134730464,71.0,-0.4280701754385965,-3.351623602672047,0.0,BELOW,1.0
MaxDD,BAR,15,36,19,2.43555196150943,0.06666666666666667,,,,0.3333333333333333,0.5333333333333333,0.6666666666666666,0.10992105753170721,400.0,-0.4666666666666667,-4.245471042089044,0.0,BELOW,
MaxDD,SUB,19,36,19,1.96,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.4157894736842105,0.5526315789473684,0.6842105263157895,0.09930506454796428,10.0,-0.4473684210526315,-4.504990990027028,0.0,BELOW,1.0
MaxDD,BAR,19,36,19,2.0014359891497953,0.10526315789473684,,,,0.42105263157894735,0.5789473684210527,0.7368421052631579,0.09963359118828746,400.0,-0.4736842105263158,-4.7542621406785175,0.0,BELOW,
MaxDD,SUB,24,36,19,,,,,,,,,,,,,,NA (m > native claims),
MaxDD,BAR,24,36,19,1.4871708859866357,0.125,,,,0.5416666666666666,0.6666666666666666,0.7916666666666666,0.07857674945908336,400.0,-0.5416666666666666,-6.893472565300304,0.0,BELOW,
MaxDD,SUB,28,36,19,,,,,,,,,,,,,,NA (m > native claims),
MaxDD,BAR,28,36,19,0.9979202845707947,0.17857142857142858,,,,0.6071428571428571,0.7142857142857143,0.823214285714284,0.07319773332054282,400.0,-0.5357142857142857,-7.318727799511497,0.0,BELOW,
DDnorm,SUB,4,36,9,1.96,0.3333333333333333,0.0,0.25,0.75,0.25,0.5,1.0,0.23102945564364732,400.0,-0.16666666666666669,-0.7214087320698301,0.155,INSIDE,0.1085
