panel,K_in,K_out,buffer,cost,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,TO,v2_CAGR,v2_Sharpe,v2_MaxDD,v2_H1,v2_H2,v2_OOS_Sharpe,v2_OOS_MaxDD,v2_OOS_CAGR,pass4a_v2,beats_v2_oos,pass4b,fail4b
u56,10,20,10,25.0,0.11484137480404133,1.1605609212946129,-0.11914024757124153,1.1883885446775257,1.138218800803732,1.156775017064555,0.11003571372851328,0.11880818996722353,1.1644429003078194,-0.11914024757124164,7.049735230710485,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,False,False,True,-
u56,10,20,10,50.0,0.09536177371002075,0.9794150873148384,-0.12085832740497482,0.9867784127600747,0.9750486144788787,0.954672362377064,0.08925868893381117,0.10040536220336471,0.9992250508511646,-0.1208583274049746,7.049735230710485,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,CAGR
u56,10,25,15,5.0,0.1290619425903301,1.326122621716349,-0.116267862906136,1.4129804930999554,1.252399995818386,1.3730032575959417,0.12837058996895578,0.12963069279724104,1.291740581025177,-0.116267862906136,6.141651689185674,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,True,-
u56,10,25,15,10.0,0.12560108784265034,1.293712955848155,-0.11661639929365497,1.3778024175977228,1.222351547759803,1.3375595563471037,0.12475379007055243,0.12629821759802073,1.2616032059111368,-0.11661639929365486,6.141651689185674,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,False,True,-
u56,10,25,15,25.0,0.11528007572360077,1.196301769715286,-0.11766147463481935,1.272063492398646,1.132042361486686,1.2310324788330251,0.11397067376230696,0.11635782416494389,1.1710203530082834,-0.11766147463481913,6.141651689185674,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,False,False,True,-
u56,10,25,15,50.0,0.09828179816812566,1.033510019316478,-0.11940148819671481,1.0953647753706006,0.9811135814172168,1.0530499816776189,0.09622107330449703,0.09997903604145741,1.0196158708692447,-0.11940148819671503,6.141651689185674,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,CAGR
u56,10,30,20,5.0,0.12862226213743733,1.353794805307622,-0.11820666169672722,1.4384632527547183,1.2816042996670067,1.3844308709546875,0.12644937306212412,0.13041195975818787,1.3316087193559427,-0.11820666169672722,5.6239079114806145,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,True,-
u56,10,30,20,10.0,0.12545394424110778,1.3233414561883716,-0.11856943151222599,1.4057111403199922,1.2531234196320806,1.351393954467288,0.12315687759178173,0.12734612051234762,1.3031028026990892,-0.11856943151222599,5.6239079114806145,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,True,True,-
u56,10,30,20,25.0,0.11600049189396544,1.2318025859187847,-0.11965716727168318,1.3072383550425029,1.1675304833695272,1.252074246351926,0.11333512662006617,0.11819674531408575,1.2174274474745053,-0.11965716727168318,5.6239079114806145,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,True,False,True,-
u56,10,30,20,50.0,0.10041506246179988,1.078791615623985,-0.12146814869304079,1.142582749057432,1.024496710665806,1.0860346997525727,0.09714980851259236,0.1031070458037271,1.0742333876059864,-0.12146814869304112,5.6239079114806145,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,CAGR
u56,10,40,30,5.0,0.11718168462841927,1.3330809420804028,-0.11797543751573492,1.4233913700483736,1.2565196239505627,1.3422482044121902,0.1132649253525646,0.12041238058225812,1.3273084190032232,-0.11797543751573503,5.052428553534012,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,True,-
u56,10,40,30,10.0,0.1143632460289119,1.3035326610711229,-0.11837385499197262,1.3920276811628727,1.2285036154557767,1.3104635428984417,0.11036167712236455,0.11766415270338593,1.2994452580594391,-0.11837385499197317,5.052428553534012,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,True,True,-
u56,10,40,30,25.0,0.10594897949627202,1.2147233335607104,-0.11956838794422919,1.297725001139623,1.144325825859618,1.2149082321100717,0.1016956323637288,0.10945839694919046,1.2157166657226115,-0.1195683879442293,5.052428553534012,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,True,False,False,CAGR
u56,10,40,30,50.0,0.09206107388235085,1.0663103036151726,-0.1215568791708751,1.140033655292508,1.0037221764817692,1.0551674500169768,0.08739683611239579,0.09591101227645527,1.0758306627501222,-0.12155687917087521,5.052428553534012,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,CAGR
u56,10,56,46,5.0,0.10112243200568671,1.365265567652187,-0.09982060214866284,1.3698565240003142,1.3605308070190563,1.315206491456542,0.09949922247920862,0.10245883638851816,1.4085784323274853,-0.09982060214866284,4.808424016753828,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,False,CAGR
u56,10,56,46,10.0,0.0984781690817933,1.3318601079040402,-0.10028115277789629,1.3365114313577393,1.3270720139006296,1.2818206786974737,0.09679356013424312,0.09986519944054817,1.375144322846395,-0.10028115277789629,4.808424016753828,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,True,False,CAGR
u56,10,56,46,25.0,0.09058195569163519,1.2314359646521795,-0.10166185222033397,1.2362483698317035,1.2265072912540762,1.1814503262024467,0.08871490606439414,0.09211944967169394,1.2746395434959923,-0.10166185222033364,4.808424016753828,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,True,True,False,CAGR
u56,10,56,46,50.0,0.07754270826567478,1.063602614220975,-0.10395984500355648,1.0686231935513022,1.0584980461955027,1.013692267839961,0.07537739038451408,0.07932630702780497,1.1066870164257465,-0.10395984500355626,4.808424016753828,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,CAGR
u56,15,15,0,5.0,0.12772639267653463,1.3222833365070328,-0.1085715518794731,1.347783206050719,1.3015748667750668,1.3070310005849264,0.12210852518150594,0.13236648916654237,1.3348058344196592,-0.10857155187947298,9.202580659379121,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,True,-
u56,15,15,0,10.0,0.12255249358160691,1.2736005100374674,-0.10906210435676267,1.2938649916073308,1.2575619252591177,1.2535136203002852,0.1166301177589979,0.12744541776827534,1.2898561401890356,-0.10906210435676267,9.202580659379121,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,True,True,-
u56,15,15,0,25.0,0.10716911597375223,1.12714306129706,-0.11053262551835208,1.1316404879539832,1.1251674670974618,1.0925063935374044,0.10035075795305382,0.11280683580788553,1.1546360417800634,-0.11053262551835163,9.202580659379121,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,False,False,True,-
u56,15,15,0,50.0,0.0819852338748448,0.8821488665244528,-0.11297970924707423,0.8603261620645686,0.9036690819030099,0.8232557636137203,0.07373085576571037,0.08881953078529037,0.9283989352208988,-0.11297970924707401,9.202580659379121,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,"H1,CAGR"
u56,15,20,5,5.0,0.12390274915355182,1.3199589122567144,-0.1114913557877184,1.3326157965480805,1.3106328342743836,1.2995457901717027,0.11825810631616362,0.12856513486234267,1.3364232514616756,-0.11149135578771852,7.7928311186937576,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,True,-
u56,15,20,5,10.0,0.11953433639649913,1.2775219197479832,-0.11193186194762905,1.2856785193480367,1.2722342829804314,1.2528037355064268,0.11361522006793368,0.12442461832651319,1.2973304519817603,-0.11193186194762872,7.7928311186937576,0.08618880526313721,1.201049296027575,-0.12054941914043871,1.227649981048117,1.1806425080695122,1.2767122316543114,-0.12054941914043871,0.09455896847608769,True,True,True,-
u56,15,20,5,25.0,0.10652793893499024,1.1498970791133925,-0.1132524751946431,1.1445180806599093,1.1567582034680968,1.112247478628599,0.09979878865112202,0.11209150495142839,1.1797560925323303,-0.11325247519464299,7.7928311186937576,0.08330351576993,1.1634688271693323,-0.12092630671374727,1.189790934573022,1.1432012948488115,1.2398733886368856,-0.12092630671374771,0.09163013641609163,False,False,True,-
u56,15,20,5,50.0,0.08517646319196381,0.9364694813205305,-0.11545048170557382,0.9085283256725191,0.963604958862987,0.8773179011156773,0.07714110728516488,0.09182804918683218,0.9830684912582629,-0.11545048170557393,7.7928311186937576,0.07851114701170414,1.1007438563030478,-0.1215542982343577,1.126595636968293,1.0807131422584972,1.1783814389985978,-0.1215542982343576,0.08676558828999292,False,False,False,"H1,CAGR"
u56,15,25,10,5.0,0.12176092328576882,1.3297417005791057,-0.1111904220613884,1.3783009017870085,1.2877619308205173,1.340140202598022,0.11933737697705005,0.12375750315260903,1.3220844685586886,-0.1111904220613884,6.596481020732922,0.08715221722313515,1.2135659757881787,-0.12042377450517217,1.2402588255913463,1.1931133121440216,1.2889815018993998,-0.12042377450517261,0.09553693392108098,True,True,True,-
