panel,family,n,pick_dial,anchor_dial,best_dial,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,anchor_OOS_Sharpe,anchor_OOS_CAGR,anchor_OOS_MaxDD,best_OOS_Sharpe,regret,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD,chooser_beats_anchor
B136,RANKX,10,20.0,0.0,40.0,1.2625763301559865,0.9216723140824494,0.15632440714598395,-0.22241914768206472,0.780593339534181,0.12766905137397422,-0.21444792932259604,0.981257527007289,0.05958521292483954,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,True
B136,RANKX,20,80.0,0.0,80.0,1.183790048160482,0.9363482451406394,0.1309753086202945,-0.20168853322078395,0.8836022780725372,0.12454335283909401,-0.20052048331108296,0.9363482451406394,0.0,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,True
B136,RANKE,10,8.0,0.0,4.0,1.0880717529253623,0.7107955737518151,0.15015352509331725,-0.3041835717314645,0.780593339534181,0.12766905137397422,-0.21444792932259604,0.8058661676871196,0.09507059393530448,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,False
B136,RANKE,20,12.0,0.0,4.0,1.18776411478727,0.8430535807998977,0.13705934653980645,-0.21826822445078042,0.8836022780725372,0.12454335283909401,-0.20052048331108296,0.9133667196697821,0.07031313886988444,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021,False
SMALL439,MAB-EWALL,ALL,0.12,0.0,0.12,0.6986158515565306,0.6637436596987281,0.09759627077368904,-0.37630452483231025,0.535474046054103,0.07382991597741184,-0.38239943767382467,0.6637436596987281,0.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.5680478293625534,0.03848481853840191,-0.1468466036229472,True
SMALL439,MAB-TOPN,10,0.0,0.0,0.01,0.34390844711271906,0.5507369020764514,0.09690985625461979,-0.31402324999329245,0.5507369020764514,0.09690985625461979,-0.31402324999329245,0.5549745279909547,0.0042376259145032735,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.5680478293625534,0.03848481853840191,-0.1468466036229472,False
SMALL439,MAB-TOPN,20,0.12,0.0,0.01,0.44418531692596225,0.4330240854135865,0.06397129119400624,-0.34878625227020166,0.46573138739537995,0.06952666704630439,-0.33479416717597366,0.47023781127413966,0.03721372586055316,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.5680478293625534,0.03848481853840191,-0.1468466036229472,False
SMALL439,RANKX,10,80.0,0.0,10.0,0.7270330277857291,0.5268493203006799,0.08917218098127266,-0.3285381754863853,0.5507369020764514,0.09690985625461979,-0.31402324999329245,0.6391617466323704,0.11231242633169047,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.5680478293625534,0.03848481853840191,-0.1468466036229472,False
SMALL439,RANKX,20,80.0,0.0,40.0,0.6803231097832945,0.5251296167647684,0.07888881212262411,-0.3134508742145111,0.46573138739537995,0.06952666704630439,-0.33479416717597366,0.5314566607855382,0.006327044020769779,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.5680478293625534,0.03848481853840191,-0.1468466036229472,True
SMALL439,RANKE,10,4.0,0.0,4.0,0.3655384102259983,0.5845208726559062,0.1136769093971135,-0.3353995736352804,0.5507369020764514,0.09690985625461979,-0.31402324999329245,0.5845208726559062,0.0,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.5680478293625534,0.03848481853840191,-0.1468466036229472,True
SMALL439,RANKE,20,6.0,0.0,8.0,0.5875037667653322,0.5191946326442638,0.08254449811699893,-0.3207941296998744,0.46573138739537995,0.06952666704630439,-0.33479416717597366,0.6173587771302992,0.09816414448603539,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.5680478293625534,0.03848481853840191,-0.1468466036229472,True
