panel,ladder,variant,observed,null_median,log_gap,delta_vs_record
B136,N,K5_IIDPERM,20.740302267849476,25.648606208919638,-0.21241045446268672,-0.1319525725638262
B136,H,K0_RECORD,20.740302267849476,22.521212637134536,-0.08237887209729476,0.0
B136,H,K1_NOWRAP,20.740302267849476,22.335656527099015,-0.0741055720700836,0.008273300027211161
B136,H,K2_CENTER,20.740302267849476,22.52453469190767,-0.08252636902990826,-0.00014749693261349728
B136,H,K3_PERM,20.740302267849476,22.586738631001168,-0.08528417096879044,-0.0029052988714956818
B136,H,K4_IID,20.740302267849476,25.312504462856168,-0.19921974433296788,-0.11684087223567312
B136,H,K5_IIDPERM,20.740302267849476,25.09245610566445,-0.19048847055913845,-0.10810959846184369
B136,GROSS,K0_RECORD,20.740302267849476,22.771261931153077,-0.09342052247550162,0.0
B136,GROSS,K1_NOWRAP,20.740302267849476,22.440694425112646,-0.07879724919217562,0.014623273283325994
B136,GROSS,K2_CENTER,20.740302267849476,22.631867750296383,-0.08728021365521205,0.0061403088202895695
B136,GROSS,K3_PERM,20.740302267849476,22.6219693210294,-0.08684275110770528,0.006577771367796331
B136,GROSS,K4_IID,20.740302267849476,25.745499867883904,-0.21618107258059827,-0.12276055010509665
B136,GROSS,K5_IIDPERM,20.740302267849476,25.44504364065292,-0.20444219829256705,-0.11102167581706543
B136,CADENCE,K0_RECORD,20.740302267849476,22.553838988258786,-0.08382651799655004,0.0
B136,CADENCE,K1_NOWRAP,20.740302267849476,22.190394182850092,-0.06758072392861716,0.016245794067932876
B136,CADENCE,K2_CENTER,20.740302267849476,22.3038094141589,-0.07267871277991082,0.011147805216639217
B136,CADENCE,K3_PERM,20.740302267849476,22.64732131367086,-0.08796280379403586,-0.004136285797485817
B136,CADENCE,K4_IID,20.740302267849476,25.78039068955384,-0.21753537530590167,-0.13370885730935161
B136,CADENCE,K5_IIDPERM,20.740302267849476,25.199681657109046,-0.19475258493904046,-0.11092606694249042
SMALL,N,K0_RECORD,35.81405418032815,38.0708256046547,-0.061107865409939406,0.0
SMALL,N,K1_NOWRAP,35.81405418032815,38.10314825049073,-0.061956518726554555,-0.0008486533166151486
SMALL,N,K2_CENTER,35.81405418032815,37.64862431179587,-0.049956023476215375,0.011151841933724031
SMALL,N,K3_PERM,35.81405418032815,39.947676894531284,-0.10923012895806113,-0.04812226354812172
SMALL,N,K4_IID,35.81405418032815,40.89453639522236,-0.13265607841786203,-0.07154821300792263
SMALL,N,K5_IIDPERM,35.81405418032815,40.16654394575647,-0.1146940177267594,-0.05358615231681999
SMALL,H,K0_RECORD,35.81405418032815,37.66696278176423,-0.050443000237293555,0.0
SMALL,H,K1_NOWRAP,35.81405418032815,37.18988369004009,-0.03769638924074642,0.012746610996547135
SMALL,H,K2_CENTER,35.81405418032815,37.52136743691054,-0.04657017778175402,0.0038728224555395346
SMALL,H,K3_PERM,35.81405418032815,39.67043316436711,-0.1022657624203377,-0.05182276218304415
SMALL,H,K4_IID,35.81405418032815,40.20433696419724,-0.11563448324856175,-0.0651914830112682
SMALL,H,K5_IIDPERM,35.81405418032815,39.61642096829777,-0.10090331198601783,-0.05046031174872428
SMALL,GROSS,K0_RECORD,35.81405418032815,38.47520744802404,-0.07167368023311266,0.0
SMALL,GROSS,K1_NOWRAP,35.81405418032815,38.06363252866291,-0.06091890823628755,0.010754771996825105
SMALL,GROSS,K2_CENTER,35.81405418032815,38.190775739950844,-0.06425362243832536,0.007420057794787299
SMALL,GROSS,K3_PERM,35.81405418032815,40.000822961275745,-0.11055963669538425,-0.038885956462271595
SMALL,GROSS,K4_IID,35.81405418032815,40.20707648923749,-0.11570262096492953,-0.044028940731816874
SMALL,GROSS,K5_IIDPERM,35.81405418032815,39.64752780336986,-0.10168820441570652,-0.030014524182593857
SMALL,CADENCE,K0_RECORD,35.81405418032815,37.6185565178734,-0.04915706182545362,0.0
SMALL,CADENCE,K1_NOWRAP,35.81405418032815,37.84601791786592,-0.05518537618441467,-0.006028314358961055
SMALL,CADENCE,K2_CENTER,35.81405418032815,37.31775713927986,-0.04112888484434141,0.00802817698111221
SMALL,CADENCE,K3_PERM,35.81405418032815,39.70964717098557,-0.10325376872223879,-0.054096706896785175
SMALL,CADENCE,K4_IID,35.81405418032815,40.20411815922668,-0.11562904091118012,-0.0664719790857265
SMALL,CADENCE,K5_IIDPERM,35.81405418032815,40.302138173395285,-0.11806413271818611,-0.06890707089273249
