rung,cadence,fallback,floor,n_emptied,mean_dSharpe,med_dSharpe,win_Sharpe,mean_dMaxDD,win_MaxDD,mean_dCAGR,ctrl_4b_in_emptied
10bps,W,FB_LIVE,0.9,9,0.0801,0.0011,1.0,0.0875,0.8889,-0.0498,2
10bps,M,FB_CASH,0.1,3,-0.5665,-0.5951,0.0,0.3075,1.0,-0.073,0
10bps,M,FB_CASH,0.25,3,-0.5665,-0.5951,0.0,0.3075,1.0,-0.073,0
10bps,M,FB_CASH,0.4,3,-0.5665,-0.5951,0.0,0.3075,1.0,-0.073,0
10bps,M,FB_CASH,0.5,3,-0.5665,-0.5951,0.0,0.3075,1.0,-0.073,0
10bps,M,FB_CASH,0.75,6,-0.7438,-0.7131,0.0,0.3078,1.0,-0.1335,0
10bps,M,FB_CASH,0.9,9,-0.8467,-0.8312,0.0,0.3157,1.0,-0.1685,0
10bps,M,FB_SPY,0.1,3,0.3104,0.2818,1.0,-0.0297,0.3333,0.0803,0
10bps,M,FB_SPY,0.25,3,0.3104,0.2818,1.0,-0.0297,0.3333,0.0803,0
10bps,M,FB_SPY,0.4,3,0.3104,0.2818,1.0,-0.0297,0.3333,0.0803,0
10bps,M,FB_SPY,0.5,3,0.3104,0.2818,1.0,-0.0297,0.3333,0.0803,0
10bps,M,FB_SPY,0.75,6,0.1303,0.161,0.8333,-0.0294,0.5,0.0192,0
10bps,M,FB_SPY,0.9,9,0.0283,0.0401,0.5556,-0.0214,0.4444,-0.0156,0
10bps,M,FB_LIVE,0.1,3,-0.0064,-0.0349,0.3333,0.1686,1.0,-0.0355,0
10bps,M,FB_LIVE,0.25,3,-0.0064,-0.0349,0.3333,0.1686,1.0,-0.0355,0
10bps,M,FB_LIVE,0.4,3,-0.0064,-0.0349,0.3333,0.1686,1.0,-0.0355,0
10bps,M,FB_LIVE,0.5,3,-0.0064,-0.0349,0.3333,0.1686,1.0,-0.0355,0
10bps,M,FB_LIVE,0.75,6,0.1745,0.1132,0.6667,0.1781,1.0,-0.0675,0
10bps,M,FB_LIVE,0.9,9,0.1342,0.101,0.6667,0.1884,1.0,-0.0982,0
10bps,Q,FB_CASH,0.1,3,-0.374,-0.4701,0.0,0.3375,1.0,-0.0279,0
10bps,Q,FB_CASH,0.25,3,-0.374,-0.4701,0.0,0.3375,1.0,-0.0279,0
10bps,Q,FB_CASH,0.4,3,-0.374,-0.4701,0.0,0.3375,1.0,-0.0279,0
10bps,Q,FB_CASH,0.5,3,-0.374,-0.4701,0.0,0.3375,1.0,-0.0279,0
10bps,Q,FB_CASH,0.75,6,-0.5409,-0.5077,0.0,0.334,1.0,-0.0725,0
10bps,Q,FB_CASH,0.9,9,-0.6578,-0.5454,0.0,0.3312,1.0,-0.1122,0
10bps,Q,FB_SPY,0.1,3,0.5029,0.4068,1.0,0.0004,0.3333,0.1254,0
10bps,Q,FB_SPY,0.25,3,0.5029,0.4068,1.0,0.0004,0.3333,0.1254,0
10bps,Q,FB_SPY,0.4,3,0.5029,0.4068,1.0,0.0004,0.3333,0.1254,0
10bps,Q,FB_SPY,0.5,3,0.5029,0.4068,1.0,0.0004,0.3333,0.1254,0
10bps,Q,FB_SPY,0.75,6,0.3332,0.3664,0.8333,-0.0031,0.5,0.0802,0
10bps,Q,FB_SPY,0.9,9,0.2172,0.3259,0.7778,-0.006,0.5556,0.0407,0
10bps,Q,FB_LIVE,0.1,3,0.1862,0.0901,1.0,0.1986,1.0,0.0096,0
10bps,Q,FB_LIVE,0.25,3,0.1862,0.0901,1.0,0.1986,1.0,0.0096,0
10bps,Q,FB_LIVE,0.4,3,0.1862,0.0901,1.0,0.1986,1.0,0.0096,0
10bps,Q,FB_LIVE,0.5,3,0.1862,0.0901,1.0,0.1986,1.0,0.0096,0
10bps,Q,FB_LIVE,0.75,6,0.3774,0.311,1.0,0.2043,1.0,-0.0065,0
10bps,Q,FB_LIVE,0.9,9,0.3231,0.2533,1.0,0.2039,1.0,-0.0419,0
0bps,D,FB_CASH,0.1,6,-0.8883,-0.8549,0.0,0.2322,1.0,-0.1145,2
0bps,D,FB_CASH,0.25,6,-0.8883,-0.8549,0.0,0.2322,1.0,-0.1145,2
0bps,D,FB_CASH,0.4,6,-0.8883,-0.8549,0.0,0.2322,1.0,-0.1145,2
0bps,D,FB_CASH,0.5,6,-0.8883,-0.8549,0.0,0.2322,1.0,-0.1145,2
0bps,D,FB_CASH,0.75,6,-0.8883,-0.8549,0.0,0.2322,1.0,-0.1145,2
0bps,D,FB_CASH,0.9,6,-0.8883,-0.8549,0.0,0.2322,1.0,-0.1145,2
0bps,D,FB_SPY,0.1,6,-0.0142,0.0192,0.5,-0.105,0.1667,0.0382,2
0bps,D,FB_SPY,0.25,6,-0.0142,0.0192,0.5,-0.105,0.1667,0.0382,2
0bps,D,FB_SPY,0.4,6,-0.0142,0.0192,0.5,-0.105,0.1667,0.0382,2
0bps,D,FB_SPY,0.5,6,-0.0142,0.0192,0.5,-0.105,0.1667,0.0382,2
0bps,D,FB_SPY,0.75,6,-0.0142,0.0192,0.5,-0.105,0.1667,0.0382,2
0bps,D,FB_SPY,0.9,6,-0.0142,0.0192,0.5,-0.105,0.1667,0.0382,2
0bps,D,FB_LIVE,0.1,6,0.03,-0.0458,0.3333,0.1024,0.8333,-0.0485,2
0bps,D,FB_LIVE,0.25,6,0.03,-0.0458,0.3333,0.1024,0.8333,-0.0485,2
0bps,D,FB_LIVE,0.4,6,0.03,-0.0458,0.3333,0.1024,0.8333,-0.0485,2
0bps,D,FB_LIVE,0.5,6,0.03,-0.0458,0.3333,0.1024,0.8333,-0.0485,2
0bps,D,FB_LIVE,0.75,6,0.03,-0.0458,0.3333,0.1024,0.8333,-0.0485,2
0bps,D,FB_LIVE,0.9,6,0.03,-0.0458,0.3333,0.1024,0.8333,-0.0485,2
0bps,W,FB_CASH,0.1,3,-0.5851,-0.5977,0.0,0.2449,1.0,-0.0761,0
0bps,W,FB_CASH,0.25,3,-0.5851,-0.5977,0.0,0.2449,1.0,-0.0761,0
0bps,W,FB_CASH,0.4,3,-0.5851,-0.5977,0.0,0.2449,1.0,-0.0761,0
0bps,W,FB_CASH,0.5,3,-0.5851,-0.5977,0.0,0.2449,1.0,-0.0761,0
0bps,W,FB_CASH,0.75,6,-0.8986,-0.8466,0.0,0.2237,1.0,-0.1311,2
0bps,W,FB_CASH,0.9,6,-0.8986,-0.8466,0.0,0.2237,1.0,-0.1311,2
0bps,W,FB_SPY,0.1,3,0.2918,0.2792,1.0,-0.0923,0.3333,0.0772,0
0bps,W,FB_SPY,0.25,3,0.2918,0.2792,1.0,-0.0923,0.3333,0.0772,0
0bps,W,FB_SPY,0.4,3,0.2918,0.2792,1.0,-0.0923,0.3333,0.0772,0
0bps,W,FB_SPY,0.5,3,0.2918,0.2792,1.0,-0.0923,0.3333,0.0772,0
0bps,W,FB_SPY,0.75,6,-0.0245,0.0275,0.5,-0.1135,0.1667,0.0216,2
0bps,W,FB_SPY,0.9,6,-0.0245,0.0275,0.5,-0.1135,0.1667,0.0216,2
0bps,W,FB_LIVE,0.1,3,-0.025,-0.0376,0.3333,0.106,1.0,-0.0386,0
0bps,W,FB_LIVE,0.25,3,-0.025,-0.0376,0.3333,0.106,1.0,-0.0386,0
0bps,W,FB_LIVE,0.4,3,-0.025,-0.0376,0.3333,0.106,1.0,-0.0386,0
0bps,W,FB_LIVE,0.5,3,-0.025,-0.0376,0.3333,0.106,1.0,-0.0386,0
0bps,W,FB_LIVE,0.75,6,0.0197,-0.0117,0.5,0.094,1.0,-0.0651,2
0bps,W,FB_LIVE,0.9,6,0.0197,-0.0117,0.5,0.094,1.0,-0.0651,2
0bps,M,FB_CASH,0.1,3,-0.6002,-0.6178,0.0,0.3054,1.0,-0.0805,0
0bps,M,FB_CASH,0.25,3,-0.6002,-0.6178,0.0,0.3054,1.0,-0.0805,0
0bps,M,FB_CASH,0.4,3,-0.6002,-0.6178,0.0,0.3054,1.0,-0.0805,0
0bps,M,FB_CASH,0.5,3,-0.6002,-0.6178,0.0,0.3054,1.0,-0.0805,0
0bps,M,FB_CASH,0.75,3,-0.6002,-0.6178,0.0,0.3054,1.0,-0.0805,0
0bps,M,FB_CASH,0.9,6,-0.7806,-0.7444,0.0,0.3064,1.0,-0.1428,0
0bps,M,FB_SPY,0.1,3,0.2767,0.2591,1.0,-0.0318,0.3333,0.0728,0
0bps,M,FB_SPY,0.25,3,0.2767,0.2591,1.0,-0.0318,0.3333,0.0728,0
0bps,M,FB_SPY,0.4,3,0.2767,0.2591,1.0,-0.0318,0.3333,0.0728,0
0bps,M,FB_SPY,0.5,3,0.2767,0.2591,1.0,-0.0318,0.3333,0.0728,0
0bps,M,FB_SPY,0.75,3,0.2767,0.2591,1.0,-0.0318,0.3333,0.0728,0
0bps,M,FB_SPY,0.9,6,0.0935,0.1297,0.8333,-0.0308,0.5,0.0099,0
0bps,M,FB_LIVE,0.1,3,-0.0401,-0.0576,0.0,0.1664,1.0,-0.043,0
0bps,M,FB_LIVE,0.25,3,-0.0401,-0.0576,0.0,0.1664,1.0,-0.043,0
0bps,M,FB_LIVE,0.4,3,-0.0401,-0.0576,0.0,0.1664,1.0,-0.043,0
0bps,M,FB_LIVE,0.5,3,-0.0401,-0.0576,0.0,0.1664,1.0,-0.043,0
0bps,M,FB_LIVE,0.75,3,-0.0401,-0.0576,0.0,0.1664,1.0,-0.043,0
0bps,M,FB_LIVE,0.9,6,0.1377,0.0652,0.5,0.1767,1.0,-0.0768,0
0bps,Q,FB_CASH,0.1,3,-0.3907,-0.4824,0.0,0.3353,1.0,-0.0308,0
0bps,Q,FB_CASH,0.25,3,-0.3907,-0.4824,0.0,0.3353,1.0,-0.0308,0
0bps,Q,FB_CASH,0.4,3,-0.3907,-0.4824,0.0,0.3353,1.0,-0.0308,0
0bps,Q,FB_CASH,0.5,3,-0.3907,-0.4824,0.0,0.3353,1.0,-0.0308,0
0bps,Q,FB_CASH,0.75,6,-0.5595,-0.5246,0.0,0.3312,1.0,-0.0765,0
0bps,Q,FB_CASH,0.9,9,-0.6771,-0.5669,0.0,0.3293,1.0,-0.1169,0
0bps,Q,FB_SPY,0.1,3,0.4862,0.3945,1.0,-0.0019,0.3333,0.1225,0
0bps,Q,FB_SPY,0.25,3,0.4862,0.3945,1.0,-0.0019,0.3333,0.1225,0
0bps,Q,FB_SPY,0.4,3,0.4862,0.3945,1.0,-0.0019,0.3333,0.1225,0
0bps,Q,FB_SPY,0.5,3,0.4862,0.3945,1.0,-0.0019,0.3333,0.1225,0
0bps,Q,FB_SPY,0.75,6,0.3146,0.3495,0.8333,-0.006,0.5,0.0762,0
0bps,Q,FB_SPY,0.9,9,0.1979,0.3044,0.7778,-0.0079,0.5556,0.036,0
0bps,Q,FB_LIVE,0.1,3,0.1695,0.0778,1.0,0.1964,1.0,0.0067,0
0bps,Q,FB_LIVE,0.25,3,0.1695,0.0778,1.0,0.1964,1.0,0.0067,0
0bps,Q,FB_LIVE,0.4,3,0.1695,0.0778,1.0,0.1964,1.0,0.0067,0
0bps,Q,FB_LIVE,0.5,3,0.1695,0.0778,1.0,0.1964,1.0,0.0067,0
0bps,Q,FB_LIVE,0.75,6,0.3589,0.2892,1.0,0.2015,1.0,-0.0105,0
0bps,Q,FB_LIVE,0.9,9,0.3038,0.2312,1.0,0.202,1.0,-0.0466,0
