leg,panel,form,cadence,cash_bps,IS_lo,IS_hi,IS_width,IS_pts,gstar,OOS_lo,OOS_hi,OOS_width,OOS_pts,gstar_in_OOS,IS_band_empty,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,keep4a_vs_v2,fail4b_full,fail4b_oos,v2_OOS_CAGR,v2_OOS_Sharpe,v2_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD
WF-A,B136,MA20,W,150.0,0.5,0.75,0.25,6.0,0.6000000000000001,0.55,0.6,0.04999999999999993,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,MA20,W,300.0,0.45,0.75,0.3,7.0,0.6000000000000001,0.5,0.6,0.09999999999999998,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,M,0.0,0.4,0.6,0.19999999999999996,5.0,0.5,0.45,0.5,0.04999999999999999,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,M,150.0,0.35,0.6,0.25,6.0,0.45,0.4,0.5,0.09999999999999998,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,M,300.0,0.35,0.65,0.30000000000000004,7.0,0.5,0.35,0.5,0.15000000000000002,4.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,W,0.0,0.45,0.6,0.14999999999999997,4.0,0.5,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,W,150.0,0.4,0.65,0.25,6.0,0.5,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP10,W,300.0,0.35,0.65,0.30000000000000004,7.0,0.5,0.45,0.5,0.04999999999999999,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,M,0.0,0.45,0.8,0.35000000000000003,8.0,0.6000000000000001,0.5,0.55,0.050000000000000044,2.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,M,150.0,0.4,0.8,0.4,9.0,0.6000000000000001,0.45,0.55,0.10000000000000003,3.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,M,300.0,0.35,0.8,0.45000000000000007,10.0,0.55,0.45,0.55,0.10000000000000003,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,W,0.0,0.55,0.75,0.19999999999999996,5.0,0.65,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,W,150.0,0.5,0.75,0.25,6.0,0.6000000000000001,0.55,0.6,0.04999999999999993,2.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,B136,TOP20,W,300.0,0.45,0.75,0.3,7.0,0.6000000000000001,0.5,0.6,0.09999999999999998,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,EWall,M,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,EWall,M,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,EWall,M,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,EWall,W,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,EWall,W,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,EWall,W,300.0,0.45,0.45,0.0,1.0,0.45,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-DG,M,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-DG,M,150.0,1.0,1.0,0.0,1.0,1.0,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-DG,M,300.0,0.9,1.0,0.09999999999999998,3.0,0.9500000000000001,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-DG,W,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-DG,W,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-DG,W,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-RS,M,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-RS,M,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-RS,M,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-RS,W,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-RS,W,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA-RS,W,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA20,M,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA20,M,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA20,M,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA20,W,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA20,W,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,MA20,W,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP10,M,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP10,M,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP10,M,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP10,W,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP10,W,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP10,W,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP20,M,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP20,M,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP20,M,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP20,W,0.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP20,W,150.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,SMALL663,TOP20,W,300.0,,,0.0,0.0,,,,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,EWall,M,0.0,0.65,0.75,0.09999999999999998,3.0,0.7000000000000001,0.6,0.65,0.050000000000000044,2.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,EWall,M,150.0,0.6,0.75,0.15000000000000002,4.0,0.7000000000000001,0.55,0.65,0.09999999999999998,3.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,EWall,M,300.0,0.55,0.75,0.19999999999999996,5.0,0.65,0.5,0.65,0.15000000000000002,4.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,EWall,W,0.0,0.65,0.75,0.09999999999999998,3.0,0.7000000000000001,0.6,0.65,0.050000000000000044,2.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,EWall,W,150.0,0.6,0.75,0.15000000000000002,4.0,0.7000000000000001,0.55,0.65,0.09999999999999998,3.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,EWall,W,300.0,0.55,0.75,0.19999999999999996,5.0,0.65,0.55,0.65,0.09999999999999998,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-DG,M,0.0,0.95,1.0,0.050000000000000044,2.0,1.0,0.9,1.0,0.09999999999999998,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-DG,M,150.0,0.9,1.0,0.09999999999999998,3.0,0.9500000000000001,0.8,1.0,0.19999999999999996,5.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-DG,M,300.0,0.85,1.0,0.15000000000000002,4.0,0.9,0.75,1.0,0.25,6.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-DG,W,0.0,,,0.0,0.0,,0.9,1.0,0.09999999999999998,3.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-DG,W,150.0,,,0.0,0.0,,0.85,1.0,0.15000000000000002,4.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-DG,W,300.0,,,0.0,0.0,,0.8,1.0,0.19999999999999996,5.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-RS,M,0.0,0.7,0.85,0.15000000000000002,4.0,0.75,0.6,0.8,0.20000000000000007,5.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-RS,M,150.0,0.7,0.85,0.15000000000000002,4.0,0.75,0.6,0.8,0.20000000000000007,5.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-RS,M,300.0,0.65,0.85,0.19999999999999996,5.0,0.75,0.55,0.8,0.25,6.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-RS,W,0.0,0.75,0.9,0.15000000000000002,4.0,0.8,0.7,0.8,0.10000000000000009,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-RS,W,150.0,0.75,0.9,0.15000000000000002,4.0,0.8,0.65,0.8,0.15000000000000002,4.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA-RS,W,300.0,0.7,0.9,0.20000000000000007,5.0,0.8,0.6,0.8,0.20000000000000007,5.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA20,M,0.0,0.6,0.8,0.20000000000000007,5.0,0.7000000000000001,0.5,0.7,0.19999999999999996,5.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA20,M,150.0,0.55,0.8,0.25,6.0,0.7000000000000001,0.45,0.7,0.24999999999999994,6.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA20,M,300.0,0.5,0.8,0.30000000000000004,7.0,0.65,0.4,0.7,0.29999999999999993,7.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA20,W,0.0,,,0.0,0.0,,0.55,0.7,0.1499999999999999,4.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA20,W,150.0,0.6,0.6,0.0,1.0,0.6000000000000001,0.5,0.7,0.19999999999999996,5.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,MA20,W,300.0,0.55,0.75,0.19999999999999996,5.0,0.65,0.45,0.7,0.24999999999999994,6.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP10,M,0.0,0.45,0.6,0.14999999999999997,4.0,0.5,0.45,0.55,0.10000000000000003,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP10,M,150.0,0.4,0.65,0.25,6.0,0.5,0.45,0.55,0.10000000000000003,3.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP10,M,300.0,0.35,0.65,0.30000000000000004,7.0,0.5,0.4,0.55,0.15000000000000002,4.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP10,W,0.0,,,0.0,0.0,,0.5,0.6,0.09999999999999998,3.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP10,W,150.0,,,0.0,0.0,,0.45,0.6,0.14999999999999997,4.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP10,W,300.0,0.45,0.45,0.0,1.0,0.45,0.4,0.6,0.19999999999999996,5.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP20,M,0.0,0.55,0.8,0.25,6.0,0.7000000000000001,0.45,0.7,0.24999999999999994,6.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP20,M,150.0,0.5,0.8,0.30000000000000004,7.0,0.65,0.45,0.7,0.24999999999999994,6.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP20,M,300.0,0.45,0.8,0.35000000000000003,8.0,0.6000000000000001,0.4,0.7,0.29999999999999993,7.0,True,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP20,W,0.0,0.6,0.85,0.25,6.0,0.7000000000000001,0.55,0.65,0.09999999999999998,3.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP20,W,150.0,0.55,0.85,0.29999999999999993,7.0,0.7000000000000001,0.5,0.65,0.15000000000000002,4.0,False,,,,,,,,,,,,,,,,,,,,,
WF-A,U56,TOP20,W,300.0,0.5,0.85,0.35,8.0,0.7000000000000001,0.45,0.65,0.2,5.0,False,,,,,,,,,,,,,,,,,,,,,
WF-B,B136,TOP10,W,0.0,,,,,0.5,,,,,,False,0.1162601798880254,0.9702414640137454,-0.17947914397046483,1.2684017889508885,0.7644902920348254,1.198929088044842,0.12654121907275417,-0.10276018740408777,0.10784648845521416,0.8349042226627919,-0.17947914397046483,False,"H2,OOS","H1,OOS,CAGR",0.07983563828811135,1.1185194523434903,-0.12240985403190019,0.1545044425578177,0.8820244198368288,-0.3371595330739301
WF-B,B136,TOP10,W,150.0,,,,,0.5,,,,,,False,0.12458498966171372,1.0317550929088726,-0.1789223501528403,1.3409834142395065,0.8188223502284502,1.2705223952124836,0.13494126796945816,-0.09881488581393938,0.1161097150281114,0.8906797238974167,-0.17892235015284041,False,H2,H1,0.08743930502596164,1.217549077614508,-0.1220045645033292,0.1545044425578177,0.8820244198368288,-0.3371595330739301
WF-B,B136,MA-DG,W,300.0,,,,,1.0,,,,,,False,0.1133625983134321,1.1844191323006241,-0.1657102885857581,1.2843412971680834,1.085784526811071,1.1439203339489394,0.11157396182333712,-0.10314088733056692,0.11484083210034646,1.2194416719637617,-0.1657102885857582,False,-,-,0.09498481953728621,1.3151511112602348,-0.1216049830637218,0.1545044425578177,0.8820244198368288,-0.3371595330739301
