score,family,arm,n,mean_d,median_d,t,wins,losses,ties,sign_p,n_changed,verdict
OOS_Sharpe,ETF,CONST-6W,33,0.15999981918895356,0.1601937721872233,13.972569957980514,32,1,0,7.916241884231567e-09,33,(constant) FITTING WINS
OOS_Sharpe,ETF,SEL-SHARPE,33,-0.056104580980887775,-0.08036521766093463,-2.3020880534374837,13,20,0,0.296206368599087,33,fitting behind (n.s.)
OOS_Sharpe,ETF,SEL-4B,33,-0.07840371400557127,-0.1228878814746086,-3.180507431142905,10,23,0,0.03508203336969018,33,FITTING LOSES
OOS_Sharpe,ETF,RANDOM,33,-0.07101873694143776,-0.060553961136669554,-3.2835027507027186,8,21,4,0.0241195447742939,29,(control) FITTING LOSES
OOS_Sharpe,ETF,ORACLE,33,0.16312651010189616,0.1601937721872233,15.036730521163468,33,0,0,2.3283064365386963e-10,33,(upper bound)
OOS_margin,ALL,CONST-6W,115,0.06007233890778149,0.08323697038186573,3.217908845976855,77,38,0,0.0003509981791372753,115,(constant) FITTING WINS
OOS_margin,ALL,SEL-SHARPE,115,0.028249834365714665,0.01355865357231939,1.1251867559353468,63,52,0,0.3511253697554317,115,fitting ahead (n.s.)
OOS_margin,ALL,SEL-4B,115,0.05176819604435255,0.01730933075213914,2.1413886907346944,67,48,0,0.09281592098218937,115,fitting ahead (n.s.)
OOS_margin,ALL,RANDOM,115,0.0163685503582653,0.0,0.862384008422008,55,48,12,0.5546010666648742,103,(control) fitting ahead (n.s.)
OOS_margin,ALL,ORACLE,115,0.19004229739749465,0.15190968147361422,8.536756468543636,97,18,0,2.792528455178106e-14,115,(upper bound)
OOS_margin,SMALL,CONST-6W,49,0.04901519398215003,0.02917163524437183,1.2842706445023082,28,21,0,0.3916029105474905,49,(constant) fitting ahead (n.s.)
OOS_margin,SMALL,SEL-SHARPE,49,0.13656847123805588,0.1073429535039947,2.704652019415675,32,17,0,0.04438416098714981,49,FITTING WINS
OOS_margin,SMALL,SEL-4B,49,0.15612713232677095,0.1336668237346743,3.0861391699196865,32,17,0,0.04438416098714981,49,FITTING WINS
OOS_margin,SMALL,RANDOM,49,0.08350532199110441,0.057592495014616496,2.178914197752552,28,14,7,0.04355852192384191,42,(control) FITTING WINS
OOS_margin,SMALL,ORACLE,49,0.3421956174793939,0.3109926880071465,8.850707911416363,45,4,0,8.225455871979648e-10,49,(upper bound)
OOS_margin,U56,CONST-6W,33,0.023090196696689207,-0.060131233800858455,0.7845825940547884,16,17,0,1.0,33,(constant) fitting ahead (n.s.)
OOS_margin,U56,SEL-SHARPE,33,-0.08678718841023345,-0.045595209250175,-3.0395300320076806,9,24,0,0.013530986849218607,33,FITTING LOSES
OOS_margin,U56,SEL-4B,33,-0.04296249118961014,-0.00828218516927448,-2.122183435989682,14,19,0,0.48685024166479707,33,fitting behind (n.s.)
OOS_margin,U56,RANDOM,33,-0.0633495097489594,-0.019797288925152062,-2.4145484948166143,12,20,1,0.21532714972272515,32,(control) fitting behind (n.s.)
OOS_margin,U56,ORACLE,33,0.03931190630619249,0.0395358580862411,1.3999456410399538,19,14,0,0.48685024166479707,33,(upper bound)
OOS_margin,ETF,CONST-6W,33,0.11347266600844783,0.10285283168703818,12.8002545122642,33,0,0,2.3283064365386963e-10,33,(constant) FITTING WINS
OOS_margin,ETF,SEL-SHARPE,33,-0.017549906699086265,0.014899076815311552,-0.9997624438985993,22,11,0,0.08014331245794892,33,fitting behind (n.s.)
OOS_margin,ETF,SEL-4B,33,-0.008458325141033316,0.014380615098116722,-0.5389370692563771,21,12,0,0.16275565745308995,33,fitting behind (n.s.)
OOS_margin,ETF,RANDOM,33,-0.0036013231711498547,0.0,-0.3740283933899602,15,14,4,1.0,29,(control) fitting behind (n.s.)
OOS_margin,ETF,ORACLE,33,0.11484806170052209,0.10617718239379315,13.380275696722,33,0,0,2.3283064365386963e-10,33,(upper bound)
