book,panel,family,mode,theta,gross,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.5,0.05076238371979502,0.9799798413461923,-0.06914184480919205,0.06622662896828002,1.0632097420487643,-0.13436801144924881
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.55,0.05583494921376908,0.9801219969691954,-0.07593502302149657,0.07287411014345024,1.0630971716062119,-0.1470917886626456
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.6,0.06090549226070152,0.9802593346402929,-0.08270567370617599,0.07952382522751078,1.0629765409342518,-0.159688830845519
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.65,0.0659736328126761,0.9803914858211417,-0.08945357538602472,0.08617519421594722,1.0628481242938084,-0.17215970208691922
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.7,0.07103902925374528,0.9805185390571088,-0.0961787624049254,0.09282762665017419,1.0627120141515214,-0.18450510788537877
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.75,0.07610129855052472,0.9806401362654168,-0.10288133831954949,0.09948044150880442,1.0625674462169687,-0.1967258688188609
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.8,0.08115997929186958,0.9807554783006509,-0.10956107343894883,0.10613305491194813,1.062414754172535,-0.20882282101448812
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.85,0.08621475481149021,0.9808652310425228,-0.1162178676089255,0.11278476446386487,1.062253396977271,-0.22079652277324313
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.9,0.09126523513926754,0.9809693082602609,-0.12285159793032818,0.11943486505522238,1.0620830253141094,-0.23264759176153915
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,0.95,0.0963109176539525,0.9810666018715708,-0.12946228832051587,0.1260826559177184,1.0619034343352944,-0.24437699736715524
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.0,0.10135147641488529,0.9811577834410508,-0.1360500433645524,0.13272736723987144,1.0617140753219025,-0.25598557457371374
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.05,0.10638639819811435,0.9812419485395572,-0.14261458516352665,0.13936842276754025,1.061515749890673,-0.26747394212079567
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.1,0.11141515272706326,0.9813181358295264,-0.14915588565062687,0.1460050139212159,1.0613078962727391,-0.2788432855724975
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.15,0.11643730833271704,0.9813864519253794,-0.15567386313999665,0.1526363353839928,1.0610899941369527,-0.29009416690831147
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.2,0.12145239264718088,0.981446713758278,-0.16216835029760102,0.15926138491898634,1.0608604377912116,-0.3012282813370175
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.25,0.12645986319485325,0.9814982929127177,-0.1686392850953341,0.1658794870786644,1.0606196963879455,-0.3122461062611638
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.3,0.13145932301798413,0.9815416936854364,-0.17508697729407052,0.17248984360271313,1.0603680013668688,-0.3231484627027227
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.35,0.13645023976242832,0.9815764693654881,-0.18151109104717933,0.17909175445364411,1.060105834330371,-0.3339353069706521
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.4,0.14143219891882342,0.9816030764038614,-0.18793817191858786,0.1856845191756875,1.0598337316705786,-0.3446072663996468
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.45,0.14640461701260432,0.9816207091860284,-0.19442424620751197,0.1922674683790755,1.0595523052350466,-0.3551654675319931
U56|MOM|HYB|0.20,U56,MOM,HYB,0.2,1.5,0.15136703420876363,0.98162952922159,-0.20089292492443334,0.1988398506892335,1.0592615254910769,-0.36561091251642674
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.05,0.0048724588073343345,0.9428604583289583,-0.007011388827575238,0.006742677546282438,1.0954292729261212,-0.014030954566836895
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.1,0.009744271519884329,0.9430370916512137,-0.01400156262077834,0.01349570530854538,1.0953854223146209,-0.027927967972876777
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.15,0.014615138372115144,0.9432099563800893,-0.020970352222012045,0.02025857965939304,1.095332880970386,-0.04169176231353966
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.2,0.019484757380794138,0.9433790684762148,-0.027917612949473924,0.027030784857204004,1.0952715317448545,-0.05532303329702537
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.25,0.024352816420702084,0.9435441562826297,-0.034843211090424764,0.033811790685420284,1.0952010107281365,-0.06882253716142384
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.3,0.029219005549615984,0.9437052797161716,-0.041747003682618855,0.04060107618235187,1.0951218461158876,-0.08219092759483315
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.35,0.034083012632004195,0.9438624202695807,-0.048628862091271374,0.04739812539400834,1.0950345124547158,-0.09542895208623026
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.4,0.03894451037386415,0.9440153539130133,-0.0554886809619376,0.05420239317680453,1.0949387818100327,-0.10853732449132047
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.45,0.04380318364835856,0.944164222486215,-0.06232635633026218,0.061013349168361763,1.0948350625813144,-0.12151669488818373
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.5,0.048658674566571136,0.9443083923498656,-0.06914184480919072,0.06783039336605867,1.0947223903325116,-0.1343680114492487
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.55,0.053510644069567626,0.9444478578484894,-0.07593502302149668,0.07465297415081773,1.0946012587112421,-0.1470917886626455
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.6,0.05835874823815401,0.9445825657282769,-0.08270567370617543,0.0814805251374624,1.0944717308252236,-0.159688830845519
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.65,0.0632026121144853,0.9447121439199863,-0.0894535753860255,0.08831248195627417,1.09433410464523,-0.17215970208691822
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.7,0.06804189926375459,0.944836687860977,-0.09617876240492618,0.09514826797979947,1.0941884669005315,-0.18450510788537844
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.75,0.07287623393558396,0.9449558627896787,-0.10288133831954871,0.10198721462997429,1.094034030797468,-0.196725868818861
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.8,0.07770515631600494,0.9450687990071637,-0.1095610734389485,0.10882875380325086,1.0938711486875712,-0.2088228210144888
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.85,0.0825283593491628,0.9451762146925221,-0.1162178676089245,0.11567219379300586,1.0936992531991627,-0.22079652277324313
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.9,0.0873454597132699,0.9452780214669663,-0.12285159793032918,0.12251684370520155,1.0935180053930864,-0.23264759176153926
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,0.95,0.09215597105093298,0.9453731958506625,-0.1294622883205171,0.12936200845566637,1.0933271483592455,-0.244376997367155
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.0,0.096959573842895,0.9454623927804122,-0.13605004336455262,0.1362069273009423,1.0931261171167694,-0.2559855745737134
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.05,0.10175575352075206,0.9455446081173828,-0.1426145851635262,0.14305103594084834,1.0929157215029002,-0.26747394212079556
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.1,0.10654398619793581,0.9456188659587104,-0.14915588565062676,0.14989354029854374,1.0926954310742796,-0.2788432855724974
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.15,0.11132385062319194,0.945685291911586,-0.1556738631399971,0.15673364176710303,1.0924646950398837,-0.29009416690831114
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.2,0.11609489741919266,0.9457438083201478,-0.16216835029760068,0.16357034513695146,1.0922218787641578,-0.3012282813370175
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.25,0.12085659005716742,0.945793746952653,-0.16863928509533443,0.17040298534139375,1.0919674519172848,-0.31224610626116367
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.3,0.125608543708418,0.9458356235103866,-0.1750869772940703,0.17723077154425648,1.0917016521131608,-0.32314846270272257
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.35,0.13035023502923715,0.9458689734491762,-0.18151109104717866,0.18405301226364124,1.0914249616732745,-0.3339353069706522
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.4,0.135081249954345,0.9458941816042433,-0.1879381719185882,0.1908690136470621,1.0911379151039207,-0.3446072663996469
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.45,0.13980101535236877,0.9459104415416177,-0.19442424620751242,0.19767811262363622,1.0908411208573026,-0.3551654675319932
U56|MOM|HYB|0.40,U56,MOM,HYB,0.4,1.5,0.14450909437095705,0.9459179885398885,-0.20089292492443334,0.20447956413039003,1.0905345337265873,-0.36561091251642697
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.05,0.004238602421251736,0.8430749238291104,-0.007011388827575016,0.006505875747657264,1.0730762262582727,-0.014030954566837117
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.1,0.008471915880489345,0.8432343182573633,-0.014001562620778008,0.013020202178398499,1.0730435811439327,-0.027927967972877
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.15,0.01269966631988595,0.843390181271944,-0.020970352222012156,0.019542496940101683,1.073002335597154,-0.041691762313538994
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.2,0.016921575333556982,0.8435423873877076,-0.02791761294947437,0.026072264402328793,1.0729522952309236,-0.05532303329702537
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.25,0.02113735786340709,0.8436907382452014,-0.03484321109042443,0.032608997855292365,1.0728931666531352,-0.06882253716142372
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.3,0.02534672754109657,0.8438351825579755,-0.041747003682617856,0.03915220119920004,1.0728255268484819,-0.08219092759483326
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.35,0.029549399135064602,0.8439757265823198,-0.04862886209127115,0.045701378394565895,1.0727497492724827,-0.09542895208623037
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.4,0.03374507247540337,0.8441121373319058,-0.0554886809619376,0.05225600705567368,1.0726655936491791,-0.10853732449132003
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.45,0.03793345962804184,0.8442445442843715,-0.06232635633026273,0.058815583004045546,1.0725735277942905,-0.12151669488818406
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.5,0.04211423547217463,0.844372376805542,-0.06914184480919139,0.06537953112643025,1.07247256319836,-0.13436801144924848
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.55,0.04628709116944796,0.8444956179336216,-0.07593502302149646,0.07194733667890563,1.0723633501513163,-0.14709178866264572
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.6,0.050451709693893676,0.8446141415016312,-0.08270567370617554,0.07851845466042606,1.0722458595191549,-0.159688830845519
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.65,0.05460774819275094,0.8447275675793575,-0.08945357538602428,0.08509234348345829,1.0721203283050709,-0.17215970208691844
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.7,0.058754906775623894,0.844836068581547,-0.09617876240492551,0.09166845315244232,1.0719868363297769,-0.18450510788537866
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.75,0.06289284231378178,0.8449392843598339,-0.1028813383195496,0.09824613496376111,1.0718445044108242,-0.19672586881886067
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.8,0.06702112265930027,0.8450362104295932,-0.10956107343894805,0.10482485324459634,1.0716937446694186,-0.20882282101448824
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.85,0.0711394857091261,0.8451277197937815,-0.11621786760892505,0.11140397055587115,1.071534202348645,-0.22079652277324313
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.9,0.07524759108591095,0.8452137775252131,-0.12285159793032885,0.11798281475416061,1.0713654072455274,-0.23264759176153893
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,0.95,0.07934499253641936,0.8452933293216315,-0.12946228832051654,0.12456072723602474,1.071187125715136,-0.2443769973671549
U56|MOM|HYB|0.60,U56,MOM,HYB,0.6,1.0,0.08343141142180754,0.8453670678354244,-0.1360500433645525,0.1311369933398121,1.070998875440294,-0.2559855745737134
