panel,bps,arm,conv,b,g,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,regret
B136,0,RULES v2 (live),,,,1.1169385288295242,1.1481353293632495,0.08210528304142972,-0.12211398589281575,
B136,0,SPY,,,,0.8986643995365173,0.8820239235972316,0.1545044425578177,-0.3371595330739301,
B136,10,IS-pick,RESPREAD,0.12,1.0,1.197078767943019,1.160651767993287,0.18393116606601612,-0.28229629173841975,0.06573785581195657
B136,10,IS-pick 4b-aware,RESPREAD,0.12,0.75,1.1951225003287052,1.1620514328168383,0.13745091594646608,-0.21738477524607436,0.06433819098840532
B136,10,OOS-best,RESPREAD,0.7,1.0,1.0697403637347136,1.2263896238052436,0.322195257289684,-0.3343560600492578,0.0
B136,10,parent b=0,RESPREAD,0.0,0.75,1.0469183215657092,1.064516105449877,0.11955179067759203,-0.2012239672094971,0.16187351835536656
B136,10,headline b=0.12,RESPREAD,0.12,0.75,1.1951225003287052,1.1620514328168383,0.13745091594646608,-0.21738477524607436,0.06433819098840532
B136,10,RULES v2 cell,DEGROSS,0.03,0.75,1.0911618922065958,1.1185082795688426,0.07983337481604336,-0.12240793860208021,0.10788134423640106
B136,10,RULES v2 (live),,,,1.0911618922065958,1.1185082795688426,0.07983337481604336,-0.12240793860208021,
B136,10,SPY,,,,0.8986643995365173,0.8820239235972316,0.1545044425578177,-0.3371595330739301,
B136,25,IS-pick,RESPREAD,0.12,1.0,1.1714798821214232,1.1321967575207588,0.1788198601104969,-0.28429228913135773,0.08323211311027401
B136,25,IS-pick 4b-aware,RESPREAD,0.12,0.75,1.1689843703822589,1.1330592249195854,0.13370920935289754,-0.21900682001192284,0.08236964571144734
B136,25,OOS-best,RESPREAD,0.7,1.0,1.0560543036713887,1.2154288706310328,0.31850500701344897,-0.33594019793053154,0.0
B136,25,parent b=0,RESPREAD,0.0,0.75,0.938847265241038,0.9570430450148669,0.10624129842882057,-0.20423449713176212,0.25838582561616585
B136,25,headline b=0.12,RESPREAD,0.12,0.75,1.1689843703822589,1.1330592249195854,0.13370920935289754,-0.21900682001192284,0.08236964571144734
B136,25,RULES v2 cell,DEGROSS,0.03,0.75,1.0524638689243497,1.0740236940215924,0.07643420182382155,-0.12284879701089035,0.1414051766094404
B136,25,RULES v2 (live),,,,1.0524638689243497,1.0740236940215924,0.07643420182382155,-0.12284879701089035,
B136,25,SPY,,,,0.8986643995365173,0.8820239235972316,0.1545044425578177,-0.3371595330739301,
SMALL439,0,IS-pick,RESPREAD,0.16,1.0,0.7427714465191159,0.7364987921991376,0.14429065903890814,-0.46371235943593625,0.01881310219813137
SMALL439,0,OOS-best,RESPREAD,0.2,0.5,0.7256466269549935,0.755311894397269,0.07698906476954837,-0.23973951889012202,0.0
SMALL439,0,parent b=0,RESPREAD,0.0,0.75,0.5217978007920088,0.6046557471857641,0.08546025218093867,-0.37074402137688445,0.1506561472115049
SMALL439,0,headline b=0.12,RESPREAD,0.12,0.75,0.7242187823484751,0.69210781940615,0.10255767715552766,-0.37148412670845454,0.06320407499111902
SMALL439,0,RULES v2 cell,DEGROSS,0.03,0.75,0.6186967951583461,0.6070527207999409,0.04137059832439571,-0.14326046128378223,0.1482591735973281
SMALL439,0,RULES v2 (live),,,,0.619863953853865,0.6085605291719897,0.0414753956617695,-0.14307423028633637,
SMALL439,0,SPY,,,,0.8315578832896264,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
SMALL439,10,IS-pick,RESPREAD,0.16,1.0,0.7219878251884501,0.7130813424003742,0.1385830395365466,-0.4681578444866611,0.027471834095342818
SMALL439,10,OOS-best,RESPREAD,0.7,0.5,0.549177431360108,0.7405531764957171,0.08662971825342236,-0.24736123054319115,0.0
SMALL439,10,parent b=0,RESPREAD,0.0,0.75,0.44644038405104564,0.535474046054103,0.07382991597741184,-0.38239943767382467,0.20507913044161408
SMALL439,10,headline b=0.12,RESPREAD,0.12,0.75,0.6986158515565306,0.6637436596987281,0.09759627077368904,-0.37630452483231025,0.076809516796989
SMALL439,10,RULES v2 cell,DEGROSS,0.03,0.75,0.5789899663564635,0.5664863714962136,0.03837588361212907,-0.1470362580000888,0.17406680499950344
SMALL439,10,RULES v2 (live),,,,0.5802451395725617,0.5680478293625534,0.03848481853840191,-0.1468466036229472,
SMALL439,10,SPY,,,,0.8315578832896264,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
SMALL439,25,IS-pick,RESPREAD,0.16,1.0,0.6908137407093199,0.6779519750018796,0.13007286284765662,-0.4747597830709096,0.04459826281662438
SMALL439,25,OOS-best,RESPREAD,0.7,0.5,0.5287368915759049,0.722550237818504,0.08424308734274222,-0.2498197106616883,0.0
SMALL439,25,parent b=0,RESPREAD,0.0,0.75,0.33351676380037226,0.43164798619867045,0.05661174004127267,-0.39948582967311075,0.2909022516198336
SMALL439,25,headline b=0.12,RESPREAD,0.12,0.75,0.6602164050100129,0.6211889828857546,0.09019441351735025,-0.3834682171610426,0.10136125493274939
SMALL439,25,RULES v2 cell,DEGROSS,0.03,0.75,0.5194382979128075,0.5055965085014014,0.033899609793537344,-0.1526692136114992,0.21695372931710266
SMALL439,25,RULES v2 (live),,,,0.520825763067626,0.5072384615166254,0.03401470587677502,-0.15247448679159348,
SMALL439,25,SPY,,,,0.8315578832896264,0.8820107671822842,0.15450717694493266,-0.33717235283398284,
